Time,all,pc,wise
2022-10-01,3399,270,3129
2022-10-02,3667,257,3410
2022-10-03,4065,287,3778
2022-10-04,3820,315,3505
2022-10-05,3676,295,3381
2022-10-06,3532,324,3208
2022-10-07,3189,281,2908
2022-10-08,5136,566,4570
2022-10-09,3513,425,3088
2022-10-10,3008,412,2596
2022-10-11,2909,409,2500
2022-10-12,3410,436,2974
2022-10-13,2959,357,2602
2022-10-14,3210,414,2796
2022-10-15,3409,332,3077
2022-10-16,3258,350,2908
2022-10-17,3496,367,3129
2022-10-18,3308,402,2906
2022-10-19,3096,371,2725
2022-10-20,3304,420,2884
2022-10-21,3169,321,2848
2022-10-22,3598,316,3282
2022-10-23,3822,287,3535
2022-10-24,4323,445,3878
2022-10-25,3434,409,3025
2022-10-26,3170,431,2739
2022-10-27,3161,355,2806
2022-10-28,3344,388,2956
2022-10-29,3572,333,3239
2022-10-30,3262,140,3122
2022-10-31,4067,484,3583
2022-11-01,3636,403,3233
2022-11-02,3825,443,3382
2022-11-03,3687,454,3233
2022-11-04,4689,453,4236
2022-11-05,5594,399,5195
2022-11-06,5428,338,5090
2022-11-07,4314,538,3776
2022-11-08,3994,529,3465
2022-11-09,3449,425,3024
2022-11-10,3189,434,2755
2022-11-11,3356,378,2978
2022-11-12,4251,355,3896
2022-11-13,4154,354,3800
2022-11-14,3585,392,3193
2022-11-15,3490,403,3087
2022-11-16,3398,364,3034
2022-11-17,3491,409,3082
2022-11-18,3473,406,3067
2022-11-19,3885,366,3519
2022-11-20,3725,330,3395
2022-11-21,3372,402,2970
2022-11-22,3324,417,2907
2022-11-23,3058,363,2695
2022-11-24,2883,338,2545
2022-11-25,3336,414,2922
2022-11-26,3183,296,2887
2022-11-27,3367,273,3094
2022-11-28,3070,305,2765
2022-11-29,3124,377,2747
2022-11-30,3017,406,2611
2022-12-01,2884,324,2560
2022-12-02,2974,358,2616
2022-12-03,3497,336,3161
2022-12-04,3154,298,2856
2022-12-05,2803,341,2462
2022-12-06,3521,377,3144
2022-12-07,3117,357,2760
2022-12-08,3313,402,2911
2022-12-09,3152,437,2715
2022-12-10,2876,287,2589
2022-12-11,2761,299,2462
2022-12-12,2717,333,2384
2022-12-13,2749,378,2371
2022-12-14,2611,327,2284
2022-12-15,2821,330,2491
2022-12-16,2930,305,2625
2022-12-17,3110,307,2803
2022-12-18,2904,228,2676
2022-12-19,2663,259,2404
2022-12-20,3012,282,2730
2022-12-21,3452,344,3108
2022-12-22,3623,343,3280
2022-12-23,3699,378,3321
2022-12-24,3499,291,3208
2022-12-25,5270,349,4921
2022-12-26,4959,465,4494
2022-12-27,4446,402,4044
2022-12-28,4798,487,4311
2022-12-29,4260,467,3793
2022-12-30,3883,400,3483
2022-12-31,5951,378,5573
2023-01-01,5112,372,4740
2023-01-02,4620,321,4299
2023-01-03,4246,394,3852
2023-01-04,4281,592,3689
2023-01-05,4076,537,3539
2023-01-06,3917,451,3466
2023-01-07,3885,363,3522
2023-01-08,3757,295,3462
2023-01-09,3843,447,3396
2023-01-10,3825,443,3382
2023-01-11,3823,502,3321
2023-01-12,4193,507,3686
2023-01-13,4113,442,3671
2023-01-14,3882,324,3558
2023-01-15,3715,366,3349
2023-01-16,3405,419,2986
2023-01-17,3137,371,2766
2023-01-18,3188,349,2839
2023-01-19,3369,343,3026
2023-01-20,3415,240,3175
2023-01-21,12083,233,11850
2023-01-22,5648,242,5406
2023-01-23,4491,225,4266
2023-01-24,4130,259,3871
2023-01-25,4080,236,3844
2023-01-26,4337,243,4094
2023-01-27,3693,215,3478
2023-01-28,3768,340,3428
2023-01-29,3268,341,2927
2023-01-30,3149,381,2768
2023-01-31,5604,868,4736
2023-02-01,4078,478,3600
2023-02-02,3529,492,3037
2023-02-03,3249,402,2847
2023-02-04,3345,315,3030
2023-02-05,3621,264,3357
2023-02-06,3079,417,2662
2023-02-07,3537,433,3104
2023-02-08,3834,519,3315
2023-02-09,3422,547,2875
2023-02-10,3967,533,3434
2023-02-11,4070,403,3667
2023-02-12,3502,386,3116
2023-02-13,3036,425,2611
2023-02-14,3058,467,2591
2023-02-15,2981,316,2665
2023-02-16,3337,428,2909
2023-02-17,3095,395,2700
2023-02-18,3168,310,2858
2023-02-19,3024,260,2764
2023-02-20,2949,416,2533
2023-02-21,3120,512,2608
2023-02-22,3296,375,2921
2023-02-23,3495,488,3007
2023-02-24,3633,516,3117
2023-02-25,3569,316,3253
2023-02-26,3440,279,3161
2023-02-27,3127,399,2728
2023-02-28,3095,442,2653
2023-03-01,2870,420,2450
2023-03-02,3085,385,2700
2023-03-03,3664,405,3259
2023-03-04,3617,293,3324
2023-03-05,3568,335,3233
2023-03-06,3152,388,2764
2023-03-07,3236,378,2858
2023-03-08,2670,335,2335
2023-03-09,2749,335,2414
2023-03-10,3959,498,3461
2023-03-11,5022,399,4623
2023-03-12,10409,471,9938
2023-03-13,6496,729,5767
2023-03-14,4910,868,4042
2023-03-15,7204,704,6500
2023-03-16,4643,498,4145
2023-03-17,4614,506,4108
2023-03-18,5957,336,5621
2023-03-19,4718,309,4409
2023-03-20,3639,386,3253
2023-03-21,3457,420,3037
2023-03-22,3561,374,3187
2023-03-23,3941,437,3504
2023-03-24,3358,417,2941
2023-03-25,4515,336,4179
2023-03-26,5338,363,4975
2023-03-27,4454,578,3876
2023-03-28,4099,470,3629
2023-03-29,4357,467,3890
2023-03-30,4507,543,3964
2023-03-31,4033,524,3509
2023-04-01,4519,330,4189
2023-04-02,6836,380,6456
2023-04-03,4547,506,4041
2023-04-04,7209,766,6443
2023-04-05,5737,395,5342
2023-04-06,4259,513,3746
2023-04-07,3751,504,3247
2023-04-08,4511,304,4207
2023-04-09,4630,366,4264
2023-04-10,3818,510,3308
2023-04-11,3412,402,3010
2023-04-12,3363,381,2982
2023-04-13,3354,440,2914
2023-04-14,3323,377,2946
2023-04-15,4178,299,3879
2023-04-16,4807,330,4477
2023-04-17,3971,442,3529
2023-04-18,3695,442,3253
2023-04-19,3598,439,3159
2023-04-20,3779,470,3309
2023-04-21,4137,526,3611
2023-04-22,4016,321,3695
