Time,all,pc,wise
2022-10-01,432,74,358
2022-10-02,419,70,349
2022-10-03,454,74,380
2022-10-04,429,80,349
2022-10-05,444,82,362
2022-10-06,413,72,341
2022-10-07,358,70,288
2022-10-08,399,76,323
2022-10-09,405,78,327
2022-10-10,388,89,299
2022-10-11,390,87,303
2022-10-12,438,112,326
2022-10-13,355,82,273
2022-10-14,379,72,307
2022-10-15,345,68,277
2022-10-16,377,76,301
2022-10-17,361,74,287
2022-10-18,359,85,274
2022-10-19,399,89,310
2022-10-20,355,85,270
2022-10-21,361,83,278
2022-10-22,394,68,326
2022-10-23,359,74,285
2022-10-24,370,93,277
2022-10-25,369,85,284
2022-10-26,342,95,247
2022-10-27,372,83,289
2022-10-28,332,89,243
2022-10-29,368,76,292
2022-10-30,339,66,273
2022-10-31,367,87,280
2022-11-01,334,78,256
2022-11-02,367,80,287
2022-11-03,405,102,303
2022-11-04,357,82,275
2022-11-05,478,64,414
2022-11-06,442,68,374
2022-11-07,362,78,284
2022-11-08,408,87,321
2022-11-09,432,76,356
2022-11-10,471,99,372
2022-11-11,386,80,306
2022-11-12,452,78,374
2022-11-13,433,70,363
2022-11-14,388,87,301
2022-11-15,386,101,285
2022-11-16,353,93,260
2022-11-17,336,72,264
2022-11-18,345,68,277
2022-11-19,332,64,268
2022-11-20,388,80,308
2022-11-21,323,66,257
2022-11-22,349,95,254
2022-11-23,352,89,263
2022-11-24,376,78,298
2022-11-25,361,76,285
2022-11-26,365,80,285
2022-11-27,398,63,335
2022-11-28,421,87,334
2022-11-29,400,74,326
2022-11-30,451,82,369
2022-12-01,370,78,292
2022-12-02,408,95,313
2022-12-03,412,74,338
2022-12-04,421,95,326
2022-12-05,360,83,277
2022-12-06,391,74,317
2022-12-07,314,78,236
2022-12-08,301,70,231
2022-12-09,344,87,257
2022-12-10,515,72,443
2022-12-11,685,74,611
2022-12-12,645,78,567
2022-12-13,619,80,539
2022-12-14,632,101,531
2022-12-15,519,74,445
2022-12-16,563,85,478
2022-12-17,633,66,567
2022-12-18,510,76,434
2022-12-19,434,78,356
2022-12-20,433,80,353
2022-12-21,454,93,361
2022-12-22,426,82,344
2022-12-23,515,85,430
2022-12-24,490,76,414
2022-12-25,500,66,434
2022-12-26,469,70,399
2022-12-27,442,70,372
2022-12-28,434,83,351
2022-12-29,505,80,425
2022-12-30,427,78,349
2022-12-31,395,72,323
2023-01-01,459,80,379
2023-01-02,524,70,454
2023-01-03,439,87,352
2023-01-04,469,83,386
2023-01-05,450,78,372
2023-01-06,460,76,384
2023-01-07,577,85,492
2023-01-08,626,83,543
2023-01-09,479,80,399
2023-01-10,397,74,323
2023-01-11,379,87,292
2023-01-12,424,80,344
2023-01-13,450,83,367
2023-01-14,455,83,372
2023-01-15,398,70,328
2023-01-16,412,89,323
2023-01-17,376,82,294
2023-01-18,344,89,255
2023-01-19,323,66,257
2023-01-20,355,68,287
2023-01-21,276,74,202
2023-01-22,384,74,310
2023-01-23,412,82,330
2023-01-24,462,82,380
2023-01-25,428,82,346
2023-01-26,434,85,349
2023-01-27,402,101,301
2023-01-28,399,78,321
2023-01-29,343,89,254
2023-01-30,337,83,254
2023-01-31,317,72,245
2023-02-01,350,80,270
2023-02-02,305,76,229
2023-02-03,363,89,274
2023-02-04,351,74,277
2023-02-05,311,68,243
2023-02-06,303,72,231
2023-02-07,350,83,267
2023-02-08,326,72,254
2023-02-09,307,72,235
2023-02-10,350,80,270
2023-02-11,372,74,298
2023-02-12,325,68,257
2023-02-13,314,83,231
2023-02-14,410,87,323
2023-02-15,338,76,262
2023-02-16,324,82,242
2023-02-17,349,89,260
2023-02-18,313,66,247
2023-02-19,334,70,264
2023-02-20,284,64,220
2023-02-21,305,74,231
2023-02-22,323,82,241
2023-02-23,393,76,317
2023-02-24,338,76,262
2023-02-25,305,74,231
2023-02-26,331,63,268
2023-02-27,312,76,236
2023-02-28,350,93,257
2023-03-01,321,78,243
2023-03-02,335,80,255
2023-03-03,303,74,229
2023-03-04,336,76,260
2023-03-05,305,74,231
2023-03-06,333,85,248
2023-03-07,310,85,225
2023-03-08,289,85,204
2023-03-09,333,72,261
2023-03-10,389,91,298
2023-03-11,345,76,269
2023-03-12,391,70,321
2023-03-13,330,91,239
2023-03-14,355,102,253
2023-03-15,326,87,239
2023-03-16,318,76,242
2023-03-17,279,68,211
2023-03-18,321,64,257
2023-03-19,336,70,266
2023-03-20,312,78,234
2023-03-21,345,78,267
2023-03-22,408,91,317
2023-03-23,437,76,361
2023-03-24,395,83,312
2023-03-25,370,70,300
2023-03-26,357,72,285
2023-03-27,364,66,298
2023-03-28,336,66,270
2023-03-29,378,87,291
2023-03-30,465,91,374
2023-03-31,367,85,282
2023-04-01,335,66,269
2023-04-02,343,68,275
2023-04-03,419,85,334
2023-04-04,384,72,312
2023-04-05,402,61,341
2023-04-06,426,85,341
2023-04-07,409,64,345
2023-04-08,468,82,386
2023-04-09,387,70,317
2023-04-10,389,83,306
2023-04-11,386,80,306
2023-04-12,366,64,302
2023-04-13,356,87,269
2023-04-14,343,70,273
2023-04-15,323,78,245
2023-04-16,316,68,248
2023-04-17,292,70,222
2023-04-18,321,82,239
2023-04-19,302,66,236
2023-04-20,316,82,234
2023-04-21,341,87,254
2023-04-22,353,72,281
