Time,all,pc,wise
2022-10-01,1455,129,1326
2022-10-02,1575,139,1436
2022-10-03,2105,133,1972
2022-10-04,1873,162,1711
2022-10-05,1434,157,1277
2022-10-06,1392,159,1233
2022-10-07,1141,144,997
2022-10-08,1166,179,987
2022-10-09,1264,271,993
2022-10-10,1145,195,950
2022-10-11,1226,254,972
2022-10-12,1213,233,980
2022-10-13,1214,228,986
2022-10-14,1162,197,965
2022-10-15,1143,158,985
2022-10-16,1151,157,994
2022-10-17,1143,172,971
2022-10-18,1097,154,943
2022-10-19,1109,187,922
2022-10-20,1084,162,922
2022-10-21,1055,150,905
2022-10-22,1076,146,930
2022-10-23,1103,148,955
2022-10-24,1080,148,932
2022-10-25,1103,191,912
2022-10-26,1092,173,919
2022-10-27,1142,184,958
2022-10-28,1126,180,946
2022-10-29,1086,144,942
2022-10-30,1047,78,969
2022-10-31,1134,172,962
2022-11-01,1149,190,959
2022-11-02,1089,155,934
2022-11-03,1115,161,954
2022-11-04,1157,166,991
2022-11-05,1114,158,956
2022-11-06,1149,157,992
2022-11-07,1159,176,983
2022-11-08,1136,186,950
2022-11-09,1165,198,967
2022-11-10,1170,182,988
2022-11-11,1142,155,987
2022-11-12,1388,150,1238
2022-11-13,1197,137,1060
2022-11-14,1121,148,973
2022-11-15,1083,137,946
2022-11-16,1084,142,942
2022-11-17,1113,165,948
2022-11-18,1128,140,988
2022-11-19,1269,146,1123
2022-11-20,1106,110,996
2022-11-21,1334,344,990
2022-11-22,1653,543,1110
2022-11-23,1724,543,1181
2022-11-24,1776,453,1323
2022-11-25,1682,423,1259
2022-11-26,1319,204,1115
2022-11-27,1374,169,1205
2022-11-28,1362,293,1069
2022-11-29,1266,225,1041
2022-11-30,1239,240,999
2022-12-01,1178,198,980
2022-12-02,1165,188,977
2022-12-03,1159,175,984
2022-12-04,1319,237,1082
2022-12-05,1220,245,975
2022-12-06,1197,209,988
2022-12-07,1168,200,968
2022-12-08,1135,187,948
2022-12-09,1154,201,953
2022-12-10,1203,159,1044
2022-12-11,1152,148,1004
2022-12-12,1148,165,983
2022-12-13,1146,175,971
2022-12-14,1125,165,960
2022-12-15,1164,179,985
2022-12-16,1132,154,978
2022-12-17,1120,129,991
2022-12-18,1106,127,979
2022-12-19,1071,129,942
2022-12-20,1318,166,1152
2022-12-21,1688,187,1501
2022-12-22,1968,236,1732
2022-12-23,1712,180,1532
2022-12-24,1622,155,1467
2022-12-25,1775,144,1631
2022-12-26,1874,226,1648
2022-12-27,1815,195,1620
2022-12-28,1860,213,1647
2022-12-29,2102,228,1874
2022-12-30,1854,216,1638
2022-12-31,1695,140,1555
2023-01-01,1900,157,1743
2023-01-02,2184,159,2025
2023-01-03,2023,225,1798
2023-01-04,1946,240,1706
2023-01-05,2165,209,1956
2023-01-06,2067,222,1845
2023-01-07,1894,205,1689
2023-01-08,1979,186,1793
2023-01-09,1963,212,1751
2023-01-10,1835,191,1644
2023-01-11,1857,223,1634
2023-01-12,2053,324,1729
2023-01-13,2077,251,1826
2023-01-14,1914,173,1741
2023-01-15,1834,177,1657
2023-01-16,1632,187,1445
2023-01-17,1791,182,1609
2023-01-18,1653,212,1441
2023-01-19,1994,179,1815
2023-01-20,1653,121,1532
2023-01-21,1326,125,1201
2023-01-22,1534,116,1418
2023-01-23,1702,151,1551
2023-01-24,1690,114,1576
2023-01-25,1578,129,1449
2023-01-26,1625,137,1488
2023-01-27,1616,157,1459
2023-01-28,1708,190,1518
2023-01-29,1557,190,1367
2023-01-30,1775,213,1562
2023-01-31,2123,250,1873
2023-02-01,1807,222,1585
2023-02-02,1773,209,1564
2023-02-03,1913,201,1712
2023-02-04,2181,165,2016
2023-02-05,1918,173,1745
2023-02-06,1880,290,1590
2023-02-07,2000,288,1712
2023-02-08,1920,284,1636
2023-02-09,1778,202,1576
2023-02-10,1720,212,1508
2023-02-11,1682,129,1553
2023-02-12,1778,157,1621
2023-02-13,1654,228,1426
2023-02-14,1498,237,1261
2023-02-15,1377,273,1104
2023-02-16,1298,218,1080
2023-02-17,1254,193,1061
2023-02-18,1262,161,1101
2023-02-19,1219,159,1060
2023-02-20,1269,219,1050
2023-02-21,1283,170,1113
2023-02-22,1354,215,1139
2023-02-23,1347,215,1132
2023-02-24,1315,219,1096
2023-02-25,1202,155,1047
2023-02-26,1135,150,985
2023-02-27,1163,208,955
2023-02-28,1143,202,941
2023-03-01,1093,158,935
2023-03-02,1134,209,925
2023-03-03,1089,166,923
2023-03-04,1056,116,940
2023-03-05,1082,152,930
2023-03-06,1081,166,915
2023-03-07,1097,162,935
2023-03-08,1126,190,936
2023-03-09,1169,218,951
2023-03-10,1039,161,878
2023-03-11,1041,129,912
2023-03-12,1090,168,922
2023-03-13,1136,228,908
2023-03-14,1118,197,921
2023-03-15,1095,201,894
2023-03-16,1120,191,929
2023-03-17,1264,173,1091
2023-03-18,1115,112,1003
2023-03-19,1173,148,1025
2023-03-20,1124,170,954
2023-03-21,1196,201,995
2023-03-22,1135,173,962
2023-03-23,1117,170,947
2023-03-24,1140,176,964
2023-03-25,1105,121,984
2023-03-26,1115,135,980
2023-03-27,1141,177,964
2023-03-28,1133,163,970
2023-03-29,1119,163,956
2023-03-30,1152,179,973
2023-03-31,1162,177,985
2023-04-01,1133,137,996
2023-04-02,1109,133,976
2023-04-03,1139,172,967
2023-04-04,1206,213,993
2023-04-05,1166,127,1039
2023-04-06,1181,188,993
2023-04-07,1086,150,936
2023-04-08,1079,125,954
2023-04-09,1106,133,973
2023-04-10,1151,175,976
2023-04-11,1145,193,952
2023-04-12,1135,176,959
2023-04-13,1147,162,985
2023-04-14,1216,200,1016
2023-04-15,1124,135,989
2023-04-16,1127,127,1000
2023-04-17,1164,190,974
2023-04-18,1164,177,987
2023-04-19,1158,188,970
2023-04-20,1165,161,1004
2023-04-21,1227,191,1036
2023-04-22,1420,163,1257
