Time,all,pc,wise
2022-10-01,1828,169,1659
2022-10-02,1939,175,1764
2022-10-03,2005,216,1789
2022-10-04,1979,209,1770
2022-10-05,2075,228,1847
2022-10-06,2031,237,1794
2022-10-07,2087,245,1842
2022-10-08,1948,279,1669
2022-10-09,1928,327,1601
2022-10-10,1747,287,1460
2022-10-11,1820,307,1513
2022-10-12,1838,279,1559
2022-10-13,2085,284,1801
2022-10-14,2052,295,1757
2022-10-15,2065,240,1825
2022-10-16,1986,215,1771
2022-10-17,2313,310,2003
2022-10-18,2375,367,2008
2022-10-19,2466,335,2131
2022-10-20,2817,313,2504
2022-10-21,2655,338,2317
2022-10-22,2901,295,2606
2022-10-23,3185,302,2883
2022-10-24,2573,343,2230
2022-10-25,2602,330,2272
2022-10-26,3589,409,3180
2022-10-27,4214,428,3786
2022-10-28,3601,447,3154
2022-10-29,3556,307,3249
2022-10-30,3589,146,3443
2022-10-31,3018,324,2694
2022-11-01,13391,884,12507
2022-11-02,24942,2964,21978
2022-11-03,12531,1339,11192
2022-11-04,11777,1009,10768
2022-11-05,9997,842,9155
2022-11-06,11402,715,10687
2022-11-07,10788,943,9845
2022-11-08,7061,847,6214
2022-11-09,6248,667,5581
2022-11-10,4961,495,4466
2022-11-11,4390,515,3875
2022-11-12,4272,434,3838
2022-11-13,4193,363,3830
2022-11-14,3402,412,2990
2022-11-15,4285,499,3786
2022-11-16,5570,535,5035
2022-11-17,6391,510,5881
2022-11-18,6012,454,5558
2022-11-19,5096,409,4687
2022-11-20,4523,336,4187
2022-11-21,4421,440,3981
2022-11-22,4172,433,3739
2022-11-23,4250,462,3788
2022-11-24,4564,411,4153
2022-11-25,5141,402,4739
2022-11-26,4523,347,4176
2022-11-27,4655,371,4284
2022-11-28,4060,388,3672
2022-11-29,4376,419,3957
2022-11-30,4556,431,4125
2022-12-01,5251,412,4839
2022-12-02,5924,461,5463
2022-12-03,6260,431,5829
2022-12-04,6934,433,6501
2022-12-05,6018,516,5502
2022-12-06,5263,538,4725
2022-12-07,4335,484,3851
2022-12-08,4064,414,3650
2022-12-09,3405,422,2983
2022-12-10,3591,302,3289
2022-12-11,3543,324,3219
2022-12-12,3034,298,2736
2022-12-13,3067,375,2692
2022-12-14,3088,315,2773
2022-12-15,2857,270,2587
2022-12-16,2749,271,2478
2022-12-17,2702,248,2454
2022-12-18,2726,248,2478
2022-12-19,2275,273,2002
2022-12-20,2388,242,2146
2022-12-21,2613,296,2317
2022-12-22,2644,341,2303
2022-12-23,3100,332,2768
2022-12-24,4733,298,4435
2022-12-25,3807,305,3502
2022-12-26,2894,352,2542
2022-12-27,2827,329,2498
2022-12-28,2836,371,2465
2022-12-29,2882,344,2538
2022-12-30,2524,288,2236
2022-12-31,2355,229,2126
2023-01-01,2387,219,2168
2023-01-02,2492,274,2218
2023-01-03,2303,327,1976
2023-01-04,3170,885,2285
2023-01-05,2463,358,2105
2023-01-06,2506,302,2204
2023-01-07,2515,233,2282
2023-01-08,2255,247,2008
2023-01-09,2144,307,1837
2023-01-10,2106,343,1763
2023-01-11,1991,284,1707
2023-01-12,2030,257,1773
2023-01-13,2450,335,2115
2023-01-14,2151,218,1933
2023-01-15,2421,220,2201
2023-01-16,1970,291,1679
2023-01-17,1771,247,1524
2023-01-18,1854,226,1628
2023-01-19,1895,216,1679
2023-01-20,1818,223,1595
2023-01-21,1719,155,1564
2023-01-22,1924,157,1767
2023-01-23,2076,183,1893
2023-01-24,2134,184,1950
2023-01-25,2151,179,1972
2023-01-26,1860,177,1683
2023-01-27,1713,233,1480
2023-01-28,2033,239,1794
2023-01-29,1961,281,1680
2023-01-30,1789,287,1502
2023-01-31,1843,296,1547
2023-02-01,1708,273,1435
2023-02-02,2197,282,1915
2023-02-03,1749,284,1465
2023-02-04,1763,229,1534
2023-02-05,1834,201,1633
2023-02-06,1794,316,1478
2023-02-07,1837,319,1518
2023-02-08,1940,310,1630
2023-02-09,2005,332,1673
2023-02-10,2243,274,1969
2023-02-11,2153,259,1894
2023-02-12,2108,243,1865
2023-02-13,1930,319,1611
2023-02-14,1890,333,1557
2023-02-15,1888,323,1565
2023-02-16,1820,319,1501
2023-02-17,1727,305,1422
2023-02-18,1771,207,1564
2023-02-19,1920,243,1677
2023-02-20,1782,335,1447
2023-02-21,1770,336,1434
2023-02-22,1730,287,1443
2023-02-23,1821,298,1523
2023-02-24,1754,347,1407
2023-02-25,1590,215,1375
2023-02-26,1712,215,1497
2023-02-27,1742,259,1483
2023-02-28,1917,278,1639
2023-03-01,1834,236,1598
2023-03-02,2050,265,1785
2023-03-03,2175,301,1874
2023-03-04,2267,215,2052
2023-03-05,2619,251,2368
2023-03-06,2452,313,2139
2023-03-07,2325,350,1975
2023-03-08,2409,312,2097
2023-03-09,2749,315,2434
2023-03-10,2757,363,2394
2023-03-11,2364,271,2093
2023-03-12,2331,225,2106
2023-03-13,2027,299,1728
2023-03-14,2056,321,1735
2023-03-15,2112,440,1672
2023-03-16,1853,397,1456
2023-03-17,1862,290,1572
2023-03-18,1812,179,1633
2023-03-19,1917,225,1692
2023-03-20,1963,350,1613
2023-03-21,2180,313,1867
2023-03-22,2148,333,1815
2023-03-23,1944,293,1651
2023-03-24,2002,332,1670
2023-03-25,1965,242,1723
2023-03-26,1778,237,1541
2023-03-27,1684,296,1388
2023-03-28,1577,262,1315
2023-03-29,1745,291,1454
2023-03-30,1782,273,1509
2023-03-31,5002,411,4591
2023-04-01,4716,309,4407
2023-04-02,2572,304,2268
2023-04-03,2268,385,1883
2023-04-04,2290,363,1927
2023-04-05,2440,279,2161
2023-04-06,2251,350,1901
2023-04-07,1984,310,1674
2023-04-08,2033,250,1783
2023-04-09,1967,251,1716
2023-04-10,1956,355,1601
2023-04-11,2103,319,1784
2023-04-12,2058,327,1731
2023-04-13,2057,403,1654
2023-04-14,1979,349,1630
2023-04-15,2040,233,1807
2023-04-16,1953,229,1724
2023-04-17,1961,312,1649
2023-04-18,2027,299,1728
2023-04-19,2140,367,1773
2023-04-20,1976,279,1697
2023-04-21,1899,309,1590
2023-04-22,2074,223,1851
