Time,all,pc,wise
2022-10-01,2575,265,2310
2022-10-02,2649,326,2323
2022-10-03,3033,329,2704
2022-10-04,2986,346,2640
2022-10-05,2660,316,2344
2022-10-06,2939,323,2616
2022-10-07,2652,343,2309
2022-10-08,2371,397,1974
2022-10-09,2293,402,1891
2022-10-10,2198,423,1775
2022-10-11,2147,439,1708
2022-10-12,2290,381,1909
2022-10-13,2861,478,2383
2022-10-14,4680,799,3881
2022-10-15,5032,507,4525
2022-10-16,3187,321,2866
2022-10-17,2897,538,2359
2022-10-18,2519,499,2020
2022-10-19,2374,447,1927
2022-10-20,2317,386,1931
2022-10-21,2335,395,1940
2022-10-22,2415,295,2120
2022-10-23,3005,332,2673
2022-10-24,2767,422,2345
2022-10-25,4770,847,3923
2022-10-26,3090,614,2476
2022-10-27,3179,535,2644
2022-10-28,2763,419,2344
2022-10-29,2706,344,2362
2022-10-30,2394,121,2273
2022-10-31,4890,760,4130
2022-11-01,3547,561,2986
2022-11-02,2957,459,2498
2022-11-03,2639,409,2230
2022-11-04,2654,471,2183
2022-11-05,2733,380,2353
2022-11-06,2607,291,2316
2022-11-07,2410,380,2030
2022-11-08,2517,416,2101
2022-11-09,2551,433,2118
2022-11-10,2369,443,1926
2022-11-11,2175,333,1842
2022-11-12,2366,299,2067
2022-11-13,2757,355,2402
2022-11-14,2454,448,2006
2022-11-15,2228,347,1881
2022-11-16,2223,358,1865
2022-11-17,2254,391,1863
2022-11-18,2379,425,1954
2022-11-19,2254,276,1978
2022-11-20,2362,288,2074
2022-11-21,2313,319,1994
2022-11-22,2219,350,1869
2022-11-23,2232,371,1861
2022-11-24,2348,336,2012
2022-11-25,11244,1618,9626
2022-11-26,5463,703,4760
2022-11-27,4432,465,3967
2022-11-28,3707,507,3200
2022-11-29,3379,456,2923
2022-11-30,3114,420,2694
2022-12-01,2813,412,2401
2022-12-02,2772,409,2363
2022-12-03,2844,349,2495
2022-12-04,2689,309,2380
2022-12-05,2414,375,2039
2022-12-06,2924,447,2477
2022-12-07,2823,422,2401
2022-12-08,2882,397,2485
2022-12-09,2985,411,2574
2022-12-10,2555,298,2257
2022-12-11,2338,305,2033
2022-12-12,2334,383,1951
2022-12-13,2341,344,1997
2022-12-14,2046,299,1747
2022-12-15,2039,329,1710
2022-12-16,2249,299,1950
2022-12-17,2171,271,1900
2022-12-18,2307,236,2071
2022-12-19,2367,278,2089
2022-12-20,2648,285,2363
2022-12-21,2667,330,2337
2022-12-22,3009,383,2626
2022-12-23,3067,371,2696
2022-12-24,3239,274,2965
2022-12-25,3128,254,2874
2022-12-26,2893,360,2533
2022-12-27,2931,372,2559
2022-12-28,2856,316,2540
2022-12-29,3091,434,2657
2022-12-30,2898,400,2498
2022-12-31,3207,372,2835
2023-01-01,3391,363,3028
2023-01-02,3495,369,3126
2023-01-03,2969,371,2598
2023-01-04,2881,411,2470
2023-01-05,3012,414,2598
2023-01-06,2920,451,2469
2023-01-07,2834,309,2525
2023-01-08,3002,279,2723
2023-01-09,3223,431,2792
2023-01-10,2746,400,2346
2023-01-11,2567,399,2168
2023-01-12,2566,397,2169
2023-01-13,2578,386,2192
2023-01-14,2499,299,2200
2023-01-15,2681,267,2414
2023-01-16,2793,434,2359
2023-01-17,2449,330,2119
2023-01-18,2278,299,1979
2023-01-19,2132,229,1903
2023-01-20,2170,222,1948
2023-01-21,1908,204,1704
2023-01-22,2274,228,2046
2023-01-23,2431,270,2161
2023-01-24,2285,211,2074
2023-01-25,2315,200,2115
2023-01-26,2388,197,2191
2023-01-27,2301,251,2050
2023-01-28,2316,285,2031
2023-01-29,2302,381,1921
2023-01-30,2201,372,1829
2023-01-31,2541,406,2135
2023-02-01,2243,316,1927
2023-02-02,2191,346,1845
2023-02-03,2196,336,1860
2023-02-04,2249,276,1973
2023-02-05,2119,207,1912
2023-02-06,2084,343,1741
2023-02-07,2060,346,1714
2023-02-08,2126,388,1738
2023-02-09,2446,648,1798
2023-02-10,2347,462,1885
2023-02-11,2492,388,2104
2023-02-12,2259,298,1961
2023-02-13,2370,453,1917
2023-02-14,2053,386,1667
2023-02-15,2114,397,1717
2023-02-16,2052,405,1647
2023-02-17,2235,391,1844
2023-02-18,2159,296,1863
2023-02-19,2083,234,1849
2023-02-20,1959,361,1598
2023-02-21,2016,378,1638
2023-02-22,2103,343,1760
2023-02-23,2119,363,1756
2023-02-24,2103,374,1729
2023-02-25,2162,273,1889
2023-02-26,2101,226,1875
2023-02-27,2217,332,1885
2023-02-28,2096,341,1755
2023-03-01,2536,361,2175
2023-03-02,2281,375,1906
2023-03-03,2096,380,1716
2023-03-04,2086,284,1802
2023-03-05,2501,284,2217
2023-03-06,2377,392,1985
2023-03-07,2124,372,1752
2023-03-08,4058,507,3551
2023-03-09,4046,640,3406
2023-03-10,3465,524,2941
2023-03-11,2642,260,2382
2023-03-12,2398,264,2134
2023-03-13,2172,377,1795
2023-03-14,2194,391,1803
2023-03-15,2479,338,2141
2023-03-16,2156,400,1756
2023-03-17,2055,349,1706
2023-03-18,2172,256,1916
2023-03-19,2183,225,1958
2023-03-20,2118,400,1718
2023-03-21,1945,352,1593
2023-03-22,1867,372,1495
2023-03-23,2284,352,1932
2023-03-24,1952,366,1586
2023-03-25,1992,213,1779
2023-03-26,3274,326,2948
2023-03-27,3764,572,3192
2023-03-28,4069,678,3391
2023-03-29,3240,564,2676
2023-03-30,2945,530,2415
2023-03-31,3246,501,2745
2023-04-01,2802,367,2435
2023-04-02,4291,423,3868
2023-04-03,4468,810,3658
2023-04-04,3481,633,2848
2023-04-05,2958,360,2598
2023-04-06,3032,689,2343
2023-04-07,3398,540,2858
2023-04-08,3435,327,3108
2023-04-09,3157,291,2866
2023-04-10,2802,498,2304
2023-04-11,2919,492,2427
2023-04-12,2861,490,2371
2023-04-13,3053,470,2583
2023-04-14,3198,488,2710
2023-04-15,3166,378,2788
2023-04-16,3083,281,2802
2023-04-17,2704,395,2309
2023-04-18,2911,479,2432
2023-04-19,3099,501,2598
2023-04-20,3091,499,2592
2023-04-21,3391,659,2732
2023-04-22,3056,352,2704
