Time,all,pc,wise
2022-10-01,1710,228,1482
2022-10-02,1652,183,1469
2022-10-03,1778,209,1569
2022-10-04,1940,248,1692
2022-10-05,1686,211,1475
2022-10-06,1557,220,1337
2022-10-07,1541,205,1336
2022-10-08,1308,262,1046
2022-10-09,1353,259,1094
2022-10-10,1248,260,988
2022-10-11,1219,193,1026
2022-10-12,1221,205,1016
2022-10-13,1206,213,993
2022-10-14,1256,236,1020
2022-10-15,1477,234,1243
2022-10-16,1528,226,1302
2022-10-17,1530,276,1254
2022-10-18,1362,234,1128
2022-10-19,1342,233,1109
2022-10-20,1405,243,1162
2022-10-21,1516,248,1268
2022-10-22,1615,215,1400
2022-10-23,1625,211,1414
2022-10-24,1394,254,1140
2022-10-25,1394,279,1115
2022-10-26,1406,284,1122
2022-10-27,1314,271,1043
2022-10-28,1498,267,1231
2022-10-29,1554,215,1339
2022-10-30,1409,99,1310
2022-10-31,1283,228,1055
2022-11-01,1368,242,1126
2022-11-02,1451,233,1218
2022-11-03,1493,254,1239
2022-11-04,1504,267,1237
2022-11-05,1443,191,1252
2022-11-06,1470,168,1302
2022-11-07,1312,211,1101
2022-11-08,1323,231,1092
2022-11-09,1346,240,1106
2022-11-10,1350,223,1127
2022-11-11,1461,211,1250
2022-11-12,1652,219,1433
2022-11-13,1681,202,1479
2022-11-14,1391,237,1154
2022-11-15,1448,273,1175
2022-11-16,1630,291,1339
2022-11-17,1502,247,1255
2022-11-18,1618,260,1358
2022-11-19,1825,219,1606
2022-11-20,1811,205,1606
2022-11-21,1528,250,1278
2022-11-22,1571,264,1307
2022-11-23,1412,234,1178
2022-11-24,1499,243,1256
2022-11-25,1660,242,1418
2022-11-26,1694,207,1487
2022-11-27,1588,183,1405
2022-11-28,1547,240,1307
2022-11-29,1612,262,1350
2022-11-30,1430,220,1210
2022-12-01,1463,208,1255
2022-12-02,1496,243,1253
2022-12-03,1777,229,1548
2022-12-04,1743,187,1556
2022-12-05,1452,242,1210
2022-12-06,1778,288,1490
2022-12-07,1434,251,1183
2022-12-08,1448,218,1230
2022-12-09,1323,205,1118
2022-12-10,1359,207,1152
2022-12-11,1438,177,1261
2022-12-12,1220,208,1012
2022-12-13,1219,215,1004
2022-12-14,1173,182,991
2022-12-15,1259,218,1041
2022-12-16,1346,194,1152
2022-12-17,1382,184,1198
2022-12-18,1399,190,1209
2022-12-19,1328,225,1103
2022-12-20,1462,200,1262
2022-12-21,1838,237,1601
2022-12-22,1591,216,1375
2022-12-23,1703,234,1469
2022-12-24,1803,236,1567
2022-12-25,1880,182,1698
2022-12-26,1685,197,1488
2022-12-27,1751,305,1446
2022-12-28,1639,273,1366
2022-12-29,1550,234,1316
2022-12-30,1650,265,1385
2022-12-31,1702,200,1502
2023-01-01,1779,200,1579
2023-01-02,4009,229,3780
2023-01-03,2059,285,1774
2023-01-04,1598,234,1364
2023-01-05,1664,270,1394
2023-01-06,1532,236,1296
2023-01-07,1714,226,1488
2023-01-08,1795,233,1562
2023-01-09,1564,247,1317
2023-01-10,1504,274,1230
2023-01-11,1511,259,1252
2023-01-12,1453,239,1214
2023-01-13,1614,243,1371
2023-01-14,1677,191,1486
2023-01-15,1491,191,1300
2023-01-16,1405,202,1203
2023-01-17,1370,212,1158
2023-01-18,1297,223,1074
2023-01-19,1583,176,1407
2023-01-20,1460,154,1306
2023-01-21,1475,127,1348
2023-01-22,1902,157,1745
2023-01-23,1890,172,1718
2023-01-24,1752,165,1587
2023-01-25,1732,168,1564
2023-01-26,1920,191,1729
2023-01-27,1781,168,1613
2023-01-28,1651,259,1392
2023-01-29,1704,250,1454
2023-01-30,1535,257,1278
2023-01-31,1491,245,1246
2023-02-01,1517,225,1292
2023-02-02,1645,268,1377
2023-02-03,1497,270,1227
2023-02-04,1972,443,1529
2023-02-05,1658,198,1460
2023-02-06,1375,291,1084
2023-02-07,1340,251,1089
2023-02-08,1386,239,1147
2023-02-09,1283,218,1065
2023-02-10,1205,219,986
2023-02-11,1319,172,1147
2023-02-12,1363,197,1166
2023-02-13,1334,219,1115
2023-02-14,1198,220,978
2023-02-15,1461,195,1266
2023-02-16,1168,207,961
2023-02-17,1159,195,964
2023-02-18,1276,161,1115
2023-02-19,1309,159,1150
2023-02-20,1216,223,993
2023-02-21,1187,208,979
2023-02-22,1161,193,968
2023-02-23,1215,195,1020
2023-02-24,1185,186,999
2023-02-25,1171,150,1021
2023-02-26,1152,165,987
2023-02-27,1129,194,935
2023-02-28,1111,191,920
2023-03-01,1094,155,939
2023-03-02,1115,191,924
2023-03-03,1144,218,926
2023-03-04,1428,276,1152
2023-03-05,1455,242,1213
2023-03-06,1555,492,1063
2023-03-07,1611,341,1270
2023-03-08,1261,281,980
2023-03-09,1232,274,958
2023-03-10,1209,226,983
2023-03-11,1252,175,1077
2023-03-12,1183,163,1020
2023-03-13,1167,234,933
2023-03-14,1141,198,943
2023-03-15,1212,247,965
2023-03-16,1209,218,991
2023-03-17,1312,223,1089
2023-03-18,1244,182,1062
2023-03-19,1232,161,1071
2023-03-20,1197,228,969
2023-03-21,1246,226,1020
2023-03-22,1338,223,1115
2023-03-23,1224,233,991
2023-03-24,1256,219,1037
2023-03-25,1304,182,1122
2023-03-26,1378,197,1181
2023-03-27,1207,228,979
2023-03-28,1151,197,954
2023-03-29,1270,254,1016
2023-03-30,1250,219,1031
2023-03-31,1363,223,1140
2023-04-01,1341,161,1180
2023-04-02,1258,162,1096
2023-04-03,1544,262,1282
2023-04-04,1319,254,1065
2023-04-05,1264,184,1080
2023-04-06,1187,207,980
2023-04-07,1155,169,986
2023-04-08,1196,186,1010
2023-04-09,1236,165,1071
2023-04-10,1189,212,977
2023-04-11,1241,279,962
2023-04-12,1212,260,952
2023-04-13,1197,245,952
2023-04-14,1217,229,988
2023-04-15,1156,187,969
2023-04-16,1126,155,971
2023-04-17,1217,197,1020
2023-04-18,1187,239,948
2023-04-19,1144,205,939
2023-04-20,1140,198,942
2023-04-21,1176,216,960
2023-04-22,1153,175,978
