Time,all,pc,wise
2022-10-01,8939,872,8067
2022-10-02,9979,888,9091
2022-10-03,10684,912,9772
2022-10-04,11107,907,10200
2022-10-05,10049,926,9123
2022-10-06,9573,923,8650
2022-10-07,9241,933,8308
2022-10-08,8970,988,7982
2022-10-09,8998,1014,7984
2022-10-10,8205,1009,7196
2022-10-11,7958,987,6971
2022-10-12,8125,1043,7082
2022-10-13,8307,1018,7289
2022-10-14,9176,1050,8126
2022-10-15,10289,940,9349
2022-10-16,10437,930,9507
2022-10-17,9124,1066,8058
2022-10-18,8851,1088,7763
2022-10-19,8835,1052,7783
2022-10-20,8973,1075,7898
2022-10-21,9325,969,8356
2022-10-22,10259,910,9349
2022-10-23,12045,947,11098
2022-10-24,10442,1031,9411
2022-10-25,11052,1114,9938
2022-10-26,11130,1203,9927
2022-10-27,10852,1124,9728
2022-10-28,10940,1032,9908
2022-10-29,11524,944,10580
2022-10-30,10099,369,9730
2022-10-31,9857,997,8860
2022-11-01,13166,1349,11817
2022-11-02,13586,1419,12167
2022-11-03,15974,1672,14302
2022-11-04,15095,1591,13504
2022-11-05,13354,997,12357
2022-11-06,14096,998,13098
2022-11-07,13905,1403,12502
2022-11-08,12235,1231,11004
2022-11-09,11797,1203,10594
2022-11-10,11073,1228,9845
2022-11-11,16070,1543,14527
2022-11-12,13865,987,12878
2022-11-13,13672,957,12715
2022-11-14,11676,1171,10505
2022-11-15,11614,1197,10417
2022-11-16,12990,1185,11805
2022-11-17,12261,1159,11102
2022-11-18,12416,1139,11277
2022-11-19,13433,945,12488
2022-11-20,13400,924,12476
2022-11-21,11552,1092,10460
2022-11-22,10818,987,9831
2022-11-23,10434,991,9443
2022-11-24,9778,970,8808
2022-11-25,11456,1161,10295
2022-11-26,11189,933,10256
2022-11-27,11627,924,10703
2022-11-28,10361,999,9362
2022-11-29,9621,967,8654
2022-11-30,9313,988,8325
2022-12-01,8719,981,7738
2022-12-02,9184,981,8203
2022-12-03,9821,939,8882
2022-12-04,10430,919,9511
2022-12-05,9151,970,8181
2022-12-06,12672,1112,11560
2022-12-07,30227,2326,27901
2022-12-08,46142,3854,42288
2022-12-09,41694,3354,38340
2022-12-10,32040,2019,30021
2022-12-11,27428,1690,25738
2022-12-12,25816,1964,23852
2022-12-13,29785,2100,27685
2022-12-14,31265,2012,29253
2022-12-15,31547,2061,29486
2022-12-16,37542,2059,35483
2022-12-17,38058,1752,36306
2022-12-18,33938,1486,32452
2022-12-19,31424,1691,29733
2022-12-20,31656,1660,29996
2022-12-21,37694,1754,35940
2022-12-22,48091,1991,46100
2022-12-23,43706,2177,41529
2022-12-24,34818,1538,33280
2022-12-25,31822,1295,30527
2022-12-26,27855,1651,26204
2022-12-27,26016,1630,24386
2022-12-28,24560,1550,23010
2022-12-29,23535,1576,21959
2022-12-30,22304,1515,20789
2022-12-31,32005,1230,30775
2023-01-01,21844,995,20849
2023-01-02,21124,1136,19988
2023-01-03,17518,1421,16097
2023-01-04,17543,1384,16159
2023-01-05,16297,1317,14980
2023-01-06,15946,1255,14691
2023-01-07,17264,1023,16241
2023-01-08,17169,975,16194
2023-01-09,15887,1490,14397
2023-01-10,14622,1313,13309
2023-01-11,13656,1268,12388
2023-01-12,13514,1226,12288
2023-01-13,13039,1203,11836
2023-01-14,12785,954,11831
2023-01-15,13011,952,12059
2023-01-16,12774,1068,11706
2023-01-17,12079,1026,11053
2023-01-18,11457,972,10485
2023-01-19,10958,907,10051
2023-01-20,10983,875,10108
2023-01-21,10965,696,10269
2023-01-22,11620,830,10790
2023-01-23,14804,855,13949
2023-01-24,12234,858,11376
2023-01-25,11686,842,10844
2023-01-26,10995,844,10151
2023-01-27,10578,853,9725
2023-01-28,11573,937,10636
2023-01-29,9762,983,8779
2023-01-30,9640,973,8667
2023-01-31,2069514,263663,1805851
2023-02-01,443882,32368,411514
2023-02-02,152387,11522,140865
2023-02-03,85605,6771,78834
2023-02-04,55052,2604,52448
2023-02-05,38897,1595,37302
2023-02-06,34296,2778,31518
2023-02-07,33859,2575,31284
2023-02-08,28080,3578,24502
2023-02-09,25666,2226,23440
2023-02-10,21256,1916,19340
2023-02-11,19294,1158,18136
2023-02-12,16970,961,16009
2023-02-13,14807,1436,13371
2023-02-14,13141,1383,11758
2023-02-15,11707,1262,10445
2023-02-16,11057,1186,9871
2023-02-17,11250,1095,10155
2023-02-18,11442,953,10489
2023-02-19,10926,889,10037
2023-02-20,9724,1011,8713
2023-02-21,9649,1060,8589
2023-02-22,9055,985,8070
2023-02-23,9167,1044,8123
2023-02-24,8909,1059,7850
2023-02-25,8905,898,8007
2023-02-26,8874,867,8007
2023-02-27,7895,972,6923
2023-02-28,8079,963,7116
2023-03-01,7725,911,6814
2023-03-02,7977,945,7032
2023-03-03,7836,944,6892
2023-03-04,7700,868,6832
2023-03-05,7909,848,7061
2023-03-06,7365,959,6406
2023-03-07,7350,943,6407
2023-03-08,7038,920,6118
2023-03-09,7315,916,6399
2023-03-10,7482,934,6548
2023-03-11,7818,843,6975
2023-03-12,7770,735,7035
2023-03-13,7358,916,6442
2023-03-14,9599,988,8611
2023-03-15,8014,966,7048
2023-03-16,7805,928,6877
2023-03-17,7398,932,6466
2023-03-18,7411,847,6564
2023-03-19,7469,828,6641
2023-03-20,7057,942,6115
2023-03-21,7154,999,6155
2023-03-22,7600,986,6614
2023-03-23,8106,964,7142
2023-03-24,13510,994,12516
2023-03-25,22619,2081,20538
2023-03-26,34149,1864,32285
2023-03-27,21945,2152,19793
2023-03-28,15460,1559,13901
2023-03-29,12755,1397,11358
2023-03-30,12543,1286,11257
2023-03-31,13028,1281,11747
2023-04-01,10419,921,9498
2023-04-02,9624,888,8736
2023-04-03,8919,1108,7811
2023-04-04,8737,990,7747
2023-04-05,9132,876,8256
2023-04-06,7454,994,6460
2023-04-07,6879,962,5917
2023-04-08,10343,903,9440
2023-04-09,9730,893,8837
2023-04-10,7899,994,6905
2023-04-11,7781,963,6818
2023-04-12,7263,965,6298
2023-04-13,7407,980,6427
2023-04-14,7192,949,6243
2023-04-15,7206,861,6345
2023-04-16,7193,842,6351
2023-04-17,6622,943,5679
2023-04-18,6608,929,5679
2023-04-19,6742,952,5790
2023-04-20,6790,927,5863
2023-04-21,6773,942,5831
2023-04-22,7202,868,6334
