Time,all,pc,wise
2022-10-01,3699,346,3353
2022-10-02,3629,340,3289
2022-10-03,3712,372,3340
2022-10-04,3786,405,3381
2022-10-05,3687,394,3293
2022-10-06,3719,405,3314
2022-10-07,3246,369,2877
2022-10-08,3018,439,2579
2022-10-09,3141,488,2653
2022-10-10,2708,383,2325
2022-10-11,3101,471,2630
2022-10-12,3379,583,2796
2022-10-13,3343,493,2850
2022-10-14,3296,492,2804
2022-10-15,3962,392,3570
2022-10-16,3500,344,3156
2022-10-17,3304,509,2795
2022-10-18,3205,523,2682
2022-10-19,3099,510,2589
2022-10-20,3486,476,3010
2022-10-21,3123,423,2700
2022-10-22,3775,363,3412
2022-10-23,3422,380,3042
2022-10-24,3143,488,2655
2022-10-25,3328,443,2885
2022-10-26,3168,481,2687
2022-10-27,3175,445,2730
2022-10-28,3150,478,2672
2022-10-29,3687,422,3265
2022-10-30,3873,161,3712
2022-10-31,2967,447,2520
2022-11-01,3457,461,2996
2022-11-02,3894,591,3303
2022-11-03,3493,519,2974
2022-11-04,3543,535,3008
2022-11-05,3682,400,3282
2022-11-06,4064,397,3667
2022-11-07,3665,464,3201
2022-11-08,3584,498,3086
2022-11-09,3804,585,3219
2022-11-10,3747,467,3280
2022-11-11,4042,599,3443
2022-11-12,8403,636,7767
2022-11-13,6627,561,6066
2022-11-14,4762,684,4078
2022-11-15,3898,599,3299
2022-11-16,3658,540,3118
2022-11-17,3774,519,3255
2022-11-18,3975,535,3440
2022-11-19,4640,409,4231
2022-11-20,4538,425,4113
2022-11-21,3776,575,3201
2022-11-22,3441,468,2973
2022-11-23,3138,425,2713
2022-11-24,3352,459,2893
2022-11-25,3646,487,3159
2022-11-26,4158,448,3710
2022-11-27,4254,383,3871
2022-11-28,4196,715,3481
2022-11-29,3928,492,3436
2022-11-30,3875,519,3356
2022-12-01,3717,492,3225
2022-12-02,4161,558,3603
2022-12-03,4248,454,3794
2022-12-04,4927,465,4462
2022-12-05,4592,554,4038
2022-12-06,4764,661,4103
2022-12-07,3770,541,3229
2022-12-08,4229,772,3457
2022-12-09,3743,493,3250
2022-12-10,4022,451,3571
2022-12-11,3897,392,3505
2022-12-12,3577,484,3093
2022-12-13,3662,488,3174
2022-12-14,3394,464,2930
2022-12-15,3649,526,3123
2022-12-16,4359,549,3810
2022-12-17,4556,465,4091
2022-12-18,4270,397,3873
2022-12-19,3945,496,3449
2022-12-20,4794,558,4236
2022-12-21,5064,566,4498
2022-12-22,5076,564,4512
2022-12-23,5343,561,4782
2022-12-24,5372,502,4870
2022-12-25,5549,524,5025
2022-12-26,5492,639,4853
2022-12-27,5541,698,4843
2022-12-28,5558,713,4845
2022-12-29,5329,664,4665
2022-12-30,6167,681,5486
2022-12-31,6065,555,5510
2023-01-01,6002,513,5489
2023-01-02,6382,616,5766
2023-01-03,6285,819,5466
2023-01-04,6695,724,5971
2023-01-05,7072,861,6211
2023-01-06,8058,864,7194
2023-01-07,8206,710,7496
2023-01-08,7536,560,6976
2023-01-09,6529,732,5797
2023-01-10,6243,779,5464
2023-01-11,6345,675,5670
2023-01-12,9025,816,8209
2023-01-13,23945,975,22970
2023-01-14,12048,690,11358
2023-01-15,9455,636,8819
2023-01-16,7466,842,6624
2023-01-17,6839,648,6191
2023-01-18,8292,658,7634
2023-01-19,10766,936,9830
2023-01-20,9238,696,8542
2023-01-21,103481,1416,102065
2023-01-22,62671,2000,60671
2023-01-23,32820,934,31886
2023-01-24,23362,985,22377
2023-01-25,17614,945,16669
2023-01-26,17156,922,16234
2023-01-27,12664,891,11773
2023-01-28,10369,972,9397
2023-01-29,8222,897,7325
2023-01-30,7287,895,6392
2023-01-31,7299,902,6397
2023-02-01,6690,875,5815
2023-02-02,6575,852,5723
2023-02-03,6344,846,5498
2023-02-04,6777,658,6119
2023-02-05,6644,588,6056
2023-02-06,5422,792,4630
2023-02-07,5143,786,4357
2023-02-08,6507,854,5653
2023-02-09,5443,758,4685
2023-02-10,4938,771,4167
2023-02-11,6462,730,5732
2023-02-12,5278,583,4695
2023-02-13,4563,721,3842
2023-02-14,4829,900,3929
2023-02-15,5152,819,4333
2023-02-16,5277,834,4443
2023-02-17,5431,843,4588
2023-02-18,5505,595,4910
2023-02-19,5844,599,5245
2023-02-20,5605,866,4739
2023-02-21,5475,839,4636
2023-02-22,6074,863,5211
2023-02-23,5823,849,4974
2023-02-24,4995,692,4303
2023-02-25,5521,597,4924
2023-02-26,5282,516,4766
2023-02-27,4401,681,3720
2023-02-28,4019,667,3352
2023-03-01,3986,631,3355
2023-03-02,3626,535,3091
2023-03-03,6514,681,5833
2023-03-04,11192,741,10451
2023-03-05,9958,586,9372
2023-03-06,7220,921,6299
2023-03-07,6160,865,5295
2023-03-08,5460,791,4669
2023-03-09,5290,671,4619
2023-03-10,5527,654,4873
2023-03-11,7105,583,6522
2023-03-12,7377,591,6786
2023-03-13,5427,783,4644
2023-03-14,4772,777,3995
2023-03-15,4651,813,3838
2023-03-16,4803,823,3980
2023-03-17,5967,842,5125
2023-03-18,8271,841,7430
2023-03-19,7990,843,7147
2023-03-20,6153,878,5275
2023-03-21,5910,863,5047
2023-03-22,5755,808,4947
2023-03-23,5320,780,4540
2023-03-24,5949,848,5101
2023-03-25,8812,852,7960
2023-03-26,9315,988,8327
2023-03-27,7036,888,6148
2023-03-28,6175,908,5267
2023-03-29,5732,884,4848
2023-03-30,6504,890,5614
2023-03-31,7227,895,6332
2023-04-01,8573,852,7721
2023-04-02,8354,856,7498
2023-04-03,7849,914,6935
2023-04-04,8696,945,7751
2023-04-05,8387,836,7551
2023-04-06,6396,907,5489
2023-04-07,6882,894,5988
2023-04-08,9749,878,8871
2023-04-09,8014,861,7153
2023-04-10,6235,882,5353
2023-04-11,6544,889,5655
2023-04-12,6708,957,5751
2023-04-13,5886,890,4996
2023-04-14,6651,876,5775
2023-04-15,8264,852,7412
2023-04-16,7506,849,6657
2023-04-17,5856,926,4930
2023-04-18,5831,920,4911
2023-04-19,5873,931,4942
2023-04-20,6485,951,5534
2023-04-21,6107,891,5216
2023-04-22,7921,858,7063
