Time,all,pc,wise
2022-10-01,3816,293,3523
2022-10-02,3903,262,3641
2022-10-03,4016,290,3726
2022-10-04,3817,290,3527
2022-10-05,3931,301,3630
2022-10-06,3561,290,3271
2022-10-07,3341,312,3029
2022-10-08,3103,399,2704
2022-10-09,3059,319,2740
2022-10-10,3026,366,2660
2022-10-11,3082,372,2710
2022-10-12,3144,350,2794
2022-10-13,3230,394,2836
2022-10-14,3232,374,2858
2022-10-15,3321,253,3068
2022-10-16,3304,276,3028
2022-10-17,3178,380,2798
2022-10-18,3259,408,2851
2022-10-19,3026,364,2662
2022-10-20,3035,340,2695
2022-10-21,3123,372,2751
2022-10-22,3137,250,2887
2022-10-23,3590,265,3325
2022-10-24,3327,422,2905
2022-10-25,3214,408,2806
2022-10-26,3172,400,2772
2022-10-27,3192,364,2828
2022-10-28,3060,330,2730
2022-10-29,3142,330,2812
2022-10-30,2861,97,2764
2022-10-31,2923,321,2602
2022-11-01,3033,340,2693
2022-11-02,3146,329,2817
2022-11-03,3292,430,2862
2022-11-04,3643,409,3234
2022-11-05,3427,250,3177
2022-11-06,3407,267,3140
2022-11-07,3290,336,2954
2022-11-08,3387,369,3018
2022-11-09,3277,344,2933
2022-11-10,3201,302,2899
2022-11-11,3188,377,2811
2022-11-12,3418,298,3120
2022-11-13,3435,257,3178
2022-11-14,3105,392,2713
2022-11-15,2919,293,2626
2022-11-16,3003,309,2694
2022-11-17,3115,385,2730
2022-11-18,3636,381,3255
2022-11-19,3493,245,3248
2022-11-20,3507,257,3250
2022-11-21,5058,464,4594
2022-11-22,3981,443,3538
2022-11-23,3167,391,2776
2022-11-24,3100,315,2785
2022-11-25,3890,440,3450
2022-11-26,3583,268,3315
2022-11-27,3547,254,3293
2022-11-28,3069,282,2787
2022-11-29,2994,307,2687
2022-11-30,2896,313,2583
2022-12-01,2778,278,2500
2022-12-02,2857,304,2553
2022-12-03,2924,237,2687
2022-12-04,3069,250,2819
2022-12-05,2979,338,2641
2022-12-06,2979,298,2681
2022-12-07,2608,298,2310
2022-12-08,3036,360,2676
2022-12-09,2800,296,2504
2022-12-10,2843,260,2583
2022-12-11,2961,229,2732
2022-12-12,2770,336,2434
2022-12-13,2695,340,2355
2022-12-14,2632,299,2333
2022-12-15,2760,326,2434
2022-12-16,2763,260,2503
2022-12-17,2744,233,2511
2022-12-18,2825,204,2621
2022-12-19,2699,248,2451
2022-12-20,3163,279,2884
2022-12-21,2949,287,2662
2022-12-22,3027,302,2725
2022-12-23,3298,299,2999
2022-12-24,3165,211,2954
2022-12-25,3295,248,3047
2022-12-26,3101,329,2772
2022-12-27,2893,304,2589
2022-12-28,2996,332,2664
2022-12-29,3017,333,2684
2022-12-30,2876,315,2561
2022-12-31,9292,546,8746
2023-01-01,5138,349,4789
2023-01-02,3497,254,3243
2023-01-03,3088,358,2730
2023-01-04,3127,406,2721
2023-01-05,3025,357,2668
2023-01-06,3057,381,2676
2023-01-07,2905,245,2660
2023-01-08,3006,240,2766
2023-01-09,2923,338,2585
2023-01-10,2811,271,2540
2023-01-11,2876,304,2572
2023-01-12,2865,349,2516
2023-01-13,2734,271,2463
2023-01-14,2928,215,2713
2023-01-15,2862,211,2651
2023-01-16,2719,264,2455
2023-01-17,2613,282,2331
2023-01-18,2780,229,2551
2023-01-19,2707,231,2476
2023-01-20,2519,211,2308
2023-01-21,2784,212,2572
2023-01-22,2876,208,2668
2023-01-23,2812,204,2608
2023-01-24,2672,184,2488
2023-01-25,2642,222,2420
2023-01-26,3062,212,2850
2023-01-27,2632,211,2421
2023-01-28,2857,262,2595
2023-01-29,2669,301,2368
2023-01-30,2563,274,2289
2023-01-31,3271,437,2834
2023-02-01,3017,319,2698
2023-02-02,2783,319,2464
2023-02-03,2718,293,2425
2023-02-04,2640,188,2452
2023-02-05,2842,200,2642
2023-02-06,2369,312,2057
2023-02-07,2264,290,1974
2023-02-08,2477,321,2156
2023-02-09,2401,273,2128
2023-02-10,2594,399,2195
2023-02-11,2533,205,2328
2023-02-12,2523,212,2311
2023-02-13,2405,354,2051
2023-02-14,2363,321,2042
2023-02-15,2317,299,2018
2023-02-16,2210,265,1945
2023-02-17,2486,312,2174
2023-02-18,2620,223,2397
2023-02-19,2634,222,2412
2023-02-20,2423,313,2110
2023-02-21,2533,316,2217
2023-02-22,2521,327,2194
2023-02-23,2475,338,2137
2023-02-24,2633,313,2320
2023-02-25,2619,222,2397
2023-02-26,2670,204,2466
2023-02-27,2416,321,2095
2023-02-28,2492,349,2143
2023-03-01,2498,329,2169
2023-03-02,5424,481,4943
2023-03-03,4588,622,3966
2023-03-04,4705,327,4378
2023-03-05,4157,298,3859
2023-03-06,3394,431,2963
2023-03-07,3099,316,2783
2023-03-08,3091,332,2759
2023-03-09,3088,361,2727
2023-03-10,3023,380,2643
2023-03-11,4250,265,3985
2023-03-12,3896,274,3622
2023-03-13,3021,323,2698
2023-03-14,3909,507,3402
2023-03-15,5974,572,5402
2023-03-16,4920,502,4418
2023-03-17,4415,507,3908
2023-03-18,3775,271,3504
2023-03-19,3420,248,3172
2023-03-20,3343,383,2960
2023-03-21,3182,414,2768
2023-03-22,3116,329,2787
2023-03-23,3166,349,2817
2023-03-24,3236,422,2814
2023-03-25,3251,260,2991
2023-03-26,3660,296,3364
2023-03-27,4034,451,3583
2023-03-28,3575,450,3125
2023-03-29,3231,354,2877
2023-03-30,3443,416,3027
2023-03-31,3402,347,3055
2023-04-01,3457,278,3179
2023-04-02,3421,279,3142
2023-04-03,3305,394,2911
2023-04-04,3419,391,3028
2023-04-05,3424,237,3187
2023-04-06,3216,412,2804
2023-04-07,3011,360,2651
2023-04-08,3031,222,2809
2023-04-09,3166,219,2947
2023-04-10,3375,416,2959
2023-04-11,4919,551,4368
2023-04-12,3856,428,3428
2023-04-13,3564,399,3165
2023-04-14,4108,478,3630
2023-04-15,4402,309,4093
2023-04-16,4024,268,3756
2023-04-17,3533,481,3052
2023-04-18,3248,443,2805
2023-04-19,4487,543,3944
2023-04-20,4492,465,4027
2023-04-21,4593,478,4115
2023-04-22,4012,287,3725
