Time,all,pc,wise
2022-10-01,2364,234,2130
2022-10-02,2625,228,2397
2022-10-03,2814,231,2583
2022-10-04,2800,236,2564
2022-10-05,2613,213,2400
2022-10-06,2603,239,2364
2022-10-07,2638,285,2353
2022-10-08,2506,315,2191
2022-10-09,2418,293,2125
2022-10-10,2286,267,2019
2022-10-11,2319,318,2001
2022-10-12,2321,293,2028
2022-10-13,2499,347,2152
2022-10-14,2554,302,2252
2022-10-15,2675,247,2428
2022-10-16,2760,260,2500
2022-10-17,2549,329,2220
2022-10-18,2483,344,2139
2022-10-19,2517,377,2140
2022-10-20,2567,290,2277
2022-10-21,2452,332,2120
2022-10-22,2554,279,2275
2022-10-23,2652,274,2378
2022-10-24,2577,318,2259
2022-10-25,2448,323,2125
2022-10-26,2427,293,2134
2022-10-27,2327,296,2031
2022-10-28,2485,304,2181
2022-10-29,2582,259,2323
2022-10-30,2424,114,2310
2022-10-31,2498,304,2194
2022-11-01,2834,375,2459
2022-11-02,2915,364,2551
2022-11-03,3040,408,2632
2022-11-04,3139,375,2764
2022-11-05,3147,313,2834
2022-11-06,3388,278,3110
2022-11-07,3279,422,2857
2022-11-08,3219,369,2850
2022-11-09,3355,456,2899
2022-11-10,3125,377,2748
2022-11-11,2857,395,2462
2022-11-12,3287,239,3048
2022-11-13,3501,248,3253
2022-11-14,3106,386,2720
2022-11-15,2774,340,2434
2022-11-16,2931,389,2542
2022-11-17,3161,437,2724
2022-11-18,3642,405,3237
2022-11-19,3278,313,2965
2022-11-20,3088,229,2859
2022-11-21,2944,371,2573
2022-11-22,3186,411,2775
2022-11-23,2925,352,2573
2022-11-24,3117,392,2725
2022-11-25,3962,892,3070
2022-11-26,3766,614,3152
2022-11-27,3862,549,3313
2022-11-28,3566,588,2978
2022-11-29,3095,354,2741
2022-11-30,2929,312,2617
2022-12-01,2978,340,2638
2022-12-02,2895,319,2576
2022-12-03,3424,291,3133
2022-12-04,3263,281,2982
2022-12-05,2863,327,2536
2022-12-06,3136,378,2758
2022-12-07,3077,335,2742
2022-12-08,3125,385,2740
2022-12-09,3116,319,2797
2022-12-10,3017,257,2760
2022-12-11,2974,287,2687
2022-12-12,2916,332,2584
2022-12-13,3074,330,2744
2022-12-14,3061,349,2712
2022-12-15,3620,332,3288
2022-12-16,3974,316,3658
2022-12-17,3949,318,3631
2022-12-18,6335,319,6016
2022-12-19,3216,323,2893
2022-12-20,3528,309,3219
2022-12-21,4310,344,3966
2022-12-22,6508,428,6080
2022-12-23,5545,388,5157
2022-12-24,5404,371,5033
2022-12-25,5351,291,5060
2022-12-26,4536,389,4147
2022-12-27,4541,443,4098
2022-12-28,4400,385,4015
2022-12-29,4695,426,4269
2022-12-30,4107,400,3707
2022-12-31,3553,260,3293
2023-01-01,3712,265,3447
2023-01-02,3953,309,3644
2023-01-03,3631,440,3191
2023-01-04,3563,453,3110
2023-01-05,3505,406,3099
2023-01-06,3342,361,2981
2023-01-07,3291,281,3010
2023-01-08,3523,304,3219
2023-01-09,3248,389,2859
2023-01-10,3877,380,3497
2023-01-11,3296,372,2924
2023-01-12,3274,430,2844
2023-01-13,3228,411,2817
2023-01-14,3235,254,2981
2023-01-15,3377,304,3073
2023-01-16,3127,383,2744
2023-01-17,3039,355,2684
2023-01-18,3056,315,2741
2023-01-19,2952,262,2690
2023-01-20,2895,268,2627
2023-01-21,2619,175,2444
2023-01-22,3665,211,3454
2023-01-23,4513,236,4277
2023-01-24,4171,231,3940
2023-01-25,3681,215,3466
2023-01-26,3859,250,3609
2023-01-27,3896,319,3577
2023-01-28,4088,375,3713
2023-01-29,3220,443,2777
2023-01-30,3065,386,2679
2023-01-31,3699,492,3207
2023-02-01,3412,426,2986
2023-02-02,3147,440,2707
2023-02-03,3161,527,2634
2023-02-04,3042,293,2749
2023-02-05,2740,248,2492
2023-02-06,2706,436,2270
2023-02-07,2758,389,2369
2023-02-08,2918,533,2385
2023-02-09,2698,403,2295
2023-02-10,2618,392,2226
2023-02-11,2649,287,2362
2023-02-12,2923,256,2667
2023-02-13,3415,886,2529
2023-02-14,2772,464,2308
2023-02-15,2440,412,2028
2023-02-16,2549,414,2135
2023-02-17,2872,347,2525
2023-02-18,2797,257,2540
2023-02-19,2617,231,2386
2023-02-20,2630,411,2219
2023-02-21,2331,344,1987
2023-02-22,2310,338,1972
2023-02-23,2283,304,1979
2023-02-24,2170,309,1861
2023-02-25,2173,256,1917
2023-02-26,2199,207,1992
2023-02-27,2130,329,1801
2023-02-28,2083,326,1757
2023-03-01,2005,302,1703
2023-03-02,1991,270,1721
2023-03-03,1991,290,1701
2023-03-04,1873,201,1672
2023-03-05,1917,225,1692
2023-03-06,2061,273,1788
2023-03-07,2050,313,1737
2023-03-08,2057,278,1779
2023-03-09,2133,326,1807
2023-03-10,2228,298,1930
2023-03-11,2252,254,1998
2023-03-12,2226,229,1997
2023-03-13,2029,296,1733
2023-03-14,1985,299,1686
2023-03-15,2057,357,1700
2023-03-16,2121,352,1769
2023-03-17,2148,341,1807
2023-03-18,2148,219,1929
2023-03-19,2203,219,1984
2023-03-20,2125,312,1813
2023-03-21,2041,344,1697
2023-03-22,2021,321,1700
2023-03-23,2006,290,1716
2023-03-24,2171,336,1835
2023-03-25,2238,245,1993
2023-03-26,2224,240,1984
2023-03-27,2016,287,1729
2023-03-28,1917,274,1643
2023-03-29,1983,295,1688
2023-03-30,2169,313,1856
2023-03-31,2388,329,2059
2023-04-01,2121,228,1893
2023-04-02,2252,250,2002
2023-04-03,2660,381,2279
2023-04-04,3024,377,2647
2023-04-05,3537,278,3259
2023-04-06,3765,527,3238
2023-04-07,6167,848,5319
2023-04-08,6087,631,5456
2023-04-09,6379,575,5804
2023-04-10,5587,721,4866
2023-04-11,5778,761,5017
2023-04-12,6605,800,5805
2023-04-13,6772,840,5932
2023-04-14,6864,782,6082
2023-04-15,7123,602,6521
2023-04-16,7381,561,6820
2023-04-17,6187,802,5385
2023-04-18,5087,682,4405
2023-04-19,4731,628,4103
2023-04-20,4630,568,4062
2023-04-21,4545,594,3951
2023-04-22,4699,471,4228
