Time,all,pc,wise
2022-10-01,9776,518,9258
2022-10-02,13255,675,12580
2022-10-03,9955,673,9282
2022-10-04,8726,676,8050
2022-10-05,8568,637,7931
2022-10-06,9090,647,8443
2022-10-07,6701,595,6106
2022-10-08,5690,676,5014
2022-10-09,5749,830,4919
2022-10-10,5619,860,4759
2022-10-11,5277,884,4393
2022-10-12,4894,843,4051
2022-10-13,4949,802,4147
2022-10-14,4920,696,4224
2022-10-15,5362,560,4802
2022-10-16,5406,540,4866
2022-10-17,5138,779,4359
2022-10-18,5649,863,4786
2022-10-19,5157,843,4314
2022-10-20,4784,783,4001
2022-10-21,4936,846,4090
2022-10-22,4923,549,4374
2022-10-23,7980,645,7335
2022-10-24,4885,766,4119
2022-10-25,4611,729,3882
2022-10-26,4703,840,3863
2022-10-27,4140,625,3515
2022-10-28,4415,690,3725
2022-10-29,4512,495,4017
2022-10-30,4257,179,4078
2022-10-31,3953,580,3373
2022-11-01,4339,749,3590
2022-11-02,4295,758,3537
2022-11-03,4030,692,3338
2022-11-04,4058,630,3428
2022-11-05,6145,585,5560
2022-11-06,4447,437,4010
2022-11-07,4629,682,3947
2022-11-08,4625,721,3904
2022-11-09,4765,730,4035
2022-11-10,5319,848,4471
2022-11-11,5857,891,4966
2022-11-12,6198,693,5505
2022-11-13,5598,600,4998
2022-11-14,8258,920,7338
2022-11-15,5844,879,4965
2022-11-16,4762,755,4007
2022-11-17,4894,811,4083
2022-11-18,4838,806,4032
2022-11-19,4525,532,3993
2022-11-20,4334,453,3881
2022-11-21,3822,654,3168
2022-11-22,3726,659,3067
2022-11-23,4167,726,3441
2022-11-24,4276,720,3556
2022-11-25,3611,625,2986
2022-11-26,3657,448,3209
2022-11-27,4018,428,3590
2022-11-28,4079,639,3440
2022-11-29,3868,600,3268
2022-11-30,3771,620,3151
2022-12-01,3810,564,3246
2022-12-02,3860,594,3266
2022-12-03,3993,482,3511
2022-12-04,4144,488,3656
2022-12-05,3694,606,3088
2022-12-06,4206,622,3584
2022-12-07,4186,538,3648
2022-12-08,4270,620,3650
2022-12-09,3776,583,3193
2022-12-10,3499,367,3132
2022-12-11,3731,377,3354
2022-12-12,3527,537,2990
2022-12-13,3406,518,2888
2022-12-14,3134,464,2670
2022-12-15,3349,543,2806
2022-12-16,3357,493,2864
2022-12-17,3479,363,3116
2022-12-18,3568,375,3193
2022-12-19,3539,547,2992
2022-12-20,3839,515,3324
2022-12-21,4041,569,3472
2022-12-22,4133,563,3570
2022-12-23,4241,496,3745
2022-12-24,3800,419,3381
2022-12-25,3879,405,3474
2022-12-26,4479,765,3714
2022-12-27,4771,751,4020
2022-12-28,4862,704,4158
2022-12-29,4298,682,3616
2022-12-30,4251,614,3637
2022-12-31,4177,412,3765
2023-01-01,7989,572,7417
2023-01-02,4874,526,4348
2023-01-03,4624,740,3884
2023-01-04,4391,786,3605
2023-01-05,4605,735,3870
2023-01-06,4317,685,3632
2023-01-07,6128,594,5534
2023-01-08,4006,495,3511
2023-01-09,4232,653,3579
2023-01-10,4383,744,3639
2023-01-11,4442,609,3833
2023-01-12,4280,662,3618
2023-01-13,4214,654,3560
2023-01-14,3994,386,3608
2023-01-15,4257,442,3815
2023-01-16,5189,870,4319
2023-01-17,4377,699,3678
2023-01-18,4299,572,3727
2023-01-19,4669,492,4177
2023-01-20,4206,375,3831
2023-01-21,4487,276,4211
2023-01-22,5923,358,5565
2023-01-23,7293,591,6702
2023-01-24,8127,665,7462
2023-01-25,8352,661,7691
2023-01-26,8732,723,8009
2023-01-27,8550,727,7823
2023-01-28,9503,923,8580
2023-01-29,8767,949,7818
2023-01-30,15320,1753,13567
2023-01-31,13056,1506,11550
2023-02-01,9555,1052,8503
2023-02-02,7722,907,6815
2023-02-03,7233,909,6324
2023-02-04,6898,690,6208
2023-02-05,6587,709,5878
2023-02-06,7243,918,6325
2023-02-07,5955,929,5026
2023-02-08,5257,852,4405
2023-02-09,5250,855,4395
2023-02-10,5264,827,4437
2023-02-11,4781,498,4283
2023-02-12,4390,412,3978
2023-02-13,5295,1127,4168
2023-02-14,5410,1163,4247
2023-02-15,6255,961,5294
2023-02-16,7152,1004,6148
2023-02-17,5564,850,4714
2023-02-18,5678,699,4979
2023-02-19,5127,523,4604
2023-02-20,4797,811,3986
2023-02-21,4810,866,3944
2023-02-22,4264,800,3464
2023-02-23,3702,718,2984
2023-02-24,3405,589,2816
2023-02-25,3595,406,3189
2023-02-26,3424,394,3030
2023-02-27,3070,592,2478
2023-02-28,3109,523,2586
2023-03-01,2842,495,2347
2023-03-02,5138,909,4229
2023-03-03,4836,867,3969
2023-03-04,4211,580,3631
2023-03-05,4135,465,3670
2023-03-06,4145,888,3257
2023-03-07,3835,950,2885
2023-03-08,2994,642,2352
2023-03-09,3619,849,2770
2023-03-10,7717,651,7066
2023-03-11,3880,442,3438
2023-03-12,3375,378,2997
2023-03-13,3092,623,2469
2023-03-14,3058,537,2521
2023-03-15,5463,813,4650
2023-03-16,4142,693,3449
2023-03-17,3381,547,2834
2023-03-18,3317,380,2937
2023-03-19,4069,603,3466
2023-03-20,3346,723,2623
2023-03-21,3670,707,2963
2023-03-22,3333,659,2674
2023-03-23,3076,519,2557
2023-03-24,3372,582,2790
2023-03-25,3626,422,3204
2023-03-26,3639,467,3172
2023-03-27,4329,780,3549
2023-03-28,6959,892,6067
2023-03-29,5827,910,4917
2023-03-30,4653,799,3854
2023-03-31,9961,919,9042
2023-04-01,12549,901,11648
2023-04-02,8394,869,7525
2023-04-03,7571,981,6590
2023-04-04,7307,982,6325
2023-04-05,7545,685,6860
2023-04-06,12846,1203,11643
2023-04-07,15950,1501,14449
2023-04-08,20156,1395,18761
2023-04-09,19515,1349,18166
2023-04-10,13427,2252,11175
2023-04-11,12501,1471,11030
2023-04-12,10873,1241,9632
2023-04-13,13723,3385,10338
2023-04-14,15329,3344,11985
2023-04-15,17013,2859,14154
2023-04-16,16922,1325,15597
2023-04-17,13095,1914,11181
2023-04-18,8283,1243,7040
2023-04-19,6865,963,5902
2023-04-20,7449,1011,6438
2023-04-21,6616,956,5660
2023-04-22,7091,805,6286
