Time,all,pc,wise
2022-10-01,2126,218,1908
2022-10-02,2355,219,2136
2022-10-03,2540,219,2321
2022-10-04,2401,236,2165
2022-10-05,4118,295,3823
2022-10-06,5062,327,4735
2022-10-07,3730,285,3445
2022-10-08,3240,367,2873
2022-10-09,3053,397,2656
2022-10-10,2809,363,2446
2022-10-11,5322,620,4702
2022-10-12,10964,963,10001
2022-10-13,14132,1034,13098
2022-10-14,14405,997,13408
2022-10-15,14367,894,13473
2022-10-16,11727,856,10871
2022-10-17,8689,863,7826
2022-10-18,7784,855,6929
2022-10-19,7384,803,6581
2022-10-20,7633,951,6682
2022-10-21,6948,851,6097
2022-10-22,6857,644,6213
2022-10-23,6126,521,5605
2022-10-24,5021,595,4426
2022-10-25,4582,597,3985
2022-10-26,4630,538,4092
2022-10-27,4258,580,3678
2022-10-28,4085,546,3539
2022-10-29,4104,360,3744
2022-10-30,3964,166,3798
2022-10-31,3456,461,2995
2022-11-01,3223,422,2801
2022-11-02,3507,523,2984
2022-11-03,3339,482,2857
2022-11-04,3437,485,2952
2022-11-05,3406,406,3000
2022-11-06,3557,327,3230
2022-11-07,3329,388,2941
2022-11-08,2948,344,2604
2022-11-09,3214,416,2798
2022-11-10,3384,516,2868
2022-11-11,3734,405,3329
2022-11-12,6584,487,6097
2022-11-13,5078,457,4621
2022-11-14,4444,493,3951
2022-11-15,3409,451,2958
2022-11-16,2869,318,2551
2022-11-17,2802,381,2421
2022-11-18,2891,372,2519
2022-11-19,3082,270,2812
2022-11-20,3048,267,2781
2022-11-21,2776,315,2461
2022-11-22,2972,397,2575
2022-11-23,2565,329,2236
2022-11-24,2490,312,2178
2022-11-25,2738,333,2405
2022-11-26,2714,267,2447
2022-11-27,2806,271,2535
2022-11-28,2575,307,2268
2022-11-29,2637,293,2344
2022-11-30,2312,288,2024
2022-12-01,2395,247,2148
2022-12-02,2667,279,2388
2022-12-03,2711,260,2451
2022-12-04,2712,226,2486
2022-12-05,2443,307,2136
2022-12-06,2917,338,2579
2022-12-07,2374,304,2070
2022-12-08,2942,301,2641
2022-12-09,2509,327,2182
2022-12-10,2292,236,2056
2022-12-11,2319,228,2091
2022-12-12,2107,276,1831
2022-12-13,2143,254,1889
2022-12-14,2179,251,1928
2022-12-15,2277,243,2034
2022-12-16,2344,279,2065
2022-12-17,2587,324,2263
2022-12-18,2376,260,2116
2022-12-19,2135,268,1867
2022-12-20,2472,251,2221
2022-12-21,2972,343,2629
2022-12-22,2916,316,2600
2022-12-23,2997,302,2695
2022-12-24,3168,293,2875
2022-12-25,3209,267,2942
2022-12-26,3220,350,2870
2022-12-27,3473,282,3191
2022-12-28,3162,318,2844
2022-12-29,3142,330,2812
2022-12-30,3307,405,2902
2022-12-31,3337,276,3061
2023-01-01,3189,270,2919
2023-01-02,3375,295,3080
2023-01-03,3307,383,2924
2023-01-04,3425,374,3051
2023-01-05,3338,386,2952
2023-01-06,9014,498,8516
2023-01-07,19810,862,18948
2023-01-08,10318,586,9732
2023-01-09,8185,637,7548
2023-01-10,6457,543,5914
2023-01-11,5923,535,5388
2023-01-12,5526,457,5069
2023-01-13,8267,549,7718
2023-01-14,12277,658,11619
2023-01-15,7802,504,7298
2023-01-16,5609,423,5186
2023-01-17,4940,378,4562
2023-01-18,4816,327,4489
2023-01-19,4657,333,4324
2023-01-20,5807,333,5474
2023-01-21,6594,282,6312
2023-01-22,6161,309,5852
2023-01-23,5809,278,5531
2023-01-24,6299,304,5995
2023-01-25,5879,296,5583
2023-01-26,5314,281,5033
2023-01-27,8315,350,7965
2023-01-28,7809,431,7378
2023-01-29,6797,502,6295
2023-01-30,5443,468,4975
2023-01-31,4722,434,4288
2023-02-01,4367,459,3908
2023-02-02,4231,485,3746
2023-02-03,6750,490,6260
2023-02-04,8526,402,8124
2023-02-05,6256,346,5910
2023-02-06,5230,484,4746
2023-02-07,4920,543,4377
2023-02-08,4672,513,4159
2023-02-09,4439,448,3991
2023-02-10,5254,423,4831
2023-02-11,7193,437,6756
2023-02-12,6652,372,6280
2023-02-13,4674,419,4255
2023-02-14,4277,414,3863
2023-02-15,3834,381,3453
2023-02-16,4747,468,4279
2023-02-17,8628,678,7950
2023-02-18,9482,602,8880
2023-02-19,7003,386,6617
2023-02-20,5878,574,5304
2023-02-21,6280,555,5725
2023-02-22,5437,771,4666
2023-02-23,4746,481,4265
2023-02-24,5770,540,5230
2023-02-25,6818,412,6406
2023-02-26,5770,400,5370
2023-02-27,4540,510,4030
2023-02-28,4472,521,3951
2023-03-01,4099,493,3606
2023-03-02,3677,436,3241
2023-03-03,4738,465,4273
2023-03-04,5830,411,5419
2023-03-05,4934,371,4563
2023-03-06,3887,493,3394
2023-03-07,3586,355,3231
2023-03-08,3296,367,2929
2023-03-09,3359,428,2931
2023-03-10,4825,408,4417
2023-03-11,8310,552,7758
2023-03-12,6122,428,5694
2023-03-13,4235,464,3771
2023-03-14,3760,478,3282
2023-03-15,3608,426,3182
2023-03-16,3456,380,3076
2023-03-17,4144,386,3758
2023-03-18,4708,338,4370
2023-03-19,4579,304,4275
2023-03-20,3443,423,3020
2023-03-21,3530,364,3166
2023-03-22,3420,419,3001
2023-03-23,3364,423,2941
2023-03-24,4279,386,3893
2023-03-25,5358,375,4983
2023-03-26,5279,346,4933
2023-03-27,3922,461,3461
2023-03-28,3384,380,3004
2023-03-29,3189,378,2811
2023-03-30,3482,464,3018
2023-03-31,4193,456,3737
2023-04-01,4983,349,4634
2023-04-02,5040,374,4666
2023-04-03,4280,457,3823
2023-04-04,4298,394,3904
2023-04-05,4525,333,4192
2023-04-06,3631,397,3234
2023-04-07,3307,327,2980
2023-04-08,3264,240,3024
2023-04-09,4200,298,3902
2023-04-10,3037,411,2626
2023-04-11,3531,381,3150
2023-04-12,3500,366,3134
2023-04-13,3721,411,3310
2023-04-14,3228,372,2856
2023-04-15,4189,343,3846
2023-04-16,3670,309,3361
2023-04-17,2901,332,2569
2023-04-18,2757,310,2447
2023-04-19,2934,399,2535
2023-04-20,2639,378,2261
2023-04-21,2653,295,2358
2023-04-22,3161,245,2916
