Time,all,pc,wise
2022-10-01,2754,215,2539
2022-10-02,2981,262,2719
2022-10-03,3163,267,2896
2022-10-04,2974,253,2721
2022-10-05,3045,288,2757
2022-10-06,3206,305,2901
2022-10-07,2956,293,2663
2022-10-08,2692,425,2267
2022-10-09,2576,321,2255
2022-10-10,2388,323,2065
2022-10-11,2474,336,2138
2022-10-12,2407,293,2114
2022-10-13,2956,326,2630
2022-10-14,2897,329,2568
2022-10-15,3005,299,2706
2022-10-16,2915,288,2627
2022-10-17,3078,371,2707
2022-10-18,2928,318,2610
2022-10-19,2961,357,2604
2022-10-20,2833,318,2515
2022-10-21,2930,329,2601
2022-10-22,3196,305,2891
2022-10-23,3053,270,2783
2022-10-24,3046,326,2720
2022-10-25,3037,335,2702
2022-10-26,3111,352,2759
2022-10-27,2904,329,2575
2022-10-28,2984,336,2648
2022-10-29,3364,316,3048
2022-10-30,3178,116,3062
2022-10-31,3246,354,2892
2022-11-01,2937,329,2608
2022-11-02,3091,343,2748
2022-11-03,3451,350,3101
2022-11-04,3623,343,3280
2022-11-05,3143,299,2844
2022-11-06,3235,302,2933
2022-11-07,3180,332,2848
2022-11-08,3508,412,3096
2022-11-09,3559,343,3216
2022-11-10,3216,414,2802
2022-11-11,2949,313,2636
2022-11-12,10340,434,9906
2022-11-13,9377,409,8968
2022-11-14,7352,313,7039
2022-11-15,6557,730,5827
2022-11-16,7220,685,6535
2022-11-17,4045,319,3726
2022-11-18,3842,344,3498
2022-11-19,4427,296,4131
2022-11-20,4110,278,3832
2022-11-21,3436,377,3059
2022-11-22,4468,360,4108
2022-11-23,3364,253,3111
2022-11-24,3417,299,3118
2022-11-25,3347,381,2966
2022-11-26,3254,332,2922
2022-11-27,3426,245,3181
2022-11-28,3180,279,2901
2022-11-29,3116,315,2801
2022-11-30,3075,313,2762
2022-12-01,2671,298,2373
2022-12-02,2649,256,2393
2022-12-03,2802,245,2557
2022-12-04,2670,234,2436
2022-12-05,2649,313,2336
2022-12-06,2889,340,2549
2022-12-07,2612,301,2311
2022-12-08,2584,309,2275
2022-12-09,2319,287,2032
2022-12-10,2698,257,2441
2022-12-11,2655,253,2402
2022-12-12,2821,389,2432
2022-12-13,2343,309,2034
2022-12-14,2263,304,1959
2022-12-15,2410,309,2101
2022-12-16,2934,319,2615
2022-12-17,2789,265,2524
2022-12-18,2549,271,2278
2022-12-19,2560,233,2327
2022-12-20,2894,296,2598
2022-12-21,2644,251,2393
2022-12-22,3013,281,2732
2022-12-23,2877,259,2618
2022-12-24,2933,248,2685
2022-12-25,2987,282,2705
2022-12-26,3039,282,2757
2022-12-27,2936,291,2645
2022-12-28,2938,349,2589
2022-12-29,2916,335,2581
2022-12-30,2762,323,2439
2022-12-31,2662,271,2391
2023-01-01,2821,274,2547
2023-01-02,2988,309,2679
2023-01-03,3094,354,2740
2023-01-04,2919,323,2596
2023-01-05,2962,319,2643
2023-01-06,2790,347,2443
2023-01-07,2779,291,2488
2023-01-08,2832,298,2534
2023-01-09,2642,295,2347
2023-01-10,2684,312,2372
2023-01-11,2739,383,2356
2023-01-12,2706,336,2370
2023-01-13,2475,274,2201
2023-01-14,2664,213,2451
2023-01-15,2607,282,2325
2023-01-16,2359,290,2069
2023-01-17,2227,260,1967
2023-01-18,2148,231,1917
2023-01-19,2063,225,1838
2023-01-20,2071,229,1842
2023-01-21,1945,168,1777
2023-01-22,2111,173,1938
2023-01-23,2320,180,2140
2023-01-24,2280,182,2098
2023-01-25,2339,193,2146
2023-01-26,2222,183,2039
2023-01-27,2321,187,2134
2023-01-28,2135,222,1913
2023-01-29,2226,293,1933
2023-01-30,2185,290,1895
2023-01-31,2193,298,1895
2023-02-01,2157,278,1879
2023-02-02,2393,313,2080
2023-02-03,2259,281,1978
2023-02-04,2306,215,2091
2023-02-05,2351,231,2120
2023-02-06,2172,267,1905
2023-02-07,2212,281,1931
2023-02-08,2169,278,1891
2023-02-09,2130,259,1871
2023-02-10,2047,304,1743
2023-02-11,2089,239,1850
2023-02-12,2554,254,2300
2023-02-13,2063,284,1779
2023-02-14,1915,282,1633
2023-02-15,1874,305,1569
2023-02-16,1984,343,1641
2023-02-17,1986,319,1667
2023-02-18,1999,233,1766
2023-02-19,1918,220,1698
2023-02-20,1880,250,1630
2023-02-21,2048,281,1767
2023-02-22,1937,305,1632
2023-02-23,2630,343,2287
2023-02-24,2005,327,1678
2023-02-25,2061,276,1785
2023-02-26,2157,208,1949
2023-02-27,1970,326,1644
2023-02-28,1929,318,1611
2023-03-01,1842,274,1568
2023-03-02,1894,270,1624
2023-03-03,1803,290,1513
2023-03-04,2408,219,2189
2023-03-05,2074,245,1829
2023-03-06,1927,295,1632
2023-03-07,1916,284,1632
2023-03-08,1889,271,1618
2023-03-09,1750,253,1497
2023-03-10,1670,216,1454
2023-03-11,2249,226,2023
2023-03-12,2051,202,1849
2023-03-13,2048,301,1747
2023-03-14,2434,312,2122
2023-03-15,2087,285,1802
2023-03-16,2070,310,1760
2023-03-17,2251,305,1946
2023-03-18,2804,260,2544
2023-03-19,2336,209,2127
2023-03-20,1934,253,1681
2023-03-21,1890,281,1609
2023-03-22,1875,278,1597
2023-03-23,1782,265,1517
2023-03-24,1753,254,1499
2023-03-25,2167,234,1933
2023-03-26,2116,213,1903
2023-03-27,1915,262,1653
2023-03-28,1846,310,1536
2023-03-29,2225,341,1884
2023-03-30,2124,310,1814
2023-03-31,1911,240,1671
2023-04-01,2588,215,2373
2023-04-02,2239,234,2005
2023-04-03,2098,265,1833
2023-04-04,2743,358,2385
2023-04-05,2190,231,1959
2023-04-06,1983,312,1671
2023-04-07,1874,307,1567
2023-04-08,2433,253,2180
2023-04-09,2192,234,1958
2023-04-10,2280,367,1913
2023-04-11,2165,301,1864
2023-04-12,2173,310,1863
2023-04-13,1946,326,1620
2023-04-14,2114,287,1827
2023-04-15,2830,237,2593
2023-04-16,2601,201,2400
2023-04-17,2229,290,1939
2023-04-18,2281,338,1943
2023-04-19,2141,262,1879
2023-04-20,2246,259,1987
2023-04-21,2307,290,2017
2023-04-22,4759,305,4454
