Time,all,pc,wise
2022-10-01,4156,377,3779
2022-10-02,4651,409,4242
2022-10-03,5075,380,4695
2022-10-04,5603,439,5164
2022-10-05,5068,431,4637
2022-10-06,5770,492,5278
2022-10-07,5862,496,5366
2022-10-08,4418,523,3895
2022-10-09,5141,498,4643
2022-10-10,4305,530,3775
2022-10-11,4252,476,3776
2022-10-12,3974,495,3479
2022-10-13,4034,532,3502
2022-10-14,4969,642,4327
2022-10-15,4819,499,4320
2022-10-16,5051,443,4608
2022-10-17,4157,574,3583
2022-10-18,5064,524,4540
2022-10-19,4231,516,3715
2022-10-20,4092,543,3549
2022-10-21,4472,552,3920
2022-10-22,4872,450,4422
2022-10-23,4898,399,4499
2022-10-24,4808,510,4298
2022-10-25,5036,541,4495
2022-10-26,4547,509,4038
2022-10-27,4955,519,4436
2022-10-28,5019,552,4467
2022-10-29,5770,479,5291
2022-10-30,5597,182,5415
2022-10-31,4500,549,3951
2022-11-01,4278,475,3803
2022-11-02,4343,487,3856
2022-11-03,4156,495,3661
2022-11-04,4938,554,4384
2022-11-05,4658,403,4255
2022-11-06,5016,416,4600
2022-11-07,6117,671,5446
2022-11-08,5345,617,4728
2022-11-09,5086,620,4466
2022-11-10,5485,606,4879
2022-11-11,5497,637,4860
2022-11-12,5946,476,5470
2022-11-13,5280,437,4843
2022-11-14,4479,509,3970
2022-11-15,4566,532,4034
2022-11-16,5090,530,4560
2022-11-17,4450,465,3985
2022-11-18,4642,523,4119
2022-11-19,5330,447,4883
2022-11-20,4935,347,4588
2022-11-21,4244,433,3811
2022-11-22,4225,454,3771
2022-11-23,4016,437,3579
2022-11-24,4060,383,3677
2022-11-25,4270,487,3783
2022-11-26,4555,355,4200
2022-11-27,4898,321,4577
2022-11-28,4599,442,4157
2022-11-29,4822,445,4377
2022-11-30,6723,706,6017
2022-12-01,5358,856,4502
2022-12-02,4732,538,4194
2022-12-03,4616,388,4228
2022-12-04,4520,366,4154
2022-12-05,4455,519,3936
2022-12-06,4722,566,4156
2022-12-07,4049,476,3573
2022-12-08,4131,464,3667
2022-12-09,3836,445,3391
2022-12-10,3733,319,3414
2022-12-11,4166,335,3831
2022-12-12,4377,448,3929
2022-12-13,3931,439,3492
2022-12-14,4008,454,3554
2022-12-15,3841,440,3401
2022-12-16,3855,416,3439
2022-12-17,3894,349,3545
2022-12-18,3902,366,3536
2022-12-19,3783,411,3372
2022-12-20,4696,389,4307
2022-12-21,4369,408,3961
2022-12-22,4651,439,4212
2022-12-23,4515,397,4118
2022-12-24,5894,726,5168
2022-12-25,6809,513,6296
2022-12-26,5823,608,5215
2022-12-27,6264,679,5585
2022-12-28,5769,583,5186
2022-12-29,5325,664,4661
2022-12-30,5102,695,4407
2022-12-31,4583,443,4140
2023-01-01,4775,462,4313
2023-01-02,5147,467,4680
2023-01-03,4972,710,4262
2023-01-04,5379,645,4734
2023-01-05,4954,715,4239
2023-01-06,4929,631,4298
2023-01-07,4609,501,4108
2023-01-08,4420,450,3970
2023-01-09,4640,704,3936
2023-01-10,4655,605,4050
2023-01-11,4293,532,3761
2023-01-12,4197,634,3563
2023-01-13,4229,583,3646
2023-01-14,4111,416,3695
2023-01-15,3825,431,3394
2023-01-16,3915,479,3436
2023-01-17,3860,499,3361
2023-01-18,3605,448,3157
2023-01-19,3692,459,3233
2023-01-20,6551,735,5816
2023-01-21,119208,2184,117024
2023-01-22,33837,1303,32534
2023-01-23,15120,888,14232
2023-01-24,10988,771,10217
2023-01-25,8889,639,8250
2023-01-26,10437,766,9671
2023-01-27,7967,564,7403
2023-01-28,6723,738,5985
2023-01-29,6031,817,5214
2023-01-30,6276,783,5493
2023-01-31,7638,865,6773
2023-02-01,6476,816,5660
2023-02-02,6007,774,5233
2023-02-03,6092,780,5312
2023-02-04,6270,530,5740
2023-02-05,6199,537,5662
2023-02-06,4976,653,4323
2023-02-07,4616,665,3951
2023-02-08,4184,659,3525
2023-02-09,4068,578,3490
2023-02-10,4217,561,3656
2023-02-11,4742,478,4264
2023-02-12,4513,434,4079
2023-02-13,4160,634,3526
2023-02-14,3655,530,3125
2023-02-15,3582,521,3061
2023-02-16,3329,476,2853
2023-02-17,3670,515,3155
2023-02-18,4093,388,3705
2023-02-19,3884,363,3521
2023-02-20,3480,533,2947
2023-02-21,3350,530,2820
2023-02-22,3752,515,3237
2023-02-23,3275,467,2808
2023-02-24,3282,475,2807
2023-02-25,3398,399,2999
2023-02-26,3236,355,2881
2023-02-27,2904,377,2527
2023-02-28,3087,468,2619
2023-03-01,3020,473,2547
2023-03-02,2963,447,2516
2023-03-03,2917,433,2484
2023-03-04,3316,366,2950
2023-03-05,3419,358,3061
2023-03-06,2907,395,2512
2023-03-07,3015,459,2556
2023-03-08,3017,412,2605
2023-03-09,3180,434,2746
2023-03-10,3413,502,2911
2023-03-11,3651,307,3344
2023-03-12,3875,332,3543
2023-03-13,3395,516,2879
2023-03-14,3332,502,2830
2023-03-15,3340,499,2841
2023-03-16,3333,400,2933
2023-03-17,3288,488,2800
2023-03-18,3637,350,3287
2023-03-19,4495,414,4081
2023-03-20,3663,568,3095
2023-03-21,3539,498,3041
2023-03-22,3755,530,3225
2023-03-23,3844,485,3359
2023-03-24,3806,498,3308
2023-03-25,3986,369,3617
2023-03-26,4641,386,4255
2023-03-27,4819,625,4194
2023-03-28,4792,620,4172
2023-03-29,4851,551,4300
2023-03-30,5005,685,4320
2023-03-31,5688,549,5139
2023-04-01,5612,461,5151
2023-04-02,5270,447,4823
2023-04-03,5130,605,4525
2023-04-04,5864,687,5177
2023-04-05,7992,546,7446
2023-04-06,5294,592,4702
2023-04-07,4994,599,4395
2023-04-08,7830,611,7219
2023-04-09,9882,681,9201
2023-04-10,6626,785,5841
2023-04-11,5937,682,5255
2023-04-12,5352,582,4770
2023-04-13,5538,732,4806
2023-04-14,5446,580,4866
2023-04-15,5351,411,4940
2023-04-16,4941,419,4522
2023-04-17,4487,532,3955
2023-04-18,5372,639,4733
2023-04-19,5444,729,4715
2023-04-20,4623,724,3899
2023-04-21,4230,561,3669
2023-04-22,4805,470,4335
