Time,all,pc,wise
2022-10-01,2704,260,2444
2022-10-02,2994,273,2721
2022-10-03,3045,273,2772
2022-10-04,3149,296,2853
2022-10-05,3175,307,2868
2022-10-06,3309,293,3016
2022-10-07,3069,318,2751
2022-10-08,2784,350,2434
2022-10-09,2818,380,2438
2022-10-10,2590,340,2250
2022-10-11,2744,355,2389
2022-10-12,2930,392,2538
2022-10-13,2925,399,2526
2022-10-14,3262,383,2879
2022-10-15,3832,326,3506
2022-10-16,3596,296,3300
2022-10-17,3386,453,2933
2022-10-18,3767,454,3313
2022-10-19,3385,454,2931
2022-10-20,3386,447,2939
2022-10-21,3282,422,2860
2022-10-22,3394,304,3090
2022-10-23,3292,301,2991
2022-10-24,3096,364,2732
2022-10-25,3001,436,2565
2022-10-26,2859,417,2442
2022-10-27,3001,465,2536
2022-10-28,3108,422,2686
2022-10-29,3312,369,2943
2022-10-30,2959,148,2811
2022-10-31,2646,361,2285
2022-11-01,2696,367,2329
2022-11-02,2548,313,2235
2022-11-03,2729,346,2383
2022-11-04,2981,448,2533
2022-11-05,3105,357,2748
2022-11-06,3138,354,2784
2022-11-07,2727,344,2383
2022-11-08,2704,400,2304
2022-11-09,2699,310,2389
2022-11-10,3053,400,2653
2022-11-11,2941,360,2581
2022-11-12,3229,336,2893
2022-11-13,3539,301,3238
2022-11-14,2986,389,2597
2022-11-15,2720,397,2323
2022-11-16,2790,364,2426
2022-11-17,2935,388,2547
2022-11-18,2964,374,2590
2022-11-19,3250,375,2875
2022-11-20,3078,305,2773
2022-11-21,2784,346,2438
2022-11-22,5390,577,4813
2022-11-23,3879,533,3346
2022-11-24,3187,409,2778
2022-11-25,3154,403,2751
2022-11-26,3394,327,3067
2022-11-27,3683,372,3311
2022-11-28,3275,378,2897
2022-11-29,3464,509,2955
2022-11-30,2971,478,2493
2022-12-01,2823,403,2420
2022-12-02,2906,385,2521
2022-12-03,3201,347,2854
2022-12-04,3177,358,2819
2022-12-05,2976,403,2573
2022-12-06,3219,440,2779
2022-12-07,2670,372,2298
2022-12-08,2755,383,2372
2022-12-09,2875,400,2475
2022-12-10,2628,243,2385
2022-12-11,2640,287,2353
2022-12-12,2523,343,2180
2022-12-13,2497,335,2162
2022-12-14,2409,336,2073
2022-12-15,2403,310,2093
2022-12-16,2636,330,2306
2022-12-17,2758,287,2471
2022-12-18,2943,276,2667
2022-12-19,2663,329,2334
2022-12-20,2907,363,2544
2022-12-21,3335,417,2918
2022-12-22,3464,471,2993
2022-12-23,3581,392,3189
2022-12-24,3655,310,3345
2022-12-25,3949,295,3654
2022-12-26,3327,450,2877
2022-12-27,3520,707,2813
2022-12-28,3836,720,3116
2022-12-29,3629,462,3167
2022-12-30,3611,461,3150
2022-12-31,3829,397,3432
2023-01-01,3712,319,3393
2023-01-02,3822,369,3453
2023-01-03,5051,724,4327
2023-01-04,4523,645,3878
2023-01-05,4126,563,3563
2023-01-06,3824,465,3359
2023-01-07,3458,338,3120
2023-01-08,3459,385,3074
2023-01-09,3284,374,2910
2023-01-10,3457,436,3021
2023-01-11,3355,431,2924
2023-01-12,3386,468,2918
2023-01-13,3692,395,3297
2023-01-14,3626,366,3260
2023-01-15,3359,312,3047
2023-01-16,3000,479,2521
2023-01-17,3634,366,3268
2023-01-18,2957,347,2610
2023-01-19,2726,260,2466
2023-01-20,2736,268,2468
2023-01-21,2470,215,2255
2023-01-22,3250,304,2946
2023-01-23,3569,307,3262
2023-01-24,3622,293,3329
2023-01-25,3543,321,3222
2023-01-26,3430,301,3129
2023-01-27,3171,341,2830
2023-01-28,3148,423,2725
2023-01-29,3101,409,2692
2023-01-30,3388,357,3031
2023-01-31,3246,377,2869
2023-02-01,2947,360,2587
2023-02-02,3097,372,2725
2023-02-03,3734,369,3365
2023-02-04,3198,307,2891
2023-02-05,3355,290,3065
2023-02-06,2899,335,2564
2023-02-07,2770,344,2426
2023-02-08,2775,327,2448
2023-02-09,2686,358,2328
2023-02-10,3009,442,2567
2023-02-11,3031,358,2673
2023-02-12,3063,299,2764
2023-02-13,3290,560,2730
2023-02-14,3903,324,3579
2023-02-15,2899,383,2516
2023-02-16,2808,411,2397
2023-02-17,2591,361,2230
2023-02-18,2812,299,2513
2023-02-19,2729,321,2408
2023-02-20,2507,397,2110
2023-02-21,2289,327,1962
2023-02-22,2367,330,2037
2023-02-23,3067,454,2613
2023-02-24,3169,433,2736
2023-02-25,3009,282,2727
2023-02-26,3096,324,2772
2023-02-27,2912,417,2495
2023-02-28,2645,371,2274
2023-03-01,2530,361,2169
2023-03-02,2963,436,2527
2023-03-03,3082,453,2629
2023-03-04,3006,316,2690
2023-03-05,3233,349,2884
2023-03-06,2616,354,2262
2023-03-07,2507,414,2093
2023-03-08,2432,321,2111
2023-03-09,2589,347,2242
2023-03-10,2456,316,2140
2023-03-11,3018,271,2747
2023-03-12,3085,313,2772
2023-03-13,4641,661,3980
2023-03-14,6604,854,5750
2023-03-15,3989,564,3425
2023-03-16,3382,537,2845
2023-03-17,3184,490,2694
2023-03-18,2952,326,2626
2023-03-19,3034,330,2704
2023-03-20,2603,391,2212
2023-03-21,2445,350,2095
2023-03-22,2506,400,2106
2023-03-23,2392,367,2025
2023-03-24,2484,394,2090
2023-03-25,2564,248,2316
2023-03-26,3093,301,2792
2023-03-27,2523,358,2165
2023-03-28,2451,392,2059
2023-03-29,2352,395,1957
2023-03-30,2356,380,1976
2023-03-31,2500,324,2176
2023-04-01,3195,430,2765
2023-04-02,3778,385,3393
2023-04-03,2927,428,2499
2023-04-04,5024,475,4549
2023-04-05,4659,408,4251
2023-04-06,3439,648,2791
2023-04-07,3090,589,2501
2023-04-08,2931,367,2564
2023-04-09,2843,305,2538
2023-04-10,2813,399,2414
2023-04-11,2786,386,2400
2023-04-12,2571,377,2194
2023-04-13,2649,437,2212
2023-04-14,2582,344,2238
2023-04-15,2729,366,2363
2023-04-16,2679,282,2397
2023-04-17,2464,372,2092
2023-04-18,2416,366,2050
2023-04-19,2449,360,2089
2023-04-20,2525,386,2139
2023-04-21,2661,425,2236
2023-04-22,2914,363,2551
