Time,all,pc,wise
2022-10-01,17401,914,16487
2022-10-02,18534,908,17626
2022-10-03,20168,940,19228
2022-10-04,19380,934,18446
2022-10-05,19922,932,18990
2022-10-06,22608,969,21639
2022-10-07,21704,964,20740
2022-10-08,17057,994,16063
2022-10-09,15346,992,14354
2022-10-10,13801,953,12848
2022-10-11,12857,975,11882
2022-10-12,11586,944,10642
2022-10-13,11868,919,10949
2022-10-14,12075,937,11138
2022-10-15,13007,880,12127
2022-10-16,12922,874,12048
2022-10-17,11819,961,10858
2022-10-18,12983,941,12042
2022-10-19,11166,919,10247
2022-10-20,11104,926,10178
2022-10-21,11112,927,10185
2022-10-22,12099,859,11240
2022-10-23,15058,896,14162
2022-10-24,11750,954,10796
2022-10-25,10534,918,9616
2022-10-26,10343,938,9405
2022-10-27,9581,916,8665
2022-10-28,9840,917,8923
2022-10-29,11039,880,10159
2022-10-30,10460,346,10114
2022-10-31,9866,912,8954
2022-11-01,9749,926,8823
2022-11-02,10732,1025,9707
2022-11-03,13271,1811,11460
2022-11-04,13076,1552,11524
2022-11-05,11627,899,10728
2022-11-06,12059,863,11196
2022-11-07,10575,946,9629
2022-11-08,10254,934,9320
2022-11-09,10346,905,9441
2022-11-10,10039,910,9129
2022-11-11,11536,987,10549
2022-11-12,12316,892,11424
2022-11-13,11695,874,10821
2022-11-14,10357,928,9429
2022-11-15,10018,951,9067
2022-11-16,9824,909,8915
2022-11-17,9617,906,8711
2022-11-18,9884,883,9001
2022-11-19,10191,797,9394
2022-11-20,10451,751,9700
2022-11-21,9433,876,8557
2022-11-22,8824,875,7949
2022-11-23,8537,877,7660
2022-11-24,8777,868,7909
2022-11-25,9415,884,8531
2022-11-26,9876,780,9096
2022-11-27,10592,727,9865
2022-11-28,9885,870,9015
2022-11-29,9723,857,8866
2022-11-30,9689,864,8825
2022-12-01,9073,849,8224
2022-12-02,9181,857,8324
2022-12-03,9522,799,8723
2022-12-04,10041,842,9199
2022-12-05,8980,865,8115
2022-12-06,9987,901,9086
2022-12-07,8842,873,7969
2022-12-08,8331,860,7471
2022-12-09,8603,884,7719
2022-12-10,8586,723,7863
2022-12-11,8439,780,7659
2022-12-12,7801,843,6958
2022-12-13,7970,845,7125
2022-12-14,8057,855,7202
2022-12-15,8814,861,7953
2022-12-16,10048,859,9189
2022-12-17,10595,810,9785
2022-12-18,11360,769,10591
2022-12-19,10012,858,9154
2022-12-20,12499,869,11630
2022-12-21,13087,872,12215
2022-12-22,11741,875,10866
2022-12-23,11244,867,10377
2022-12-24,12144,825,11319
2022-12-25,13170,836,12334
2022-12-26,12212,916,11296
2022-12-27,10645,884,9761
2022-12-28,10524,903,9621
2022-12-29,10986,900,10086
2022-12-30,10924,919,10005
2022-12-31,10235,859,9376
2023-01-01,10444,797,9647
2023-01-02,14284,894,13390
2023-01-03,11397,982,10415
2023-01-04,13310,967,12343
2023-01-05,12971,965,12006
2023-01-06,12876,951,11925
2023-01-07,11864,870,10994
2023-01-08,11445,805,10640
2023-01-09,11558,902,10656
2023-01-10,11223,927,10296
2023-01-11,10922,886,10036
2023-01-12,11487,882,10605
2023-01-13,12815,888,11927
2023-01-14,11758,805,10953
2023-01-15,11631,863,10768
2023-01-16,11029,905,10124
2023-01-17,10498,868,9630
2023-01-18,9745,858,8887
2023-01-19,10087,846,9241
2023-01-20,9289,760,8529
2023-01-21,12033,673,11360
2023-01-22,11912,738,11174
2023-01-23,12096,703,11393
2023-01-24,12898,855,12043
2023-01-25,13130,841,12289
2023-01-26,13057,849,12208
2023-01-27,13300,866,12434
2023-01-28,12918,976,11942
2023-01-29,12970,977,11993
2023-01-30,13933,1159,12774
2023-01-31,15121,1417,13704
2023-02-01,14263,1427,12836
2023-02-02,14146,1179,12967
2023-02-03,13781,1180,12601
2023-02-04,13750,931,12819
2023-02-05,13170,876,12294
2023-02-06,10865,1004,9861
2023-02-07,10229,989,9240
2023-02-08,10011,993,9018
2023-02-09,9957,975,8982
2023-02-10,9973,973,9000
2023-02-11,10677,898,9779
2023-02-12,10594,856,9738
2023-02-13,9219,947,8272
2023-02-14,8226,922,7304
2023-02-15,7784,932,6852
2023-02-16,7421,917,6504
2023-02-17,7465,896,6569
2023-02-18,8519,854,7665
2023-02-19,8437,797,7640
2023-02-20,7886,904,6982
2023-02-21,7776,948,6828
2023-02-22,7319,911,6408
2023-02-23,7554,918,6636
2023-02-24,7560,906,6654
2023-02-25,7447,668,6779
2023-02-26,9801,797,9004
2023-02-27,6963,876,6087
2023-02-28,6992,898,6094
2023-03-01,7082,876,6206
2023-03-02,7370,919,6451
2023-03-03,7127,887,6240
2023-03-04,7661,813,6848
2023-03-05,7621,737,6884
2023-03-06,6732,895,5837
2023-03-07,6651,874,5777
2023-03-08,6249,845,5404
2023-03-09,6354,850,5504
2023-03-10,7264,877,6387
2023-03-11,8921,869,8052
2023-03-12,8546,758,7788
2023-03-13,7773,917,6856
2023-03-14,7392,893,6499
2023-03-15,7563,858,6705
2023-03-16,6759,877,5882
2023-03-17,7005,852,6153
2023-03-18,9478,811,8667
2023-03-19,9282,825,8457
2023-03-20,11690,928,10762
2023-03-21,17034,985,16049
2023-03-22,17829,1271,16558
2023-03-23,19144,1064,18080
2023-03-24,19604,997,18607
2023-03-25,16916,916,16000
2023-03-26,15524,903,14621
2023-03-27,23237,1229,22008
2023-03-28,25476,1381,24095
2023-03-29,26450,1422,25028
2023-03-30,33002,1792,31210
2023-03-31,33565,1473,32092
2023-04-01,27181,968,26213
2023-04-02,23493,958,22535
2023-04-03,22933,1347,21586
2023-04-04,26480,1399,25081
2023-04-05,35952,1127,34825
2023-04-06,35415,1837,33578
2023-04-07,62529,1639,60890
2023-04-08,28991,1108,27883
2023-04-09,24141,980,23161
2023-04-10,24013,1606,22407
2023-04-11,25304,1410,23894
2023-04-12,18078,1275,16803
2023-04-13,18056,1672,16384
2023-04-14,17121,1481,15640
2023-04-15,15864,991,14873
2023-04-16,16066,951,15115
2023-04-17,13851,1218,12633
2023-04-18,13877,1331,12546
2023-04-19,12366,1075,11291
2023-04-20,12660,990,11670
2023-04-21,10832,964,9868
2023-04-22,11988,864,11124
