Time,all,pc,wise
2022-10-01,20199,937,19262
2022-10-02,20497,985,19512
2022-10-03,21828,991,20837
2022-10-04,22087,1078,21009
2022-10-05,20910,984,19926
2022-10-06,21849,1069,20780
2022-10-07,21083,1096,19987
2022-10-08,19579,1302,18277
2022-10-09,21377,1424,19953
2022-10-10,27138,1703,25435
2022-10-11,23551,1705,21846
2022-10-12,22176,1498,20678
2022-10-13,24920,1840,23080
2022-10-14,23678,1749,21929
2022-10-15,23918,1177,22741
2022-10-16,24907,1050,23857
2022-10-17,19860,1343,18517
2022-10-18,20021,1435,18586
2022-10-19,19693,1416,18277
2022-10-20,21031,1596,19435
2022-10-21,19901,1367,18534
2022-10-22,21224,1158,20066
2022-10-23,21021,1196,19825
2022-10-24,17728,1271,16457
2022-10-25,17915,1302,16613
2022-10-26,17719,1268,16451
2022-10-27,17970,1365,16605
2022-10-28,17778,1150,16628
2022-10-29,19310,1036,18274
2022-10-30,18224,544,17680
2022-10-31,17132,1290,15842
2022-11-01,17517,1346,16171
2022-11-02,18667,1259,17408
2022-11-03,18713,1424,17289
2022-11-04,24798,1690,23108
2022-11-05,31987,1639,30348
2022-11-06,31215,1464,29751
2022-11-07,30440,1991,28449
2022-11-08,28517,1921,26596
2022-11-09,27388,1782,25606
2022-11-10,26665,1642,25023
2022-11-11,26816,1650,25166
2022-11-12,30152,1420,28732
2022-11-13,32087,1358,30729
2022-11-14,39502,2326,37176
2022-11-15,57798,3688,54110
2022-11-16,59279,3708,55571
2022-11-17,59032,3510,55522
2022-11-18,60736,3321,57415
2022-11-19,79444,2947,76497
2022-11-20,60069,2157,57912
2022-11-21,57372,3090,54282
2022-11-22,52005,2913,49092
2022-11-23,46686,2650,44036
2022-11-24,46111,2458,43653
2022-11-25,45559,2426,43133
2022-11-26,42855,1820,41035
2022-11-27,43736,1704,42032
2022-11-28,41147,2332,38815
2022-11-29,42586,2327,40259
2022-11-30,41058,2270,38788
2022-12-01,34850,2022,32828
2022-12-02,33758,1973,31785
2022-12-03,33932,1618,32314
2022-12-04,33419,1429,31990
2022-12-05,29523,1851,27672
2022-12-06,31341,1901,29440
2022-12-07,26691,1689,25002
2022-12-08,29278,1764,27514
2022-12-09,32345,1919,30426
2022-12-10,32679,1498,31181
2022-12-11,32152,1375,30777
2022-12-12,35879,1958,33921
2022-12-13,37063,2361,34702
2022-12-14,29129,1832,27297
2022-12-15,47789,3134,44655
2022-12-16,41444,2414,39030
2022-12-17,33949,1434,32515
2022-12-18,32252,1393,30859
2022-12-19,29255,1678,27577
2022-12-20,29538,1617,27921
2022-12-21,31444,1763,29681
2022-12-22,30757,1724,29033
2022-12-23,34987,1995,32992
2022-12-24,31941,1506,30435
2022-12-25,29459,1299,28160
2022-12-26,31131,1919,29212
2022-12-27,29947,1936,28011
2022-12-28,29863,1886,27977
2022-12-29,36732,2222,34510
2022-12-30,31153,2062,29091
2022-12-31,54442,1752,52690
2023-01-01,54011,2503,51508
2023-01-02,48338,2317,46021
2023-01-03,46478,3579,42899
2023-01-04,42281,3322,38959
2023-01-05,40160,3033,37127
2023-01-06,37374,2684,34690
2023-01-07,39832,1939,37893
2023-01-08,35081,1855,33226
2023-01-09,33095,2451,30644
2023-01-10,30455,2238,28217
2023-01-11,30739,2340,28399
2023-01-12,32083,2519,29564
2023-01-13,37781,3853,33928
2023-01-14,31871,1723,30148
2023-01-15,31091,1726,29365
2023-01-16,28043,2033,26010
2023-01-17,25369,1841,23528
2023-01-18,24058,1823,22235
2023-01-19,22754,1359,21395
2023-01-20,23037,1169,21868
2023-01-21,34968,1099,33869
2023-01-22,31393,1202,30191
2023-01-23,27383,1007,26376
2023-01-24,27401,1161,26240
2023-01-25,25468,1043,24425
2023-01-26,24471,1117,23354
2023-01-27,24049,1125,22924
2023-01-28,23918,1454,22464
2023-01-29,22839,1542,21297
2023-01-30,23013,1704,21309
2023-01-31,31237,3319,27918
2023-02-01,26979,2046,24933
2023-02-02,46490,6981,39509
2023-02-03,42429,5066,37363
2023-02-04,30537,1847,28690
2023-02-05,31529,1603,29926
2023-02-06,33444,2715,30729
2023-02-07,37356,2969,34387
2023-02-08,36902,3287,33615
2023-02-09,32955,2880,30075
2023-02-10,32349,2762,29587
2023-02-11,32467,1802,30665
2023-02-12,29568,1454,28114
2023-02-13,28744,2522,26222
2023-02-14,23759,2105,21654
2023-02-15,19960,1779,18181
2023-02-16,23077,1939,21138
2023-02-17,21284,1773,19511
2023-02-18,23134,1402,21732
2023-02-19,24403,1336,23067
2023-02-20,23888,2080,21808
2023-02-21,20225,1820,18405
2023-02-22,19443,1680,17763
2023-02-23,20077,1696,18381
2023-02-24,19972,1764,18208
2023-02-25,19615,1255,18360
2023-02-26,19385,1176,18209
2023-02-27,16682,1568,15114
2023-02-28,16269,1429,14840
2023-03-01,16720,1447,15273
2023-03-02,16049,1429,14620
2023-03-03,16592,1508,15084
2023-03-04,17371,1047,16324
2023-03-05,17693,983,16710
2023-03-06,15451,1284,14167
2023-03-07,16753,1375,15378
2023-03-08,16221,1312,14909
2023-03-09,15695,1274,14421
2023-03-10,16402,1301,15101
2023-03-11,19492,1034,18458
2023-03-12,18668,997,17671
2023-03-13,18072,1402,16670
2023-03-14,15798,1288,14510
2023-03-15,16001,1257,14744
2023-03-16,15026,1266,13760
2023-03-17,15546,1229,14317
2023-03-18,16318,977,15341
2023-03-19,17149,971,16178
2023-03-20,15322,1193,14129
2023-03-21,18536,1412,17124
2023-03-22,19418,1513,17905
2023-03-23,20022,1478,18544
2023-03-24,20143,1619,18524
2023-03-25,27052,1325,25727
2023-03-26,35771,1676,34095
2023-03-27,27639,2149,25490
2023-03-28,22230,1830,20400
2023-03-29,25319,2074,23245
2023-03-30,24148,2059,22089
2023-03-31,21540,1806,19734
2023-04-01,22171,1289,20882
2023-04-02,21558,1209,20349
2023-04-03,20377,1975,18402
2023-04-04,19478,1821,17657
2023-04-05,20828,1139,19689
2023-04-06,17800,1578,16222
2023-04-07,16358,1440,14918
2023-04-08,17278,1071,16207
2023-04-09,17343,990,16353
2023-04-10,15774,1401,14373
2023-04-11,16340,1408,14932
2023-04-12,16509,1367,15142
2023-04-13,16251,1265,14986
2023-04-14,15693,1311,14382
2023-04-15,17897,1193,16704
2023-04-16,18406,994,17412
2023-04-17,15740,1264,14476
2023-04-18,16672,1389,15283
2023-04-19,16038,1415,14623
2023-04-20,17410,1373,16037
2023-04-21,18469,1401,17068
2023-04-22,19410,1040,18370
