Time,all,pc,wise
2022-10-01,1926,228,1698
2022-10-02,3462,307,3155
2022-10-03,2335,299,2036
2022-10-04,1864,265,1599
2022-10-05,1584,209,1375
2022-10-06,1382,201,1181
2022-10-07,1403,259,1144
2022-10-08,1220,228,992
2022-10-09,1206,240,966
2022-10-10,1215,262,953
2022-10-11,1206,273,933
2022-10-12,1365,355,1010
2022-10-13,1497,357,1140
2022-10-14,1533,385,1148
2022-10-15,1453,273,1180
2022-10-16,1756,301,1455
2022-10-17,1813,367,1446
2022-10-18,1585,276,1309
2022-10-19,3265,1304,1961
2022-10-20,2699,828,1871
2022-10-21,1901,442,1459
2022-10-22,1824,312,1512
2022-10-23,1860,360,1500
2022-10-24,1623,447,1176
2022-10-25,1572,448,1124
2022-10-26,1585,329,1256
2022-10-27,1404,287,1117
2022-10-28,1380,284,1096
2022-10-29,1468,271,1197
2022-10-30,1237,93,1144
2022-10-31,1248,273,975
2022-11-01,1249,276,973
2022-11-02,1255,267,988
2022-11-03,1421,324,1097
2022-11-04,1280,254,1026
2022-11-05,1352,237,1115
2022-11-06,1307,254,1053
2022-11-07,1240,250,990
2022-11-08,1207,248,959
2022-11-09,1247,274,973
2022-11-10,1226,257,969
2022-11-11,2003,594,1409
2022-11-12,1944,403,1541
2022-11-13,1605,276,1329
2022-11-14,1252,274,978
2022-11-15,1411,290,1121
2022-11-16,1414,270,1144
2022-11-17,1486,273,1213
2022-11-18,1445,265,1180
2022-11-19,1368,233,1135
2022-11-20,1537,242,1295
2022-11-21,1477,440,1037
2022-11-22,1247,253,994
2022-11-23,1690,561,1129
2022-11-24,1586,338,1248
2022-11-25,1423,318,1105
2022-11-26,1470,226,1244
2022-11-27,3909,270,3639
2022-11-28,1751,299,1452
2022-11-29,1615,295,1320
2022-11-30,1560,271,1289
2022-12-01,1310,253,1057
2022-12-02,1547,290,1257
2022-12-03,1613,301,1312
2022-12-04,1784,381,1403
2022-12-05,1340,349,991
2022-12-06,1697,330,1367
2022-12-07,3321,943,2378
2022-12-08,3026,850,2176
2022-12-09,3067,588,2479
2022-12-10,2926,422,2504
2022-12-11,3190,394,2796
2022-12-12,2374,475,1899
2022-12-13,2452,485,1967
2022-12-14,1792,369,1423
2022-12-15,1825,355,1470
2022-12-16,2304,399,1905
2022-12-17,2407,336,2071
2022-12-18,2214,312,1902
2022-12-19,1872,354,1518
2022-12-20,4196,791,3405
2022-12-21,2723,479,2244
2022-12-22,2270,409,1861
2022-12-23,2083,372,1711
2022-12-24,2441,347,2094
2022-12-25,2601,349,2252
2022-12-26,2519,563,1956
2022-12-27,2323,530,1793
2022-12-28,2094,431,1663
2022-12-29,1967,426,1541
2022-12-30,2062,395,1667
2022-12-31,1964,346,1618
2023-01-01,1921,343,1578
2023-01-02,2545,367,2178
2023-01-03,2025,478,1547
2023-01-04,1672,389,1283
2023-01-05,1729,391,1338
2023-01-06,1634,321,1313
2023-01-07,1775,323,1452
2023-01-08,1747,254,1493
2023-01-09,5267,945,4322
2023-01-10,3885,805,3080
2023-01-11,54850,9489,45361
2023-01-12,41096,4575,36521
2023-01-13,18535,2111,16424
2023-01-14,10126,970,9156
2023-01-15,6772,864,5908
2023-01-16,4952,885,4067
2023-01-17,4321,849,3472
2023-01-18,3350,605,2745
2023-01-19,2851,512,2339
2023-01-20,2334,364,1970
2023-01-21,2373,278,2095
2023-01-22,2249,298,1951
2023-01-23,2447,371,2076
2023-01-24,6226,699,5527
2023-01-25,16008,1318,14690
2023-01-26,6233,786,5447
2023-01-27,3565,541,3024
2023-01-28,3302,678,2624
2023-01-29,3462,658,2804
2023-01-30,3053,639,2414
2023-01-31,2507,613,1894
2023-02-01,2349,478,1871
2023-02-02,2161,468,1693
2023-02-03,2015,453,1562
2023-02-04,1954,307,1647
2023-02-05,2043,340,1703
2023-02-06,2482,580,1902
2023-02-07,2294,535,1759
2023-02-08,1847,448,1399
2023-02-09,2015,465,1550
2023-02-10,1684,383,1301
2023-02-11,1789,282,1507
2023-02-12,1710,295,1415
2023-02-13,1609,341,1268
2023-02-14,1760,406,1354
2023-02-15,2069,336,1733
2023-02-16,1714,309,1405
2023-02-17,1779,333,1446
2023-02-18,1712,302,1410
2023-02-19,1728,281,1447
2023-02-20,2237,495,1742
2023-02-21,1781,470,1311
2023-02-22,1566,350,1216
2023-02-23,1696,357,1339
2023-02-24,1532,312,1220
2023-02-25,1379,229,1150
2023-02-26,1525,264,1261
2023-02-27,16448,2220,14228
2023-02-28,9188,1202,7986
2023-03-01,6030,1001,5029
2023-03-02,4619,918,3701
2023-03-03,4028,884,3144
2023-03-04,3221,502,2719
2023-03-05,5441,630,4811
2023-03-06,3935,706,3229
2023-03-07,3952,839,3113
2023-03-08,3510,696,2814
2023-03-09,3334,647,2687
2023-03-10,3306,704,2602
2023-03-11,3367,613,2754
2023-03-12,7755,1093,6662
2023-03-13,459760,71888,387872
2023-03-14,186350,41485,144865
2023-03-15,63810,9543,54267
2023-03-16,35427,4484,30943
2023-03-17,22739,2964,19775
2023-03-18,20966,1711,19255
2023-03-19,13992,1278,12714
2023-03-20,10556,1674,8882
2023-03-21,8261,1129,7132
2023-03-22,6976,968,6008
2023-03-23,6147,948,5199
2023-03-24,5360,914,4446
2023-03-25,5917,867,5050
2023-03-26,5353,919,4434
2023-03-27,5118,944,4174
2023-03-28,4416,888,3528
2023-03-29,4197,844,3353
2023-03-30,4629,803,3826
2023-03-31,4422,816,3606
2023-04-01,4228,856,3372
2023-04-02,4143,724,3419
2023-04-03,3411,687,2724
2023-04-04,3628,747,2881
2023-04-05,3673,654,3019
2023-04-06,3844,775,3069
2023-04-07,3376,743,2633
2023-04-08,4208,608,3600
2023-04-09,2860,433,2427
2023-04-10,2694,633,2061
2023-04-11,2603,563,2040
2023-04-12,4249,1101,3148
2023-04-13,7938,3317,4621
2023-04-14,4164,799,3365
2023-04-15,3487,594,2893
2023-04-16,5737,860,4877
2023-04-17,8498,941,7557
2023-04-18,4948,771,4177
2023-04-19,5916,732,5184
2023-04-20,3254,645,2609
2023-04-21,3372,843,2529
2023-04-22,3149,470,2679
