Time,all,pc,wise
2022-10-01,5354,488,4866
2022-10-02,6057,478,5579
2022-10-03,6888,710,6178
2022-10-04,6207,633,5574
2022-10-05,5987,572,5415
2022-10-06,5840,658,5182
2022-10-07,5534,662,4872
2022-10-08,5309,797,4512
2022-10-09,4923,684,4239
2022-10-10,4757,744,4013
2022-10-11,5029,823,4206
2022-10-12,5231,817,4414
2022-10-13,5373,788,4585
2022-10-14,5304,822,4482
2022-10-15,5320,627,4693
2022-10-16,5455,651,4804
2022-10-17,5277,765,4512
2022-10-18,5174,763,4411
2022-10-19,5186,777,4409
2022-10-20,5136,654,4482
2022-10-21,5698,757,4941
2022-10-22,5601,633,4968
2022-10-23,5490,622,4868
2022-10-24,5259,769,4490
2022-10-25,5399,800,4599
2022-10-26,5168,777,4391
2022-10-27,5463,737,4726
2022-10-28,5349,730,4619
2022-10-29,5072,645,4427
2022-10-30,4657,219,4438
2022-10-31,4922,789,4133
2022-11-01,5102,775,4327
2022-11-02,5269,692,4577
2022-11-03,5131,701,4430
2022-11-04,5024,684,4340
2022-11-05,5117,616,4501
2022-11-06,5855,681,5174
2022-11-07,5382,789,4593
2022-11-08,5112,761,4351
2022-11-09,5171,768,4403
2022-11-10,5477,855,4622
2022-11-11,5063,810,4253
2022-11-12,5481,583,4898
2022-11-13,5451,651,4800
2022-11-14,4802,741,4061
2022-11-15,4465,679,3786
2022-11-16,4529,640,3889
2022-11-17,4703,706,3997
2022-11-18,5199,726,4473
2022-11-19,4994,627,4367
2022-11-20,4743,586,4157
2022-11-21,4726,682,4044
2022-11-22,4704,670,4034
2022-11-23,4455,600,3855
2022-11-24,4593,613,3980
2022-11-25,5226,822,4404
2022-11-26,5516,617,4899
2022-11-27,5564,647,4917
2022-11-28,5219,734,4485
2022-11-29,5073,813,4260
2022-11-30,5272,747,4525
2022-12-01,4808,653,4155
2022-12-02,4804,718,4086
2022-12-03,4834,608,4226
2022-12-04,4774,551,4223
2022-12-05,4378,673,3705
2022-12-06,5004,769,4235
2022-12-07,4259,755,3504
2022-12-08,4743,656,4087
2022-12-09,4424,687,3737
2022-12-10,4659,521,4138
2022-12-11,4694,723,3971
2022-12-12,4873,844,4029
2022-12-13,5252,712,4540
2022-12-14,5006,586,4420
2022-12-15,5310,591,4719
2022-12-16,5691,602,5089
2022-12-17,5892,499,5393
2022-12-18,5821,569,5252
2022-12-19,5136,588,4548
2022-12-20,6105,650,5455
2022-12-21,7342,761,6581
2022-12-22,9027,847,8180
2022-12-23,10826,866,9960
2022-12-24,7747,741,7006
2022-12-25,7507,653,6854
2022-12-26,7052,850,6202
2022-12-27,7104,845,6259
2022-12-28,6917,794,6123
2022-12-29,6989,839,6150
2022-12-30,6704,857,5847
2022-12-31,6707,656,6051
2023-01-01,6297,650,5647
2023-01-02,6389,676,5713
2023-01-03,6230,851,5379
2023-01-04,6214,843,5371
2023-01-05,5922,813,5109
2023-01-06,5855,797,5058
2023-01-07,6242,823,5419
2023-01-08,6013,792,5221
2023-01-09,5699,858,4841
2023-01-10,5460,854,4606
2023-01-11,5551,775,4776
2023-01-12,5363,841,4522
2023-01-13,5333,820,4513
2023-01-14,5278,527,4751
2023-01-15,5474,580,4894
2023-01-16,5102,696,4406
2023-01-17,5800,684,5116
2023-01-18,5709,662,5047
2023-01-19,5276,608,4668
2023-01-20,5056,580,4476
2023-01-21,4972,360,4612
2023-01-22,8031,501,7530
2023-01-23,8828,560,8268
2023-01-24,8183,519,7664
2023-01-25,8258,696,7562
2023-01-26,7901,586,7315
2023-01-27,7268,603,6665
2023-01-28,6652,754,5898
2023-01-29,6621,788,5833
2023-01-30,5741,813,4928
2023-01-31,34570,6986,27584
2023-02-01,19232,2538,16694
2023-02-02,11325,1272,10053
2023-02-03,8612,963,7649
2023-02-04,7212,771,6441
2023-02-05,7950,640,7310
2023-02-06,7678,931,6747
2023-02-07,6962,892,6070
2023-02-08,6602,940,5662
2023-02-09,6376,925,5451
2023-02-10,5869,858,5011
2023-02-11,5822,561,5261
2023-02-12,6269,558,5711
2023-02-13,6310,876,5434
2023-02-14,6377,884,5493
2023-02-15,5077,794,4283
2023-02-16,5474,870,4604
2023-02-17,5179,737,4442
2023-02-18,6032,625,5407
2023-02-19,5222,498,4724
2023-02-20,4613,698,3915
2023-02-21,4644,678,3966
2023-02-22,4812,651,4161
2023-02-23,5250,709,4541
2023-02-24,4546,681,3865
2023-02-25,4277,471,3806
2023-02-26,4102,507,3595
2023-02-27,3461,484,2977
2023-02-28,3694,591,3103
2023-03-01,3419,544,2875
2023-03-02,3406,519,2887
2023-03-03,3401,530,2871
2023-03-04,3709,440,3269
2023-03-05,3403,369,3034
2023-03-06,3522,572,2950
2023-03-07,3685,606,3079
2023-03-08,3511,504,3007
2023-03-09,3601,498,3103
2023-03-10,3653,551,3102
2023-03-11,3881,428,3453
2023-03-12,4012,434,3578
2023-03-13,3653,529,3124
2023-03-14,4257,631,3626
2023-03-15,4758,648,4110
2023-03-16,4239,684,3555
2023-03-17,3888,606,3282
2023-03-18,3734,420,3314
2023-03-19,4434,498,3936
2023-03-20,3974,704,3270
2023-03-21,3767,617,3150
2023-03-22,3772,681,3091
2023-03-23,3628,557,3071
2023-03-24,3965,591,3374
2023-03-25,4277,614,3663
2023-03-26,4945,476,4469
2023-03-27,4594,695,3899
2023-03-28,4456,710,3746
2023-03-29,4217,608,3609
2023-03-30,4011,586,3425
2023-03-31,4011,543,3468
2023-04-01,4402,495,3907
2023-04-02,4438,501,3937
2023-04-03,4532,735,3797
2023-04-04,4474,664,3810
2023-04-05,4276,504,3772
2023-04-06,3863,636,3227
2023-04-07,4932,704,4228
2023-04-08,12521,872,11649
2023-04-09,13983,912,13071
2023-04-10,10220,972,9248
2023-04-11,9819,941,8878
2023-04-12,8831,892,7939
2023-04-13,9462,901,8561
2023-04-14,9490,890,8600
2023-04-15,9119,720,8399
2023-04-16,8782,774,8008
2023-04-17,8095,872,7223
2023-04-18,7708,861,6847
2023-04-19,7851,850,7001
2023-04-20,8078,846,7232
2023-04-21,8491,879,7612
2023-04-22,8858,747,8111
