Time,all,pc,wise
2022-10-01,9548,857,8691
2022-10-02,10734,865,9869
2022-10-03,11259,878,10381
2022-10-04,10075,869,9206
2022-10-05,9531,887,8644
2022-10-06,9336,875,8461
2022-10-07,8762,886,7876
2022-10-08,7901,968,6933
2022-10-09,7353,930,6423
2022-10-10,6992,942,6050
2022-10-11,6854,951,5903
2022-10-12,7034,931,6103
2022-10-13,7276,979,6297
2022-10-14,7550,979,6571
2022-10-15,9030,882,8148
2022-10-16,8969,871,8098
2022-10-17,7934,945,6989
2022-10-18,7848,952,6896
2022-10-19,8026,936,7090
2022-10-20,8148,997,7151
2022-10-21,7711,951,6760
2022-10-22,8610,867,7743
2022-10-23,9734,880,8854
2022-10-24,7764,936,6828
2022-10-25,7300,911,6389
2022-10-26,7731,962,6769
2022-10-27,7242,966,6276
2022-10-28,7550,956,6594
2022-10-29,8031,890,7141
2022-10-30,7154,323,6831
2022-10-31,6680,937,5743
2022-11-01,6836,931,5905
2022-11-02,6778,960,5818
2022-11-03,6582,924,5658
2022-11-04,7258,965,6293
2022-11-05,7764,863,6901
2022-11-06,7740,859,6881
2022-11-07,7525,939,6586
2022-11-08,11547,1300,10247
2022-11-09,8902,1033,7869
2022-11-10,7848,933,6915
2022-11-11,11874,1378,10496
2022-11-12,10851,928,9923
2022-11-13,9975,893,9082
2022-11-14,8631,971,7660
2022-11-15,7769,919,6850
2022-11-16,7754,917,6837
2022-11-17,7100,896,6204
2022-11-18,7298,900,6398
2022-11-19,9004,842,8162
2022-11-20,8505,847,7658
2022-11-21,7465,871,6594
2022-11-22,7244,904,6340
2022-11-23,7361,895,6466
2022-11-24,6855,901,5954
2022-11-25,8455,1044,7411
2022-11-26,9491,896,8595
2022-11-27,9612,874,8738
2022-11-28,8749,943,7806
2022-11-29,8753,916,7837
2022-11-30,8163,916,7247
2022-12-01,7371,866,6505
2022-12-02,7395,910,6485
2022-12-03,8344,857,7487
2022-12-04,7884,845,7039
2022-12-05,7406,869,6537
2022-12-06,7931,909,7022
2022-12-07,7077,880,6197
2022-12-08,7580,886,6694
2022-12-09,7044,896,6148
2022-12-10,6732,744,5988
2022-12-11,7046,755,6291
2022-12-12,6503,858,5645
2022-12-13,6476,878,5598
2022-12-14,6417,852,5565
2022-12-15,6403,862,5541
2022-12-16,6848,874,5974
2022-12-17,7060,834,6226
2022-12-18,7294,819,6475
2022-12-19,7120,887,6233
2022-12-20,7540,883,6657
2022-12-21,7503,865,6638
2022-12-22,7795,873,6922
2022-12-23,8285,883,7402
2022-12-24,8311,844,7467
2022-12-25,9669,867,8802
2022-12-26,14015,969,13046
2022-12-27,16219,1144,15075
2022-12-28,11514,975,10539
2022-12-29,10336,972,9364
2022-12-30,10247,986,9261
2022-12-31,10334,896,9438
2023-01-01,9988,893,9095
2023-01-02,9923,910,9013
2023-01-03,9960,1082,8878
2023-01-04,9803,934,8869
2023-01-05,9505,957,8548
2023-01-06,10077,969,9108
2023-01-07,9311,929,8382
2023-01-08,9272,867,8405
2023-01-09,9596,951,8645
2023-01-10,9912,959,8953
2023-01-11,9184,911,8273
2023-01-12,9895,933,8962
2023-01-13,9243,900,8343
2023-01-14,9647,856,8791
2023-01-15,8757,865,7892
2023-01-16,8636,917,7719
2023-01-17,7934,912,7022
2023-01-18,7410,886,6524
2023-01-19,8041,874,7167
2023-01-20,12573,955,11618
2023-01-21,20543,951,19592
2023-01-22,44962,1764,43198
2023-01-23,17897,995,16902
2023-01-24,20332,994,19338
2023-01-25,18576,993,17583
2023-01-26,17201,996,16205
2023-01-27,15507,994,14513
2023-01-28,15743,1471,14272
2023-01-29,16862,1761,15101
2023-01-30,14196,1745,12451
2023-01-31,13130,1483,11647
2023-02-01,12197,1518,10679
2023-02-02,11247,1295,9952
2023-02-03,11083,1243,9840
2023-02-04,10874,927,9947
2023-02-05,11745,916,10829
2023-02-06,9701,1060,8641
2023-02-07,10721,1033,9688
2023-02-08,9824,991,8833
2023-02-09,10419,1199,9220
2023-02-10,8959,1001,7958
2023-02-11,9449,887,8562
2023-02-12,10498,904,9594
2023-02-13,8723,1115,7608
2023-02-14,8116,1444,6672
2023-02-15,7241,1217,6024
2023-02-16,6851,933,5918
2023-02-17,6723,930,5793
2023-02-18,9932,915,9017
2023-02-19,9529,870,8659
2023-02-20,7384,970,6414
2023-02-21,6979,1089,5890
2023-02-22,6147,898,5249
2023-02-23,7238,938,6300
2023-02-24,6838,941,5897
2023-02-25,7284,876,6408
2023-02-26,7015,850,6165
2023-02-27,5765,876,4889
2023-02-28,5575,894,4681
2023-03-01,5715,867,4848
2023-03-02,5831,887,4944
2023-03-03,5921,860,5061
2023-03-04,6496,706,5790
2023-03-05,6494,703,5791
2023-03-06,5087,856,4231
2023-03-07,5485,862,4623
2023-03-08,5034,846,4188
2023-03-09,5021,853,4168
2023-03-10,5015,840,4175
2023-03-11,5771,608,5163
2023-03-12,5990,620,5370
2023-03-13,4855,794,4061
2023-03-14,4793,842,3951
2023-03-15,5074,840,4234
2023-03-16,5982,909,5073
2023-03-17,6677,865,5812
2023-03-18,6610,758,5852
2023-03-19,6530,740,5790
2023-03-20,6211,860,5351
2023-03-21,5496,855,4641
2023-03-22,5266,871,4395
2023-03-23,5219,817,4402
2023-03-24,5495,849,4646
2023-03-25,6362,659,5703
2023-03-26,6140,648,5492
2023-03-27,5352,878,4474
2023-03-28,5134,851,4283
2023-03-29,5113,860,4253
2023-03-30,9991,935,9056
2023-03-31,7542,903,6639
2023-04-01,6630,704,5926
2023-04-02,6750,831,5919
2023-04-03,5833,904,4929
2023-04-04,6025,866,5159
2023-04-05,7149,726,6423
2023-04-06,6334,877,5457
2023-04-07,5747,874,4873
2023-04-08,6069,721,5348
2023-04-09,6349,747,5602
2023-04-10,5340,873,4467
2023-04-11,5654,877,4777
2023-04-12,6681,879,5802
2023-04-13,6569,876,5693
2023-04-14,6233,896,5337
2023-04-15,7075,820,6255
2023-04-16,6605,775,5830
2023-04-17,5264,856,4408
2023-04-18,5242,870,4372
2023-04-19,5143,870,4273
2023-04-20,5019,791,4228
2023-04-21,5061,792,4269
2023-04-22,5726,685,5041
