Time,all,pc,wise
2022-10-01,14385,914,13471
2022-10-02,14708,902,13806
2022-10-03,15080,925,14155
2022-10-04,14873,928,13945
2022-10-05,14682,941,13741
2022-10-06,14605,938,13667
2022-10-07,13445,935,12510
2022-10-08,12453,1208,11245
2022-10-09,12767,1322,11445
2022-10-10,11727,1184,10543
2022-10-11,11572,1251,10321
2022-10-12,11981,1259,10722
2022-10-13,12137,1226,10911
2022-10-14,12579,1104,11475
2022-10-15,13986,944,13042
2022-10-16,14193,944,13249
2022-10-17,12047,1179,10868
2022-10-18,11826,1273,10553
2022-10-19,11705,1162,10543
2022-10-20,12731,1289,11442
2022-10-21,12845,1313,11532
2022-10-22,15175,982,14193
2022-10-23,14520,936,13584
2022-10-24,12668,1404,11264
2022-10-25,12668,1323,11345
2022-10-26,12936,1255,11681
2022-10-27,13854,1470,12384
2022-10-28,13157,1329,11828
2022-10-29,13737,961,12776
2022-10-30,12947,403,12544
2022-10-31,11697,1108,10589
2022-11-01,11734,1085,10649
2022-11-02,12664,1342,11322
2022-11-03,12362,1265,11097
2022-11-04,13310,1275,12035
2022-11-05,15362,984,14378
2022-11-06,15940,968,14972
2022-11-07,16100,1458,14642
2022-11-08,13137,1378,11759
2022-11-09,13037,1272,11765
2022-11-10,12600,1291,11309
2022-11-11,14015,1298,12717
2022-11-12,14773,996,13777
2022-11-13,15095,972,14123
2022-11-14,12827,1218,11609
2022-11-15,12133,1250,10883
2022-11-16,11958,1150,10808
2022-11-17,12179,1160,11019
2022-11-18,12842,1098,11744
2022-11-19,15394,1019,14375
2022-11-20,15450,951,14499
2022-11-21,13539,1208,12331
2022-11-22,12414,1123,11291
2022-11-23,12176,1172,11004
2022-11-24,11911,1072,10839
2022-11-25,13517,1114,12403
2022-11-26,15801,964,14837
2022-11-27,15238,924,14314
2022-11-28,14022,1158,12864
2022-11-29,13095,1057,12038
2022-11-30,13262,1194,12068
2022-12-01,12325,1149,11176
2022-12-02,12112,1048,11064
2022-12-03,13326,955,12371
2022-12-04,13042,906,12136
2022-12-05,12441,1058,11383
2022-12-06,13560,1134,12426
2022-12-07,11904,1079,10825
2022-12-08,12160,1128,11032
2022-12-09,11956,1108,10848
2022-12-10,12218,926,11292
2022-12-11,12408,923,11485
2022-12-12,11439,981,10458
2022-12-13,11430,1002,10428
2022-12-14,11586,1028,10558
2022-12-15,12202,990,11212
2022-12-16,12319,994,11325
2022-12-17,13278,924,12354
2022-12-18,13942,933,13009
2022-12-19,13040,1043,11997
2022-12-20,14719,1127,13592
2022-12-21,17924,1198,16726
2022-12-22,14244,1181,13063
2022-12-23,14390,1050,13340
2022-12-24,13720,961,12759
2022-12-25,13861,927,12934
2022-12-26,14748,1056,13692
2022-12-27,15248,1283,13965
2022-12-28,15268,1262,14006
2022-12-29,17636,1569,16067
2022-12-30,18445,1745,16700
2022-12-31,18398,1072,17326
2023-01-01,18814,1029,17785
2023-01-02,20209,1216,18993
2023-01-03,34884,3083,31801
2023-01-04,45543,6488,39055
2023-01-05,27121,2800,24321
2023-01-06,21506,1860,19646
2023-01-07,22316,1379,20937
2023-01-08,19009,1222,17787
2023-01-09,17738,1603,16135
2023-01-10,15948,1448,14500
2023-01-11,15703,1390,14313
2023-01-12,16318,1483,14835
2023-01-13,16202,1357,14845
2023-01-14,15283,1017,14266
2023-01-15,14652,991,13661
2023-01-16,13966,1126,12840
2023-01-17,13458,1096,12362
2023-01-18,13577,1062,12515
2023-01-19,13207,965,12242
2023-01-20,13177,911,12266
2023-01-21,15574,865,14709
2023-01-22,14609,880,13729
2023-01-23,13295,861,12434
2023-01-24,13366,877,12489
2023-01-25,13686,885,12801
2023-01-26,18614,2518,16096
2023-01-27,19151,1683,17468
2023-01-28,16235,1241,14994
2023-01-29,14711,1123,13588
2023-01-30,14498,1242,13256
2023-01-31,16165,1818,14347
2023-02-01,15316,1326,13990
2023-02-02,14926,1289,13637
2023-02-03,14745,1385,13360
2023-02-04,14469,979,13490
2023-02-05,14861,916,13945
2023-02-06,13768,1261,12507
2023-02-07,12005,1281,10724
2023-02-08,11832,1322,10510
2023-02-09,19585,1637,17948
2023-02-10,70695,7936,62759
2023-02-11,43881,3534,40347
2023-02-12,38699,2239,36460
2023-02-13,33782,5086,28696
2023-02-14,21553,2623,18930
2023-02-15,19201,2162,17039
2023-02-16,15697,1583,14114
2023-02-17,16204,1783,14421
2023-02-18,19849,1382,18467
2023-02-19,17327,1226,16101
2023-02-20,14066,1833,12233
2023-02-21,12667,1607,11060
2023-02-22,12011,1507,10504
2023-02-23,13744,1677,12067
2023-02-24,12989,1498,11491
2023-02-25,14616,1084,13532
2023-02-26,12722,954,11768
2023-02-27,10555,1296,9259
2023-02-28,11168,1450,9718
2023-03-01,10511,1354,9157
2023-03-02,12442,1570,10872
2023-03-03,15158,1716,13442
2023-03-04,14543,993,13550
2023-03-05,13925,969,12956
2023-03-06,10928,1375,9553
2023-03-07,10865,1229,9636
2023-03-08,9873,1211,8662
2023-03-09,10106,1133,8973
2023-03-10,12385,1244,11141
2023-03-11,13417,954,12463
2023-03-12,12978,934,12044
2023-03-13,13402,1581,11821
2023-03-14,17285,2286,14999
2023-03-15,16146,1936,14210
2023-03-16,11904,1554,10350
2023-03-17,12249,1346,10903
2023-03-18,13669,1021,12648
2023-03-19,12536,944,11592
2023-03-20,10363,1290,9073
2023-03-21,10391,1305,9086
2023-03-22,11036,1321,9715
2023-03-23,10368,1333,9035
2023-03-24,10452,1354,9098
2023-03-25,19492,1288,18204
2023-03-26,27248,1343,25905
2023-03-27,26440,2967,23473
2023-03-28,19918,2161,17757
2023-03-29,16890,1874,15016
2023-03-30,18527,2188,16339
2023-03-31,15613,1722,13891
2023-04-01,16008,1076,14932
2023-04-02,14821,972,13849
2023-04-03,13445,1533,11912
2023-04-04,12919,1441,11478
2023-04-05,14590,980,13610
2023-04-06,12631,1513,11118
2023-04-07,11504,1342,10162
2023-04-08,12601,975,11626
2023-04-09,12705,941,11764
2023-04-10,10990,1268,9722
2023-04-11,12348,1551,10797
2023-04-12,12785,1489,11296
2023-04-13,12399,1492,10907
2023-04-14,11720,1406,10314
2023-04-15,12653,968,11685
2023-04-16,11903,922,10981
2023-04-17,9864,1183,8681
2023-04-18,10475,1365,9110
2023-04-19,9950,1281,8669
2023-04-20,10249,1244,9005
2023-04-21,10949,1168,9781
2023-04-22,12035,951,11084
