Time,all,pc,wise
2022-10-01,7029,454,6575
2022-10-02,7171,476,6695
2022-10-03,7515,420,7095
2022-10-04,7508,530,6978
2022-10-05,6946,434,6512
2022-10-06,6341,462,5879
2022-10-07,5845,492,5353
2022-10-08,6119,506,5613
2022-10-09,6248,519,5729
2022-10-10,5458,537,4921
2022-10-11,5504,538,4966
2022-10-12,5434,535,4899
2022-10-13,5392,499,4893
2022-10-14,5318,552,4766
2022-10-15,5896,513,5383
2022-10-16,5952,423,5529
2022-10-17,5392,515,4877
2022-10-18,5638,558,5080
2022-10-19,6485,603,5882
2022-10-20,6391,699,5692
2022-10-21,6516,730,5786
2022-10-22,6817,512,6305
2022-10-23,7887,555,7332
2022-10-24,7646,734,6912
2022-10-25,6871,661,6210
2022-10-26,8202,737,7465
2022-10-27,7580,583,6997
2022-10-28,6965,543,6422
2022-10-29,6497,459,6038
2022-10-30,6581,198,6383
2022-10-31,6646,499,6147
2022-11-01,7084,599,6485
2022-11-02,7174,591,6583
2022-11-03,6229,521,5708
2022-11-04,6288,563,5725
2022-11-05,7690,568,7122
2022-11-06,7363,492,6871
2022-11-07,6398,608,5790
2022-11-08,6792,676,6116
2022-11-09,6632,620,6012
2022-11-10,6624,721,5903
2022-11-11,6147,613,5534
2022-11-12,6376,434,5942
2022-11-13,6452,448,6004
2022-11-14,6936,650,6286
2022-11-15,6272,582,5690
2022-11-16,6267,625,5642
2022-11-17,6782,602,6180
2022-11-18,5914,554,5360
2022-11-19,6371,468,5903
2022-11-20,6587,412,6175
2022-11-21,5753,551,5202
2022-11-22,6289,557,5732
2022-11-23,5819,541,5278
2022-11-24,5505,524,4981
2022-11-25,5935,495,5440
2022-11-26,6007,461,5546
2022-11-27,6373,414,5959
2022-11-28,5955,535,5420
2022-11-29,6182,569,5613
2022-11-30,5834,558,5276
2022-12-01,5448,619,4829
2022-12-02,5193,510,4683
2022-12-03,5400,461,4939
2022-12-04,6034,496,5538
2022-12-05,5544,569,4975
2022-12-06,6468,685,5783
2022-12-07,5951,552,5399
2022-12-08,5479,543,4936
2022-12-09,5454,894,4560
2022-12-10,5255,496,4759
2022-12-11,5369,375,4994
2022-12-12,5079,459,4620
2022-12-13,5754,529,5225
2022-12-14,5868,529,5339
2022-12-15,5182,457,4725
2022-12-16,5237,580,4657
2022-12-17,5573,453,5120
2022-12-18,8074,476,7598
2022-12-19,7027,594,6433
2022-12-20,7707,613,7094
2022-12-21,6834,564,6270
2022-12-22,6634,608,6026
2022-12-23,6600,566,6034
2022-12-24,7077,496,6581
2022-12-25,7819,496,7323
2022-12-26,6601,574,6027
2022-12-27,6884,578,6306
2022-12-28,6539,569,5970
2022-12-29,6155,619,5536
2022-12-30,6204,617,5587
2022-12-31,5923,451,5472
2023-01-01,5758,479,5279
2023-01-02,7069,631,6438
2023-01-03,6294,566,5728
2023-01-04,6362,549,5813
2023-01-05,6355,684,5671
2023-01-06,6340,667,5673
2023-01-07,7982,588,7394
2023-01-08,7623,532,7091
2023-01-09,7401,625,6776
2023-01-10,7141,707,6434
2023-01-11,6865,538,6327
2023-01-12,7870,580,7290
2023-01-13,8292,577,7715
2023-01-14,7667,521,7146
2023-01-15,7280,487,6793
2023-01-16,6772,551,6221
2023-01-17,7011,586,6425
2023-01-18,7142,509,6633
2023-01-19,6449,420,6029
2023-01-20,6243,385,5858
2023-01-21,4955,274,4681
2023-01-22,6127,298,5829
2023-01-23,6436,305,6131
2023-01-24,6648,340,6308
2023-01-25,6240,333,5907
2023-01-26,6418,350,6068
2023-01-27,6059,383,5676
2023-01-28,6196,403,5793
2023-01-29,5855,450,5405
2023-01-30,5411,456,4955
2023-01-31,5622,538,5084
2023-02-01,5520,414,5106
2023-02-02,5627,473,5154
2023-02-03,6352,475,5877
2023-02-04,6278,409,5869
2023-02-05,5448,374,5074
2023-02-06,5379,551,4828
2023-02-07,6034,498,5536
2023-02-08,6591,478,6113
2023-02-09,6483,537,5946
2023-02-10,5949,535,5414
2023-02-11,6308,450,5858
2023-02-12,6600,433,6167
2023-02-13,5773,484,5289
2023-02-14,5081,416,4665
2023-02-15,5060,433,4627
2023-02-16,5876,468,5408
2023-02-17,5559,507,5052
2023-02-18,5686,349,5337
2023-02-19,5859,423,5436
2023-02-20,5727,524,5203
2023-02-21,5927,600,5327
2023-02-22,6224,515,5709
2023-02-23,5689,509,5180
2023-02-24,5620,526,5094
2023-02-25,5639,380,5259
2023-02-26,5978,385,5593
2023-02-27,5545,484,5061
2023-02-28,5492,479,5013
2023-03-01,5490,488,5002
2023-03-02,5307,509,4798
2023-03-03,5272,515,4757
2023-03-04,6046,412,5634
2023-03-05,6456,419,6037
2023-03-06,5744,510,5234
2023-03-07,6400,594,5806
2023-03-08,6153,546,5607
2023-03-09,6064,498,5566
2023-03-10,5420,447,4973
2023-03-11,5819,369,5450
2023-03-12,5920,360,5560
2023-03-13,5202,481,4721
2023-03-14,5875,471,5404
2023-03-15,6059,425,5634
2023-03-16,7002,513,6489
2023-03-17,7253,533,6720
2023-03-18,7790,389,7401
2023-03-19,7478,354,7124
2023-03-20,8147,613,7534
2023-03-21,7400,549,6851
2023-03-22,6860,633,6227
2023-03-23,6866,495,6371
2023-03-24,7592,914,6678
2023-03-25,7708,554,7154
2023-03-26,6442,457,5985
2023-03-27,6507,544,5963
2023-03-28,6073,544,5529
2023-03-29,6076,521,5555
2023-03-30,5947,513,5434
2023-03-31,6218,519,5699
2023-04-01,6958,425,6533
2023-04-02,6569,369,6200
2023-04-03,6374,501,5873
2023-04-04,7245,627,6618
2023-04-05,7559,447,7112
2023-04-06,6681,554,6127
2023-04-07,6480,623,5857
2023-04-08,7066,541,6525
2023-04-09,7179,465,6714
2023-04-10,6274,588,5686
2023-04-11,5991,675,5316
2023-04-12,5963,564,5399
2023-04-13,6875,636,6239
2023-04-14,6826,599,6227
2023-04-15,8055,457,7598
2023-04-16,6894,456,6438
2023-04-17,6194,504,5690
2023-04-18,6663,518,6145
2023-04-19,6776,509,6267
2023-04-20,7089,637,6452
2023-04-21,7504,558,6946
2023-04-22,8137,488,7649
