Time,all,pc,wise
2022-10-01,2800,228,2572
2022-10-02,2911,236,2675
2022-10-03,3149,233,2916
2022-10-04,2760,239,2521
2022-10-05,2712,267,2445
2022-10-06,2644,256,2388
2022-10-07,2438,245,2193
2022-10-08,2350,270,2080
2022-10-09,2388,276,2112
2022-10-10,1985,260,1725
2022-10-11,2037,302,1735
2022-10-12,2095,271,1824
2022-10-13,2087,295,1792
2022-10-14,2324,291,2033
2022-10-15,2547,251,2296
2022-10-16,2520,267,2253
2022-10-17,2344,279,2065
2022-10-18,2439,270,2169
2022-10-19,2195,301,1894
2022-10-20,2148,290,1858
2022-10-21,2176,282,1894
2022-10-22,2296,259,2037
2022-10-23,2093,200,1893
2022-10-24,2149,316,1833
2022-10-25,2082,259,1823
2022-10-26,2073,267,1806
2022-10-27,2176,281,1895
2022-10-28,2223,262,1961
2022-10-29,2122,207,1915
2022-10-30,2055,127,1928
2022-10-31,2006,248,1758
2022-11-01,2005,259,1746
2022-11-02,2155,276,1879
2022-11-03,2056,259,1797
2022-11-04,3880,420,3460
2022-11-05,3604,371,3233
2022-11-06,2859,380,2479
2022-11-07,2288,319,1969
2022-11-08,2166,301,1865
2022-11-09,2265,333,1932
2022-11-10,1987,273,1714
2022-11-11,1995,293,1702
2022-11-12,2202,265,1937
2022-11-13,2170,256,1914
2022-11-14,2105,307,1798
2022-11-15,2197,278,1919
2022-11-16,1930,290,1640
2022-11-17,1954,268,1686
2022-11-18,1887,270,1617
2022-11-19,2115,233,1882
2022-11-20,2063,220,1843
2022-11-21,2009,259,1750
2022-11-22,1923,293,1630
2022-11-23,1809,260,1549
2022-11-24,1731,234,1497
2022-11-25,1780,223,1557
2022-11-26,1953,229,1724
2022-11-27,2486,225,2261
2022-11-28,2081,302,1779
2022-11-29,2016,251,1765
2022-11-30,1848,270,1578
2022-12-01,1624,243,1381
2022-12-02,1615,259,1356
2022-12-03,1662,240,1422
2022-12-04,2021,212,1809
2022-12-05,1721,242,1479
2022-12-06,2190,233,1957
2022-12-07,2073,256,1817
2022-12-08,1877,268,1609
2022-12-09,1789,236,1553
2022-12-10,1868,234,1634
2022-12-11,1754,211,1543
2022-12-12,1955,234,1721
2022-12-13,1926,285,1641
2022-12-14,1848,220,1628
2022-12-15,1782,248,1534
2022-12-16,1806,234,1572
2022-12-17,2003,194,1809
2022-12-18,2012,209,1803
2022-12-19,1923,213,1710
2022-12-20,1863,250,1613
2022-12-21,1887,250,1637
2022-12-22,1923,237,1686
2022-12-23,1802,205,1597
2022-12-24,2001,218,1783
2022-12-25,2399,218,2181
2022-12-26,2172,245,1927
2022-12-27,2669,319,2350
2022-12-28,2617,260,2357
2022-12-29,2524,293,2231
2022-12-30,2265,240,2025
2022-12-31,3482,229,3253
2023-01-01,2353,243,2110
2023-01-02,2341,253,2088
2023-01-03,2204,318,1886
2023-01-04,2097,267,1830
2023-01-05,2030,296,1734
2023-01-06,2148,307,1841
2023-01-07,2360,268,2092
2023-01-08,2146,233,1913
2023-01-09,2074,284,1790
2023-01-10,2056,293,1763
2023-01-11,2041,236,1805
2023-01-12,2094,279,1815
2023-01-13,2071,278,1793
2023-01-14,2126,204,1922
2023-01-15,2089,187,1902
2023-01-16,1930,229,1701
2023-01-17,1982,218,1764
2023-01-18,2098,223,1875
2023-01-19,2203,200,2003
2023-01-20,2360,216,2144
2023-01-21,17972,361,17611
2023-01-22,5718,250,5468
2023-01-23,3255,213,3042
2023-01-24,2993,207,2786
2023-01-25,2924,205,2719
2023-01-26,2799,193,2606
2023-01-27,2836,271,2565
2023-01-28,2361,281,2080
2023-01-29,2351,301,2050
2023-01-30,2339,251,2088
2023-01-31,2430,285,2145
2023-02-01,2259,295,1964
2023-02-02,2404,313,2091
2023-02-03,5059,399,4660
2023-02-04,4246,344,3902
2023-02-05,3319,288,3031
2023-02-06,2598,326,2272
2023-02-07,2860,388,2472
2023-02-08,2781,456,2325
2023-02-09,2819,400,2419
2023-02-10,2870,385,2485
2023-02-11,2937,288,2649
2023-02-12,2750,324,2426
2023-02-13,2312,340,1972
2023-02-14,2104,299,1805
2023-02-15,2038,295,1743
2023-02-16,1972,319,1653
2023-02-17,2050,312,1738
2023-02-18,2245,220,2025
2023-02-19,2200,262,1938
2023-02-20,1974,315,1659
2023-02-21,2050,324,1726
2023-02-22,2075,341,1734
2023-02-23,2100,344,1756
2023-02-24,2107,340,1767
2023-02-25,2248,248,2000
2023-02-26,2260,298,1962
2023-02-27,2022,357,1665
2023-02-28,2037,357,1680
2023-03-01,2007,315,1692
2023-03-02,1907,296,1611
2023-03-03,2097,340,1757
2023-03-04,2033,242,1791
2023-03-05,2000,213,1787
2023-03-06,1980,315,1665
2023-03-07,1788,268,1520
2023-03-08,1891,276,1615
2023-03-09,2514,440,2074
2023-03-10,2471,316,2155
2023-03-11,2542,260,2282
2023-03-12,2372,271,2101
2023-03-13,2000,380,1620
2023-03-14,1976,290,1686
2023-03-15,1934,312,1622
2023-03-16,2057,288,1769
2023-03-17,3076,323,2753
2023-03-18,2137,250,1887
2023-03-19,2195,234,1961
2023-03-20,2055,250,1805
2023-03-21,1926,313,1613
2023-03-22,1966,330,1636
2023-03-23,1928,296,1632
2023-03-24,2489,399,2090
2023-03-25,3038,333,2705
2023-03-26,2405,310,2095
2023-03-27,2021,335,1686
2023-03-28,1969,363,1606
2023-03-29,1808,321,1487
2023-03-30,1909,330,1579
2023-03-31,1918,340,1578
2023-04-01,2139,225,1914
2023-04-02,2614,270,2344
2023-04-03,2847,423,2424
2023-04-04,2423,343,2080
2023-04-05,2645,243,2402
2023-04-06,2103,324,1779
2023-04-07,2610,340,2270
2023-04-08,2875,251,2624
2023-04-09,2648,253,2395
2023-04-10,2124,305,1819
2023-04-11,1984,296,1688
2023-04-12,2059,305,1754
2023-04-13,2029,315,1714
2023-04-14,2096,326,1770
2023-04-15,2576,264,2312
2023-04-16,2506,212,2294
2023-04-17,2332,333,1999
2023-04-18,2492,307,2185
2023-04-19,2229,321,1908
2023-04-20,2130,333,1797
2023-04-21,2104,293,1811
2023-04-22,2314,228,2086
