Time,all,pc,wise
2022-10-01,1376,184,1192
2022-10-02,1316,173,1143
2022-10-03,1135,166,969
2022-10-04,1236,161,1075
2022-10-05,1102,157,945
2022-10-06,1207,183,1024
2022-10-07,1117,169,948
2022-10-08,1263,256,1007
2022-10-09,1354,243,1111
2022-10-10,1257,236,1021
2022-10-11,1185,215,970
2022-10-12,1204,247,957
2022-10-13,1166,229,937
2022-10-14,1167,228,939
2022-10-15,1280,205,1075
2022-10-16,1168,202,966
2022-10-17,1133,204,929
2022-10-18,1114,207,907
2022-10-19,1136,222,914
2022-10-20,1107,219,888
2022-10-21,1069,191,878
2022-10-22,1355,172,1183
2022-10-23,1682,157,1525
2022-10-24,1192,229,963
2022-10-25,1197,211,986
2022-10-26,1367,215,1152
2022-10-27,1156,195,961
2022-10-28,1169,234,935
2022-10-29,1505,195,1310
2022-10-30,1250,93,1157
2022-10-31,1355,271,1084
2022-11-01,1205,228,977
2022-11-02,1149,213,936
2022-11-03,1143,213,930
2022-11-04,1131,204,927
2022-11-05,1120,159,961
2022-11-06,1102,166,936
2022-11-07,1092,191,901
2022-11-08,1117,229,888
2022-11-09,1107,222,885
2022-11-10,1114,229,885
2022-11-11,1107,207,900
2022-11-12,1136,193,943
2022-11-13,1206,218,988
2022-11-14,1120,231,889
2022-11-15,1091,200,891
2022-11-16,1058,176,882
2022-11-17,1115,233,882
2022-11-18,1227,273,954
2022-11-19,1170,200,970
2022-11-20,1123,170,953
2022-11-21,1084,190,894
2022-11-22,1077,190,887
2022-11-23,1038,182,856
2022-11-24,1042,179,863
2022-11-25,1044,186,858
2022-11-26,1023,146,877
2022-11-27,1043,165,878
2022-11-28,1041,179,862
2022-11-29,1016,163,853
2022-11-30,995,152,843
2022-12-01,999,144,855
2022-12-02,1018,168,850
2022-12-03,1040,179,861
2022-12-04,1100,193,907
2022-12-05,1042,179,863
2022-12-06,1104,209,895
2022-12-07,1079,198,881
2022-12-08,1066,204,862
2022-12-09,1077,191,886
2022-12-10,1023,154,869
2022-12-11,1022,142,880
2022-12-12,1036,179,857
2022-12-13,1024,175,849
2022-12-14,1030,176,854
2022-12-15,1016,162,854
2022-12-16,1031,159,872
2022-12-17,1084,182,902
2022-12-18,1057,159,898
2022-12-19,1010,146,864
2022-12-20,1042,151,891
2022-12-21,1081,175,906
2022-12-22,1143,176,967
2022-12-23,1152,187,965
2022-12-24,1116,157,959
2022-12-25,1092,166,926
2022-12-26,1114,180,934
2022-12-27,1163,201,962
2022-12-28,1496,211,1285
2022-12-29,1317,231,1086
2022-12-30,1232,180,1052
2022-12-31,2119,220,1899
2023-01-01,3461,228,3233
2023-01-02,4017,234,3783
2023-01-03,2175,346,1829
2023-01-04,1815,270,1545
2023-01-05,1663,239,1424
2023-01-06,1305,194,1111
2023-01-07,1267,194,1073
2023-01-08,1149,151,998
2023-01-09,1160,201,959
2023-01-10,1127,172,955
2023-01-11,1154,223,931
2023-01-12,1145,216,929
2023-01-13,1180,225,955
2023-01-14,3887,273,3614
2023-01-15,3150,437,2713
2023-01-16,1290,248,1042
2023-01-17,1203,247,956
2023-01-18,1175,208,967
2023-01-19,1167,177,990
2023-01-20,1535,184,1351
2023-01-21,3098,186,2912
2023-01-22,3144,193,2951
2023-01-23,1985,165,1820
2023-01-24,1957,168,1789
2023-01-25,1708,146,1562
2023-01-26,1738,168,1570
2023-01-27,1534,179,1355
2023-01-28,1188,204,984
2023-01-29,1189,218,971
2023-01-30,1684,226,1458
2023-01-31,1164,229,935
2023-02-01,1221,260,961
2023-02-02,1167,239,928
2023-02-03,1224,284,940
2023-02-04,1156,194,962
2023-02-05,1200,169,1031
2023-02-06,1459,313,1146
2023-02-07,1202,243,959
2023-02-08,1278,288,990
2023-02-09,1209,298,911
2023-02-10,1483,552,931
2023-02-11,1147,207,940
2023-02-12,1121,169,952
2023-02-13,1201,288,913
2023-02-14,1150,231,919
2023-02-15,1201,285,916
2023-02-16,1181,251,930
2023-02-17,1158,237,921
2023-02-18,1063,154,909
2023-02-19,1125,163,962
2023-02-20,1136,202,934
2023-02-21,1134,220,914
2023-02-22,1088,191,897
2023-02-23,1134,223,911
2023-02-24,1151,236,915
2023-02-25,1136,173,963
2023-02-26,1125,161,964
2023-02-27,1069,187,882
2023-02-28,1093,215,878
2023-03-01,1063,169,894
2023-03-02,1083,212,871
2023-03-03,1134,193,941
2023-03-04,1096,158,938
2023-03-05,1028,133,895
2023-03-06,1236,338,898
2023-03-07,1137,213,924
2023-03-08,1111,204,907
2023-03-09,1091,200,891
2023-03-10,1191,228,963
2023-03-11,1089,148,941
2023-03-12,1335,169,1166
2023-03-13,1145,219,926
2023-03-14,1092,188,904
2023-03-15,1089,193,896
2023-03-16,1076,193,883
2023-03-17,1082,186,896
2023-03-18,1065,139,926
2023-03-19,1051,133,918
2023-03-20,1085,213,872
2023-03-21,1166,229,937
2023-03-22,1104,216,888
2023-03-23,1100,219,881
2023-03-24,1103,202,901
2023-03-25,1079,170,909
2023-03-26,1069,161,908
2023-03-27,1081,209,872
2023-03-28,1120,243,877
2023-03-29,1160,243,917
2023-03-30,1172,270,902
2023-03-31,1172,229,943
2023-04-01,1097,154,943
2023-04-02,1071,157,914
2023-04-03,1116,240,876
2023-04-04,1125,233,892
2023-04-05,1154,195,959
2023-04-06,1143,228,915
2023-04-07,1128,229,899
2023-04-08,1066,155,911
2023-04-09,1117,184,933
2023-04-10,1072,183,889
2023-04-11,1070,202,868
2023-04-12,1093,211,882
2023-04-13,1139,243,896
2023-04-14,1130,222,908
2023-04-15,1083,151,932
2023-04-16,1066,161,905
2023-04-17,1071,202,869
2023-04-18,1090,215,875
2023-04-19,1177,274,903
2023-04-20,1175,276,899
2023-04-21,1089,201,888
2023-04-22,1078,173,905
