Time,all,pc,wise
2022-10-01,1435,212,1223
2022-10-02,1416,220,1196
2022-10-03,1478,229,1249
2022-10-04,1438,233,1205
2022-10-05,1318,220,1098
2022-10-06,1326,247,1079
2022-10-07,1227,211,1016
2022-10-08,1247,274,973
2022-10-09,1262,299,963
2022-10-10,1201,250,951
2022-10-11,1235,278,957
2022-10-12,1279,291,988
2022-10-13,1347,291,1056
2022-10-14,1513,236,1277
2022-10-15,1570,251,1319
2022-10-16,1396,231,1165
2022-10-17,1396,285,1111
2022-10-18,1430,324,1106
2022-10-19,1281,254,1027
2022-10-20,1331,284,1047
2022-10-21,1360,254,1106
2022-10-22,1521,233,1288
2022-10-23,1322,200,1122
2022-10-24,1462,271,1191
2022-10-25,1435,270,1165
2022-10-26,1369,262,1107
2022-10-27,1338,264,1074
2022-10-28,1446,259,1187
2022-10-29,1674,250,1424
2022-10-30,1553,129,1424
2022-10-31,1239,245,994
2022-11-01,1234,240,994
2022-11-02,1482,239,1243
2022-11-03,1353,273,1080
2022-11-04,1525,262,1263
2022-11-05,1685,213,1472
2022-11-06,1731,288,1443
2022-11-07,1525,343,1182
2022-11-08,1438,247,1191
2022-11-09,1343,265,1078
2022-11-10,1507,265,1242
2022-11-11,1782,274,1508
2022-11-12,1963,259,1704
2022-11-13,1835,220,1615
2022-11-14,1924,310,1614
2022-11-15,1553,273,1280
2022-11-16,1416,281,1135
2022-11-17,1592,247,1345
2022-11-18,1658,256,1402
2022-11-19,1972,236,1736
2022-11-20,1650,228,1422
2022-11-21,1533,213,1320
2022-11-22,1711,254,1457
2022-11-23,1237,240,997
2022-11-24,1622,247,1375
2022-11-25,1760,245,1515
2022-11-26,1467,208,1259
2022-11-27,1477,195,1282
2022-11-28,1228,228,1000
2022-11-29,1269,247,1022
2022-11-30,1286,213,1073
2022-12-01,1440,200,1240
2022-12-02,1344,265,1079
2022-12-03,1194,212,982
2022-12-04,1293,195,1098
2022-12-05,1158,202,956
2022-12-06,1246,250,996
2022-12-07,1258,231,1027
2022-12-08,1236,237,999
2022-12-09,1447,222,1225
2022-12-10,1584,194,1390
2022-12-11,1520,219,1301
2022-12-12,1715,285,1430
2022-12-13,1677,234,1443
2022-12-14,1675,268,1407
2022-12-15,1546,229,1317
2022-12-16,1806,257,1549
2022-12-17,1359,201,1158
2022-12-18,1345,251,1094
2022-12-19,1126,207,919
2022-12-20,1443,207,1236
2022-12-21,1417,215,1202
2022-12-22,1993,284,1709
2022-12-23,2207,288,1919
2022-12-24,1710,216,1494
2022-12-25,2021,226,1795
2022-12-26,1818,270,1548
2022-12-27,1731,265,1466
2022-12-28,1377,260,1117
2022-12-29,1654,259,1395
2022-12-30,1703,242,1461
2022-12-31,2494,256,2238
2023-01-01,2102,213,1889
2023-01-02,1810,197,1613
2023-01-03,1729,338,1391
2023-01-04,1613,284,1329
2023-01-05,1666,256,1410
2023-01-06,1818,250,1568
2023-01-07,1921,250,1671
2023-01-08,1748,212,1536
2023-01-09,2015,282,1733
2023-01-10,1812,251,1561
2023-01-11,1942,229,1713
2023-01-12,2161,242,1919
2023-01-13,2146,291,1855
2023-01-14,2057,236,1821
2023-01-15,1991,220,1771
2023-01-16,1719,248,1471
2023-01-17,1796,239,1557
2023-01-18,1954,233,1721
2023-01-19,2030,225,1805
2023-01-20,1960,182,1778
2023-01-21,1930,154,1776
2023-01-22,1616,108,1508
2023-01-23,1575,169,1406
2023-01-24,1777,168,1609
2023-01-25,1594,166,1428
2023-01-26,1423,177,1246
2023-01-27,1233,176,1057
2023-01-28,1320,180,1140
2023-01-29,1499,231,1268
2023-01-30,1493,223,1270
2023-01-31,1521,219,1302
2023-02-01,1396,276,1120
2023-02-02,1294,273,1021
2023-02-03,1415,271,1144
2023-02-04,1610,216,1394
2023-02-05,1789,207,1582
2023-02-06,1529,247,1282
2023-02-07,1349,262,1087
2023-02-08,1615,248,1367
2023-02-09,1635,256,1379
2023-02-10,1881,253,1628
2023-02-11,1789,219,1570
2023-02-12,1953,194,1759
2023-02-13,1779,268,1511
2023-02-14,1627,253,1374
2023-02-15,1742,287,1455
2023-02-16,1555,251,1304
2023-02-17,1275,276,999
2023-02-18,1299,215,1084
2023-02-19,1272,211,1061
2023-02-20,1162,223,939
2023-02-21,1184,226,958
2023-02-22,1181,233,948
2023-02-23,1261,291,970
2023-02-24,1265,256,1009
2023-02-25,1333,220,1113
2023-02-26,1236,209,1027
2023-02-27,1221,271,950
2023-02-28,1169,225,944
2023-03-01,1193,240,953
2023-03-02,1233,268,965
2023-03-03,1245,256,989
2023-03-04,1314,239,1075
2023-03-05,1233,242,991
2023-03-06,1238,274,964
2023-03-07,1248,268,980
2023-03-08,1296,243,1053
2023-03-09,1264,278,986
2023-03-10,1290,290,1000
2023-03-11,1416,287,1129
2023-03-12,1230,218,1012
2023-03-13,1232,262,970
2023-03-14,1237,260,977
2023-03-15,1231,253,978
2023-03-16,1363,281,1082
2023-03-17,1892,417,1475
2023-03-18,1854,282,1572
2023-03-19,1978,279,1699
2023-03-20,1480,298,1182
2023-03-21,1486,329,1157
2023-03-22,1406,315,1091
2023-03-23,1510,335,1175
2023-03-24,1891,420,1471
2023-03-25,1773,319,1454
2023-03-26,1569,237,1332
2023-03-27,1391,301,1090
2023-03-28,1347,276,1071
2023-03-29,1356,284,1072
2023-03-30,1403,323,1080
2023-03-31,1680,333,1347
2023-04-01,2006,316,1690
2023-04-02,2153,264,1889
2023-04-03,1921,372,1549
2023-04-04,3436,623,2813
2023-04-05,4039,394,3645
2023-04-06,3881,645,3236
2023-04-07,2838,554,2284
2023-04-08,2236,350,1886
2023-04-09,2128,347,1781
2023-04-10,2365,454,1911
2023-04-11,2159,560,1599
2023-04-12,2035,437,1598
2023-04-13,1968,406,1562
2023-04-14,1907,414,1493
2023-04-15,1763,276,1487
2023-04-16,1585,233,1352
2023-04-17,1648,406,1242
2023-04-18,1673,364,1309
2023-04-19,1556,360,1196
2023-04-20,1566,363,1203
2023-04-21,1675,323,1352
2023-04-22,1710,231,1479
