Time,all,pc,wise
2022-10-01,3121,352,2769
2022-10-02,2646,290,2356
2022-10-03,3400,343,3057
2022-10-04,2840,366,2474
2022-10-05,2631,315,2316
2022-10-06,2609,363,2246
2022-10-07,2613,385,2228
2022-10-08,2412,397,2015
2022-10-09,2337,385,1952
2022-10-10,2229,381,1848
2022-10-11,4683,658,4025
2022-10-12,5004,869,4135
2022-10-13,3254,616,2638
2022-10-14,3113,498,2615
2022-10-15,2982,454,2528
2022-10-16,3212,363,2849
2022-10-17,2831,487,2344
2022-10-18,2904,526,2378
2022-10-19,2705,482,2223
2022-10-20,2550,450,2100
2022-10-21,2734,383,2351
2022-10-22,2644,327,2317
2022-10-23,2898,333,2565
2022-10-24,3056,395,2661
2022-10-25,3516,402,3114
2022-10-26,3157,453,2704
2022-10-27,2775,405,2370
2022-10-28,2624,347,2277
2022-10-29,2928,326,2602
2022-10-30,2516,148,2368
2022-10-31,2374,375,1999
2022-11-01,2176,375,1801
2022-11-02,2341,423,1918
2022-11-03,2596,721,1875
2022-11-04,2643,642,2001
2022-11-05,2232,340,1892
2022-11-06,2394,310,2084
2022-11-07,2183,349,1834
2022-11-08,2442,355,2087
2022-11-09,2390,420,1970
2022-11-10,2248,366,1882
2022-11-11,2267,355,1912
2022-11-12,6241,485,5756
2022-11-13,3553,381,3172
2022-11-14,2777,442,2335
2022-11-15,2586,417,2169
2022-11-16,2794,428,2366
2022-11-17,2718,431,2287
2022-11-18,2805,420,2385
2022-11-19,2789,357,2432
2022-11-20,2744,369,2375
2022-11-21,3051,543,2508
2022-11-22,3180,549,2631
2022-11-23,3032,479,2553
2022-11-24,2804,462,2342
2022-11-25,4833,743,4090
2022-11-26,5744,675,5069
2022-11-27,5167,577,4590
2022-11-28,3624,558,3066
2022-11-29,3055,462,2593
2022-11-30,2742,400,2342
2022-12-01,2468,392,2076
2022-12-02,2418,397,2021
2022-12-03,2485,408,2077
2022-12-04,2604,366,2238
2022-12-05,2429,397,2032
2022-12-06,2522,391,2131
2022-12-07,2375,416,1959
2022-12-08,2295,361,1934
2022-12-09,2271,358,1913
2022-12-10,2271,355,1916
2022-12-11,2647,309,2338
2022-12-12,2028,366,1662
2022-12-13,2113,338,1775
2022-12-14,2375,372,2003
2022-12-15,2255,371,1884
2022-12-16,4628,667,3961
2022-12-17,12352,1280,11072
2022-12-18,6154,848,5306
2022-12-19,4536,880,3656
2022-12-20,4256,846,3410
2022-12-21,3672,654,3018
2022-12-22,3299,564,2735
2022-12-23,3194,516,2678
2022-12-24,2933,409,2524
2022-12-25,3081,442,2639
2022-12-26,2953,533,2420
2022-12-27,3027,513,2514
2022-12-28,2845,478,2367
2022-12-29,2782,448,2334
2022-12-30,2902,468,2434
2022-12-31,37027,946,36081
2023-01-01,18487,849,17638
2023-01-02,8661,594,8067
2023-01-03,5392,785,4607
2023-01-04,4498,599,3899
2023-01-05,4279,564,3715
2023-01-06,3805,482,3323
2023-01-07,3835,437,3398
2023-01-08,3522,361,3161
2023-01-09,3380,515,2865
2023-01-10,3059,513,2546
2023-01-11,2933,436,2497
2023-01-12,3587,479,3108
2023-01-13,3324,412,2912
2023-01-14,3148,403,2745
2023-01-15,2909,326,2583
2023-01-16,3384,423,2961
2023-01-17,3158,439,2719
2023-01-18,2838,375,2463
2023-01-19,2454,287,2167
2023-01-20,3610,372,3238
2023-01-21,5130,298,4832
2023-01-22,3545,250,3295
2023-01-23,3291,250,3041
2023-01-24,3189,256,2933
2023-01-25,2465,225,2240
2023-01-26,2792,301,2491
2023-01-27,4006,257,3749
2023-01-28,3774,344,3430
2023-01-29,2627,425,2202
2023-01-30,2342,377,1965
2023-01-31,2491,457,2034
2023-02-01,2461,400,2061
2023-02-02,2445,408,2037
2023-02-03,4299,538,3761
2023-02-04,3263,433,2830
2023-02-05,2490,288,2202
2023-02-06,2144,395,1749
2023-02-07,2192,470,1722
2023-02-08,2190,439,1751
2023-02-09,2078,363,1715
2023-02-10,2132,408,1724
2023-02-11,2663,395,2268
2023-02-12,2526,349,2177
2023-02-13,2148,388,1760
2023-02-14,2065,403,1662
2023-02-15,1955,451,1504
2023-02-16,1921,355,1566
2023-02-17,2167,422,1745
2023-02-18,2048,299,1749
2023-02-19,1956,260,1696
2023-02-20,1898,364,1534
2023-02-21,1940,372,1568
2023-02-22,1956,394,1562
2023-02-23,2125,462,1663
2023-02-24,2235,381,1854
2023-02-25,2279,329,1950
2023-02-26,1979,291,1688
2023-02-27,1893,392,1501
2023-02-28,1781,329,1452
2023-03-01,1802,386,1416
2023-03-02,1781,340,1441
2023-03-03,1896,364,1532
2023-03-04,1992,326,1666
2023-03-05,1843,285,1558
2023-03-06,1655,346,1309
2023-03-07,1884,400,1484
2023-03-08,1780,336,1444
2023-03-09,1844,408,1436
2023-03-10,1873,341,1532
2023-03-11,2032,312,1720
2023-03-12,2051,265,1786
2023-03-13,1833,385,1448
2023-03-14,1924,383,1541
2023-03-15,1844,321,1523
2023-03-16,1936,324,1612
2023-03-17,2207,425,1782
2023-03-18,2088,279,1809
2023-03-19,2185,326,1859
2023-03-20,2070,380,1690
2023-03-21,2290,389,1901
2023-03-22,2456,419,2037
2023-03-23,2750,471,2279
2023-03-24,2522,442,2080
2023-03-25,2535,357,2178
2023-03-26,2417,312,2105
2023-03-27,2246,443,1803
2023-03-28,2324,457,1867
2023-03-29,2201,394,1807
2023-03-30,2220,414,1806
2023-03-31,2196,386,1810
2023-04-01,2124,335,1789
2023-04-02,2267,304,1963
2023-04-03,2134,439,1695
2023-04-04,2195,402,1793
2023-04-05,2320,335,1985
2023-04-06,2105,412,1693
2023-04-07,2215,388,1827
2023-04-08,2088,284,1804
2023-04-09,3054,307,2747
2023-04-10,2473,426,2047
2023-04-11,2332,405,1927
2023-04-12,2193,363,1830
2023-04-13,2595,499,2096
2023-04-14,2671,482,2189
2023-04-15,4797,957,3840
2023-04-16,2824,414,2410
2023-04-17,2486,476,2010
2023-04-18,3105,571,2534
2023-04-19,2485,502,1983
2023-04-20,2374,443,1931
2023-04-21,2424,568,1856
2023-04-22,2581,457,2124
