Time,all,pc,wise
2022-10-01,477,87,390
2022-10-02,559,116,443
2022-10-03,567,99,468
2022-10-04,567,116,451
2022-10-05,548,108,440
2022-10-06,541,118,423
2022-10-07,413,82,331
2022-10-08,469,93,376
2022-10-09,440,102,338
2022-10-10,441,114,327
2022-10-11,509,101,408
2022-10-12,483,97,386
2022-10-13,510,112,398
2022-10-14,538,116,422
2022-10-15,545,93,452
2022-10-16,521,101,420
2022-10-17,532,110,422
2022-10-18,538,104,434
2022-10-19,483,114,369
2022-10-20,477,93,384
2022-10-21,514,133,381
2022-10-22,587,112,475
2022-10-23,443,97,346
2022-10-24,548,146,402
2022-10-25,550,127,423
2022-10-26,573,123,450
2022-10-27,508,106,402
2022-10-28,515,97,418
2022-10-29,455,89,366
2022-10-30,443,76,367
2022-10-31,521,131,390
2022-11-01,427,110,317
2022-11-02,499,123,376
2022-11-03,435,114,321
2022-11-04,489,99,390
2022-11-05,487,83,404
2022-11-06,457,83,374
2022-11-07,430,93,337
2022-11-08,550,116,434
2022-11-09,460,104,356
2022-11-10,453,108,345
2022-11-11,416,85,331
2022-11-12,496,112,384
2022-11-13,456,93,363
2022-11-14,447,112,335
2022-11-15,464,80,384
2022-11-16,483,99,384
2022-11-17,510,108,402
2022-11-18,528,95,433
2022-11-19,560,85,475
2022-11-20,523,112,411
2022-11-21,474,104,370
2022-11-22,467,101,366
2022-11-23,438,104,334
2022-11-24,447,106,341
2022-11-25,465,114,351
2022-11-26,460,97,363
2022-11-27,442,87,355
2022-11-28,490,114,376
2022-11-29,638,110,528
2022-11-30,419,91,328
2022-12-01,435,118,317
2022-12-02,519,121,398
2022-12-03,501,97,404
2022-12-04,497,110,387
2022-12-05,628,97,531
2022-12-06,490,121,369
2022-12-07,481,120,361
2022-12-08,423,97,326
2022-12-09,491,114,377
2022-12-10,499,95,404
2022-12-11,493,93,400
2022-12-12,447,112,335
2022-12-13,437,114,323
2022-12-14,386,101,285
2022-12-15,417,118,299
2022-12-16,434,97,337
2022-12-17,418,91,327
2022-12-18,404,101,303
2022-12-19,352,95,257
2022-12-20,374,93,281
2022-12-21,368,93,275
2022-12-22,429,91,338
2022-12-23,384,97,287
2022-12-24,411,76,335
2022-12-25,415,89,326
2022-12-26,394,91,303
2022-12-27,404,101,303
2022-12-28,410,104,306
2022-12-29,444,106,338
2022-12-30,406,101,305
2022-12-31,519,93,426
2023-01-01,406,104,302
2023-01-02,425,99,326
2023-01-03,413,101,312
2023-01-04,423,114,309
2023-01-05,448,99,349
2023-01-06,567,112,455
2023-01-07,530,104,426
2023-01-08,452,89,363
2023-01-09,421,101,320
2023-01-10,437,102,335
2023-01-11,434,120,314
2023-01-12,467,91,376
2023-01-13,442,91,351
2023-01-14,471,95,376
2023-01-15,501,97,404
2023-01-16,398,104,294
2023-01-17,405,99,306
2023-01-18,374,89,285
2023-01-19,462,97,365
2023-01-20,475,85,390
2023-01-21,780,76,704
2023-01-22,520,93,427
2023-01-23,406,78,328
2023-01-24,353,76,277
2023-01-25,423,93,330
2023-01-26,380,68,312
2023-01-27,433,80,353
2023-01-28,402,104,298
2023-01-29,398,95,303
2023-01-30,411,108,303
2023-01-31,454,89,365
2023-02-01,422,99,323
2023-02-02,447,102,345
2023-02-03,499,106,393
2023-02-04,562,87,475
2023-02-05,509,95,414
2023-02-06,464,104,360
2023-02-07,416,101,315
2023-02-08,456,112,344
2023-02-09,504,120,384
2023-02-10,493,114,379
2023-02-11,487,108,379
2023-02-12,448,82,366
2023-02-13,474,114,360
2023-02-14,458,102,356
2023-02-15,520,137,383
2023-02-16,471,118,353
2023-02-17,510,127,383
2023-02-18,459,85,374
2023-02-19,480,66,414
2023-02-20,432,101,331
2023-02-21,393,87,306
2023-02-22,397,108,289
2023-02-23,443,108,335
2023-02-24,467,97,370
2023-02-25,462,106,356
2023-02-26,417,93,324
2023-02-27,386,76,310
2023-02-28,411,95,316
2023-03-01,406,97,309
2023-03-02,460,112,348
2023-03-03,526,129,397
2023-03-04,514,91,423
2023-03-05,501,93,408
2023-03-06,446,116,330
2023-03-07,437,116,321
2023-03-08,474,108,366
2023-03-09,432,101,331
2023-03-10,496,112,384
2023-03-11,455,85,370
2023-03-12,425,72,353
2023-03-13,420,99,321
2023-03-14,409,101,308
2023-03-15,454,114,340
2023-03-16,552,133,419
2023-03-17,736,166,570
2023-03-18,657,104,553
2023-03-19,556,83,473
2023-03-20,458,110,348
2023-03-21,475,127,348
2023-03-22,501,104,397
2023-03-23,537,139,398
2023-03-24,620,137,483
2023-03-25,478,118,360
2023-03-26,492,106,386
2023-03-27,491,129,362
2023-03-28,458,99,359
2023-03-29,505,133,372
2023-03-30,504,116,388
2023-03-31,624,121,503
2023-04-01,475,91,384
2023-04-02,499,83,416
2023-04-03,506,112,394
2023-04-04,521,112,409
2023-04-05,562,102,460
2023-04-06,565,97,468
2023-04-07,509,114,395
2023-04-08,460,91,369
2023-04-09,469,89,380
2023-04-10,434,97,337
2023-04-11,504,125,379
2023-04-12,535,144,391
2023-04-13,501,118,383
2023-04-14,511,118,393
2023-04-15,453,83,370
2023-04-16,474,104,370
2023-04-17,445,112,333
2023-04-18,498,118,380
2023-04-19,494,110,384
2023-04-20,560,140,420
2023-04-21,544,112,432
2023-04-22,449,80,369
