Time,all,pc,wise
2022-10-01,8070,400,7670
2022-10-02,4640,352,4288
2022-10-03,3072,389,2683
2022-10-04,2813,471,2342
2022-10-05,2326,299,2027
2022-10-06,2329,316,2013
2022-10-07,2170,293,1877
2022-10-08,1983,357,1626
2022-10-09,1993,371,1622
2022-10-10,1950,386,1564
2022-10-11,2472,434,2038
2022-10-12,14980,3079,11901
2022-10-13,15830,1881,13949
2022-10-14,10885,983,9902
2022-10-15,12162,856,11306
2022-10-16,11399,846,10553
2022-10-17,13599,985,12614
2022-10-18,15598,1131,14467
2022-10-19,15716,1042,14674
2022-10-20,16906,956,15950
2022-10-21,19387,960,18427
2022-10-22,65638,1121,64517
2022-10-23,232023,3512,228511
2022-10-24,237606,7184,230422
2022-10-25,220607,8015,212592
2022-10-26,170499,6067,164432
2022-10-27,174083,5598,168485
2022-10-28,100955,3402,97553
2022-10-29,70876,2211,68665
2022-10-30,56245,1475,54770
2022-10-31,36841,1540,35301
2022-11-01,30098,1200,28898
2022-11-02,22588,1017,21571
2022-11-03,18882,932,17950
2022-11-04,16940,907,16033
2022-11-05,17738,771,16967
2022-11-06,14582,637,13945
2022-11-07,11839,884,10955
2022-11-08,10892,856,10036
2022-11-09,10198,843,9355
2022-11-10,8278,681,7597
2022-11-11,7703,658,7045
2022-11-12,8914,551,8363
2022-11-13,8293,416,7877
2022-11-14,6941,654,6287
2022-11-15,6608,639,5969
2022-11-16,7131,554,6577
2022-11-17,8362,859,7503
2022-11-18,7386,744,6642
2022-11-19,7153,465,6688
2022-11-20,7496,423,7073
2022-11-21,6066,599,5467
2022-11-22,6499,609,5890
2022-11-23,5661,492,5169
2022-11-24,5944,585,5359
2022-11-25,6145,543,5602
2022-11-26,5294,400,4894
2022-11-27,5126,369,4757
2022-11-28,4721,487,4234
2022-11-29,3948,471,3477
2022-11-30,4177,426,3751
2022-12-01,4291,434,3857
2022-12-02,4222,457,3765
2022-12-03,4139,338,3801
2022-12-04,3927,296,3631
2022-12-05,3681,453,3228
2022-12-06,3754,502,3252
2022-12-07,3537,426,3111
2022-12-08,3913,453,3460
2022-12-09,4148,498,3650
2022-12-10,3583,304,3279
2022-12-11,3749,349,3400
2022-12-12,3482,371,3111
2022-12-13,3411,399,3012
2022-12-14,3770,377,3393
2022-12-15,4266,315,3951
2022-12-16,4473,411,4062
2022-12-17,4203,329,3874
2022-12-18,3799,247,3552
2022-12-19,3552,346,3206
2022-12-20,3527,377,3150
2022-12-21,3390,369,3021
2022-12-22,3603,363,3240
2022-12-23,5730,420,5310
2022-12-24,5923,406,5517
2022-12-25,5157,358,4799
2022-12-26,4360,465,3895
2022-12-27,5012,516,4496
2022-12-28,4859,468,4391
2022-12-29,4454,493,3961
2022-12-30,4733,515,4218
2022-12-31,27407,872,26535
2023-01-01,19451,828,18623
2023-01-02,9736,631,9105
2023-01-03,6886,710,6176
2023-01-04,5642,557,5085
2023-01-05,5240,600,4640
2023-01-06,7644,715,6929
2023-01-07,9800,704,9096
2023-01-08,6423,485,5938
2023-01-09,5287,564,4723
2023-01-10,4751,591,4160
2023-01-11,4778,827,3951
2023-01-12,4096,470,3626
2023-01-13,4324,502,3822
2023-01-14,4826,425,4401
2023-01-15,4715,341,4374
2023-01-16,4039,433,3606
2023-01-17,3706,371,3335
2023-01-18,4699,364,4335
2023-01-19,4910,397,4513
2023-01-20,5065,316,4749
2023-01-21,11802,338,11464
2023-01-22,8850,355,8495
2023-01-23,6029,287,5742
2023-01-24,5422,279,5143
2023-01-25,4678,256,4422
2023-01-26,6952,285,6667
2023-01-27,4807,329,4478
2023-01-28,3834,355,3479
2023-01-29,3679,344,3335
2023-01-30,3499,447,3052
2023-01-31,3910,512,3398
2023-02-01,3391,371,3020
2023-02-02,4942,453,4489
2023-02-03,4333,490,3843
2023-02-04,4928,380,4548
2023-02-05,4578,344,4234
2023-02-06,3405,408,2997
2023-02-07,3392,448,2944
2023-02-08,3306,454,2852
2023-02-09,3087,436,2651
2023-02-10,3457,394,3063
2023-02-11,3362,352,3010
2023-02-12,3385,357,3028
2023-02-13,3169,437,2732
2023-02-14,2759,464,2295
2023-02-15,2818,412,2406
2023-02-16,3099,406,2693
2023-02-17,3327,440,2887
2023-02-18,3521,352,3169
2023-02-19,3405,310,3095
2023-02-20,2988,414,2574
2023-02-21,3189,389,2800
2023-02-22,3483,495,2988
2023-02-23,4418,836,3582
2023-02-24,7570,831,6739
2023-02-25,5971,535,5436
2023-02-26,4625,383,4242
2023-02-27,3904,515,3389
2023-02-28,3753,532,3221
2023-03-01,3618,549,3069
2023-03-02,3557,518,3039
2023-03-03,3259,457,2802
2023-03-04,3511,319,3192
2023-03-05,3506,309,3197
2023-03-06,3304,428,2876
2023-03-07,3228,430,2798
2023-03-08,3685,857,2828
2023-03-09,3763,754,3009
2023-03-10,4961,690,4271
2023-03-11,4505,374,4131
2023-03-12,3439,310,3129
2023-03-13,3055,451,2604
2023-03-14,2931,488,2443
2023-03-15,3150,493,2657
2023-03-16,2675,498,2177
2023-03-17,3249,464,2785
2023-03-18,2881,301,2580
2023-03-19,2950,299,2651
2023-03-20,2498,403,2095
2023-03-21,2964,526,2438
2023-03-22,3097,578,2519
2023-03-23,3012,527,2485
2023-03-24,3644,658,2986
2023-03-25,6723,566,6157
2023-03-26,5267,448,4819
2023-03-27,4273,786,3487
2023-03-28,3800,583,3217
2023-03-29,3728,648,3080
2023-03-30,4330,639,3691
2023-03-31,3720,513,3207
2023-04-01,3645,312,3333
2023-04-02,3870,341,3529
2023-04-03,4124,616,3508
2023-04-04,5105,684,4421
2023-04-05,3793,347,3446
2023-04-06,3078,481,2597
2023-04-07,2889,487,2402
2023-04-08,2930,346,2584
2023-04-09,2973,267,2706
2023-04-10,3063,507,2556
2023-04-11,2739,459,2280
2023-04-12,2537,422,2115
2023-04-13,2998,569,2429
2023-04-14,2876,473,2403
2023-04-15,2741,288,2453
2023-04-16,2353,260,2093
2023-04-17,3085,606,2479
2023-04-18,3462,532,2930
2023-04-19,2575,451,2124
2023-04-20,2352,400,1952
2023-04-21,2499,409,2090
2023-04-22,2766,264,2502
