Time,all,pc,wise
2022-10-01,8291,530,7761
2022-10-02,4933,468,4465
2022-10-03,7171,419,6752
2022-10-04,5773,406,5367
2022-10-05,8140,389,7751
2022-10-06,6892,521,6371
2022-10-07,8077,490,7587
2022-10-08,6531,617,5914
2022-10-09,4470,440,4030
2022-10-10,3212,374,2838
2022-10-11,2897,397,2500
2022-10-12,2530,378,2152
2022-10-13,2361,366,1995
2022-10-14,3090,358,2732
2022-10-15,3229,395,2834
2022-10-16,2458,279,2179
2022-10-17,1921,358,1563
2022-10-18,1755,315,1440
2022-10-19,1685,273,1412
2022-10-20,1762,312,1450
2022-10-21,1769,240,1529
2022-10-22,2020,226,1794
2022-10-23,1828,248,1580
2022-10-24,1566,268,1298
2022-10-25,1420,247,1173
2022-10-26,1536,276,1260
2022-10-27,1534,270,1264
2022-10-28,8163,423,7740
2022-10-29,16021,1792,14229
2022-10-30,10507,842,9665
2022-10-31,5600,837,4763
2022-11-01,4874,741,4133
2022-11-02,3262,502,2760
2022-11-03,2922,409,2513
2022-11-04,3056,437,2619
2022-11-05,2728,341,2387
2022-11-06,2448,288,2160
2022-11-07,1832,301,1531
2022-11-08,1720,298,1422
2022-11-09,1458,231,1227
2022-11-10,1501,264,1237
2022-11-11,1473,257,1216
2022-11-12,1748,264,1484
2022-11-13,1754,247,1507
2022-11-14,1343,236,1107
2022-11-15,1680,380,1300
2022-11-16,1395,265,1130
2022-11-17,1348,285,1063
2022-11-18,1449,222,1227
2022-11-19,1518,201,1317
2022-11-20,1567,216,1351
2022-11-21,1295,245,1050
2022-11-22,1204,239,965
2022-11-23,1163,208,955
2022-11-24,1224,253,971
2022-11-25,1505,259,1246
2022-11-26,1581,240,1341
2022-11-27,1395,229,1166
2022-11-28,1394,267,1127
2022-11-29,1610,225,1385
2022-11-30,1198,207,991
2022-12-01,1190,216,974
2022-12-02,1213,213,1000
2022-12-03,1376,177,1199
2022-12-04,3459,234,3225
2022-12-05,2506,285,2221
2022-12-06,1920,234,1686
2022-12-07,1452,265,1187
2022-12-08,1419,245,1174
2022-12-09,1414,231,1183
2022-12-10,1334,190,1144
2022-12-11,1226,172,1054
2022-12-12,1155,194,961
2022-12-13,1234,259,975
2022-12-14,1148,211,937
2022-12-15,1156,201,955
2022-12-16,1190,213,977
2022-12-17,1211,213,998
2022-12-18,1163,165,998
2022-12-19,1116,183,933
2022-12-20,1152,198,954
2022-12-21,1161,187,974
2022-12-22,1292,236,1056
2022-12-23,1379,253,1126
2022-12-24,1886,219,1667
2022-12-25,2031,250,1781
2022-12-26,1899,312,1587
2022-12-27,1609,290,1319
2022-12-28,1437,307,1130
2022-12-29,1360,270,1090
2022-12-30,1433,242,1191
2022-12-31,1564,213,1351
2023-01-01,1912,218,1694
2023-01-02,2655,273,2382
2023-01-03,2467,375,2092
2023-01-04,2131,388,1743
2023-01-05,1849,394,1455
2023-01-06,1463,262,1201
2023-01-07,10512,863,9649
2023-01-08,7087,563,6524
2023-01-09,5098,880,4218
2023-01-10,3327,721,2606
2023-01-11,2767,470,2297
2023-01-12,1938,340,1598
2023-01-13,1740,287,1453
2023-01-14,2204,271,1933
2023-01-15,2289,247,2042
2023-01-16,1973,284,1689
2023-01-17,2183,312,1871
2023-01-18,1852,220,1632
2023-01-19,1618,223,1395
2023-01-20,1554,223,1331
2023-01-21,1854,163,1691
2023-01-22,2295,187,2108
2023-01-23,2020,194,1826
2023-01-24,1327,180,1147
2023-01-25,1327,162,1165
2023-01-26,1302,162,1140
2023-01-27,1336,197,1139
2023-01-28,1159,187,972
2023-01-29,1177,212,965
2023-01-30,1185,231,954
2023-01-31,1212,239,973
2023-02-01,1313,304,1009
2023-02-02,1318,218,1100
2023-02-03,1651,375,1276
2023-02-04,2844,366,2478
2023-02-05,2947,237,2710
2023-02-06,2399,330,2069
2023-02-07,1772,291,1481
2023-02-08,1486,268,1218
2023-02-09,1220,242,978
2023-02-10,1219,251,968
2023-02-11,1143,166,977
2023-02-12,1148,177,971
2023-02-13,1189,239,950
2023-02-14,1457,341,1116
2023-02-15,1329,333,996
2023-02-16,1200,262,938
2023-02-17,1163,242,921
2023-02-18,1127,184,943
2023-02-19,1150,180,970
2023-02-20,1123,197,926
2023-02-21,1317,265,1052
2023-02-22,1355,377,978
2023-02-23,5982,1182,4800
2023-02-24,9477,1131,8346
2023-02-25,5711,639,5072
2023-02-26,3364,290,3074
2023-02-27,4333,608,3725
2023-02-28,1758,332,1426
2023-03-01,1606,284,1322
2023-03-02,1926,318,1608
2023-03-03,3609,854,2755
2023-03-04,1636,209,1427
2023-03-05,1804,273,1531
2023-03-06,2079,336,1743
2023-03-07,2203,302,1901
2023-03-08,4639,391,4248
2023-03-09,3987,533,3454
2023-03-10,1865,323,1542
2023-03-11,1636,209,1427
2023-03-12,1536,186,1350
2023-03-13,1593,273,1320
2023-03-14,1491,236,1255
2023-03-15,1289,274,1015
2023-03-16,1287,229,1058
2023-03-17,1298,260,1038
2023-03-18,1340,183,1157
2023-03-19,1391,197,1194
2023-03-20,1195,209,986
2023-03-21,1332,239,1093
2023-03-22,1249,218,1031
2023-03-23,1165,211,954
2023-03-24,1164,219,945
2023-03-25,1175,176,999
2023-03-26,1146,157,989
2023-03-27,1166,231,935
2023-03-28,1131,194,937
2023-03-29,1183,218,965
2023-03-30,1145,211,934
2023-03-31,1136,194,942
2023-04-01,1157,184,973
2023-04-02,1177,191,986
2023-04-03,1126,200,926
2023-04-04,1138,207,931
2023-04-05,1157,194,963
2023-04-06,1337,400,937
2023-04-07,1819,623,1196
2023-04-08,1169,212,957
2023-04-09,1122,170,952
2023-04-10,1077,187,890
2023-04-11,1082,191,891
2023-04-12,1160,251,909
2023-04-13,1131,207,924
2023-04-14,1111,191,920
2023-04-15,1111,161,950
2023-04-16,1126,173,953
2023-04-17,1129,212,917
2023-04-18,1110,191,919
2023-04-19,1102,200,902
2023-04-20,1087,186,901
2023-04-21,1081,168,913
2023-04-22,1095,162,933
