Time,all,pc,wise
2022-10-01,2049,290,1759
2022-10-02,2234,279,1955
2022-10-03,2268,264,2004
2022-10-04,2138,293,1845
2022-10-05,2055,343,1712
2022-10-06,1899,287,1612
2022-10-07,1925,265,1660
2022-10-08,1924,405,1519
2022-10-09,1884,354,1530
2022-10-10,1826,395,1431
2022-10-11,1852,408,1444
2022-10-12,1933,392,1541
2022-10-13,2111,417,1694
2022-10-14,2218,381,1837
2022-10-15,2210,329,1881
2022-10-16,2025,254,1771
2022-10-17,2424,363,2061
2022-10-18,2150,375,1775
2022-10-19,2121,388,1733
2022-10-20,2178,377,1801
2022-10-21,2225,431,1794
2022-10-22,2206,316,1890
2022-10-23,2094,291,1803
2022-10-24,2013,422,1591
2022-10-25,2077,341,1736
2022-10-26,2072,386,1686
2022-10-27,2074,358,1716
2022-10-28,2188,381,1807
2022-10-29,2288,329,1959
2022-10-30,1883,140,1743
2022-10-31,1882,402,1480
2022-11-01,1922,428,1494
2022-11-02,1757,309,1448
2022-11-03,1923,324,1599
2022-11-04,1966,360,1606
2022-11-05,1929,340,1589
2022-11-06,2031,295,1736
2022-11-07,1978,358,1620
2022-11-08,1945,358,1587
2022-11-09,2060,360,1700
2022-11-10,2000,386,1614
2022-11-11,2134,326,1808
2022-11-12,2307,274,2033
2022-11-13,2330,307,2023
2022-11-14,2171,333,1838
2022-11-15,2207,336,1871
2022-11-16,1912,367,1545
2022-11-17,1986,371,1615
2022-11-18,1960,326,1634
2022-11-19,1985,270,1715
2022-11-20,1966,301,1665
2022-11-21,1651,295,1356
2022-11-22,1579,247,1332
2022-11-23,1583,285,1298
2022-11-24,1584,267,1317
2022-11-25,1679,309,1370
2022-11-26,1817,268,1549
2022-11-27,1959,260,1699
2022-11-28,1802,268,1534
2022-11-29,1818,335,1483
2022-11-30,1635,302,1333
2022-12-01,1562,288,1274
2022-12-02,1646,279,1367
2022-12-03,1892,250,1642
2022-12-04,1869,233,1636
2022-12-05,1590,262,1328
2022-12-06,1694,274,1420
2022-12-07,1598,309,1289
2022-12-08,1738,326,1412
2022-12-09,1758,338,1420
2022-12-10,1834,288,1546
2022-12-11,1632,276,1356
2022-12-12,1521,318,1203
2022-12-13,1539,302,1237
2022-12-14,1396,287,1109
2022-12-15,1609,262,1347
2022-12-16,1546,287,1259
2022-12-17,1550,248,1302
2022-12-18,1530,253,1277
2022-12-19,1308,260,1048
2022-12-20,1330,243,1087
2022-12-21,1481,270,1211
2022-12-22,1483,271,1212
2022-12-23,1549,270,1279
2022-12-24,1671,207,1464
2022-12-25,1635,220,1415
2022-12-26,1561,330,1231
2022-12-27,1539,278,1261
2022-12-28,2022,341,1681
2022-12-29,1941,321,1620
2022-12-30,1673,295,1378
2022-12-31,2610,285,2325
2023-01-01,2031,229,1802
2023-01-02,1857,239,1618
2023-01-03,1613,296,1317
2023-01-04,1624,336,1288
2023-01-05,1649,302,1347
2023-01-06,1769,332,1437
2023-01-07,1800,291,1509
2023-01-08,1813,254,1559
2023-01-09,1620,329,1291
2023-01-10,1601,265,1336
2023-01-11,1657,352,1305
2023-01-12,1748,329,1419
2023-01-13,1902,307,1595
2023-01-14,1951,282,1669
2023-01-15,1670,229,1441
2023-01-16,1538,285,1253
2023-01-17,1582,271,1311
2023-01-18,1448,260,1188
2023-01-19,1539,237,1302
2023-01-20,1520,205,1315
2023-01-21,1362,152,1210
2023-01-22,1418,193,1225
2023-01-23,1559,182,1377
2023-01-24,1565,175,1390
2023-01-25,1559,190,1369
2023-01-26,1520,177,1343
2023-01-27,1749,204,1545
2023-01-28,1478,219,1259
2023-01-29,1538,279,1259
2023-01-30,1417,276,1141
2023-01-31,1553,291,1262
2023-02-01,1520,250,1270
2023-02-02,1536,296,1240
2023-02-03,1648,301,1347
2023-02-04,1708,256,1452
2023-02-05,1700,236,1464
2023-02-06,1560,288,1272
2023-02-07,1583,343,1240
2023-02-08,1680,405,1275
2023-02-09,1533,274,1259
2023-02-10,1539,304,1235
2023-02-11,1772,250,1522
2023-02-12,1649,234,1415
2023-02-13,1542,296,1246
2023-02-14,1496,284,1212
2023-02-15,1559,278,1281
2023-02-16,1544,287,1257
2023-02-17,1631,333,1298
2023-02-18,1675,247,1428
2023-02-19,1552,218,1334
2023-02-20,1447,321,1126
2023-02-21,1502,315,1187
2023-02-22,1456,296,1160
2023-02-23,1523,347,1176
2023-02-24,1713,299,1414
2023-02-25,1691,208,1483
2023-02-26,1494,211,1283
2023-02-27,1450,318,1132
2023-02-28,1476,335,1141
2023-03-01,1440,285,1155
2023-03-02,1489,291,1198
2023-03-03,1588,295,1293
2023-03-04,1689,242,1447
2023-03-05,1554,242,1312
2023-03-06,1418,315,1103
2023-03-07,1495,291,1204
2023-03-08,1605,374,1231
2023-03-09,1601,333,1268
2023-03-10,1572,298,1274
2023-03-11,1716,285,1431
2023-03-12,1586,256,1330
2023-03-13,1508,340,1168
2023-03-14,1501,293,1208
2023-03-15,1606,304,1302
2023-03-16,1716,318,1398
2023-03-17,2287,360,1927
2023-03-18,2177,301,1876
2023-03-19,1991,256,1735
2023-03-20,1682,313,1369
2023-03-21,1833,346,1487
2023-03-22,1853,360,1493
2023-03-23,1797,309,1488
2023-03-24,1896,391,1505
2023-03-25,1851,271,1580
2023-03-26,1710,234,1476
2023-03-27,1540,285,1255
2023-03-28,1650,335,1315
2023-03-29,1567,310,1257
2023-03-30,1731,333,1398
2023-03-31,1779,388,1391
2023-04-01,1737,273,1464
2023-04-02,1723,226,1497
2023-04-03,1675,361,1314
2023-04-04,1954,377,1577
2023-04-05,1918,282,1636
2023-04-06,1776,341,1435
2023-04-07,1747,302,1445
2023-04-08,1633,220,1413
2023-04-09,1684,198,1486
2023-04-10,1681,291,1390
2023-04-11,1795,326,1469
2023-04-12,1734,301,1433
2023-04-13,1860,290,1570
2023-04-14,2123,347,1776
2023-04-15,1812,257,1555
2023-04-16,1673,229,1444
2023-04-17,1509,290,1219
2023-04-18,1702,349,1353
2023-04-19,1629,305,1324
2023-04-20,1739,315,1424
2023-04-21,1854,335,1519
2023-04-22,1843,307,1536
