Time,all,pc,wise
2022-10-01,3769,361,3408
2022-10-02,3555,375,3180
2022-10-03,4819,346,4473
2022-10-04,4008,389,3619
2022-10-05,6519,423,6096
2022-10-06,5343,488,4855
2022-10-07,7131,523,6608
2022-10-08,4948,589,4359
2022-10-09,3890,454,3436
2022-10-10,3069,459,2610
2022-10-11,2855,468,2387
2022-10-12,2752,448,2304
2022-10-13,2580,439,2141
2022-10-14,2618,406,2212
2022-10-15,3154,386,2768
2022-10-16,2742,426,2316
2022-10-17,2389,447,1942
2022-10-18,2194,433,1761
2022-10-19,2171,408,1763
2022-10-20,2178,423,1755
2022-10-21,2228,419,1809
2022-10-22,2559,364,2195
2022-10-23,2431,336,2095
2022-10-24,2006,364,1642
2022-10-25,2140,385,1755
2022-10-26,2052,403,1649
2022-10-27,2099,426,1673
2022-10-28,7649,504,7145
2022-10-29,11055,814,10241
2022-10-30,6621,207,6414
2022-10-31,4056,481,3575
2022-11-01,3499,453,3046
2022-11-02,3185,428,2757
2022-11-03,3084,499,2585
2022-11-04,2897,428,2469
2022-11-05,3170,377,2793
2022-11-06,2904,344,2560
2022-11-07,2160,354,1806
2022-11-08,2172,411,1761
2022-11-09,2201,419,1782
2022-11-10,1922,374,1548
2022-11-11,2034,354,1680
2022-11-12,2484,338,2146
2022-11-13,2215,304,1911
2022-11-14,1991,385,1606
2022-11-15,2052,416,1636
2022-11-16,2003,305,1698
2022-11-17,2010,324,1686
2022-11-18,2108,363,1745
2022-11-19,2280,321,1959
2022-11-20,2135,310,1825
2022-11-21,1924,309,1615
2022-11-22,1900,411,1489
2022-11-23,1726,344,1382
2022-11-24,1771,354,1417
2022-11-25,1915,335,1580
2022-11-26,1991,343,1648
2022-11-27,1988,330,1658
2022-11-28,1778,309,1469
2022-11-29,1736,318,1418
2022-11-30,3757,859,2898
2022-12-01,2411,551,1860
2022-12-02,2170,377,1793
2022-12-03,2362,288,2074
2022-12-04,2079,274,1805
2022-12-05,1855,361,1494
2022-12-06,1963,326,1637
2022-12-07,1702,326,1376
2022-12-08,1699,287,1412
2022-12-09,1948,312,1636
2022-12-10,2114,282,1832
2022-12-11,1856,262,1594
2022-12-12,1574,267,1307
2022-12-13,1589,321,1268
2022-12-14,1510,316,1194
2022-12-15,1566,315,1251
2022-12-16,1829,319,1510
2022-12-17,1864,273,1591
2022-12-18,1736,253,1483
2022-12-19,1469,282,1187
2022-12-20,1495,274,1221
2022-12-21,1556,301,1255
2022-12-22,1614,288,1326
2022-12-23,1714,287,1427
2022-12-24,1822,281,1541
2022-12-25,2623,254,2369
2022-12-26,1624,296,1328
2022-12-27,1627,304,1323
2022-12-28,1711,323,1388
2022-12-29,1787,340,1447
2022-12-30,1798,299,1499
2022-12-31,2528,290,2238
2023-01-01,2161,273,1888
2023-01-02,1957,304,1653
2023-01-03,1822,347,1475
2023-01-04,1673,335,1338
2023-01-05,1656,341,1315
2023-01-06,1989,349,1640
2023-01-07,2031,315,1716
2023-01-08,1991,305,1686
2023-01-09,1852,313,1539
2023-01-10,1785,276,1509
2023-01-11,1797,324,1473
2023-01-12,1831,321,1510
2023-01-13,2176,327,1849
2023-01-14,2163,279,1884
2023-01-15,2028,245,1783
2023-01-16,1792,288,1504
2023-01-17,1737,276,1461
2023-01-18,1703,281,1422
2023-01-19,1551,237,1314
2023-01-20,1504,212,1292
2023-01-21,1368,186,1182
2023-01-22,1475,184,1291
2023-01-23,1651,187,1464
2023-01-24,1752,186,1566
2023-01-25,1640,190,1450
2023-01-26,1626,193,1433
2023-01-27,1613,200,1413
2023-01-28,1540,215,1325
2023-01-29,1644,298,1346
2023-01-30,1605,309,1296
2023-01-31,1707,323,1384
2023-02-01,1632,270,1362
2023-02-02,1711,321,1390
2023-02-03,1789,321,1468
2023-02-04,1822,225,1597
2023-02-05,1626,240,1386
2023-02-06,1441,254,1187
2023-02-07,1509,330,1179
2023-02-08,1519,349,1170
2023-02-09,1606,330,1276
2023-02-10,1625,309,1316
2023-02-11,1759,259,1500
2023-02-12,2529,330,2199
2023-02-13,1705,388,1317
2023-02-14,1795,420,1375
2023-02-15,1649,361,1288
2023-02-16,1577,366,1211
2023-02-17,1717,329,1388
2023-02-18,1744,287,1457
2023-02-19,1663,271,1392
2023-02-20,1539,302,1237
2023-02-21,1616,383,1233
2023-02-22,1618,394,1224
2023-02-23,1905,414,1491
2023-02-24,1947,363,1584
2023-02-25,1829,245,1584
2023-02-26,1713,288,1425
2023-02-27,1585,321,1264
2023-02-28,1646,329,1317
2023-03-01,1640,344,1296
2023-03-02,1652,378,1274
2023-03-03,1785,333,1452
2023-03-04,1875,293,1582
2023-03-05,1850,326,1524
2023-03-06,1652,330,1322
2023-03-07,1603,391,1212
2023-03-08,1683,323,1360
2023-03-09,1588,357,1231
2023-03-10,1590,357,1233
2023-03-11,1693,278,1415
2023-03-12,1672,288,1384
2023-03-13,1966,453,1513
2023-03-14,1660,329,1331
2023-03-15,1666,344,1322
2023-03-16,1784,419,1365
2023-03-17,1854,366,1488
2023-03-18,1874,285,1589
2023-03-19,1939,305,1634
2023-03-20,1680,367,1313
2023-03-21,1703,326,1377
2023-03-22,1801,400,1401
2023-03-23,1751,375,1376
2023-03-24,1825,366,1459
2023-03-25,1869,301,1568
2023-03-26,1770,248,1522
2023-03-27,1594,371,1223
2023-03-28,1727,411,1316
2023-03-29,1726,397,1329
2023-03-30,1931,439,1492
2023-03-31,2045,381,1664
2023-04-01,1902,301,1601
2023-04-02,1943,309,1634
2023-04-03,1686,350,1336
2023-04-04,1882,399,1483
2023-04-05,1875,287,1588
2023-04-06,3310,861,2449
2023-04-07,2889,656,2233
2023-04-08,2347,358,1989
2023-04-09,2065,288,1777
2023-04-10,1936,425,1511
2023-04-11,2204,490,1714
2023-04-12,2024,445,1579
2023-04-13,2026,448,1578
2023-04-14,2105,422,1683
2023-04-15,2118,310,1808
2023-04-16,1949,302,1647
2023-04-17,1782,367,1415
2023-04-18,1777,346,1431
2023-04-19,2023,397,1626
2023-04-20,2186,490,1696
2023-04-21,2204,467,1737
2023-04-22,2305,336,1969
