Time,all,pc,wise
2022-10-01,3443,310,3133
2022-10-02,3506,332,3174
2022-10-03,3370,380,2990
2022-10-04,3177,360,2817
2022-10-05,3308,340,2968
2022-10-06,3039,358,2681
2022-10-07,2965,369,2596
2022-10-08,2581,352,2229
2022-10-09,2662,412,2250
2022-10-10,2545,347,2198
2022-10-11,2497,402,2095
2022-10-12,2612,399,2213
2022-10-13,3004,549,2455
2022-10-14,2922,403,2519
2022-10-15,3318,409,2909
2022-10-16,2987,405,2582
2022-10-17,2656,395,2261
2022-10-18,2674,406,2268
2022-10-19,2663,442,2221
2022-10-20,2830,443,2387
2022-10-21,2887,436,2451
2022-10-22,3125,386,2739
2022-10-23,3309,385,2924
2022-10-24,2771,499,2272
2022-10-25,2672,395,2277
2022-10-26,2719,434,2285
2022-10-27,2946,454,2492
2022-10-28,2836,397,2439
2022-10-29,3070,433,2637
2022-10-30,2737,159,2578
2022-10-31,2588,408,2180
2022-11-01,2553,330,2223
2022-11-02,2603,408,2195
2022-11-03,2678,434,2244
2022-11-04,2560,316,2244
2022-11-05,2895,329,2566
2022-11-06,3067,338,2729
2022-11-07,2692,375,2317
2022-11-08,2475,319,2156
2022-11-09,2803,454,2349
2022-11-10,2589,360,2229
2022-11-11,2683,416,2267
2022-11-12,2986,420,2566
2022-11-13,2876,304,2572
2022-11-14,2655,399,2256
2022-11-15,2679,419,2260
2022-11-16,2694,414,2280
2022-11-17,2633,367,2266
2022-11-18,2764,371,2393
2022-11-19,3136,336,2800
2022-11-20,3194,346,2848
2022-11-21,2781,411,2370
2022-11-22,2838,436,2402
2022-11-23,2515,388,2127
2022-11-24,2477,355,2122
2022-11-25,2710,383,2327
2022-11-26,2907,375,2532
2022-11-27,3296,385,2911
2022-11-28,2671,459,2212
2022-11-29,2667,434,2233
2022-11-30,2475,355,2120
2022-12-01,2609,397,2212
2022-12-02,2624,374,2250
2022-12-03,2561,304,2257
2022-12-04,2876,326,2550
2022-12-05,2682,388,2294
2022-12-06,2951,389,2562
2022-12-07,2475,389,2086
2022-12-08,2870,462,2408
2022-12-09,3639,608,3031
2022-12-10,2882,318,2564
2022-12-11,3754,352,3402
2022-12-12,3580,428,3152
2022-12-13,3229,433,2796
2022-12-14,3408,403,3005
2022-12-15,2837,395,2442
2022-12-16,2756,336,2420
2022-12-17,2919,321,2598
2022-12-18,3074,327,2747
2022-12-19,2566,369,2197
2022-12-20,2880,434,2446
2022-12-21,2891,374,2517
2022-12-22,3051,402,2649
2022-12-23,3108,346,2762
2022-12-24,3158,344,2814
2022-12-25,3053,305,2748
2022-12-26,2937,386,2551
2022-12-27,3176,436,2740
2022-12-28,3350,461,2889
2022-12-29,3506,465,3041
2022-12-30,3481,481,3000
2022-12-31,4479,481,3998
2023-01-01,4994,533,4461
2023-01-02,5796,654,5142
2023-01-03,5655,684,4971
2023-01-04,4560,529,4031
2023-01-05,4239,544,3695
2023-01-06,4062,515,3547
2023-01-07,9073,879,8194
2023-01-08,13967,865,13102
2023-01-09,12779,973,11806
2023-01-10,10138,965,9173
2023-01-11,6690,844,5846
2023-01-12,9368,1133,8235
2023-01-13,7829,848,6981
2023-01-14,6260,555,5705
2023-01-15,5539,431,5108
2023-01-16,4740,532,4208
2023-01-17,4557,478,4079
2023-01-18,4029,397,3632
2023-01-19,4150,392,3758
2023-01-20,3824,312,3512
2023-01-21,3216,225,2991
2023-01-22,3738,290,3448
2023-01-23,3841,298,3543
2023-01-24,3653,309,3344
2023-01-25,3659,240,3419
2023-01-26,3522,285,3237
2023-01-27,3866,330,3536
2023-01-28,3524,336,3188
2023-01-29,3228,374,2854
2023-01-30,3427,414,3013
2023-01-31,3634,499,3135
2023-02-01,3632,484,3148
2023-02-02,3504,440,3064
2023-02-03,3560,473,3087
2023-02-04,3729,321,3408
2023-02-05,3279,276,3003
2023-02-06,2922,355,2567
2023-02-07,2783,388,2395
2023-02-08,2810,406,2404
2023-02-09,2854,371,2483
2023-02-10,2912,412,2500
2023-02-11,3419,318,3101
2023-02-12,3234,310,2924
2023-02-13,2624,406,2218
2023-02-14,2621,389,2232
2023-02-15,2641,414,2227
2023-02-16,2629,402,2227
2023-02-17,3204,473,2731
2023-02-18,3115,358,2757
2023-02-19,4169,371,3798
2023-02-20,3510,430,3080
2023-02-21,3300,433,2867
2023-02-22,3925,496,3429
2023-02-23,3243,499,2744
2023-02-24,3675,622,3053
2023-02-25,4396,447,3949
2023-02-26,3533,332,3201
2023-02-27,3120,450,2670
2023-02-28,2878,436,2442
2023-03-01,2821,381,2440
2023-03-02,3599,475,3124
2023-03-03,3217,450,2767
2023-03-04,3380,389,2991
2023-03-05,3195,344,2851
2023-03-06,3229,538,2691
2023-03-07,2938,464,2474
2023-03-08,3060,433,2627
2023-03-09,2890,431,2459
2023-03-10,3188,420,2768
2023-03-11,3538,394,3144
2023-03-12,3330,473,2857
2023-03-13,2671,428,2243
2023-03-14,2945,454,2491
2023-03-15,3327,535,2792
2023-03-16,3058,414,2644
2023-03-17,3905,744,3161
2023-03-18,3914,420,3494
2023-03-19,4554,419,4135
2023-03-20,4134,630,3504
2023-03-21,3656,627,3029
2023-03-22,3350,540,2810
2023-03-23,3206,529,2677
2023-03-24,3632,586,3046
2023-03-25,4005,456,3549
2023-03-26,3378,414,2964
2023-03-27,2911,509,2402
2023-03-28,3089,465,2624
2023-03-29,2800,498,2302
2023-03-30,3270,651,2619
2023-03-31,3253,532,2721
2023-04-01,3307,372,2935
2023-04-02,3144,326,2818
2023-04-03,3055,453,2602
2023-04-04,3154,467,2687
2023-04-05,3516,377,3139
2023-04-06,3149,451,2698
2023-04-07,3006,478,2528
2023-04-08,3353,369,2984
2023-04-09,3269,341,2928
2023-04-10,2927,406,2521
2023-04-11,3078,515,2563
2023-04-12,2996,420,2576
2023-04-13,2880,471,2409
2023-04-14,3040,430,2610
2023-04-15,3363,319,3044
2023-04-16,3214,344,2870
2023-04-17,2589,383,2206
2023-04-18,2683,423,2260
2023-04-19,2903,490,2413
2023-04-20,2882,440,2442
2023-04-21,3022,406,2616
2023-04-22,3181,329,2852
