Time,all,pc,wise
2022-10-01,3169,347,2822
2022-10-02,3143,378,2765
2022-10-03,2942,307,2635
2022-10-04,2921,336,2585
2022-10-05,2647,333,2314
2022-10-06,2510,291,2219
2022-10-07,2282,319,1963
2022-10-08,2102,315,1787
2022-10-09,2095,313,1782
2022-10-10,1759,281,1478
2022-10-11,1864,295,1569
2022-10-12,1898,397,1501
2022-10-13,1883,323,1560
2022-10-14,1890,346,1544
2022-10-15,2036,226,1810
2022-10-16,1956,279,1677
2022-10-17,1869,285,1584
2022-10-18,2030,330,1700
2022-10-19,1827,312,1515
2022-10-20,2185,302,1883
2022-10-21,2182,274,1908
2022-10-22,2099,305,1794
2022-10-23,2168,267,1901
2022-10-24,1750,315,1435
2022-10-25,1863,282,1581
2022-10-26,1769,257,1512
2022-10-27,1808,240,1568
2022-10-28,1889,323,1566
2022-10-29,1963,254,1709
2022-10-30,1920,140,1780
2022-10-31,1862,349,1513
2022-11-01,1989,347,1642
2022-11-02,1994,330,1664
2022-11-03,1959,312,1647
2022-11-04,2987,346,2641
2022-11-05,2859,287,2572
2022-11-06,2271,336,1935
2022-11-07,2195,385,1810
2022-11-08,2173,333,1840
2022-11-09,2002,288,1714
2022-11-10,1818,274,1544
2022-11-11,1826,256,1570
2022-11-12,2293,273,2020
2022-11-13,1993,267,1726
2022-11-14,1703,288,1415
2022-11-15,1638,225,1413
2022-11-16,1816,295,1521
2022-11-17,1778,305,1473
2022-11-18,1895,270,1625
2022-11-19,1752,207,1545
2022-11-20,1954,248,1706
2022-11-21,1899,268,1631
2022-11-22,3603,465,3138
2022-11-23,2312,354,1958
2022-11-24,1973,274,1699
2022-11-25,1931,247,1684
2022-11-26,2713,333,2380
2022-11-27,2581,278,2303
2022-11-28,2183,296,1887
2022-11-29,2291,245,2046
2022-11-30,1970,271,1699
2022-12-01,2255,506,1749
2022-12-02,1784,323,1461
2022-12-03,1722,202,1520
2022-12-04,1863,243,1620
2022-12-05,1702,237,1465
2022-12-06,1830,237,1593
2022-12-07,2448,846,1602
2022-12-08,2088,467,1621
2022-12-09,9643,923,8720
2022-12-10,4201,447,3754
2022-12-11,3144,360,2784
2022-12-12,3475,442,3033
2022-12-13,4084,538,3546
2022-12-14,3811,454,3357
2022-12-15,3713,423,3290
2022-12-16,3596,367,3229
2022-12-17,3435,335,3100
2022-12-18,4288,385,3903
2022-12-19,3927,414,3513
2022-12-20,3839,399,3440
2022-12-21,3608,358,3250
2022-12-22,3353,420,2933
2022-12-23,2885,315,2570
2022-12-24,2783,265,2518
2022-12-25,3576,291,3285
2022-12-26,2734,304,2430
2022-12-27,2743,321,2422
2022-12-28,2720,377,2343
2022-12-29,2698,366,2332
2022-12-30,2472,388,2084
2022-12-31,8103,330,7773
2023-01-01,4682,288,4394
2023-01-02,3225,312,2913
2023-01-03,2756,324,2432
2023-01-04,2404,327,2077
2023-01-05,2408,316,2092
2023-01-06,2408,321,2087
2023-01-07,2429,282,2147
2023-01-08,2588,291,2297
2023-01-09,2483,361,2122
2023-01-10,2153,318,1835
2023-01-11,2095,291,1804
2023-01-12,2131,242,1889
2023-01-13,2042,250,1792
2023-01-14,2292,240,2052
2023-01-15,2261,279,1982
2023-01-16,2081,226,1855
2023-01-17,1915,281,1634
2023-01-18,1641,182,1459
2023-01-19,7160,240,6920
2023-01-20,2184,215,1969
2023-01-21,1771,159,1612
2023-01-22,1855,166,1689
2023-01-23,1917,158,1759
2023-01-24,1827,166,1661
2023-01-25,1698,184,1514
2023-01-26,1774,184,1590
2023-01-27,2079,201,1878
2023-01-28,1762,193,1569
2023-01-29,1765,256,1509
2023-01-30,1935,270,1665
2023-01-31,1907,296,1611
2023-02-01,1809,291,1518
2023-02-02,1683,233,1450
2023-02-03,1864,251,1613
2023-02-04,1672,173,1499
2023-02-05,1863,209,1654
2023-02-06,1571,239,1332
2023-02-07,1454,225,1229
2023-02-08,1518,222,1296
2023-02-09,1494,207,1287
2023-02-10,2187,228,1959
2023-02-11,1636,191,1445
2023-02-12,1828,205,1623
2023-02-13,1922,354,1568
2023-02-14,1912,251,1661
2023-02-15,1510,231,1279
2023-02-16,1392,208,1184
2023-02-17,1817,207,1610
2023-02-18,1715,195,1520
2023-02-19,1830,186,1644
2023-02-20,1641,247,1394
2023-02-21,1616,226,1390
2023-02-22,1571,220,1351
2023-02-23,1570,264,1306
2023-02-24,2476,234,2242
2023-02-25,1751,233,1518
2023-02-26,1733,182,1551
2023-02-27,1621,242,1379
2023-02-28,1918,267,1651
2023-03-01,1646,237,1409
2023-03-02,1863,198,1665
2023-03-03,2037,395,1642
2023-03-04,1889,245,1644
2023-03-05,1756,222,1534
2023-03-06,1565,240,1325
2023-03-07,1651,270,1381
2023-03-08,1618,247,1371
2023-03-09,1587,233,1354
2023-03-10,1759,234,1525
2023-03-11,1932,228,1704
2023-03-12,1757,193,1564
2023-03-13,1621,220,1401
2023-03-14,2814,571,2243
2023-03-15,5595,855,4740
2023-03-16,3598,476,3122
2023-03-17,2629,327,2302
2023-03-18,2205,259,1946
2023-03-19,2089,245,1844
2023-03-20,2283,284,1999
2023-03-21,1977,279,1698
2023-03-22,1919,260,1659
2023-03-23,1978,239,1739
2023-03-24,2141,278,1863
2023-03-25,2575,231,2344
2023-03-26,2429,242,2187
2023-03-27,3558,399,3159
2023-03-28,3317,363,2954
2023-03-29,2834,371,2463
2023-03-30,2495,336,2159
2023-03-31,2331,338,1993
2023-04-01,2110,229,1881
2023-04-02,2204,291,1913
2023-04-03,2187,343,1844
2023-04-04,2147,290,1857
2023-04-05,2140,223,1917
2023-04-06,2092,305,1787
2023-04-07,2023,276,1747
2023-04-08,1698,222,1476
2023-04-09,1856,251,1605
2023-04-10,1778,273,1505
2023-04-11,1918,338,1580
2023-04-12,1667,219,1448
2023-04-13,1778,239,1539
2023-04-14,1784,284,1500
2023-04-15,1664,200,1464
2023-04-16,1724,218,1506
2023-04-17,1778,352,1426
2023-04-18,1755,233,1522
2023-04-19,1879,282,1597
2023-04-20,1786,296,1490
2023-04-21,1694,260,1434
2023-04-22,1586,207,1379
