Time,all,pc,wise
2022-10-01,5022,326,4696
2022-10-02,2995,291,2704
2022-10-03,3758,340,3418
2022-10-04,2743,273,2470
2022-10-05,2057,270,1787
2022-10-06,1922,265,1657
2022-10-07,1795,273,1522
2022-10-08,2240,361,1879
2022-10-09,3029,476,2553
2022-10-10,2495,575,1920
2022-10-11,2239,332,1907
2022-10-12,1895,319,1576
2022-10-13,1591,291,1300
2022-10-14,1940,299,1641
2022-10-15,2244,281,1963
2022-10-16,1821,209,1612
2022-10-17,1743,279,1464
2022-10-18,1693,305,1388
2022-10-19,1837,347,1490
2022-10-20,1794,310,1484
2022-10-21,1632,304,1328
2022-10-22,1737,257,1480
2022-10-23,2080,291,1789
2022-10-24,1899,388,1511
2022-10-25,1921,403,1518
2022-10-26,1788,360,1428
2022-10-27,1624,296,1328
2022-10-28,1626,309,1317
2022-10-29,1688,253,1435
2022-10-30,1542,137,1405
2022-10-31,1576,315,1261
2022-11-01,1328,256,1072
2022-11-02,1429,257,1172
2022-11-03,1391,285,1106
2022-11-04,1402,273,1129
2022-11-05,1472,274,1198
2022-11-06,1476,219,1257
2022-11-07,1372,222,1150
2022-11-08,1511,293,1218
2022-11-09,1426,271,1155
2022-11-10,1397,321,1076
2022-11-11,1377,268,1109
2022-11-12,2255,304,1951
2022-11-13,1773,288,1485
2022-11-14,1453,310,1143
2022-11-15,1377,242,1135
2022-11-16,1470,267,1203
2022-11-17,1506,327,1179
2022-11-18,1599,293,1306
2022-11-19,1573,282,1291
2022-11-20,1695,243,1452
2022-11-21,1372,268,1104
2022-11-22,1286,262,1024
2022-11-23,1296,250,1046
2022-11-24,2748,312,2436
2022-11-25,2970,406,2564
2022-11-26,2388,287,2101
2022-11-27,2341,287,2054
2022-11-28,1828,327,1501
2022-11-29,1728,253,1475
2022-11-30,1656,274,1382
2022-12-01,1847,281,1566
2022-12-02,1777,264,1513
2022-12-03,1945,259,1686
2022-12-04,1794,251,1543
2022-12-05,1480,256,1224
2022-12-06,1577,271,1306
2022-12-07,1423,281,1142
2022-12-08,1384,243,1141
2022-12-09,1531,270,1261
2022-12-10,1557,205,1352
2022-12-11,1398,226,1172
2022-12-12,1471,223,1248
2022-12-13,1441,267,1174
2022-12-14,1310,268,1042
2022-12-15,1273,234,1039
2022-12-16,1358,229,1129
2022-12-17,1500,237,1263
2022-12-18,1657,229,1428
2022-12-19,1205,220,985
2022-12-20,1311,242,1069
2022-12-21,1353,233,1120
2022-12-22,1412,231,1181
2022-12-23,1600,285,1315
2022-12-24,1624,251,1373
2022-12-25,1822,298,1524
2022-12-26,1576,233,1343
2022-12-27,1700,284,1416
2022-12-28,1780,288,1492
2022-12-29,1717,274,1443
2022-12-30,1641,287,1354
2022-12-31,17027,616,16411
2023-01-01,10542,572,9970
2023-01-02,4822,406,4416
2023-01-03,2924,431,2493
2023-01-04,2594,354,2240
2023-01-05,2257,304,1953
2023-01-06,1931,312,1619
2023-01-07,1865,299,1566
2023-01-08,1651,229,1422
2023-01-09,1706,352,1354
2023-01-10,1908,400,1508
2023-01-11,1904,313,1591
2023-01-12,1793,341,1452
2023-01-13,1662,336,1326
2023-01-14,1829,288,1541
2023-01-15,1764,262,1502
2023-01-16,1489,270,1219
2023-01-17,1504,262,1242
2023-01-18,1747,274,1473
2023-01-19,1884,274,1610
2023-01-20,17641,755,16886
2023-01-21,85448,1271,84177
2023-01-22,23451,892,22559
2023-01-23,9985,526,9459
2023-01-24,6837,436,6401
2023-01-25,5295,374,4921
2023-01-26,4337,354,3983
2023-01-27,3530,323,3207
2023-01-28,2656,389,2267
2023-01-29,2208,333,1875
2023-01-30,2084,397,1687
2023-01-31,1878,375,1503
2023-02-01,1771,324,1447
2023-02-02,1812,347,1465
2023-02-03,2046,411,1635
2023-02-04,2008,304,1704
2023-02-05,2233,248,1985
2023-02-06,1802,366,1436
2023-02-07,1647,287,1360
2023-02-08,3386,541,2845
2023-02-09,2384,481,1903
2023-02-10,1897,347,1550
2023-02-11,1859,248,1611
2023-02-12,1810,259,1551
2023-02-13,1637,366,1271
2023-02-14,1525,329,1196
2023-02-15,1508,309,1199
2023-02-16,1611,459,1152
2023-02-17,1595,293,1302
2023-02-18,1717,245,1472
2023-02-19,1740,228,1512
2023-02-20,1537,352,1185
2023-02-21,1678,296,1382
2023-02-22,1690,293,1397
2023-02-23,1628,319,1309
2023-02-24,1621,287,1334
2023-02-25,1837,285,1552
2023-02-26,1692,287,1405
2023-02-27,1564,347,1217
2023-02-28,1537,323,1214
2023-03-01,1680,330,1350
2023-03-02,1643,358,1285
2023-03-03,1510,344,1166
2023-03-04,1481,220,1261
2023-03-05,1560,254,1306
2023-03-06,1553,340,1213
2023-03-07,1537,318,1219
2023-03-08,1572,302,1270
2023-03-09,1508,302,1206
2023-03-10,1510,318,1192
2023-03-11,1706,271,1435
2023-03-12,1962,254,1708
2023-03-13,1407,301,1106
2023-03-14,1442,302,1140
2023-03-15,1403,310,1093
2023-03-16,1404,293,1111
2023-03-17,1566,304,1262
2023-03-18,1540,231,1309
2023-03-19,1714,194,1520
2023-03-20,1623,293,1330
2023-03-21,1564,264,1300
2023-03-22,1650,367,1283
2023-03-23,1563,330,1233
2023-03-24,2860,354,2506
2023-03-25,4202,352,3850
2023-03-26,2396,285,2111
2023-03-27,2056,433,1623
2023-03-28,1686,330,1356
2023-03-29,1682,305,1377
2023-03-30,1672,299,1373
2023-03-31,1738,321,1417
2023-04-01,1827,270,1557
2023-04-02,1598,242,1356
2023-04-03,1507,267,1240
2023-04-04,1774,335,1439
2023-04-05,1936,284,1652
2023-04-06,1535,293,1242
2023-04-07,1674,329,1345
2023-04-08,2182,220,1962
2023-04-09,2642,245,2397
2023-04-10,1514,281,1233
2023-04-11,1431,281,1150
2023-04-12,1429,321,1108
2023-04-13,1525,360,1165
2023-04-14,1754,445,1309
2023-04-15,1645,268,1377
2023-04-16,1731,355,1376
2023-04-17,1455,375,1080
2023-04-18,1498,313,1185
2023-04-19,1695,333,1362
2023-04-20,1847,343,1504
2023-04-21,1692,327,1365
2023-04-22,1637,324,1313
