Time,all,pc,wise
2022-10-01,6328,797,5531
2022-10-02,6643,699,5944
2022-10-03,6628,855,5773
2022-10-04,6371,786,5585
2022-10-05,6413,850,5563
2022-10-06,6306,859,5447
2022-10-07,6318,854,5464
2022-10-08,5839,854,4985
2022-10-09,5234,892,4342
2022-10-10,5168,917,4251
2022-10-11,9358,951,8407
2022-10-12,7699,964,6735
2022-10-13,6493,938,5555
2022-10-14,6343,902,5441
2022-10-15,6950,846,6104
2022-10-16,6820,819,6001
2022-10-17,5834,902,4932
2022-10-18,6048,888,5160
2022-10-19,6381,890,5491
2022-10-20,6174,902,5272
2022-10-21,6090,908,5182
2022-10-22,7227,864,6363
2022-10-23,8180,853,7327
2022-10-24,6850,894,5956
2022-10-25,6026,899,5127
2022-10-26,5736,902,4834
2022-10-27,5953,907,5046
2022-10-28,5883,885,4998
2022-10-29,6929,878,6051
2022-10-30,6253,282,5971
2022-10-31,5392,871,4521
2022-11-01,5285,893,4392
2022-11-02,5265,871,4394
2022-11-03,5347,875,4472
2022-11-04,5603,888,4715
2022-11-05,7231,859,6372
2022-11-06,7425,846,6579
2022-11-07,5769,859,4910
2022-11-08,5567,872,4695
2022-11-09,5660,886,4774
2022-11-10,5578,872,4706
2022-11-11,6266,892,5374
2022-11-12,9646,917,8729
2022-11-13,9645,877,8768
2022-11-14,7002,926,6076
2022-11-15,6100,899,5201
2022-11-16,7499,982,6517
2022-11-17,7281,1220,6061
2022-11-18,6555,900,5655
2022-11-19,7101,852,6249
2022-11-20,6886,799,6087
2022-11-21,5536,858,4678
2022-11-22,5395,858,4537
2022-11-23,5674,882,4792
2022-11-24,5495,851,4644
2022-11-25,6711,878,5833
2022-11-26,7071,868,6203
2022-11-27,14643,900,13743
2022-11-28,7593,925,6668
2022-11-29,6875,896,5979
2022-11-30,6810,888,5922
2022-12-01,5968,871,5097
2022-12-02,5985,873,5112
2022-12-03,6798,850,5948
2022-12-04,6812,843,5969
2022-12-05,5790,869,4921
2022-12-06,6587,887,5700
2022-12-07,5391,878,4513
2022-12-08,6315,940,5375
2022-12-09,13093,944,12149
2022-12-10,14115,957,13158
2022-12-11,10228,898,9330
2022-12-12,7717,889,6828
2022-12-13,7353,888,6465
2022-12-14,6632,880,5752
2022-12-15,6362,869,5493
2022-12-16,10862,922,9940
2022-12-17,11806,897,10909
2022-12-18,9173,864,8309
2022-12-19,6740,856,5884
2022-12-20,6732,850,5882
2022-12-21,7896,904,6992
2022-12-22,7028,864,6164
2022-12-23,8376,881,7495
2022-12-24,9216,853,8363
2022-12-25,8371,848,7523
2022-12-26,7921,903,7018
2022-12-27,7645,904,6741
2022-12-28,7509,897,6612
2022-12-29,7998,914,7084
2022-12-30,8276,932,7344
2022-12-31,39155,1814,37341
2023-01-01,31612,1609,30003
2023-01-02,24508,1375,23133
2023-01-03,16313,1347,14966
2023-01-04,14378,1239,13139
2023-01-05,14240,1211,13029
2023-01-06,12779,1109,11670
2023-01-07,11910,949,10961
2023-01-08,12050,920,11130
2023-01-09,10554,964,9590
2023-01-10,10127,964,9163
2023-01-11,9784,938,8846
2023-01-12,9492,942,8550
2023-01-13,9593,936,8657
2023-01-14,9542,905,8637
2023-01-15,9033,870,8163
2023-01-16,8831,910,7921
2023-01-17,12531,1269,11262
2023-01-18,14490,1837,12653
2023-01-19,9053,869,8184
2023-01-20,9919,847,9072
2023-01-21,8945,664,8281
2023-01-22,8729,622,8107
2023-01-23,8249,619,7630
2023-01-24,7763,628,7135
2023-01-25,7356,585,6771
2023-01-26,7501,602,6899
2023-01-27,7563,662,6901
2023-01-28,7325,817,6508
2023-01-29,7014,841,6173
2023-01-30,6807,868,5939
2023-01-31,6925,869,6056
2023-02-01,6521,883,5638
2023-02-02,6667,876,5791
2023-02-03,6924,859,6065
2023-02-04,7108,777,6331
2023-02-05,7818,796,7022
2023-02-06,6255,862,5393
2023-02-07,5911,874,5037
2023-02-08,5529,872,4657
2023-02-09,5481,860,4621
2023-02-10,5713,882,4831
2023-02-11,6586,846,5740
2023-02-12,6439,833,5606
2023-02-13,5005,856,4149
2023-02-14,5084,878,4206
2023-02-15,5052,865,4187
2023-02-16,4937,850,4087
2023-02-17,5362,865,4497
2023-02-18,6544,853,5691
2023-02-19,5720,716,5004
2023-02-20,4809,848,3961
2023-02-21,5180,891,4289
2023-02-22,5211,889,4322
2023-02-23,5095,886,4209
2023-02-24,5504,897,4607
2023-02-25,6577,840,5737
2023-02-26,8211,831,7380
2023-02-27,7246,910,6336
2023-02-28,6179,925,5254
2023-03-01,5910,898,5012
2023-03-02,5904,901,5003
2023-03-03,6139,889,5250
2023-03-04,7155,844,6311
2023-03-05,6784,846,5938
2023-03-06,5539,894,4645
2023-03-07,5337,874,4463
2023-03-08,5306,874,4432
2023-03-09,5334,884,4450
2023-03-10,5616,897,4719
2023-03-11,6702,863,5839
2023-03-12,6484,841,5643
2023-03-13,5021,869,4152
2023-03-14,4972,885,4087
2023-03-15,5082,877,4205
2023-03-16,5193,880,4313
2023-03-17,5677,890,4787
2023-03-18,6743,848,5895
2023-03-19,6149,788,5361
2023-03-20,4985,856,4129
2023-03-21,5107,864,4243
2023-03-22,5288,893,4395
2023-03-23,5527,896,4631
2023-03-24,8236,924,7312
2023-03-25,10022,887,9135
2023-03-26,7051,851,6200
2023-03-27,5438,920,4518
2023-03-28,5370,910,4460
2023-03-29,5266,899,4367
2023-03-30,5296,910,4386
2023-03-31,5583,881,4702
2023-04-01,6822,761,6061
2023-04-02,7631,848,6783
2023-04-03,6203,930,5273
2023-04-04,6111,911,5200
2023-04-05,6914,853,6061
2023-04-06,5744,906,4838
2023-04-07,5527,872,4655
2023-04-08,6260,841,5419
2023-04-09,6276,843,5433
2023-04-10,5149,887,4262
2023-04-11,5277,891,4386
2023-04-12,5114,891,4223
2023-04-13,5294,895,4399
2023-04-14,5740,870,4870
2023-04-15,6458,841,5617
2023-04-16,6343,786,5557
2023-04-17,5402,905,4497
2023-04-18,9773,970,8803
2023-04-19,8094,924,7170
2023-04-20,6581,912,5669
2023-04-21,7033,907,6126
2023-04-22,9880,872,9008
