Time,all,pc,wise
2022-10-01,5523,366,5157
2022-10-02,5280,420,4860
2022-10-03,5093,408,4685
2022-10-04,4574,391,4183
2022-10-05,4438,374,4064
2022-10-06,4450,428,4022
2022-10-07,3907,403,3504
2022-10-08,3765,479,3286
2022-10-09,3465,423,3042
2022-10-10,3062,437,2625
2022-10-11,2934,445,2489
2022-10-12,2880,419,2461
2022-10-13,3000,428,2572
2022-10-14,3255,464,2791
2022-10-15,3730,367,3363
2022-10-16,3589,357,3232
2022-10-17,3097,420,2677
2022-10-18,3099,461,2638
2022-10-19,2911,442,2469
2022-10-20,2789,347,2442
2022-10-21,2869,354,2515
2022-10-22,3257,366,2891
2022-10-23,3356,310,3046
2022-10-24,2637,369,2268
2022-10-25,2596,377,2219
2022-10-26,2622,380,2242
2022-10-27,2550,374,2176
2022-10-28,3177,360,2817
2022-10-29,4210,366,3844
2022-10-30,3407,152,3255
2022-10-31,2698,332,2366
2022-11-01,2717,377,2340
2022-11-02,2685,352,2333
2022-11-03,2644,344,2300
2022-11-04,3423,381,3042
2022-11-05,3762,323,3439
2022-11-06,3299,332,2967
2022-11-07,2667,344,2323
2022-11-08,2715,354,2361
2022-11-09,2724,347,2377
2022-11-10,2617,371,2246
2022-11-11,3078,414,2664
2022-11-12,3681,355,3326
2022-11-13,3250,284,2966
2022-11-14,2632,354,2278
2022-11-15,2713,364,2349
2022-11-16,2652,352,2300
2022-11-17,2688,332,2356
2022-11-18,2870,366,2504
2022-11-19,3219,324,2895
2022-11-20,3208,312,2896
2022-11-21,2609,312,2297
2022-11-22,2520,347,2173
2022-11-23,2492,282,2210
2022-11-24,2539,340,2199
2022-11-25,2570,333,2237
2022-11-26,4727,302,4425
2022-11-27,4351,310,4041
2022-11-28,2871,381,2490
2022-11-29,2617,349,2268
2022-11-30,2566,290,2276
2022-12-01,2683,358,2325
2022-12-02,2735,400,2335
2022-12-03,2790,256,2534
2022-12-04,2822,270,2552
2022-12-05,2434,316,2118
2022-12-06,2950,399,2551
2022-12-07,2399,354,2045
2022-12-08,2328,305,2023
2022-12-09,3924,336,3588
2022-12-10,4460,389,4071
2022-12-11,3413,248,3165
2022-12-12,2928,386,2542
2022-12-13,2782,295,2487
2022-12-14,2647,321,2326
2022-12-15,2613,301,2312
2022-12-16,3255,326,2929
2022-12-17,3751,285,3466
2022-12-18,3405,304,3101
2022-12-19,2692,284,2408
2022-12-20,2951,304,2647
2022-12-21,3271,316,2955
2022-12-22,3231,357,2874
2022-12-23,3699,312,3387
2022-12-24,4379,341,4038
2022-12-25,4326,301,4025
2022-12-26,3838,377,3461
2022-12-27,3732,389,3343
2022-12-28,3765,388,3377
2022-12-29,3605,456,3149
2022-12-30,4051,374,3677
2022-12-31,8896,476,8420
2023-01-01,6015,388,5627
2023-01-02,4563,364,4199
2023-01-03,3513,425,3088
2023-01-04,3267,399,2868
2023-01-05,3442,430,3012
2023-01-06,3559,378,3181
2023-01-07,3440,341,3099
2023-01-08,3382,298,3084
2023-01-09,3172,391,2781
2023-01-10,2813,367,2446
2023-01-11,2696,366,2330
2023-01-12,2709,358,2351
2023-01-13,3194,388,2806
2023-01-14,3148,312,2836
2023-01-15,2937,305,2632
2023-01-16,2573,347,2226
2023-01-17,2484,298,2186
2023-01-18,2367,281,2086
2023-01-19,2439,270,2169
2023-01-20,3460,229,3231
2023-01-21,3983,223,3760
2023-01-22,4613,234,4379
2023-01-23,3762,239,3523
2023-01-24,5251,259,4992
2023-01-25,2969,226,2743
2023-01-26,2834,237,2597
2023-01-27,3447,239,3208
2023-01-28,2526,318,2208
2023-01-29,2269,299,1970
2023-01-30,2162,291,1871
2023-01-31,2201,302,1899
2023-02-01,2226,326,1900
2023-02-02,2389,380,2009
2023-02-03,2838,400,2438
2023-02-04,2764,338,2426
2023-02-05,2835,282,2553
2023-02-06,2228,371,1857
2023-02-07,2223,374,1849
2023-02-08,2251,381,1870
2023-02-09,2353,417,1936
2023-02-10,2735,488,2247
2023-02-11,2351,284,2067
2023-02-12,2445,247,2198
2023-02-13,2334,402,1932
2023-02-14,2034,352,1682
2023-02-15,1935,305,1630
2023-02-16,1947,361,1586
2023-02-17,2281,346,1935
2023-02-18,2297,253,2044
2023-02-19,2179,251,1928
2023-02-20,2031,330,1701
2023-02-21,1858,332,1526
2023-02-22,1801,318,1483
2023-02-23,1954,346,1608
2023-02-24,2281,360,1921
2023-02-25,2439,274,2165
2023-02-26,2183,262,1921
2023-02-27,1998,284,1714
2023-02-28,2021,298,1723
2023-03-01,1860,301,1559
2023-03-02,1888,313,1575
2023-03-03,1931,287,1644
2023-03-04,2350,276,2074
2023-03-05,2367,395,1972
2023-03-06,1895,340,1555
2023-03-07,1792,293,1499
2023-03-08,5539,405,5134
2023-03-09,2942,439,2503
2023-03-10,2288,336,1952
2023-03-11,2389,254,2135
2023-03-12,2202,257,1945
2023-03-13,1928,375,1553
2023-03-14,2229,360,1869
2023-03-15,2367,374,1993
2023-03-16,4557,485,4072
2023-03-17,10683,865,9818
2023-03-18,7453,543,6910
2023-03-19,5016,434,4582
2023-03-20,3418,485,2933
2023-03-21,3646,425,3221
2023-03-22,3233,499,2734
2023-03-23,3731,470,3261
2023-03-24,6188,602,5586
2023-03-25,5069,375,4694
2023-03-26,4051,346,3705
2023-03-27,2980,442,2538
2023-03-28,2764,419,2345
2023-03-29,2898,493,2405
2023-03-30,3052,431,2621
2023-03-31,5219,502,4717
2023-04-01,4998,420,4578
2023-04-02,4916,456,4460
2023-04-03,3317,516,2801
2023-04-04,3564,442,3122
2023-04-05,3934,378,3556
2023-04-06,3363,462,2901
2023-04-07,4911,518,4393
2023-04-08,4385,374,4011
2023-04-09,4553,366,4187
2023-04-10,3067,453,2614
2023-04-11,2885,417,2468
2023-04-12,2861,400,2461
2023-04-13,3090,425,2665
2023-04-14,4497,442,4055
2023-04-15,3982,371,3611
2023-04-16,3915,287,3628
2023-04-17,2824,385,2439
2023-04-18,3418,869,2549
2023-04-19,2793,440,2353
2023-04-20,3429,403,3026
2023-04-21,5826,554,5272
2023-04-22,5018,479,4539
