Time,all,pc,wise
2022-10-01,360,91,269
2022-10-02,360,83,277
2022-10-03,373,93,280
2022-10-04,353,89,264
2022-10-05,384,110,274
2022-10-06,394,114,280
2022-10-07,364,121,243
2022-10-08,372,112,260
2022-10-09,357,125,232
2022-10-10,334,112,222
2022-10-11,341,120,221
2022-10-12,360,118,242
2022-10-13,604,159,445
2022-10-14,437,118,319
2022-10-15,363,108,255
2022-10-16,323,89,234
2022-10-17,337,125,212
2022-10-18,316,91,225
2022-10-19,346,112,234
2022-10-20,425,140,285
2022-10-21,417,139,278
2022-10-22,473,104,369
2022-10-23,415,102,313
2022-10-24,388,140,248
2022-10-25,338,118,220
2022-10-26,377,139,238
2022-10-27,341,102,239
2022-10-28,368,104,264
2022-10-29,374,99,275
2022-10-30,327,64,263
2022-10-31,382,112,270
2022-11-01,350,114,236
2022-11-02,341,106,235
2022-11-03,410,125,285
2022-11-04,404,112,292
2022-11-05,420,114,306
2022-11-06,368,91,277
2022-11-07,385,125,260
2022-11-08,417,129,288
2022-11-09,408,131,277
2022-11-10,368,120,248
2022-11-11,396,127,269
2022-11-12,393,102,291
2022-11-13,410,104,306
2022-11-14,395,118,277
2022-11-15,336,118,218
2022-11-16,420,131,289
2022-11-17,389,112,277
2022-11-18,366,97,269
2022-11-19,376,87,289
2022-11-20,405,99,306
2022-11-21,378,118,260
2022-11-22,330,95,235
2022-11-23,413,133,280
2022-11-24,342,93,249
2022-11-25,369,112,257
2022-11-26,385,104,281
2022-11-27,335,78,257
2022-11-28,350,112,238
2022-11-29,341,110,231
2022-11-30,366,121,245
2022-12-01,376,108,268
2022-12-02,365,102,263
2022-12-03,360,99,261
2022-12-04,353,76,277
2022-12-05,336,91,245
2022-12-06,336,97,239
2022-12-07,372,106,266
2022-12-08,361,101,260
2022-12-09,380,110,270
2022-12-10,342,85,257
2022-12-11,341,78,263
2022-12-12,375,121,254
2022-12-13,320,106,214
2022-12-14,363,118,245
2022-12-15,319,99,220
2022-12-16,389,104,285
2022-12-17,368,99,269
2022-12-18,298,80,218
2022-12-19,270,89,181
2022-12-20,297,85,212
2022-12-21,282,89,193
2022-12-22,335,97,238
2022-12-23,314,87,227
2022-12-24,348,102,246
2022-12-25,316,80,236
2022-12-26,302,101,201
2022-12-27,309,91,218
2022-12-28,354,104,250
2022-12-29,387,102,285
2022-12-30,342,85,257
2022-12-31,582,99,483
2023-01-01,474,97,377
2023-01-02,336,76,260
2023-01-03,338,102,236
2023-01-04,365,97,268
2023-01-05,338,104,234
2023-01-06,381,104,277
2023-01-07,342,93,249
2023-01-08,360,89,271
2023-01-09,355,101,254
2023-01-10,377,121,256
2023-01-11,340,97,243
2023-01-12,396,123,273
2023-01-13,351,95,256
2023-01-14,343,74,269
2023-01-15,335,101,234
2023-01-16,337,85,252
2023-01-17,357,87,270
2023-01-18,310,95,215
2023-01-19,329,87,242
2023-01-20,316,82,234
2023-01-21,274,76,198
2023-01-22,290,87,203
2023-01-23,250,61,189
2023-01-24,285,66,219
2023-01-25,310,83,227
2023-01-26,309,78,231
2023-01-27,299,70,229
2023-01-28,321,82,239
2023-01-29,312,87,225
2023-01-30,327,102,225
2023-01-31,333,102,231
2023-02-01,328,97,231
2023-02-02,319,80,239
2023-02-03,341,99,242
2023-02-04,313,78,235
2023-02-05,319,83,236
2023-02-06,322,102,220
2023-02-07,330,101,229
2023-02-08,312,104,208
2023-02-09,359,120,239
2023-02-10,301,87,214
2023-02-11,340,87,253
2023-02-12,351,85,266
2023-02-13,405,120,285
2023-02-14,325,101,224
2023-02-15,322,110,212
2023-02-16,332,120,212
2023-02-17,318,112,206
2023-02-18,336,76,260
2023-02-19,362,101,261
2023-02-20,476,129,347
2023-02-21,483,159,324
2023-02-22,378,116,262
2023-02-23,341,99,242
2023-02-24,347,101,246
2023-02-25,329,76,253
2023-02-26,324,104,220
2023-02-27,336,114,222
2023-02-28,357,108,249
2023-03-01,331,125,206
2023-03-02,326,102,224
2023-03-03,322,104,218
2023-03-04,368,120,248
2023-03-05,371,108,263
2023-03-06,332,97,235
2023-03-07,342,106,236
2023-03-08,332,110,222
2023-03-09,292,93,199
2023-03-10,305,97,208
2023-03-11,338,89,249
2023-03-12,347,80,267
2023-03-13,318,106,212
2023-03-14,352,127,225
2023-03-15,315,93,222
2023-03-16,312,104,208
2023-03-17,342,95,247
2023-03-18,321,87,234
2023-03-19,310,76,234
2023-03-20,372,123,249
2023-03-21,324,97,227
2023-03-22,361,120,241
2023-03-23,313,95,218
2023-03-24,358,110,248
2023-03-25,347,85,262
2023-03-26,330,99,231
2023-03-27,373,127,246
2023-03-28,358,112,246
2023-03-29,388,108,280
2023-03-30,389,116,273
2023-03-31,421,118,303
2023-04-01,953,108,845
2023-04-02,504,78,426
2023-04-03,388,121,267
2023-04-04,387,116,271
2023-04-05,377,95,282
2023-04-06,437,139,298
2023-04-07,372,102,270
2023-04-08,410,87,323
2023-04-09,402,76,326
2023-04-10,589,131,458
2023-04-11,476,120,356
2023-04-12,404,131,273
2023-04-13,352,102,250
2023-04-14,408,114,294
2023-04-15,403,87,316
2023-04-16,614,104,510
2023-04-17,419,121,298
2023-04-18,398,127,271
2023-04-19,385,131,254
2023-04-20,361,118,243
2023-04-21,397,120,277
2023-04-22,403,108,295
