Time,all,pc,wise
2022-10-01,692,129,563
2022-10-02,748,148,600
2022-10-03,771,114,657
2022-10-04,779,144,635
2022-10-05,700,116,584
2022-10-06,665,116,549
2022-10-07,672,148,524
2022-10-08,622,135,487
2022-10-09,606,123,483
2022-10-10,656,146,510
2022-10-11,635,152,483
2022-10-12,613,135,478
2022-10-13,663,170,493
2022-10-14,719,159,560
2022-10-15,789,120,669
2022-10-16,783,133,650
2022-10-17,823,180,643
2022-10-18,749,177,572
2022-10-19,702,170,532
2022-10-20,631,142,489
2022-10-21,726,137,589
2022-10-22,1063,162,901
2022-10-23,973,131,842
2022-10-24,771,172,599
2022-10-25,778,168,610
2022-10-26,752,155,597
2022-10-27,743,140,603
2022-10-28,680,140,540
2022-10-29,764,137,627
2022-10-30,635,68,567
2022-10-31,580,129,451
2022-11-01,652,146,506
2022-11-02,656,146,510
2022-11-03,639,163,476
2022-11-04,695,121,574
2022-11-05,734,125,609
2022-11-06,671,104,567
2022-11-07,632,140,492
2022-11-08,663,146,517
2022-11-09,669,106,563
2022-11-10,714,144,570
2022-11-11,646,146,500
2022-11-12,689,112,577
2022-11-13,686,139,547
2022-11-14,620,137,483
2022-11-15,657,140,517
2022-11-16,630,148,482
2022-11-17,611,133,478
2022-11-18,715,165,550
2022-11-19,720,135,585
2022-11-20,715,110,605
2022-11-21,607,120,487
2022-11-22,660,162,498
2022-11-23,562,137,425
2022-11-24,666,142,524
2022-11-25,709,158,551
2022-11-26,695,137,558
2022-11-27,684,106,578
2022-11-28,611,142,469
2022-11-29,648,127,521
2022-11-30,678,146,532
2022-12-01,638,114,524
2022-12-02,653,146,507
2022-12-03,693,151,542
2022-12-04,706,118,588
2022-12-05,596,127,469
2022-12-06,606,121,485
2022-12-07,551,112,439
2022-12-08,553,139,414
2022-12-09,977,137,840
2022-12-10,652,114,538
2022-12-11,783,158,625
2022-12-12,633,137,496
2022-12-13,588,131,457
2022-12-14,591,120,471
2022-12-15,606,142,464
2022-12-16,632,157,475
2022-12-17,691,120,571
2022-12-18,655,110,545
2022-12-19,539,125,414
2022-12-20,585,121,464
2022-12-21,687,151,536
2022-12-22,755,159,596
2022-12-23,758,116,642
2022-12-24,729,131,598
2022-12-25,787,139,648
2022-12-26,745,155,590
2022-12-27,779,140,639
2022-12-28,661,144,517
2022-12-29,776,137,639
2022-12-30,806,123,683
2022-12-31,4182,218,3964
2023-01-01,1547,161,1386
2023-01-02,996,129,867
2023-01-03,929,182,747
2023-01-04,904,173,731
2023-01-05,879,187,692
2023-01-06,821,151,670
2023-01-07,855,150,705
2023-01-08,912,162,750
2023-01-09,815,148,667
2023-01-10,768,148,620
2023-01-11,720,163,557
2023-01-12,759,170,589
2023-01-13,1061,184,877
2023-01-14,788,135,653
2023-01-15,733,123,610
2023-01-16,635,144,491
2023-01-17,817,148,669
2023-01-18,670,131,539
2023-01-19,777,154,623
2023-01-20,754,129,625
2023-01-21,1054,118,936
2023-01-22,859,83,776
2023-01-23,706,95,611
2023-01-24,705,110,595
2023-01-25,662,99,563
2023-01-26,625,89,536
2023-01-27,672,125,547
2023-01-28,690,123,567
2023-01-29,777,140,637
2023-01-30,693,114,579
2023-01-31,664,140,524
2023-02-01,646,125,521
2023-02-02,1043,175,868
2023-02-03,780,163,617
2023-02-04,726,137,589
2023-02-05,903,148,755
2023-02-06,694,127,567
2023-02-07,689,121,568
2023-02-08,636,151,485
2023-02-09,635,144,491
2023-02-10,638,144,494
2023-02-11,903,123,780
2023-02-12,824,127,697
2023-02-13,665,121,544
2023-02-14,726,163,563
2023-02-15,780,157,623
2023-02-16,732,144,588
2023-02-17,718,146,572
2023-02-18,763,135,628
2023-02-19,699,125,574
2023-02-20,577,140,437
2023-02-21,619,146,473
2023-02-22,668,162,506
2023-02-23,701,163,538
2023-02-24,618,121,497
2023-02-25,746,140,606
2023-02-26,695,116,579
2023-02-27,615,144,471
2023-02-28,656,176,480
2023-03-01,603,144,459
2023-03-02,652,140,512
2023-03-03,660,135,525
2023-03-04,653,114,539
2023-03-05,615,118,497
2023-03-06,591,175,416
2023-03-07,573,129,444
2023-03-08,801,142,659
2023-03-09,662,150,512
2023-03-10,646,142,504
2023-03-11,662,133,529
2023-03-12,652,121,531
2023-03-13,605,118,487
2023-03-14,619,154,465
2023-03-15,808,162,646
2023-03-16,1020,159,861
2023-03-17,1152,202,950
2023-03-18,1089,188,901
2023-03-19,1028,170,858
2023-03-20,961,175,786
2023-03-21,826,176,650
2023-03-22,762,144,618
2023-03-23,833,150,683
2023-03-24,791,125,666
2023-03-25,831,133,698
2023-03-26,854,127,727
2023-03-27,684,151,533
2023-03-28,695,163,532
2023-03-29,687,142,545
2023-03-30,904,157,747
2023-03-31,1114,161,953
2023-04-01,1021,127,894
2023-04-02,1009,137,872
2023-04-03,885,154,731
2023-04-04,961,163,798
2023-04-05,993,148,845
2023-04-06,2402,251,2151
2023-04-07,8527,541,7986
2023-04-08,4945,282,4663
2023-04-09,3490,298,3192
2023-04-10,2041,281,1760
2023-04-11,1739,256,1483
2023-04-12,1409,222,1187
2023-04-13,2121,253,1868
2023-04-14,3996,340,3656
2023-04-15,3287,298,2989
2023-04-16,2477,211,2266
2023-04-17,1454,243,1211
2023-04-18,1325,198,1127
2023-04-19,1193,187,1006
2023-04-20,1193,193,1000
2023-04-21,1375,195,1180
2023-04-22,1710,193,1517
