Time,all,pc,wise
2022-10-01,12241,842,11399
2022-10-02,11563,857,10706
2022-10-03,11486,848,10638
2022-10-04,10970,857,10113
2022-10-05,10367,871,9496
2022-10-06,10597,874,9723
2022-10-07,9729,882,8847
2022-10-08,9015,926,8089
2022-10-09,8807,913,7894
2022-10-10,8327,910,7417
2022-10-11,9673,980,8693
2022-10-12,9079,947,8132
2022-10-13,9873,948,8925
2022-10-14,9894,926,8968
2022-10-15,10491,910,9581
2022-10-16,10055,868,9187
2022-10-17,9424,930,8494
2022-10-18,9399,943,8456
2022-10-19,9683,947,8736
2022-10-20,9799,921,8878
2022-10-21,9956,939,9017
2022-10-22,10769,882,9887
2022-10-23,12367,905,11462
2022-10-24,9906,943,8963
2022-10-25,9751,947,8804
2022-10-26,9682,953,8729
2022-10-27,10067,947,9120
2022-10-28,28213,1119,27094
2022-10-29,49338,1580,47758
2022-10-30,27013,510,26503
2022-10-31,16928,1018,15910
2022-11-01,14550,983,13567
2022-11-02,13154,985,12169
2022-11-03,12681,957,11724
2022-11-04,12557,950,11607
2022-11-05,12724,891,11833
2022-11-06,12020,882,11138
2022-11-07,10724,913,9811
2022-11-08,10191,968,9223
2022-11-09,10589,964,9625
2022-11-10,10704,947,9757
2022-11-11,15788,996,14792
2022-11-12,33075,1167,31908
2022-11-13,26166,983,25183
2022-11-14,17138,1059,16079
2022-11-15,15716,1084,14632
2022-11-16,12716,1046,11670
2022-11-17,13753,966,12787
2022-11-18,14843,977,13866
2022-11-19,17472,963,16509
2022-11-20,78291,3423,74868
2022-11-21,20558,1428,19130
2022-11-22,13373,988,12385
2022-11-23,10924,955,9969
2022-11-24,10577,938,9639
2022-11-25,10753,938,9815
2022-11-26,11490,882,10608
2022-11-27,12064,875,11189
2022-11-28,10382,915,9467
2022-11-29,9954,920,9034
2022-11-30,9875,895,8980
2022-12-01,9550,913,8637
2022-12-02,10384,912,9472
2022-12-03,14274,920,13354
2022-12-04,10993,886,10107
2022-12-05,9293,903,8390
2022-12-06,10314,945,9369
2022-12-07,9109,908,8201
2022-12-08,8896,914,7982
2022-12-09,9309,908,8401
2022-12-10,9479,869,8610
2022-12-11,12592,853,11739
2022-12-12,9563,908,8655
2022-12-13,9052,934,8118
2022-12-14,8806,906,7900
2022-12-15,8695,887,7808
2022-12-16,9396,900,8496
2022-12-17,9624,868,8756
2022-12-18,9577,856,8721
2022-12-19,8771,899,7872
2022-12-20,9145,901,8244
2022-12-21,9145,884,8261
2022-12-22,9427,902,8525
2022-12-23,9576,885,8691
2022-12-24,10048,859,9189
2022-12-25,10461,872,9589
2022-12-26,10195,902,9293
2022-12-27,10184,946,9238
2022-12-28,9993,913,9080
2022-12-29,12448,940,11508
2022-12-30,11339,924,10415
2022-12-31,23867,931,22936
2023-01-01,18468,924,17544
2023-01-02,14109,939,13170
2023-01-03,11505,992,10513
2023-01-04,10796,962,9834
2023-01-05,10406,944,9462
2023-01-06,10440,924,9516
2023-01-07,12459,893,11566
2023-01-08,11813,877,10936
2023-01-09,11967,963,11004
2023-01-10,12535,978,11557
2023-01-11,12909,967,11942
2023-01-12,12059,964,11095
2023-01-13,12559,948,11611
2023-01-14,13128,902,12226
2023-01-15,12812,885,11927
2023-01-16,13598,940,12658
2023-01-17,13205,934,12271
2023-01-18,13306,900,12406
2023-01-19,12109,869,11240
2023-01-20,12902,841,12061
2023-01-21,24827,792,24035
2023-01-22,27387,870,26517
2023-01-23,27083,937,26146
2023-01-24,25860,912,24948
2023-01-25,25441,912,24529
2023-01-26,26381,924,25457
2023-01-27,26769,1117,25652
2023-01-28,26459,1516,24943
2023-01-29,27539,1592,25947
2023-01-30,25729,1621,24108
2023-01-31,29355,2295,27060
2023-02-01,24525,1498,23027
2023-02-02,22667,1378,21289
2023-02-03,23725,1412,22313
2023-02-04,25598,996,24602
2023-02-05,24715,939,23776
2023-02-06,16316,1232,15084
2023-02-07,14628,1099,13529
2023-02-08,15018,1122,13896
2023-02-09,12949,1037,11912
2023-02-10,13368,983,12385
2023-02-11,14849,904,13945
2023-02-12,15278,912,14366
2023-02-13,11682,1049,10633
2023-02-14,10758,964,9794
2023-02-15,11159,956,10203
2023-02-16,10828,978,9850
2023-02-17,11757,965,10792
2023-02-18,14046,894,13152
2023-02-19,12369,894,11475
2023-02-20,10300,989,9311
2023-02-21,10603,983,9620
2023-02-22,11739,1007,10732
2023-02-23,13038,983,12055
2023-02-24,10891,968,9923
2023-02-25,11676,879,10797
2023-02-26,11601,866,10735
2023-02-27,9785,962,8823
2023-02-28,9766,961,8805
2023-03-01,9204,924,8280
2023-03-02,9248,916,8332
2023-03-03,9609,932,8677
2023-03-04,10717,857,9860
2023-03-05,10599,806,9793
2023-03-06,9158,910,8248
2023-03-07,9262,938,8324
2023-03-08,9423,890,8533
2023-03-09,9724,909,8815
2023-03-10,9492,905,8587
2023-03-11,10240,863,9377
2023-03-12,10112,852,9260
2023-03-13,9342,936,8406
2023-03-14,12921,1214,11707
2023-03-15,14601,1152,13449
2023-03-16,12241,1007,11234
2023-03-17,11217,976,10241
2023-03-18,11474,881,10593
2023-03-19,12413,889,11524
2023-03-20,11909,985,10924
2023-03-21,10451,965,9486
2023-03-22,10273,982,9291
2023-03-23,9702,949,8753
2023-03-24,9993,972,9021
2023-03-25,10491,855,9636
2023-03-26,9983,846,9137
2023-03-27,8783,925,7858
2023-03-28,8555,940,7615
2023-03-29,8527,908,7619
2023-03-30,9093,913,8180
2023-03-31,11931,962,10969
2023-04-01,15480,900,14580
2023-04-02,13104,876,12228
2023-04-03,10946,942,10004
2023-04-04,10623,937,9686
2023-04-05,10927,861,10066
2023-04-06,9523,936,8587
2023-04-07,10405,916,9489
2023-04-08,10717,874,9843
2023-04-09,10651,855,9796
2023-04-10,10026,982,9044
2023-04-11,9838,932,8906
2023-04-12,9639,926,8713
2023-04-13,9433,924,8509
2023-04-14,10704,970,9734
2023-04-15,12745,897,11848
2023-04-16,13961,958,13003
2023-04-17,16607,1279,15328
2023-04-18,14099,1056,13043
2023-04-19,11328,1017,10311
2023-04-20,11607,995,10612
2023-04-21,12162,985,11177
2023-04-22,12401,899,11502
