Time,all,pc,wise
2022-10-01,4621,510,4111
2022-10-02,4501,467,4034
2022-10-03,4474,493,3981
2022-10-04,4320,461,3859
2022-10-05,4409,456,3953
2022-10-06,4379,495,3884
2022-10-07,4105,499,3606
2022-10-08,3825,658,3167
2022-10-09,3654,645,3009
2022-10-10,3492,675,2817
2022-10-11,3572,673,2899
2022-10-12,3756,710,3046
2022-10-13,3828,710,3118
2022-10-14,4010,664,3346
2022-10-15,4551,645,3906
2022-10-16,4422,580,3842
2022-10-17,3859,661,3198
2022-10-18,4982,852,4130
2022-10-19,4844,808,4036
2022-10-20,4548,799,3749
2022-10-21,4534,805,3729
2022-10-22,5139,667,4472
2022-10-23,4683,516,4167
2022-10-24,4237,755,3482
2022-10-25,4039,651,3388
2022-10-26,4008,783,3225
2022-10-27,3722,642,3080
2022-10-28,3786,651,3135
2022-10-29,4579,588,3991
2022-10-30,4183,228,3955
2022-10-31,3759,658,3101
2022-11-01,3707,659,3048
2022-11-02,4104,690,3414
2022-11-03,4374,743,3631
2022-11-04,4234,650,3584
2022-11-05,4734,568,4166
2022-11-06,4996,574,4422
2022-11-07,4398,723,3675
2022-11-08,4542,726,3816
2022-11-09,4452,763,3689
2022-11-10,4518,747,3771
2022-11-11,4973,718,4255
2022-11-12,5599,650,4949
2022-11-13,5043,475,4568
2022-11-14,4449,709,3740
2022-11-15,4005,600,3405
2022-11-16,4128,654,3474
2022-11-17,4133,681,3452
2022-11-18,4322,644,3678
2022-11-19,5471,552,4919
2022-11-20,5302,521,4781
2022-11-21,4724,668,4056
2022-11-22,4184,744,3440
2022-11-23,4007,625,3382
2022-11-24,4480,828,3652
2022-11-25,4928,845,4083
2022-11-26,4973,582,4391
2022-11-27,5193,574,4619
2022-11-28,4996,786,4210
2022-11-29,4561,726,3835
2022-11-30,4227,678,3549
2022-12-01,4121,636,3485
2022-12-02,4065,692,3373
2022-12-03,4262,523,3739
2022-12-04,4219,544,3675
2022-12-05,4015,630,3385
2022-12-06,4332,628,3704
2022-12-07,4005,703,3302
2022-12-08,3880,555,3325
2022-12-09,4442,656,3786
2022-12-10,4429,549,3880
2022-12-11,4460,566,3894
2022-12-12,4305,664,3641
2022-12-13,6770,1081,5689
2022-12-14,6893,909,5984
2022-12-15,5903,881,5022
2022-12-16,6021,844,5177
2022-12-17,8492,775,7717
2022-12-18,8071,846,7225
2022-12-19,6619,891,5728
2022-12-20,8296,939,7357
2022-12-21,7261,883,6378
2022-12-22,6791,866,5925
2022-12-23,6377,845,5532
2022-12-24,6093,730,5363
2022-12-25,6455,732,5723
2022-12-26,6968,875,6093
2022-12-27,6500,881,5619
2022-12-28,6165,874,5291
2022-12-29,6329,863,5466
2022-12-30,6629,860,5769
2022-12-31,17796,920,16876
2023-01-01,13895,914,12981
2023-01-02,9240,853,8387
2023-01-03,8055,940,7115
2023-01-04,7465,901,6564
2023-01-05,6899,899,6000
2023-01-06,6472,873,5599
2023-01-07,6287,760,5527
2023-01-08,6136,749,5387
2023-01-09,6432,867,5565
2023-01-10,6427,882,5545
2023-01-11,6272,864,5408
2023-01-12,5864,849,5015
2023-01-13,6058,872,5186
2023-01-14,5673,642,5031
2023-01-15,5731,671,5060
2023-01-16,6197,861,5336
2023-01-17,5668,822,4846
2023-01-18,5569,841,4728
2023-01-19,5538,696,4842
2023-01-20,5580,623,4957
2023-01-21,6102,498,5604
2023-01-22,6654,519,6135
2023-01-23,5318,409,4909
2023-01-24,5336,414,4922
2023-01-25,5278,439,4839
2023-01-26,4982,440,4542
2023-01-27,5500,501,4999
2023-01-28,6022,819,5203
2023-01-29,4933,630,4303
2023-01-30,4669,716,3953
2023-01-31,5756,960,4796
2023-02-01,4819,841,3978
2023-02-02,4808,721,4087
2023-02-03,4984,844,4140
2023-02-04,4950,602,4348
2023-02-05,4697,475,4222
2023-02-06,4509,814,3695
2023-02-07,6907,925,5982
2023-02-08,4576,866,3710
2023-02-09,4095,785,3310
2023-02-10,3898,771,3127
2023-02-11,4045,515,3530
2023-02-12,3915,533,3382
2023-02-13,3485,755,2730
2023-02-14,3474,802,2672
2023-02-15,3331,757,2574
2023-02-16,3453,788,2665
2023-02-17,3681,841,2840
2023-02-18,4625,653,3972
2023-02-19,4248,541,3707
2023-02-20,3374,749,2625
2023-02-21,3321,738,2583
2023-02-22,3455,768,2687
2023-02-23,3515,772,2743
2023-02-24,3556,754,2802
2023-02-25,3882,564,3318
2023-02-26,3601,506,3095
2023-02-27,3419,671,2748
2023-02-28,4101,853,3248
2023-03-01,3606,779,2827
2023-03-02,3448,692,2756
2023-03-03,3464,715,2749
2023-03-04,3775,502,3273
2023-03-05,3802,554,3248
2023-03-06,3254,701,2553
2023-03-07,3191,644,2547
2023-03-08,3444,692,2752
2023-03-09,3295,671,2624
2023-03-10,3547,690,2857
2023-03-11,4694,558,4136
2023-03-12,4589,599,3990
2023-03-13,3841,718,3123
2023-03-14,4999,843,4156
2023-03-15,4069,792,3277
2023-03-16,4470,837,3633
2023-03-17,6595,879,5716
2023-03-18,6340,740,5600
2023-03-19,5572,664,4908
2023-03-20,4405,827,3578
2023-03-21,4630,856,3774
2023-03-22,4680,857,3823
2023-03-23,5167,884,4283
2023-03-24,6807,902,5905
2023-03-25,6722,857,5865
2023-03-26,6287,760,5527
2023-03-27,4786,859,3927
2023-03-28,4400,922,3478
2023-03-29,4795,872,3923
2023-03-30,4753,869,3884
2023-03-31,5803,867,4936
2023-04-01,6310,751,5559
2023-04-02,5977,656,5321
2023-04-03,5301,874,4427
2023-04-04,5267,867,4400
2023-04-05,5797,718,5079
2023-04-06,5243,874,4369
2023-04-07,7110,943,6167
2023-04-08,8641,831,7810
2023-04-09,10115,1276,8839
2023-04-10,8134,1299,6835
2023-04-11,7291,1068,6223
2023-04-12,6780,992,5788
2023-04-13,6874,1043,5831
2023-04-14,6780,935,5845
2023-04-15,6997,862,6135
2023-04-16,6528,768,5760
2023-04-17,5220,892,4328
2023-04-18,5410,907,4503
2023-04-19,5661,928,4733
2023-04-20,6130,927,5203
2023-04-21,8175,1119,7056
2023-04-22,7830,922,6908
