Time,all,pc,wise
2022-10-01,2825,349,2476
2022-10-02,2728,343,2385
2022-10-03,2768,335,2433
2022-10-04,2963,363,2600
2022-10-05,2817,408,2409
2022-10-06,2510,381,2129
2022-10-07,2459,467,1992
2022-10-08,3386,586,2800
2022-10-09,2563,521,2042
2022-10-10,2405,566,1839
2022-10-11,2564,619,1945
2022-10-12,2645,620,2025
2022-10-13,2973,671,2302
2022-10-14,2789,628,2161
2022-10-15,2951,409,2542
2022-10-16,3769,487,3282
2022-10-17,3339,667,2672
2022-10-18,3193,682,2511
2022-10-19,3173,718,2455
2022-10-20,3383,713,2670
2022-10-21,3037,665,2372
2022-10-22,3150,470,2680
2022-10-23,2833,397,2436
2022-10-24,2878,665,2213
2022-10-25,3149,642,2507
2022-10-26,2800,690,2110
2022-10-27,2976,634,2342
2022-10-28,2820,633,2187
2022-10-29,2728,464,2264
2022-10-30,2502,205,2297
2022-10-31,2803,647,2156
2022-11-01,2786,676,2110
2022-11-02,2535,533,2002
2022-11-03,2634,654,1980
2022-11-04,2718,530,2188
2022-11-05,3000,419,2581
2022-11-06,3153,430,2723
2022-11-07,2979,699,2280
2022-11-08,4494,737,3757
2022-11-09,4863,830,4033
2022-11-10,4024,789,3235
2022-11-11,3634,650,2984
2022-11-12,4098,524,3574
2022-11-13,4721,476,4245
2022-11-14,3559,659,2900
2022-11-15,3437,699,2738
2022-11-16,3554,676,2878
2022-11-17,3604,721,2883
2022-11-18,3622,591,3031
2022-11-19,3670,425,3245
2022-11-20,3643,461,3182
2022-11-21,3103,561,2542
2022-11-22,2748,543,2205
2022-11-23,2784,582,2202
2022-11-24,3019,568,2451
2022-11-25,3264,555,2709
2022-11-26,3337,400,2937
2022-11-27,3304,442,2862
2022-11-28,2905,572,2333
2022-11-29,3022,606,2416
2022-11-30,4231,706,3525
2022-12-01,4749,681,4068
2022-12-02,3524,582,2942
2022-12-03,3256,454,2802
2022-12-04,3049,422,2627
2022-12-05,2890,640,2250
2022-12-06,3157,580,2577
2022-12-07,2669,555,2114
2022-12-08,2716,622,2094
2022-12-09,2626,592,2034
2022-12-10,2999,392,2607
2022-12-11,3195,367,2828
2022-12-12,2449,515,1934
2022-12-13,2392,538,1854
2022-12-14,2454,478,1976
2022-12-15,2329,482,1847
2022-12-16,4697,571,4126
2022-12-17,2564,333,2231
2022-12-18,2219,330,1889
2022-12-19,2248,394,1854
2022-12-20,3155,453,2702
2022-12-21,3274,461,2813
2022-12-22,2340,361,1979
2022-12-23,2410,383,2027
2022-12-24,3480,341,3139
2022-12-25,3647,327,3320
2022-12-26,2956,437,2519
2022-12-27,2361,456,1905
2022-12-28,2523,482,2041
2022-12-29,2378,468,1910
2022-12-30,2577,492,2085
2022-12-31,5466,479,4987
2023-01-01,3305,366,2939
2023-01-02,2905,388,2517
2023-01-03,2634,588,2046
2023-01-04,2535,515,2020
2023-01-05,2668,637,2031
2023-01-06,2527,529,1998
2023-01-07,2643,380,2263
2023-01-08,2566,349,2217
2023-01-09,5863,613,5250
2023-01-10,4222,620,3602
2023-01-11,3123,519,2604
2023-01-12,3057,619,2438
2023-01-13,2998,541,2457
2023-01-14,3324,391,2933
2023-01-15,2713,336,2377
2023-01-16,2445,433,2012
2023-01-17,2381,437,1944
2023-01-18,2161,327,1834
2023-01-19,2224,315,1909
2023-01-20,2158,260,1898
2023-01-21,1859,182,1677
2023-01-22,2339,195,2144
2023-01-23,2587,216,2371
2023-01-24,2265,220,2045
2023-01-25,2212,245,1967
2023-01-26,2124,234,1890
2023-01-27,2070,215,1855
2023-01-28,2036,326,1710
2023-01-29,2080,380,1700
2023-01-30,1969,405,1564
2023-01-31,2059,431,1628
2023-02-01,1975,391,1584
2023-02-02,2167,521,1646
2023-02-03,2140,461,1679
2023-02-04,2130,360,1770
2023-02-05,2088,268,1820
2023-02-06,2092,465,1627
2023-02-07,2198,530,1668
2023-02-08,2045,487,1558
2023-02-09,2113,516,1597
2023-02-10,2221,479,1742
2023-02-11,2258,366,1892
2023-02-12,2150,323,1827
2023-02-13,2124,544,1580
2023-02-14,2814,512,2302
2023-02-15,2528,512,2016
2023-02-16,2273,543,1730
2023-02-17,2316,515,1801
2023-02-18,2446,352,2094
2023-02-19,2444,335,2109
2023-02-20,2183,506,1677
2023-02-21,2305,509,1796
2023-02-22,2443,544,1899
2023-02-23,2990,763,2227
2023-02-24,2803,670,2133
2023-02-25,2715,436,2279
2023-02-26,2513,417,2096
2023-02-27,2462,605,1857
2023-02-28,2956,716,2240
2023-03-01,2773,651,2122
2023-03-02,2728,616,2112
2023-03-03,3320,645,2675
2023-03-04,2845,397,2448
2023-03-05,2593,388,2205
2023-03-06,2556,592,1964
2023-03-07,2665,627,2038
2023-03-08,2792,631,2161
2023-03-09,3059,701,2358
2023-03-10,4698,822,3876
2023-03-11,8498,644,7854
2023-03-12,5388,521,4867
2023-03-13,3750,813,2937
2023-03-14,3241,541,2700
2023-03-15,2812,578,2234
2023-03-16,3005,667,2338
2023-03-17,3249,679,2570
2023-03-18,3029,416,2613
2023-03-19,3365,392,2973
2023-03-20,3220,628,2592
2023-03-21,3269,637,2632
2023-03-22,2991,611,2380
2023-03-23,2991,726,2265
2023-03-24,2928,647,2281
2023-03-25,3531,364,3167
2023-03-26,4088,515,3573
2023-03-27,3487,774,2713
2023-03-28,2995,679,2316
2023-03-29,3055,647,2408
2023-03-30,2985,650,2335
2023-03-31,3407,734,2673
2023-04-01,3945,402,3543
2023-04-02,4510,471,4039
2023-04-03,3639,744,2895
2023-04-04,3055,614,2441
2023-04-05,3154,400,2754
2023-04-06,2987,639,2348
2023-04-07,2973,614,2359
2023-04-08,2941,400,2541
2023-04-09,2940,355,2585
2023-04-10,2826,595,2231
2023-04-11,2965,606,2359
2023-04-12,2947,613,2334
2023-04-13,2798,625,2173
2023-04-14,3191,583,2608
2023-04-15,3679,442,3237
2023-04-16,4586,482,4104
2023-04-17,3921,842,3079
2023-04-18,3099,659,2440
2023-04-19,3127,616,2511
2023-04-20,3192,642,2550
2023-04-21,3693,671,3022
2023-04-22,3237,395,2842
