Time,all,pc,wise
2022-10-01,4746,490,4256
2022-10-02,4872,526,4346
2022-10-03,5057,515,4542
2022-10-04,4567,506,4061
2022-10-05,4463,495,3968
2022-10-06,4545,544,4001
2022-10-07,4373,540,3833
2022-10-08,4007,665,3342
2022-10-09,3828,701,3127
2022-10-10,3980,640,3340
2022-10-11,3985,724,3261
2022-10-12,4112,665,3447
2022-10-13,4180,706,3474
2022-10-14,4358,729,3629
2022-10-15,4396,552,3844
2022-10-16,4106,471,3635
2022-10-17,4082,675,3407
2022-10-18,4087,699,3388
2022-10-19,3744,642,3102
2022-10-20,3638,620,3018
2022-10-21,3894,678,3216
2022-10-22,4007,504,3503
2022-10-23,3873,416,3457
2022-10-24,3698,744,2954
2022-10-25,3656,758,2898
2022-10-26,3783,681,3102
2022-10-27,3870,648,3222
2022-10-28,4005,658,3347
2022-10-29,4193,501,3692
2022-10-30,3756,172,3584
2022-10-31,3955,636,3319
2022-11-01,3806,617,3189
2022-11-02,3645,566,3079
2022-11-03,3860,648,3212
2022-11-04,4018,617,3401
2022-11-05,3643,475,3168
2022-11-06,3542,383,3159
2022-11-07,3301,568,2733
2022-11-08,3488,600,2888
2022-11-09,3554,582,2972
2022-11-10,3572,560,3012
2022-11-11,3723,582,3141
2022-11-12,4055,457,3598
2022-11-13,3931,433,3498
2022-11-14,3312,566,2746
2022-11-15,3549,631,2918
2022-11-16,3983,558,3425
2022-11-17,4061,608,3453
2022-11-18,4109,560,3549
2022-11-19,4066,456,3610
2022-11-20,3733,391,3342
2022-11-21,3296,507,2789
2022-11-22,3211,464,2747
2022-11-23,3124,462,2662
2022-11-24,3050,467,2583
2022-11-25,3318,492,2826
2022-11-26,3239,394,2845
2022-11-27,3367,420,2947
2022-11-28,3137,532,2605
2022-11-29,3197,551,2646
2022-11-30,3366,611,2755
2022-12-01,2971,462,2509
2022-12-02,3104,527,2577
2022-12-03,3331,394,2937
2022-12-04,3153,340,2813
2022-12-05,2999,495,2504
2022-12-06,3211,506,2705
2022-12-07,2825,492,2333
2022-12-08,3070,558,2512
2022-12-09,3145,613,2532
2022-12-10,2810,400,2410
2022-12-11,2828,333,2495
2022-12-12,2775,408,2367
2022-12-13,2874,502,2372
2022-12-14,2701,465,2236
2022-12-15,2634,465,2169
2022-12-16,3017,439,2578
2022-12-17,3248,332,2916
2022-12-18,4061,366,3695
2022-12-19,2841,343,2498
2022-12-20,2831,381,2450
2022-12-21,2989,437,2552
2022-12-22,2920,417,2503
2022-12-23,3387,453,2934
2022-12-24,4023,399,3624
2022-12-25,3631,364,3267
2022-12-26,3557,526,3031
2022-12-27,5192,758,4434
2022-12-28,4569,668,3901
2022-12-29,4390,693,3697
2022-12-30,4215,580,3635
2022-12-31,5179,582,4597
2023-01-01,4682,475,4207
2023-01-02,4168,456,3712
2023-01-03,3553,512,3041
2023-01-04,3340,569,2771
2023-01-05,3401,547,2854
2023-01-06,3561,518,3043
2023-01-07,3829,434,3395
2023-01-08,4171,457,3714
2023-01-09,3725,585,3140
2023-01-10,3528,561,2967
2023-01-11,3679,569,3110
2023-01-12,3826,622,3204
2023-01-13,3776,564,3212
2023-01-14,4878,462,4416
2023-01-15,6895,589,6306
2023-01-16,7542,761,6781
2023-01-17,7937,849,7088
2023-01-18,7534,797,6737
2023-01-19,5868,529,5339
2023-01-20,5848,409,5439
2023-01-21,5445,313,5132
2023-01-22,6624,341,6283
2023-01-23,7500,380,7120
2023-01-24,8097,409,7688
2023-01-25,9120,453,8667
2023-01-26,11226,519,10707
2023-01-27,12819,647,12172
2023-01-28,12314,919,11395
2023-01-29,13367,886,12481
2023-01-30,13192,890,12302
2023-01-31,15035,977,14058
2023-02-01,15850,1083,14767
2023-02-02,15158,1018,14140
2023-02-03,15313,982,14331
2023-02-04,19346,908,18438
2023-02-05,17337,849,16488
2023-02-06,14722,975,13747
2023-02-07,13990,963,13027
2023-02-08,13980,949,13031
2023-02-09,16486,1140,15346
2023-02-10,13014,939,12075
2023-02-11,13291,839,12452
2023-02-12,13149,792,12357
2023-02-13,11768,904,10864
2023-02-14,9941,900,9041
2023-02-15,9652,885,8767
2023-02-16,10036,903,9133
2023-02-17,9475,870,8605
2023-02-18,9141,619,8522
2023-02-19,8372,640,7732
2023-02-20,9008,860,8148
2023-02-21,8650,819,7831
2023-02-22,8079,822,7257
2023-02-23,7481,849,6632
2023-02-24,8390,866,7524
2023-02-25,7581,527,7054
2023-02-26,6949,513,6436
2023-02-27,7185,855,6330
2023-02-28,7522,889,6633
2023-03-01,7219,853,6366
2023-03-02,6996,867,6129
2023-03-03,7043,861,6182
2023-03-04,7608,661,6947
2023-03-05,7227,563,6664
2023-03-06,6191,715,5476
2023-03-07,5952,735,5217
2023-03-08,5626,771,4855
2023-03-09,5791,760,5031
2023-03-10,5969,772,5197
2023-03-11,6593,549,6044
2023-03-12,6961,552,6409
2023-03-13,6248,741,5507
2023-03-14,5963,849,5114
2023-03-15,5658,843,4815
2023-03-16,6133,730,5403
2023-03-17,12613,958,11655
2023-03-18,9498,684,8814
2023-03-19,7403,566,6837
2023-03-20,6092,816,5276
2023-03-21,5933,858,5075
2023-03-22,5928,751,5177
2023-03-23,6725,843,5882
2023-03-24,6055,841,5214
2023-03-25,5971,568,5403
2023-03-26,6160,566,5594
2023-03-27,5476,802,4674
2023-03-28,5441,844,4597
2023-03-29,5084,816,4268
2023-03-30,5109,802,4307
2023-03-31,4899,771,4128
2023-04-01,5109,519,4590
2023-04-02,6243,566,5677
2023-04-03,5350,783,4567
2023-04-04,5302,726,4576
2023-04-05,5119,526,4593
2023-04-06,4545,761,3784
2023-04-07,4177,653,3524
2023-04-08,4418,476,3942
2023-04-09,4635,482,4153
2023-04-10,4324,701,3623
2023-04-11,4547,634,3913
2023-04-12,4325,667,3658
2023-04-13,4362,695,3667
2023-04-14,4399,617,3782
2023-04-15,4630,411,4219
2023-04-16,5725,493,5232
2023-04-17,4894,679,4215
2023-04-18,4662,656,4006
2023-04-19,4569,658,3911
2023-04-20,4379,676,3703
2023-04-21,4440,619,3821
2023-04-22,4694,523,4171
