Time,all,pc,wise
2022-10-01,1123,163,960
2022-10-02,1081,131,950
2022-10-03,1074,170,904
2022-10-04,1026,150,876
2022-10-05,1055,175,880
2022-10-06,1053,179,874
2022-10-07,1010,162,848
2022-10-08,1016,173,843
2022-10-09,1012,172,840
2022-10-10,904,182,722
2022-10-11,905,155,750
2022-10-12,1039,213,826
2022-10-13,1005,193,812
2022-10-14,1058,201,857
2022-10-15,1060,184,876
2022-10-16,1002,139,863
2022-10-17,1065,211,854
2022-10-18,1105,242,863
2022-10-19,1029,187,842
2022-10-20,994,191,803
2022-10-21,1035,175,860
2022-10-22,1047,146,901
2022-10-23,1043,163,880
2022-10-24,1013,188,825
2022-10-25,1047,190,857
2022-10-26,1020,173,847
2022-10-27,1013,169,844
2022-10-28,1051,195,856
2022-10-29,1045,157,888
2022-10-30,948,80,868
2022-10-31,973,179,794
2022-11-01,1044,187,857
2022-11-02,1028,180,848
2022-11-03,1041,183,858
2022-11-04,1064,198,866
2022-11-05,1051,163,888
2022-11-06,1012,144,868
2022-11-07,1012,176,836
2022-11-08,937,172,765
2022-11-09,995,207,788
2022-11-10,970,182,788
2022-11-11,984,168,816
2022-11-12,1026,135,891
2022-11-13,1078,154,924
2022-11-14,1095,193,902
2022-11-15,1065,202,863
2022-11-16,1057,194,863
2022-11-17,999,183,816
2022-11-18,1011,161,850
2022-11-19,1031,154,877
2022-11-20,1103,158,945
2022-11-21,1503,304,1199
2022-11-22,1388,260,1128
2022-11-23,1060,172,888
2022-11-24,1026,175,851
2022-11-25,1010,157,853
2022-11-26,995,137,858
2022-11-27,997,151,846
2022-11-28,978,163,815
2022-11-29,975,161,814
2022-11-30,1009,168,841
2022-12-01,885,165,720
2022-12-02,1018,169,849
2022-12-03,1004,161,843
2022-12-04,1025,152,873
2022-12-05,1152,190,962
2022-12-06,1447,247,1200
2022-12-07,1068,190,878
2022-12-08,1038,187,851
2022-12-09,1088,187,901
2022-12-10,957,87,870
2022-12-11,1008,127,881
2022-12-12,1205,207,998
2022-12-13,1047,188,859
2022-12-14,1141,202,939
2022-12-15,1147,250,897
2022-12-16,1061,200,861
2022-12-17,1015,159,856
2022-12-18,1033,155,878
2022-12-19,939,177,762
2022-12-20,991,166,825
2022-12-21,1002,176,826
2022-12-22,981,165,816
2022-12-23,962,180,782
2022-12-24,1056,139,917
2022-12-25,1193,201,992
2022-12-26,1126,208,918
2022-12-27,1060,175,885
2022-12-28,1215,256,959
2022-12-29,1268,288,980
2022-12-30,1210,257,953
2022-12-31,4884,402,4482
2023-01-01,2572,256,2316
2023-01-02,1493,219,1274
2023-01-03,1269,285,984
2023-01-04,1177,234,943
2023-01-05,1151,233,918
2023-01-06,1188,225,963
2023-01-07,1536,223,1313
2023-01-08,1356,177,1179
2023-01-09,1339,228,1111
2023-01-10,1204,240,964
2023-01-11,1176,222,954
2023-01-12,1139,193,946
2023-01-13,1141,191,950
2023-01-14,1182,190,992
2023-01-15,1101,159,942
2023-01-16,1067,187,880
2023-01-17,1065,190,875
2023-01-18,1054,163,891
2023-01-19,972,161,811
2023-01-20,1002,139,863
2023-01-21,974,125,849
2023-01-22,1030,129,901
2023-01-23,1086,151,935
2023-01-24,1094,144,950
2023-01-25,1067,102,965
2023-01-26,1134,169,965
2023-01-27,1063,137,926
2023-01-28,1042,159,883
2023-01-29,1096,154,942
2023-01-30,1066,154,912
2023-01-31,1222,250,972
2023-02-01,1094,187,907
2023-02-02,1126,202,924
2023-02-03,1308,240,1068
2023-02-04,1306,193,1113
2023-02-05,1170,170,1000
2023-02-06,1100,195,905
2023-02-07,1058,173,885
2023-02-08,1057,183,874
2023-02-09,1059,195,864
2023-02-10,1045,175,870
2023-02-11,1068,151,917
2023-02-12,1073,183,890
2023-02-13,1029,182,847
2023-02-14,1061,216,845
2023-02-15,985,202,783
2023-02-16,1037,182,855
2023-02-17,1027,170,857
2023-02-18,1011,148,863
2023-02-19,999,135,864
2023-02-20,991,191,800
2023-02-21,904,177,727
2023-02-22,1053,204,849
2023-02-23,1051,184,867
2023-02-24,1094,220,874
2023-02-25,1024,163,861
2023-02-26,1015,148,867
2023-02-27,979,184,795
2023-02-28,1019,172,847
2023-03-01,1011,168,843
2023-03-02,1021,179,842
2023-03-03,1012,169,843
2023-03-04,1033,163,870
2023-03-05,1028,150,878
2023-03-06,1063,184,879
2023-03-07,1147,223,924
2023-03-08,1153,202,951
2023-03-09,1614,274,1340
2023-03-10,1926,284,1642
2023-03-11,3216,374,2842
2023-03-12,2423,279,2144
2023-03-13,2122,363,1759
2023-03-14,2056,354,1702
2023-03-15,1844,344,1500
2023-03-16,1834,304,1530
2023-03-17,2058,383,1675
2023-03-18,1760,236,1524
2023-03-19,1717,247,1470
2023-03-20,1478,309,1169
2023-03-21,1389,265,1124
2023-03-22,1348,271,1077
2023-03-23,1265,229,1036
2023-03-24,1325,257,1068
2023-03-25,1514,228,1286
2023-03-26,1480,212,1268
2023-03-27,1371,268,1103
2023-03-28,1293,285,1008
2023-03-29,1551,371,1180
2023-03-30,1311,274,1037
2023-03-31,1238,243,995
2023-04-01,1181,188,993
2023-04-02,1163,182,981
2023-04-03,1188,236,952
2023-04-04,1256,247,1009
2023-04-05,1172,197,975
2023-04-06,1182,223,959
2023-04-07,1273,301,972
2023-04-08,1130,190,940
2023-04-09,1163,216,947
2023-04-10,1188,259,929
2023-04-11,1120,211,909
2023-04-12,1104,213,891
2023-04-13,1110,222,888
2023-04-14,1121,197,924
2023-04-15,1176,182,994
2023-04-16,1157,177,980
2023-04-17,1133,202,931
2023-04-18,1075,172,903
2023-04-19,1130,213,917
2023-04-20,1233,274,959
2023-04-21,1164,237,927
2023-04-22,1146,155,991
