Time,all,pc,wise
2022-10-01,2345,392,1953
2022-10-02,2254,349,1905
2022-10-03,2327,343,1984
2022-10-04,2391,417,1974
2022-10-05,2215,374,1841
2022-10-06,2083,408,1675
2022-10-07,1958,380,1578
2022-10-08,1929,456,1473
2022-10-09,1895,363,1532
2022-10-10,1925,495,1430
2022-10-11,1884,428,1456
2022-10-12,1913,510,1403
2022-10-13,1961,488,1473
2022-10-14,1982,453,1529
2022-10-15,2012,361,1651
2022-10-16,1971,344,1627
2022-10-17,1968,433,1535
2022-10-18,1993,470,1523
2022-10-19,2161,546,1615
2022-10-20,2078,501,1577
2022-10-21,1984,456,1528
2022-10-22,2135,409,1726
2022-10-23,2100,324,1776
2022-10-24,2154,481,1673
2022-10-25,2298,499,1799
2022-10-26,2361,547,1814
2022-10-27,3147,560,2587
2022-10-28,2598,495,2103
2022-10-29,2941,412,2529
2022-10-30,2612,151,2461
2022-10-31,2127,395,1732
2022-11-01,1944,454,1490
2022-11-02,2039,459,1580
2022-11-03,2071,464,1607
2022-11-04,2044,445,1599
2022-11-05,2385,462,1923
2022-11-06,2122,371,1751
2022-11-07,1961,439,1522
2022-11-08,1933,436,1497
2022-11-09,1966,487,1479
2022-11-10,1991,475,1516
2022-11-11,2091,502,1589
2022-11-12,2201,402,1799
2022-11-13,2058,436,1622
2022-11-14,1982,450,1532
2022-11-15,1835,490,1345
2022-11-16,1908,445,1463
2022-11-17,1867,425,1442
2022-11-18,1886,416,1470
2022-11-19,2936,457,2479
2022-11-20,2700,414,2286
2022-11-21,2225,476,1749
2022-11-22,1889,416,1473
2022-11-23,1631,372,1259
2022-11-24,1809,412,1397
2022-11-25,1725,352,1373
2022-11-26,1975,352,1623
2022-11-27,1874,309,1565
2022-11-28,2040,445,1595
2022-11-29,1895,453,1442
2022-11-30,1962,443,1519
2022-12-01,1729,391,1338
2022-12-02,1894,450,1444
2022-12-03,1823,354,1469
2022-12-04,1989,349,1640
2022-12-05,2215,487,1728
2022-12-06,2257,465,1792
2022-12-07,1892,434,1458
2022-12-08,1775,389,1386
2022-12-09,1881,400,1481
2022-12-10,1854,304,1550
2022-12-11,1858,346,1512
2022-12-12,1723,414,1309
2022-12-13,1665,434,1231
2022-12-14,1545,364,1181
2022-12-15,1538,366,1172
2022-12-16,1656,409,1247
2022-12-17,1660,321,1339
2022-12-18,1640,279,1361
2022-12-19,1424,335,1089
2022-12-20,1523,349,1174
2022-12-21,1682,332,1350
2022-12-22,1886,386,1500
2022-12-23,1824,389,1435
2022-12-24,1743,327,1416
2022-12-25,1828,302,1526
2022-12-26,1726,371,1355
2022-12-27,1792,377,1415
2022-12-28,1774,372,1402
2022-12-29,2165,445,1720
2022-12-30,2018,374,1644
2022-12-31,2174,375,1799
2023-01-01,2232,355,1877
2023-01-02,2178,375,1803
2023-01-03,1926,440,1486
2023-01-04,2199,475,1724
2023-01-05,2487,484,2003
2023-01-06,2967,589,2378
2023-01-07,3423,561,2862
2023-01-08,2853,496,2357
2023-01-09,2668,600,2068
2023-01-10,2433,479,1954
2023-01-11,2327,470,1857
2023-01-12,2360,481,1879
2023-01-13,2547,464,2083
2023-01-14,2516,391,2125
2023-01-15,2337,397,1940
2023-01-16,2231,422,1809
2023-01-17,2327,406,1921
2023-01-18,2458,461,1997
2023-01-19,2294,321,1973
2023-01-20,2200,305,1895
2023-01-21,1960,188,1772
2023-01-22,1979,168,1811
2023-01-23,1955,229,1726
2023-01-24,2031,212,1819
2023-01-25,1993,208,1785
2023-01-26,2014,237,1777
2023-01-27,2052,257,1795
2023-01-28,2362,475,1887
2023-01-29,2234,496,1738
2023-01-30,2145,425,1720
2023-01-31,2420,473,1947
2023-02-01,2209,499,1710
2023-02-02,2176,462,1714
2023-02-03,2293,453,1840
2023-02-04,2254,377,1877
2023-02-05,2145,329,1816
2023-02-06,1983,430,1553
2023-02-07,1953,454,1499
2023-02-08,1901,433,1468
2023-02-09,1884,447,1437
2023-02-10,2126,502,1624
2023-02-11,2082,394,1688
2023-02-12,2003,350,1653
2023-02-13,1932,471,1461
2023-02-14,2723,533,2190
2023-02-15,2910,564,2346
2023-02-16,2395,540,1855
2023-02-17,2287,498,1789
2023-02-18,2264,355,1909
2023-02-19,2220,381,1839
2023-02-20,1983,493,1490
2023-02-21,2075,493,1582
2023-02-22,2509,561,1948
2023-02-23,2261,476,1785
2023-02-24,2291,568,1723
2023-02-25,2414,403,2011
2023-02-26,2462,420,2042
2023-02-27,2180,470,1710
2023-02-28,2093,475,1618
2023-03-01,2129,538,1591
2023-03-02,2320,588,1732
2023-03-03,2331,546,1785
2023-03-04,2499,411,2088
2023-03-05,2438,371,2067
2023-03-06,2312,527,1785
2023-03-07,2304,498,1806
2023-03-08,2239,521,1718
2023-03-09,2237,519,1718
2023-03-10,2458,563,1895
2023-03-11,2852,527,2325
2023-03-12,2642,507,2135
2023-03-13,2270,574,1696
2023-03-14,2414,606,1808
2023-03-15,2435,633,1802
2023-03-16,2644,661,1983
2023-03-17,3048,788,2260
2023-03-18,3214,630,2584
2023-03-19,3381,707,2674
2023-03-20,3050,757,2293
2023-03-21,2895,743,2152
2023-03-22,3073,850,2223
2023-03-23,2881,802,2079
2023-03-24,2747,659,2088
2023-03-25,2642,488,2154
2023-03-26,2542,468,2074
2023-03-27,3032,620,2412
2023-03-28,3150,644,2506
2023-03-29,2937,684,2253
2023-03-30,4771,712,4059
2023-03-31,4760,849,3911
2023-04-01,3829,574,3255
2023-04-02,3632,594,3038
2023-04-03,3438,727,2711
2023-04-04,3530,689,2841
2023-04-05,3534,606,2928
2023-04-06,2968,633,2335
2023-04-07,3047,675,2372
2023-04-08,3204,613,2591
2023-04-09,3072,533,2539
2023-04-10,2770,658,2112
2023-04-11,2810,675,2135
2023-04-12,2549,630,1919
2023-04-13,2709,595,2114
2023-04-14,2854,703,2151
2023-04-15,3112,532,2580
2023-04-16,3075,524,2551
2023-04-17,2729,628,2101
2023-04-18,2830,640,2190
2023-04-19,2742,684,2058
2023-04-20,2618,648,1970
2023-04-21,2850,647,2203
2023-04-22,2967,541,2426
