Time,all,pc,wise
2022-10-01,3492,312,3180
2022-10-02,3304,309,2995
2022-10-03,3684,293,3391
2022-10-04,3297,228,3069
2022-10-05,3346,307,3039
2022-10-06,3142,281,2861
2022-10-07,3204,315,2889
2022-10-08,2659,358,2301
2022-10-09,2502,333,2169
2022-10-10,2008,265,1743
2022-10-11,2032,321,1711
2022-10-12,2067,281,1786
2022-10-13,2012,333,1679
2022-10-14,2024,267,1757
2022-10-15,2228,250,1978
2022-10-16,2139,209,1930
2022-10-17,1874,279,1595
2022-10-18,1942,267,1675
2022-10-19,1852,265,1587
2022-10-20,1982,219,1763
2022-10-21,1960,218,1742
2022-10-22,2054,191,1863
2022-10-23,2075,183,1892
2022-10-24,1760,212,1548
2022-10-25,1796,228,1568
2022-10-26,1758,270,1488
2022-10-27,1910,264,1646
2022-10-28,1849,242,1607
2022-10-29,1905,168,1737
2022-10-30,1705,95,1610
2022-10-31,1670,237,1433
2022-11-01,1612,237,1375
2022-11-02,1658,248,1410
2022-11-03,1690,204,1486
2022-11-04,1724,225,1499
2022-11-05,1683,190,1493
2022-11-06,1599,175,1424
2022-11-07,1514,193,1321
2022-11-08,1569,204,1365
2022-11-09,2204,262,1942
2022-11-10,1981,260,1721
2022-11-11,1819,247,1572
2022-11-12,1745,183,1562
2022-11-13,1627,176,1451
2022-11-14,1442,195,1247
2022-11-15,1431,222,1209
2022-11-16,1408,197,1211
2022-11-17,1504,233,1271
2022-11-18,1518,211,1307
2022-11-19,1892,176,1716
2022-11-20,1908,208,1700
2022-11-21,1604,239,1365
2022-11-22,1530,212,1318
2022-11-23,1468,211,1257
2022-11-24,1470,202,1268
2022-11-25,1599,215,1384
2022-11-26,1670,169,1501
2022-11-27,1951,175,1776
2022-11-28,1766,225,1541
2022-11-29,1633,211,1422
2022-11-30,1620,229,1391
2022-12-01,1539,200,1339
2022-12-02,1610,215,1395
2022-12-03,1758,193,1565
2022-12-04,1864,226,1638
2022-12-05,1667,248,1419
2022-12-06,1802,209,1593
2022-12-07,1536,186,1350
2022-12-08,1511,216,1295
2022-12-09,1519,208,1311
2022-12-10,1600,182,1418
2022-12-11,1587,154,1433
2022-12-12,1506,208,1298
2022-12-13,1561,211,1350
2022-12-14,1512,202,1310
2022-12-15,1477,211,1266
2022-12-16,1586,197,1389
2022-12-17,1695,175,1520
2022-12-18,1684,187,1497
2022-12-19,1560,205,1355
2022-12-20,1643,194,1449
2022-12-21,1720,216,1504
2022-12-22,1909,234,1675
2022-12-23,1966,245,1721
2022-12-24,2337,176,2161
2022-12-25,2644,236,2408
2022-12-26,2366,265,2101
2022-12-27,2498,268,2230
2022-12-28,2383,265,2118
2022-12-29,2310,288,2022
2022-12-30,2244,290,1954
2022-12-31,3229,243,2986
2023-01-01,2805,215,2590
2023-01-02,2842,250,2592
2023-01-03,2563,287,2276
2023-01-04,2264,307,1957
2023-01-05,2350,319,2031
2023-01-06,2342,271,2071
2023-01-07,2415,250,2165
2023-01-08,2397,228,2169
2023-01-09,2851,349,2502
2023-01-10,2522,338,2184
2023-01-11,2077,251,1826
2023-01-12,2712,347,2365
2023-01-13,3099,425,2674
2023-01-14,2750,284,2466
2023-01-15,2395,223,2172
2023-01-16,2318,267,2051
2023-01-17,2043,253,1790
2023-01-18,1972,216,1756
2023-01-19,2468,250,2218
2023-01-20,3367,298,3069
2023-01-21,40201,883,39318
2023-01-22,15262,488,14774
2023-01-23,6413,305,6108
2023-01-24,4493,223,4270
2023-01-25,3816,213,3603
2023-01-26,4243,220,4023
2023-01-27,4177,288,3889
2023-01-28,3889,324,3565
2023-01-29,3589,319,3270
2023-01-30,3333,366,2967
2023-01-31,5431,673,4758
2023-02-01,3690,414,3276
2023-02-02,4668,506,4162
2023-02-03,4837,529,4308
2023-02-04,4484,352,4132
2023-02-05,9389,464,8925
2023-02-06,4896,450,4446
2023-02-07,3238,406,2832
2023-02-08,2914,397,2517
2023-02-09,2856,344,2512
2023-02-10,2809,316,2493
2023-02-11,3029,262,2767
2023-02-12,3059,318,2741
2023-02-13,2396,313,2083
2023-02-14,2076,274,1802
2023-02-15,1961,223,1738
2023-02-16,2299,327,1972
2023-02-17,2635,338,2297
2023-02-18,2741,262,2479
2023-02-19,2791,233,2558
2023-02-20,2277,312,1965
2023-02-21,2408,296,2112
2023-02-22,3405,381,3024
2023-02-23,2743,386,2357
2023-02-24,2751,288,2463
2023-02-25,2906,265,2641
2023-02-26,2982,250,2732
2023-02-27,2359,299,2060
2023-02-28,2224,302,1922
2023-03-01,2105,242,1863
2023-03-02,2044,281,1763
2023-03-03,2292,315,1977
2023-03-04,2430,208,2222
2023-03-05,2427,240,2187
2023-03-06,1882,262,1620
2023-03-07,1900,262,1638
2023-03-08,1841,240,1601
2023-03-09,1864,267,1597
2023-03-10,1898,271,1627
2023-03-11,2039,170,1869
2023-03-12,2095,209,1886
2023-03-13,1745,248,1497
2023-03-14,1769,284,1485
2023-03-15,1859,377,1482
2023-03-16,1808,253,1555
2023-03-17,1938,257,1681
2023-03-18,2323,228,2095
2023-03-19,2479,222,2257
2023-03-20,1797,271,1526
2023-03-21,1887,291,1596
2023-03-22,1839,265,1574
2023-03-23,1824,285,1539
2023-03-24,1842,267,1575
2023-03-25,2013,236,1777
2023-03-26,1839,186,1653
2023-03-27,1668,276,1392
2023-03-28,1845,304,1541
2023-03-29,1857,313,1544
2023-03-30,2007,319,1688
2023-03-31,2108,305,1803
2023-04-01,2347,233,2114
2023-04-02,2312,222,2090
2023-04-03,2138,321,1817
2023-04-04,2147,284,1863
2023-04-05,2522,218,2304
2023-04-06,2194,299,1895
2023-04-07,2200,288,1912
2023-04-08,2473,243,2230
2023-04-09,2308,223,2085
2023-04-10,1930,288,1642
2023-04-11,1887,291,1596
2023-04-12,1818,290,1528
2023-04-13,1852,278,1574
2023-04-14,1858,281,1577
2023-04-15,2019,228,1791
2023-04-16,1975,202,1773
2023-04-17,1667,234,1433
2023-04-18,1690,271,1419
2023-04-19,1810,296,1514
2023-04-20,1843,264,1579
2023-04-21,3122,316,2806
2023-04-22,4966,312,4654
