star,0-19,20-29,30-39,40-49,50+
capper,33.34,45.36,13.11,6.45,1.74
gai,13.23,41.5,30.14,10.64,4.49
阿信,5.57,28.42,34.36,25.38,6.27
蔡徐坤,15.76,26.3,38.35,15.85,3.75
陈奕迅,12.73,37.15,32.99,13.12,4.01
郭顶,16.1,53.3,22.53,6.46,1.6
郭富城,8.42,27.86,37.86,20.54,5.31
胡彦斌,9.43,38.85,36.24,11.24,4.24
华晨宇,12.67,32.54,32.53,16.08,6.18
姜云升,24.38,46.18,19.42,8.1,1.92
李健,10.93,31.95,27.96,16.89,12.26
李荣浩,9.99,33.21,39.26,14.07,3.46
李玉刚,9.21,27.32,35.5,18.48,9.48
林俊杰,15.23,42.71,30.92,8.49,2.66
林宥嘉,15.78,48.96,25.56,7.4,2.3
刘德华,5.68,23.23,41.81,21.8,7.49
罗志祥,14.89,43.92,30.33,8.3,2.57
马思唯,23.14,46.82,21.04,7.14,1.87
毛不易,7.37,30.5,39.5,18.02,4.61
潘玮柏,10.1,38.9,36.17,10.62,4.2
朴树,9.46,33.4,32.53,16.43,8.18
任贤齐,3.71,25.39,51.55,15.6,3.76
陶喆,18.8,46.21,25.09,7.73,2.18
汪峰,8.59,26.73,30.81,20.62,13.25
汪苏泷,13.11,40.94,33.66,9.32,2.98
王嘉尔,13.82,41.55,31.98,9.97,2.69
王力宏,13.43,38.37,35.4,9.62,3.17
王以太,16.43,49.59,24.09,7.7,2.19
魏晨,14.34,47.35,24.82,9.8,3.69
吴克群,9.83,38.34,34.31,13.3,4.22
萧敬腾,14.2,36.24,32.55,12.64,4.37
小鬼,17.66,39.83,27.61,10.18,4.72
徐良,11.4,47.6,24.7,11.19,5.11
许嵩,13.66,44.16,30.29,9.6,2.29
薛之谦,19.37,36.35,26.86,13.43,3.99
杨和苏,23.65,53.03,15.47,5.93,1.92
张国荣,11.79,29.62,32.02,19.92,6.64
张杰,10.02,39.5,32.18,12.82,5.47
张信哲,6.72,30.2,39.99,17.49,5.59
张学友,6.88,27.59,36.88,21.98,6.66
赵雷,10.55,42.04,33.43,10.73,3.25
周杰伦,13.9,38.93,35.68,9.09,2.4
周深,7.69,21.29,37.76,23.66,9.61