Time,all,pc,wise
2022-10-01,1223,154,1069
2022-10-02,1605,219,1386
2022-10-03,1825,215,1610
2022-10-04,1669,172,1497
2022-10-05,1693,222,1471
2022-10-06,1913,256,1657
2022-10-07,2040,253,1787
2022-10-08,5809,639,5170
2022-10-09,4919,751,4168
2022-10-10,2770,434,2336
2022-10-11,2125,385,1740
2022-10-12,1812,335,1477
2022-10-13,1552,267,1285
2022-10-14,1551,271,1280
2022-10-15,1706,200,1506
2022-10-16,1643,201,1442
2022-10-17,1282,237,1045
2022-10-18,1178,201,977
2022-10-19,1302,225,1077
2022-10-20,1343,188,1155
2022-10-21,1976,357,1619
2022-10-22,3515,360,3155
2022-10-23,3621,259,3362
2022-10-24,2038,346,1692
2022-10-25,2550,661,1889
2022-10-26,1961,456,1505
2022-10-27,2071,343,1728
2022-10-28,2599,318,2281
2022-10-29,3062,233,2829
2022-10-30,3592,112,3480
2022-10-31,2860,406,2454
2022-11-01,3278,462,2816
2022-11-02,2498,447,2051
2022-11-03,2154,361,1793
2022-11-04,1901,285,1616
2022-11-05,1980,256,1724
2022-11-06,1935,228,1707
2022-11-07,1821,336,1485
2022-11-08,1446,264,1182
2022-11-09,1821,374,1447
2022-11-10,1314,257,1057
2022-11-11,1422,265,1157
2022-11-12,1389,208,1181
2022-11-13,1297,176,1121
2022-11-14,1787,324,1463
2022-11-15,2632,450,2182
2022-11-16,2645,595,2050
2022-11-17,1552,245,1307
2022-11-18,1351,271,1080
2022-11-19,1160,170,990
2022-11-20,1193,212,981
2022-11-21,1089,188,901
2022-11-22,1134,183,951
2022-11-23,1068,173,895
2022-11-24,1069,170,899
2022-11-25,1047,152,895
2022-11-26,1065,161,904
2022-11-27,1030,154,876
2022-11-28,1046,186,860
2022-11-29,1013,168,845
2022-11-30,919,151,768
2022-12-01,986,140,846
2022-12-02,1036,173,863
2022-12-03,7518,954,6564
2022-12-04,3629,529,3100
2022-12-05,1957,335,1622
2022-12-06,1937,315,1622
2022-12-07,1414,229,1185
2022-12-08,1189,194,995
2022-12-09,1072,162,910
2022-12-10,1030,131,899
2022-12-11,1086,177,909
2022-12-12,1035,176,859
2022-12-13,1076,225,851
2022-12-14,1050,198,852
2022-12-15,1054,180,874
2022-12-16,1049,170,879
2022-12-17,1100,137,963
2022-12-18,991,127,864
2022-12-19,1021,168,853
2022-12-20,891,142,749
2022-12-21,987,152,835
2022-12-22,1017,146,871
2022-12-23,1049,140,909
2022-12-24,1007,155,852
2022-12-25,988,139,849
2022-12-26,1013,150,863
2022-12-27,1019,166,853
2022-12-28,996,146,850
2022-12-29,1081,215,866
2022-12-30,1026,176,850
2022-12-31,1018,155,863
2023-01-01,923,101,822
2023-01-02,983,127,856
2023-01-03,1150,291,859
2023-01-04,1028,176,852
2023-01-05,1006,162,844
2023-01-06,878,159,719
2023-01-07,910,133,777
2023-01-08,962,120,842
2023-01-09,1010,152,858
2023-01-10,1041,190,851
2023-01-11,959,157,802
2023-01-12,901,129,772
2023-01-13,927,137,790
2023-01-14,847,114,733
2023-01-15,914,155,759
2023-01-16,843,137,706
2023-01-17,756,112,644
2023-01-18,730,125,605
2023-01-19,798,101,697
2023-01-20,789,97,692
2023-01-21,805,83,722
2023-01-22,834,82,752
2023-01-23,858,108,750
2023-01-24,880,83,797
2023-01-25,844,85,759
2023-01-26,781,80,701
2023-01-27,659,82,577
2023-01-28,787,125,662
2023-01-29,786,133,653
2023-01-30,703,125,578
2023-01-31,776,142,634
2023-02-01,847,152,695
2023-02-02,756,129,627
2023-02-03,817,151,666
2023-02-04,868,135,733
2023-02-05,835,118,717
2023-02-06,774,142,632
2023-02-07,815,166,649
2023-02-08,763,139,624
2023-02-09,726,110,616
2023-02-10,696,135,561
2023-02-11,773,97,676
2023-02-12,749,89,660
2023-02-13,1036,175,861
2023-02-14,962,166,796
2023-02-15,832,152,680
2023-02-16,834,161,673
2023-02-17,856,161,695
2023-02-18,1005,121,884
2023-02-19,1030,139,891
2023-02-20,1042,184,858
2023-02-21,1008,142,866
2023-02-22,967,187,780
2023-02-23,902,146,756
2023-02-24,879,183,696
2023-02-25,1128,170,958
2023-02-26,1067,123,944
2023-02-27,1227,223,1004
2023-02-28,1066,180,886
2023-03-01,1024,166,858
2023-03-02,987,140,847
2023-03-03,869,152,717
2023-03-04,917,129,788
2023-03-05,854,127,727
2023-03-06,712,121,591
2023-03-07,783,139,644
2023-03-08,703,144,559
2023-03-09,744,121,623
2023-03-10,808,135,673
2023-03-11,958,125,833
2023-03-12,955,118,837
2023-03-13,991,157,834
2023-03-14,1002,155,847
2023-03-15,998,157,841
2023-03-16,1005,146,859
2023-03-17,1096,187,909
2023-03-18,1272,179,1093
2023-03-19,1668,182,1486
2023-03-20,1205,212,993
2023-03-21,1115,191,924
2023-03-22,1114,234,880
2023-03-23,1010,159,851
2023-03-24,985,177,808
2023-03-25,992,137,855
2023-03-26,1004,133,871
2023-03-27,1010,155,855
2023-03-28,952,168,784
2023-03-29,951,183,768
2023-03-30,1026,179,847
2023-03-31,1094,220,874
2023-04-01,2502,513,1989
2023-04-02,4183,608,3575
2023-04-03,11112,3079,8033
2023-04-04,13384,2282,11102
2023-04-05,7004,884,6120
2023-04-06,4817,947,3870
2023-04-07,3590,892,2698
2023-04-08,2409,380,2029
2023-04-09,2135,302,1833
2023-04-10,1880,495,1385
2023-04-11,1697,347,1350
2023-04-12,2191,526,1665
2023-04-13,2026,464,1562
2023-04-14,2559,802,1757
2023-04-15,2237,284,1953
2023-04-16,2576,354,2222
2023-04-17,2935,707,2228
2023-04-18,1837,426,1411
2023-04-19,1543,385,1158
2023-04-20,1327,344,983
2023-04-21,1163,211,952
2023-04-22,1374,207,1167
