Time,all,pc,wise
2022-10-01,810,91,719
2022-10-02,954,114,840
2022-10-03,868,95,773
2022-10-04,812,99,713
2022-10-05,1007,152,855
2022-10-06,902,137,765
2022-10-07,741,89,652
2022-10-08,705,112,593
2022-10-09,730,142,588
2022-10-10,618,118,500
2022-10-11,597,110,487
2022-10-12,875,135,740
2022-10-13,709,110,599
2022-10-14,682,131,551
2022-10-15,884,112,772
2022-10-16,774,101,673
2022-10-17,762,157,605
2022-10-18,681,139,542
2022-10-19,782,140,642
2022-10-20,762,158,604
2022-10-21,1023,179,844
2022-10-22,1027,135,892
2022-10-23,1017,142,875
2022-10-24,818,135,683
2022-10-25,838,146,692
2022-10-26,986,144,842
2022-10-27,991,144,847
2022-10-28,1019,166,853
2022-10-29,987,106,881
2022-10-30,929,74,855
2022-10-31,903,148,755
2022-11-01,843,131,712
2022-11-02,855,184,671
2022-11-03,795,142,653
2022-11-04,752,127,625
2022-11-05,822,112,710
2022-11-06,935,135,800
2022-11-07,623,162,461
2022-11-08,631,110,521
2022-11-09,637,116,521
2022-11-10,822,120,702
2022-11-11,737,120,617
2022-11-12,772,102,670
2022-11-13,672,101,571
2022-11-14,671,125,546
2022-11-15,653,118,535
2022-11-16,756,104,652
2022-11-17,685,129,556
2022-11-18,790,139,651
2022-11-19,722,85,637
2022-11-20,735,83,652
2022-11-21,671,127,544
2022-11-22,726,127,599
2022-11-23,710,151,559
2022-11-24,785,142,643
2022-11-25,806,104,702
2022-11-26,661,87,574
2022-11-27,741,110,631
2022-11-28,784,118,666
2022-11-29,1089,234,855
2022-11-30,634,121,513
2022-12-01,743,116,627
2022-12-02,732,101,631
2022-12-03,832,91,741
2022-12-04,946,106,840
2022-12-05,810,120,690
2022-12-06,1016,137,879
2022-12-07,801,137,664
2022-12-08,745,101,644
2022-12-09,613,121,492
2022-12-10,565,87,478
2022-12-11,620,87,533
2022-12-12,538,108,430
2022-12-13,534,121,413
2022-12-14,456,112,344
2022-12-15,534,102,432
2022-12-16,643,101,542
2022-12-17,632,78,554
2022-12-18,642,83,559
2022-12-19,558,82,476
2022-12-20,568,93,475
2022-12-21,527,87,440
2022-12-22,564,91,473
2022-12-23,583,114,469
2022-12-24,542,82,460
2022-12-25,609,83,526
2022-12-26,533,93,440
2022-12-27,582,102,480
2022-12-28,903,85,818
2022-12-29,708,102,606
2022-12-30,590,97,493
2022-12-31,650,83,567
2023-01-01,665,74,591
2023-01-02,548,87,461
2023-01-03,532,87,445
2023-01-04,667,148,519
2023-01-05,578,120,458
2023-01-06,573,101,472
2023-01-07,503,91,412
2023-01-08,497,74,423
2023-01-09,475,89,386
2023-01-10,464,106,358
2023-01-11,500,116,384
2023-01-12,622,118,504
2023-01-13,650,129,521
2023-01-14,704,97,607
2023-01-15,819,93,726
2023-01-16,554,110,444
2023-01-17,891,121,770
2023-01-18,705,108,597
2023-01-19,534,70,464
2023-01-20,519,82,437
2023-01-21,673,66,607
2023-01-22,585,66,519
2023-01-23,502,68,434
2023-01-24,510,66,444
2023-01-25,456,61,395
2023-01-26,484,72,412
2023-01-27,527,97,430
2023-01-28,490,95,395
2023-01-29,769,102,667
2023-01-30,604,106,498
2023-01-31,675,146,529
2023-02-01,579,93,486
2023-02-02,533,120,413
2023-02-03,504,127,377
2023-02-04,499,80,419
2023-02-05,717,64,653
2023-02-06,449,87,362
2023-02-07,516,108,408
2023-02-08,576,108,468
2023-02-09,998,155,843
2023-02-10,623,110,513
2023-02-11,642,104,538
2023-02-12,600,82,518
2023-02-13,493,102,391
2023-02-14,450,104,346
2023-02-15,512,101,411
2023-02-16,510,101,409
2023-02-17,486,102,384
2023-02-18,526,83,443
2023-02-19,615,80,535
2023-02-20,583,108,475
2023-02-21,653,106,547
2023-02-22,659,95,564
2023-02-23,704,116,588
2023-02-24,578,93,485
2023-02-25,595,83,512
2023-02-26,546,78,468
2023-02-27,486,102,384
2023-02-28,538,108,430
2023-03-01,510,112,398
2023-03-02,477,93,384
2023-03-03,490,89,401
2023-03-04,443,82,361
2023-03-05,492,83,409
2023-03-06,476,95,381
2023-03-07,500,127,373
2023-03-08,593,110,483
2023-03-09,736,120,616
2023-03-10,739,123,616
2023-03-11,692,95,597
2023-03-12,759,83,676
2023-03-13,986,125,861
2023-03-14,988,120,868
2023-03-15,1039,234,805
2023-03-16,1179,226,953
2023-03-17,1150,287,863
2023-03-18,1036,154,882
2023-03-19,832,123,709
2023-03-20,1045,170,875
2023-03-21,1109,211,898
2023-03-22,993,158,835
2023-03-23,915,158,757
2023-03-24,765,142,623
2023-03-25,637,93,544
2023-03-26,547,89,458
2023-03-27,648,131,517
2023-03-28,984,140,844
2023-03-29,577,108,469
2023-03-30,507,102,405
2023-03-31,493,114,379
2023-04-01,504,85,419
2023-04-02,602,123,479
2023-04-03,1115,256,859
2023-04-04,1218,313,905
2023-04-05,1046,197,849
2023-04-06,895,208,687
2023-04-07,889,208,681
2023-04-08,636,150,486
2023-04-09,619,108,511
2023-04-10,484,93,391
2023-04-11,577,133,444
2023-04-12,519,139,380
2023-04-13,549,112,437
2023-04-14,573,114,459
2023-04-15,704,106,598
2023-04-16,944,104,840
2023-04-17,949,162,787
2023-04-18,764,148,616
2023-04-19,739,123,616
2023-04-20,834,139,695
2023-04-21,756,146,610
2023-04-22,695,91,604
