Time,all,pc,wise
2022-10-01,3966,268,3698
2022-10-02,4560,661,3899
2022-10-03,8077,552,7525
2022-10-04,5370,402,4968
2022-10-05,5902,436,5466
2022-10-06,6519,526,5993
2022-10-07,6198,617,5581
2022-10-08,22753,1258,21495
2022-10-09,10362,975,9387
2022-10-10,5945,865,5080
2022-10-11,4763,945,3818
2022-10-12,3429,659,2770
2022-10-13,2839,433,2406
2022-10-14,2537,425,2112
2022-10-15,2635,298,2337
2022-10-16,2616,245,2371
2022-10-17,2399,412,1987
2022-10-18,2543,436,2107
2022-10-19,2713,400,2313
2022-10-20,6190,726,5464
2022-10-21,8346,850,7496
2022-10-22,18324,1083,17241
2022-10-23,24128,1210,22918
2022-10-24,10153,1032,9121
2022-10-25,5597,905,4692
2022-10-26,4421,805,3616
2022-10-27,7298,783,6515
2022-10-28,11474,913,10561
2022-10-29,17114,922,16192
2022-10-30,41430,380,41050
2022-10-31,17006,1872,15134
2022-11-01,8841,944,7897
2022-11-02,6602,900,5702
2022-11-03,5947,855,5092
2022-11-04,7825,903,6922
2022-11-05,7101,755,6346
2022-11-06,5081,560,4521
2022-11-07,4342,647,3695
2022-11-08,4678,721,3957
2022-11-09,7361,877,6484
2022-11-10,7267,912,6355
2022-11-11,4444,713,3731
2022-11-12,3815,425,3390
2022-11-13,3059,357,2702
2022-11-14,2942,551,2391
2022-11-15,2372,445,1927
2022-11-16,2371,487,1884
2022-11-17,2174,383,1791
2022-11-18,2663,695,1968
2022-11-19,2485,388,2097
2022-11-20,2307,316,1991
2022-11-21,1933,367,1566
2022-11-22,1932,391,1541
2022-11-23,1839,364,1475
2022-11-24,1887,369,1518
2022-11-25,1727,307,1420
2022-11-26,2080,253,1827
2022-11-27,1858,259,1599
2022-11-28,1947,371,1576
2022-11-29,1688,304,1384
2022-11-30,1491,264,1227
2022-12-01,1492,305,1187
2022-12-02,1552,313,1239
2022-12-03,2217,243,1974
2022-12-04,2202,237,1965
2022-12-05,2878,502,2376
2022-12-06,2152,343,1809
2022-12-07,2715,386,2329
2022-12-08,3525,588,2937
2022-12-09,2743,453,2290
2022-12-10,2192,315,1877
2022-12-11,5101,557,4544
2022-12-12,2743,513,2230
2022-12-13,2150,461,1689
2022-12-14,1720,386,1334
2022-12-15,1484,312,1172
2022-12-16,1508,315,1193
2022-12-17,1413,239,1174
2022-12-18,1337,228,1109
2022-12-19,1436,305,1131
2022-12-20,1411,285,1126
2022-12-21,1426,282,1144
2022-12-22,1627,265,1362
2022-12-23,1287,234,1053
2022-12-24,1217,197,1020
2022-12-25,1390,225,1165
2022-12-26,1629,326,1303
2022-12-27,1730,304,1426
2022-12-28,1540,257,1283
2022-12-29,2659,930,1729
2022-12-30,2002,442,1560
2022-12-31,1907,250,1657
2023-01-01,1495,236,1259
2023-01-02,1576,211,1365
2023-01-03,1955,381,1574
2023-01-04,1540,313,1227
2023-01-05,1906,295,1611
2023-01-06,1545,326,1219
2023-01-07,1400,237,1163
2023-01-08,1340,201,1139
2023-01-09,1997,367,1630
2023-01-10,2297,448,1849
2023-01-11,1763,380,1383
2023-01-12,1725,305,1420
2023-01-13,1456,274,1182
2023-01-14,1247,218,1029
2023-01-15,1269,233,1036
2023-01-16,1267,299,968
2023-01-17,1189,212,977
2023-01-18,1139,197,942
2023-01-19,1247,190,1057
2023-01-20,1193,204,989
2023-01-21,1716,165,1551
2023-01-22,1479,146,1333
2023-01-23,1159,162,997
2023-01-24,1142,137,1005
2023-01-25,1136,140,996
2023-01-26,1242,162,1080
2023-01-27,1106,159,947
2023-01-28,1197,211,986
2023-01-29,1117,194,923
2023-01-30,1148,231,917
2023-01-31,1111,202,909
2023-02-01,1240,234,1006
2023-02-02,1149,225,924
2023-02-03,1171,219,952
2023-02-04,1130,198,932
2023-02-05,1283,159,1124
2023-02-06,1124,228,896
2023-02-07,1219,212,1007
2023-02-08,1220,233,987
2023-02-09,1151,228,923
2023-02-10,1174,270,904
2023-02-11,1079,175,904
2023-02-12,1084,169,915
2023-02-13,1100,213,887
2023-02-14,1129,233,896
2023-02-15,1089,220,869
2023-02-16,1157,231,926
2023-02-17,1115,208,907
2023-02-18,1738,218,1520
2023-02-19,2337,312,2025
2023-02-20,2333,471,1862
2023-02-21,1983,422,1561
2023-02-22,2882,625,2257
2023-02-23,5811,650,5161
2023-02-24,2607,569,2038
2023-02-25,1732,251,1481
2023-02-26,1610,239,1371
2023-02-27,1407,375,1032
2023-02-28,1259,281,978
2023-03-01,1286,270,1016
2023-03-02,1372,287,1085
2023-03-03,1258,304,954
2023-03-04,1260,202,1058
2023-03-05,1265,209,1056
2023-03-06,1217,236,981
2023-03-07,1245,270,975
2023-03-08,1287,260,1027
2023-03-09,1629,332,1297
2023-03-10,1426,309,1117
2023-03-11,1528,200,1328
2023-03-12,2446,287,2159
2023-03-13,3223,496,2727
2023-03-14,4260,670,3590
2023-03-15,4078,727,3351
2023-03-16,7810,937,6873
2023-03-17,8677,914,7763
2023-03-18,12822,886,11936
2023-03-19,21940,1093,20847
2023-03-20,7857,1026,6831
2023-03-21,3992,827,3165
2023-03-22,2758,619,2139
2023-03-23,2336,533,1803
2023-03-24,1985,473,1512
2023-03-25,1957,265,1692
2023-03-26,1778,281,1497
2023-03-27,2008,428,1580
2023-03-28,1824,428,1396
2023-03-29,2303,473,1830
2023-03-30,2130,436,1694
2023-03-31,1653,391,1262
2023-04-01,1795,259,1536
2023-04-02,1647,282,1365
2023-04-03,2263,689,1574
2023-04-04,2249,627,1622
2023-04-05,1758,355,1403
2023-04-06,1594,389,1205
2023-04-07,2015,426,1589
2023-04-08,1827,301,1526
2023-04-09,1943,251,1692
2023-04-10,3422,523,2899
2023-04-11,2308,461,1847
2023-04-12,3615,492,3123
2023-04-13,8322,876,7446
2023-04-14,9309,894,8415
2023-04-15,12225,886,11339
2023-04-16,5092,578,4514
2023-04-17,3271,761,2510
2023-04-18,3086,557,2529
2023-04-19,3827,755,3072
2023-04-20,6225,840,5385
2023-04-21,6915,898,6017
2023-04-22,9118,849,8269
