Time,all,pc,wise
2022-10-01,1148,154,994
2022-10-02,1224,140,1084
2022-10-03,1454,140,1314
2022-10-04,1345,151,1194
2022-10-05,2216,270,1946
2022-10-06,2503,318,2185
2022-10-07,2209,260,1949
2022-10-08,4819,817,4002
2022-10-09,3809,510,3299
2022-10-10,2195,400,1795
2022-10-11,1812,340,1472
2022-10-12,1494,287,1207
2022-10-13,1465,254,1211
2022-10-14,1406,236,1170
2022-10-15,2127,195,1932
2022-10-16,1692,333,1359
2022-10-17,1284,257,1027
2022-10-18,1230,234,996
2022-10-19,1206,218,988
2022-10-20,1809,243,1566
2022-10-21,1916,233,1683
2022-10-22,2805,299,2506
2022-10-23,2596,265,2331
2022-10-24,1480,253,1227
2022-10-25,1453,285,1168
2022-10-26,1231,233,998
2022-10-27,1601,204,1397
2022-10-28,1898,264,1634
2022-10-29,2377,218,2159
2022-10-30,2964,104,2860
2022-10-31,2356,316,2040
2022-11-01,2171,326,1845
2022-11-02,1898,374,1524
2022-11-03,1706,341,1365
2022-11-04,1441,245,1196
2022-11-05,1324,161,1163
2022-11-06,1388,179,1209
2022-11-07,1215,204,1011
2022-11-08,1151,207,944
2022-11-09,1176,236,940
2022-11-10,1182,222,960
2022-11-11,1333,190,1143
2022-11-12,1405,187,1218
2022-11-13,1463,148,1315
2022-11-14,1196,205,991
2022-11-15,1117,163,954
2022-11-16,1122,165,957
2022-11-17,1144,193,951
2022-11-18,1372,397,975
2022-11-19,1142,154,988
2022-11-20,2193,194,1999
2022-11-21,1203,216,987
2022-11-22,1116,182,934
2022-11-23,1107,161,946
2022-11-24,1128,182,946
2022-11-25,1073,161,912
2022-11-26,1090,140,950
2022-11-27,1197,144,1053
2022-11-28,1333,176,1157
2022-11-29,1069,161,908
2022-11-30,1085,205,880
2022-12-01,1080,195,885
2022-12-02,1130,204,926
2022-12-03,1073,152,921
2022-12-04,1073,146,927
2022-12-05,1093,168,925
2022-12-06,1136,182,954
2022-12-07,1031,142,889
2022-12-08,1012,146,866
2022-12-09,921,114,807
2022-12-10,954,106,848
2022-12-11,1014,121,893
2022-12-12,1096,182,914
2022-12-13,1037,173,864
2022-12-14,984,137,847
2022-12-15,1042,157,885
2022-12-16,906,133,773
2022-12-17,957,114,843
2022-12-18,958,108,850
2022-12-19,944,129,815
2022-12-20,916,121,795
2022-12-21,968,121,847
2022-12-22,989,142,847
2022-12-23,965,114,851
2022-12-24,908,110,798
2022-12-25,822,95,727
2022-12-26,866,135,731
2022-12-27,922,110,812
2022-12-28,1014,161,853
2022-12-29,1105,250,855
2022-12-30,1068,170,898
2022-12-31,1099,129,970
2023-01-01,1034,120,914
2023-01-02,1018,114,904
2023-01-03,1008,139,869
2023-01-04,932,150,782
2023-01-05,1052,193,859
2023-01-06,916,146,770
2023-01-07,986,121,865
2023-01-08,995,114,881
2023-01-09,1043,162,881
2023-01-10,1001,133,868
2023-01-11,1040,150,890
2023-01-12,926,137,789
2023-01-13,809,99,710
2023-01-14,949,108,841
2023-01-15,866,104,762
2023-01-16,841,114,727
2023-01-17,968,159,809
2023-01-18,833,121,712
2023-01-19,1024,161,863
2023-01-20,974,121,853
2023-01-21,1030,95,935
2023-01-22,942,83,859
2023-01-23,922,82,840
2023-01-24,913,80,833
2023-01-25,955,106,849
2023-01-26,950,89,861
2023-01-27,853,101,752
2023-01-28,856,108,748
2023-01-29,757,97,660
2023-01-30,848,140,708
2023-01-31,967,131,836
2023-02-01,960,131,829
2023-02-02,897,139,758
2023-02-03,859,140,719
2023-02-04,907,93,814
2023-02-05,941,101,840
2023-02-06,874,157,717
2023-02-07,1005,148,857
2023-02-08,978,139,839
2023-02-09,869,142,727
2023-02-10,812,150,662
2023-02-11,944,99,845
2023-02-12,962,101,861
2023-02-13,951,133,818
2023-02-14,771,121,650
2023-02-15,818,127,691
2023-02-16,761,159,602
2023-02-17,729,139,590
2023-02-18,972,121,851
2023-02-19,925,99,826
2023-02-20,1004,172,832
2023-02-21,952,155,797
2023-02-22,942,112,830
2023-02-23,1109,190,919
2023-02-24,1052,177,875
2023-02-25,963,104,859
2023-02-26,949,104,845
2023-02-27,898,144,754
2023-02-28,856,179,677
2023-03-01,860,267,593
2023-03-02,975,198,777
2023-03-03,990,140,850
2023-03-04,865,95,770
2023-03-05,800,104,696
2023-03-06,865,127,738
2023-03-07,806,142,664
2023-03-08,810,133,677
2023-03-09,773,125,648
2023-03-10,794,116,678
2023-03-11,816,89,727
2023-03-12,883,110,773
2023-03-13,911,125,786
2023-03-14,1247,170,1077
2023-03-15,1490,179,1311
2023-03-16,1043,162,881
2023-03-17,1153,220,933
2023-03-18,1327,166,1161
2023-03-19,1448,183,1265
2023-03-20,1125,201,924
2023-03-21,1156,250,906
2023-03-22,1169,262,907
2023-03-23,1073,191,882
2023-03-24,1137,233,904
2023-03-25,1081,157,924
2023-03-26,1010,127,883
2023-03-27,1072,188,884
2023-03-28,1109,239,870
2023-03-29,1060,213,847
2023-03-30,1081,207,874
2023-03-31,1104,187,917
2023-04-01,1311,218,1093
2023-04-02,1417,201,1216
2023-04-03,1973,582,1391
2023-04-04,1797,465,1332
2023-04-05,1356,193,1163
2023-04-06,1306,346,960
2023-04-07,1121,205,916
2023-04-08,1105,144,961
2023-04-09,1138,161,977
2023-04-10,1105,213,892
2023-04-11,1121,215,906
2023-04-12,1090,182,908
2023-04-13,1157,182,975
2023-04-14,1304,242,1062
2023-04-15,1199,131,1068
2023-04-16,1087,142,945
2023-04-17,1054,162,892
2023-04-18,1087,190,897
2023-04-19,1096,177,919
2023-04-20,1132,166,966
2023-04-21,1168,213,955
2023-04-22,1381,163,1218
