Time,all,pc,wise
2022-10-01,181,66,115
2022-10-02,176,74,102
2022-10-03,175,66,109
2022-10-04,181,72,109
2022-10-05,178,66,112
2022-10-06,156,63,93
2022-10-07,161,68,93
2022-10-08,187,78,109
2022-10-09,170,74,96
2022-10-10,382,133,249
2022-10-11,240,106,134
2022-10-12,287,123,164
2022-10-13,422,144,278
2022-10-14,536,152,384
2022-10-15,340,112,228
2022-10-16,266,95,171
2022-10-17,305,150,155
2022-10-18,331,142,189
2022-10-19,390,163,227
2022-10-20,1035,188,847
2022-10-21,563,173,390
2022-10-22,355,114,241
2022-10-23,334,131,203
2022-10-24,286,116,170
2022-10-25,259,101,158
2022-10-26,465,176,289
2022-10-27,640,194,446
2022-10-28,1158,293,865
2022-10-29,1054,191,863
2022-10-30,501,82,419
2022-10-31,601,172,429
2022-11-01,881,270,611
2022-11-02,1163,296,867
2022-11-03,1233,380,853
2022-11-04,1165,403,762
2022-11-05,991,281,710
2022-11-06,658,183,475
2022-11-07,1243,383,860
2022-11-08,1436,479,957
2022-11-09,1582,537,1045
2022-11-10,1822,614,1208
2022-11-11,2985,852,2133
2022-11-12,3614,852,2762
2022-11-13,3619,896,2723
2022-11-14,2132,611,1521
2022-11-15,1578,473,1105
2022-11-16,1729,481,1248
2022-11-17,1264,357,907
2022-11-18,1315,406,909
2022-11-19,1145,262,883
2022-11-20,1729,569,1160
2022-11-21,2758,825,1933
2022-11-22,1675,468,1207
2022-11-23,1332,388,944
2022-11-24,1396,440,956
2022-11-25,2282,751,1531
2022-11-26,2090,716,1374
2022-11-27,2048,656,1392
2022-11-28,2024,696,1328
2022-11-29,2244,752,1492
2022-11-30,3570,890,2680
2022-12-01,4845,1106,3739
2022-12-02,2980,865,2115
2022-12-03,2700,927,1773
2022-12-04,2348,883,1465
2022-12-05,3393,934,2459
2022-12-06,3853,962,2891
2022-12-07,3810,1059,2751
2022-12-08,3262,1061,2201
2022-12-09,2794,936,1858
2022-12-10,2252,888,1364
2022-12-11,2608,930,1678
2022-12-12,2162,899,1263
2022-12-13,1979,875,1104
2022-12-14,1894,852,1042
2022-12-15,2088,859,1229
2022-12-16,2307,907,1400
2022-12-17,2149,892,1257
2022-12-18,1963,875,1088
2022-12-19,1836,856,980
2022-12-20,2140,881,1259
2022-12-21,2310,891,1419
2022-12-22,2477,916,1561
2022-12-23,3142,951,2191
2022-12-24,3330,918,2412
2022-12-25,4157,1286,2871
2022-12-26,4775,1725,3050
2022-12-27,4201,1395,2806
2022-12-28,4538,1615,2923
2022-12-29,5964,1677,4287
2022-12-30,5081,1857,3224
2022-12-31,4150,1301,2849
2023-01-01,5759,1682,4077
2023-01-02,5274,1553,3721
2023-01-03,4453,1492,2961
2023-01-04,7772,1806,5966
2023-01-05,7754,2188,5566
2023-01-06,8155,2124,6031
2023-01-07,8047,1794,6253
2023-01-08,11606,2100,9506
2023-01-09,9051,2124,6927
2023-01-10,8287,2213,6074
2023-01-11,6194,1772,4422
2023-01-12,4850,1390,3460
2023-01-13,4726,1326,3400
2023-01-14,5702,1273,4429
2023-01-15,5077,1244,3833
2023-01-16,4247,1222,3025
2023-01-17,3881,1081,2800
2023-01-18,3945,978,2967
2023-01-19,4672,973,3699
2023-01-20,3846,897,2949
2023-01-21,2594,713,1881
2023-01-22,2502,634,1868
2023-01-23,2132,563,1569
2023-01-24,3097,712,2385
2023-01-25,4136,845,3291
2023-01-26,3737,855,2882
2023-01-27,3386,808,2578
2023-01-28,3708,929,2779
2023-01-29,3079,938,2141
2023-01-30,3320,931,2389
2023-01-31,3085,917,2168
2023-02-01,2458,876,1582
2023-02-02,2968,871,2097
2023-02-03,2807,899,1908
2023-02-04,2169,617,1552
2023-02-05,1991,585,1406
2023-02-06,2539,878,1661
2023-02-07,2518,882,1636
2023-02-08,2609,879,1730
2023-02-09,2243,797,1446
2023-02-10,2162,779,1383
2023-02-11,2083,591,1492
2023-02-12,1894,521,1373
2023-02-13,2178,741,1437
2023-02-14,2338,822,1516
2023-02-15,2712,884,1828
2023-02-16,2822,867,1955
2023-02-17,2596,861,1735
2023-02-18,2783,888,1895
2023-02-19,3816,944,2872
2023-02-20,4607,1231,3376
2023-02-21,3664,1228,2436
2023-02-22,2782,985,1797
2023-02-23,2389,895,1494
2023-02-24,2132,856,1276
2023-02-25,1663,546,1117
2023-02-26,1895,654,1241
2023-02-27,2128,865,1263
2023-02-28,1796,685,1111
2023-03-01,1497,519,978
2023-03-02,1525,574,951
2023-03-03,1589,569,1020
2023-03-04,1351,400,951
2023-03-05,1446,422,1024
2023-03-06,1421,473,948
2023-03-07,1491,538,953
2023-03-08,1532,560,972
2023-03-09,1603,620,983
2023-03-10,1620,564,1056
2023-03-11,1964,532,1432
2023-03-12,1398,420,978
2023-03-13,1552,599,953
2023-03-14,1742,782,960
2023-03-15,1327,426,901
2023-03-16,1427,513,914
2023-03-17,1401,495,906
2023-03-18,1174,279,895
2023-03-19,1201,284,917
2023-03-20,1307,400,907
2023-03-21,1218,336,882
2023-03-22,1443,507,936
2023-03-23,2298,841,1457
2023-03-24,2707,850,1857
2023-03-25,3501,841,2660
2023-03-26,3044,749,2295
2023-03-27,3062,900,2162
2023-03-28,3536,935,2601
2023-03-29,2619,857,1762
2023-03-30,2681,843,1838
2023-03-31,2640,861,1779
2023-04-01,2441,586,1855
2023-04-02,3282,782,2500
2023-04-03,3402,899,2503
2023-04-04,3083,868,2215
2023-04-05,2365,574,1791
2023-04-06,2082,671,1411
2023-04-07,1743,597,1146
2023-04-08,2538,658,1880
2023-04-09,1928,519,1409
2023-04-10,1810,682,1128
2023-04-11,1495,540,955
2023-04-12,1465,523,942
2023-04-13,1499,535,964
2023-04-14,1462,509,953
2023-04-15,1270,318,952
2023-04-16,1656,408,1248
2023-04-17,1830,755,1075
2023-04-18,1709,603,1106
2023-04-19,1892,850,1042
2023-04-20,1433,471,962
2023-04-21,1286,399,887
2023-04-22,1319,363,956
