Time,all,pc,wise
2022-10-01,3098,242,2856
2022-10-02,2020,219,1801
2022-10-03,1893,237,1656
2022-10-04,1914,198,1716
2022-10-05,1801,213,1588
2022-10-06,2045,264,1781
2022-10-07,1644,218,1426
2022-10-08,1716,288,1428
2022-10-09,1594,313,1281
2022-10-10,1459,274,1185
2022-10-11,1535,276,1259
2022-10-12,1524,305,1219
2022-10-13,1649,304,1345
2022-10-14,1612,318,1294
2022-10-15,1657,222,1435
2022-10-16,1934,254,1680
2022-10-17,1751,352,1399
2022-10-18,1590,295,1295
2022-10-19,1595,332,1263
2022-10-20,1616,301,1315
2022-10-21,1675,349,1326
2022-10-22,1670,259,1411
2022-10-23,3486,234,3252
2022-10-24,2178,377,1801
2022-10-25,1851,321,1530
2022-10-26,1687,271,1416
2022-10-27,1747,284,1463
2022-10-28,1638,305,1333
2022-10-29,1649,191,1458
2022-10-30,1375,114,1261
2022-10-31,1376,267,1109
2022-11-01,1421,233,1188
2022-11-02,1419,260,1159
2022-11-03,1429,248,1181
2022-11-04,1427,265,1162
2022-11-05,1394,175,1219
2022-11-06,1629,212,1417
2022-11-07,1503,265,1238
2022-11-08,1456,313,1143
2022-11-09,1466,254,1212
2022-11-10,1411,248,1163
2022-11-11,1470,257,1213
2022-11-12,1916,213,1703
2022-11-13,1633,183,1450
2022-11-14,1631,250,1381
2022-11-15,1625,291,1334
2022-11-16,1620,251,1369
2022-11-17,1770,336,1434
2022-11-18,1915,295,1620
2022-11-19,1810,234,1576
2022-11-20,1568,216,1352
2022-11-21,1649,321,1328
2022-11-22,1637,304,1333
2022-11-23,1505,278,1227
2022-11-24,1517,267,1250
2022-11-25,1748,265,1483
2022-11-26,1514,208,1306
2022-11-27,1507,202,1305
2022-11-28,1544,285,1259
2022-11-29,1484,233,1251
2022-11-30,1572,267,1305
2022-12-01,1603,256,1347
2022-12-02,1693,282,1411
2022-12-03,1692,231,1461
2022-12-04,1613,215,1398
2022-12-05,1600,257,1343
2022-12-06,2013,327,1686
2022-12-07,1532,242,1290
2022-12-08,1561,267,1294
2022-12-09,1479,262,1217
2022-12-10,1458,188,1270
2022-12-11,1997,218,1779
2022-12-12,1432,260,1172
2022-12-13,1335,264,1071
2022-12-14,1223,237,986
2022-12-15,1175,193,982
2022-12-16,1210,225,985
2022-12-17,1287,184,1103
2022-12-18,1222,175,1047
2022-12-19,1204,188,1016
2022-12-20,1211,222,989
2022-12-21,1179,198,981
2022-12-22,1169,197,972
2022-12-23,1472,278,1194
2022-12-24,1193,161,1032
2022-12-25,1225,188,1037
2022-12-26,1351,242,1109
2022-12-27,1457,284,1173
2022-12-28,1382,271,1111
2022-12-29,1446,257,1189
2022-12-30,1244,240,1004
2022-12-31,1249,198,1051
2023-01-01,1264,161,1103
2023-01-02,1264,180,1084
2023-01-03,1297,239,1058
2023-01-04,1439,312,1127
2023-01-05,1437,310,1127
2023-01-06,1338,313,1025
2023-01-07,1249,198,1051
2023-01-08,1319,207,1112
2023-01-09,1622,307,1315
2023-01-10,1327,267,1060
2023-01-11,1328,234,1094
2023-01-12,1468,293,1175
2023-01-13,1440,237,1203
2023-01-14,1327,186,1141
2023-01-15,1349,173,1176
2023-01-16,1549,318,1231
2023-01-17,1951,274,1677
2023-01-18,2303,285,2018
2023-01-19,2529,242,2287
2023-01-20,2200,197,2003
2023-01-21,2572,222,2350
2023-01-22,3625,270,3355
2023-01-23,3144,213,2931
2023-01-24,2564,179,2385
2023-01-25,2280,211,2069
2023-01-26,2620,208,2412
2023-01-27,2247,225,2022
2023-01-28,2575,321,2254
2023-01-29,2120,318,1802
2023-01-30,1970,388,1582
2023-01-31,1766,326,1440
2023-02-01,1593,281,1312
2023-02-02,1517,256,1261
2023-02-03,1531,274,1257
2023-02-04,1487,190,1297
2023-02-05,1598,195,1403
2023-02-06,1890,316,1574
2023-02-07,1812,400,1412
2023-02-08,1882,360,1522
2023-02-09,1595,299,1296
2023-02-10,1876,273,1603
2023-02-11,1621,219,1402
2023-02-12,1904,198,1706
2023-02-13,2798,560,2238
2023-02-14,1856,354,1502
2023-02-15,1770,352,1418
2023-02-16,1554,305,1249
2023-02-17,1602,251,1351
2023-02-18,1960,198,1762
2023-02-19,1906,222,1684
2023-02-20,2044,364,1680
2023-02-21,2426,329,2097
2023-02-22,1993,291,1702
2023-02-23,1950,312,1638
2023-02-24,1724,281,1443
2023-02-25,1724,215,1509
2023-02-26,1793,218,1575
2023-02-27,1837,299,1538
2023-02-28,2029,380,1649
2023-03-01,1737,321,1416
2023-03-02,1617,256,1361
2023-03-03,1774,267,1507
2023-03-04,1793,172,1621
2023-03-05,1846,190,1656
2023-03-06,1624,279,1345
2023-03-07,1679,285,1394
2023-03-08,1475,225,1250
2023-03-09,1520,291,1229
2023-03-10,1562,281,1281
2023-03-11,1640,198,1442
2023-03-12,1572,173,1399
2023-03-13,1504,216,1288
2023-03-14,1535,265,1270
2023-03-15,1460,262,1198
2023-03-16,1403,257,1146
2023-03-17,1454,265,1189
2023-03-18,1415,175,1240
2023-03-19,1519,183,1336
2023-03-20,1521,305,1216
2023-03-21,1510,295,1215
2023-03-22,1717,319,1398
2023-03-23,1453,265,1188
2023-03-24,1348,239,1109
2023-03-25,1386,218,1168
2023-03-26,1344,213,1131
2023-03-27,1400,250,1150
2023-03-28,1578,318,1260
2023-03-29,1557,323,1234
2023-03-30,1450,304,1146
2023-03-31,1578,291,1287
2023-04-01,1702,219,1483
2023-04-02,1756,234,1522
2023-04-03,1853,350,1503
2023-04-04,1820,316,1504
2023-04-05,1894,219,1675
2023-04-06,1647,282,1365
2023-04-07,1534,273,1261
2023-04-08,1499,191,1308
2023-04-09,1609,204,1405
2023-04-10,1534,288,1246
2023-04-11,1592,307,1285
2023-04-12,1631,309,1322
2023-04-13,1589,293,1296
2023-04-14,1509,240,1269
2023-04-15,1542,205,1337
2023-04-16,1555,188,1367
2023-04-17,1448,305,1143
2023-04-18,1524,288,1236
2023-04-19,1420,290,1130
2023-04-20,1576,416,1160
2023-04-21,1414,290,1124
2023-04-22,1400,197,1203
