Time,all,pc,wise
2022-10-01,620,91,529
2022-10-02,708,95,613
2022-10-03,862,87,775
2022-10-04,794,89,705
2022-10-05,821,99,722
2022-10-06,770,104,666
2022-10-07,803,91,712
2022-10-08,701,106,595
2022-10-09,734,123,611
2022-10-10,697,106,591
2022-10-11,761,123,638
2022-10-12,907,127,780
2022-10-13,1017,151,866
2022-10-14,947,125,822
2022-10-15,977,110,867
2022-10-16,1044,125,919
2022-10-17,1074,188,886
2022-10-18,1047,163,884
2022-10-19,992,144,848
2022-10-20,980,137,843
2022-10-21,984,123,861
2022-10-22,984,108,876
2022-10-23,981,114,867
2022-10-24,975,131,844
2022-10-25,947,125,822
2022-10-26,938,137,801
2022-10-27,850,127,723
2022-10-28,930,116,814
2022-10-29,1034,127,907
2022-10-30,945,83,862
2022-10-31,988,144,844
2022-11-01,981,118,863
2022-11-02,975,121,854
2022-11-03,1112,151,961
2022-11-04,1056,120,936
2022-11-05,1001,99,902
2022-11-06,970,85,885
2022-11-07,963,118,845
2022-11-08,972,125,847
2022-11-09,991,137,854
2022-11-10,946,104,842
2022-11-11,1012,112,900
2022-11-12,1109,116,993
2022-11-13,967,99,868
2022-11-14,915,125,790
2022-11-15,996,102,894
2022-11-16,1016,131,885
2022-11-17,954,104,850
2022-11-18,1010,116,894
2022-11-19,983,102,881
2022-11-20,983,112,871
2022-11-21,948,99,849
2022-11-22,820,83,737
2022-11-23,950,108,842
2022-11-24,941,106,835
2022-11-25,855,108,747
2022-11-26,935,121,814
2022-11-27,950,95,855
2022-11-28,1024,139,885
2022-11-29,1011,129,882
2022-11-30,972,129,843
2022-12-01,860,106,754
2022-12-02,959,120,839
2022-12-03,1093,108,985
2022-12-04,1010,102,908
2022-12-05,987,110,877
2022-12-06,992,120,872
2022-12-07,928,125,803
2022-12-08,919,110,809
2022-12-09,1043,184,859
2022-12-10,1000,131,869
2022-12-11,802,83,719
2022-12-12,766,121,645
2022-12-13,750,139,611
2022-12-14,785,104,681
2022-12-15,903,116,787
2022-12-16,967,114,853
2022-12-17,898,80,818
2022-12-18,882,91,791
2022-12-19,751,116,635
2022-12-20,844,106,738
2022-12-21,1004,129,875
2022-12-22,970,123,847
2022-12-23,969,110,859
2022-12-24,941,85,856
2022-12-25,962,104,858
2022-12-26,974,108,866
2022-12-27,959,106,853
2022-12-28,969,116,853
2022-12-29,1030,114,916
2022-12-30,970,125,845
2022-12-31,965,121,844
2023-01-01,886,104,782
2023-01-02,976,101,875
2023-01-03,975,129,846
2023-01-04,948,104,844
2023-01-05,999,129,870
2023-01-06,988,114,874
2023-01-07,949,102,847
2023-01-08,1008,144,864
2023-01-09,971,118,853
2023-01-10,1001,114,887
2023-01-11,1011,142,869
2023-01-12,963,118,845
2023-01-13,966,123,843
2023-01-14,956,104,852
2023-01-15,1146,223,923
2023-01-16,1024,170,854
2023-01-17,979,133,846
2023-01-18,839,120,719
2023-01-19,962,110,852
2023-01-20,829,82,747
2023-01-21,652,68,584
2023-01-22,937,89,848
2023-01-23,979,114,865
2023-01-24,922,89,833
2023-01-25,871,91,780
2023-01-26,891,82,809
2023-01-27,886,91,795
2023-01-28,905,101,804
2023-01-29,924,95,829
2023-01-30,894,146,748
2023-01-31,835,116,719
2023-02-01,746,104,642
2023-02-02,900,127,773
2023-02-03,893,99,794
2023-02-04,887,89,798
2023-02-05,898,112,786
2023-02-06,902,99,803
2023-02-07,901,112,789
2023-02-08,969,139,830
2023-02-09,951,133,818
2023-02-10,995,139,856
2023-02-11,924,83,841
2023-02-12,958,104,854
2023-02-13,923,144,779
2023-02-14,810,125,685
2023-02-15,838,114,724
2023-02-16,845,133,712
2023-02-17,872,121,751
2023-02-18,879,95,784
2023-02-19,912,97,815
2023-02-20,974,116,858
2023-02-21,941,144,797
2023-02-22,879,121,758
2023-02-23,955,127,828
2023-02-24,844,129,715
2023-02-25,871,83,788
2023-02-26,816,108,708
2023-02-27,784,101,683
2023-02-28,764,139,625
2023-03-01,754,116,638
2023-03-02,802,131,671
2023-03-03,756,118,638
2023-03-04,930,91,839
2023-03-05,899,95,804
2023-03-06,744,114,630
2023-03-07,818,121,697
2023-03-08,794,125,669
2023-03-09,993,137,856
2023-03-10,881,116,765
2023-03-11,954,99,855
2023-03-12,968,101,867
2023-03-13,982,131,851
2023-03-14,937,118,819
2023-03-15,966,157,809
2023-03-16,994,106,888
2023-03-17,984,114,870
2023-03-18,1348,133,1215
2023-03-19,1027,112,915
2023-03-20,1053,142,911
2023-03-21,1036,137,899
2023-03-22,1031,154,877
2023-03-23,1005,127,878
2023-03-24,1014,142,872
2023-03-25,994,118,876
2023-03-26,1005,125,880
2023-03-27,992,144,848
2023-03-28,972,123,849
2023-03-29,994,142,852
2023-03-30,1016,154,862
2023-03-31,972,144,828
2023-04-01,953,101,852
2023-04-02,1014,120,894
2023-04-03,1044,177,867
2023-04-04,1027,155,872
2023-04-05,982,102,880
2023-04-06,1008,146,862
2023-04-07,1006,158,848
2023-04-08,963,120,843
2023-04-09,960,108,852
2023-04-10,890,125,765
2023-04-11,1002,135,867
2023-04-12,1039,166,873
2023-04-13,948,139,809
2023-04-14,899,157,742
2023-04-15,916,104,812
2023-04-16,900,82,818
2023-04-17,839,140,699
2023-04-18,907,110,797
2023-04-19,969,137,832
2023-04-20,938,97,841
2023-04-21,956,114,842
2023-04-22,980,120,860
