Time,all,pc,wise
2022-10-01,1210,180,1030
2022-10-02,1169,169,1000
2022-10-03,1522,187,1335
2022-10-04,6401,622,5779
2022-10-05,10231,864,9367
2022-10-06,7172,710,6462
2022-10-07,4978,538,4440
2022-10-08,4056,586,3470
2022-10-09,4185,569,3616
2022-10-10,3072,399,2673
2022-10-11,2953,430,2523
2022-10-12,3158,479,2679
2022-10-13,2691,412,2279
2022-10-14,2648,395,2253
2022-10-15,2817,307,2510
2022-10-16,2609,324,2285
2022-10-17,1990,346,1644
2022-10-18,1805,302,1503
2022-10-19,1823,310,1513
2022-10-20,1994,336,1658
2022-10-21,1891,284,1607
2022-10-22,1921,242,1679
2022-10-23,2062,239,1823
2022-10-24,1597,260,1337
2022-10-25,1554,273,1281
2022-10-26,1458,284,1174
2022-10-27,1495,243,1252
2022-10-28,1573,262,1311
2022-10-29,2224,257,1967
2022-10-30,1865,133,1732
2022-10-31,1808,270,1538
2022-11-01,1537,245,1292
2022-11-02,1406,207,1199
2022-11-03,1332,228,1104
2022-11-04,1453,220,1233
2022-11-05,1779,209,1570
2022-11-06,1968,201,1767
2022-11-07,1509,243,1266
2022-11-08,1467,243,1224
2022-11-09,1682,341,1341
2022-11-10,1583,309,1274
2022-11-11,1746,296,1450
2022-11-12,1749,248,1501
2022-11-13,1604,229,1375
2022-11-14,1310,257,1053
2022-11-15,1314,264,1050
2022-11-16,1333,253,1080
2022-11-17,1226,242,984
2022-11-18,1565,291,1274
2022-11-19,1446,209,1237
2022-11-20,3544,577,2967
2022-11-21,1854,363,1491
2022-11-22,1676,318,1358
2022-11-23,1373,240,1133
2022-11-24,1441,253,1188
2022-11-25,1731,301,1430
2022-11-26,1892,285,1607
2022-11-27,1930,262,1668
2022-11-28,1612,301,1311
2022-11-29,1489,296,1193
2022-11-30,1618,330,1288
2022-12-01,1209,237,972
2022-12-02,1237,256,981
2022-12-03,1163,170,993
2022-12-04,1224,182,1042
2022-12-05,1170,188,982
2022-12-06,1198,215,983
2022-12-07,1102,183,919
2022-12-08,1172,213,959
2022-12-09,1263,243,1020
2022-12-10,1754,301,1453
2022-12-11,1181,186,995
2022-12-12,1165,194,971
2022-12-13,1180,208,972
2022-12-14,1236,251,985
2022-12-15,1184,205,979
2022-12-16,1244,251,993
2022-12-17,1157,165,992
2022-12-18,1310,197,1113
2022-12-19,1210,212,998
2022-12-20,1240,204,1036
2022-12-21,1548,231,1317
2022-12-22,1358,197,1161
2022-12-23,1254,209,1045
2022-12-24,1240,190,1050
2022-12-25,1646,163,1483
2022-12-26,1420,183,1237
2022-12-27,1150,176,974
2022-12-28,1151,176,975
2022-12-29,1193,194,999
2022-12-30,1168,191,977
2022-12-31,1103,140,963
2023-01-01,1130,137,993
2023-01-02,1156,142,1014
2023-01-03,1155,201,954
2023-01-04,1265,316,949
2023-01-05,1128,211,917
2023-01-06,1096,172,924
2023-01-07,1081,142,939
2023-01-08,1066,150,916
2023-01-09,1095,162,933
2023-01-10,1095,184,911
2023-01-11,1714,169,1545
2023-01-12,1153,202,951
2023-01-13,1115,190,925
2023-01-14,1186,172,1014
2023-01-15,2417,166,2251
2023-01-16,2413,239,2174
2023-01-17,1628,201,1427
2023-01-18,1432,175,1257
2023-01-19,1233,154,1079
2023-01-20,1114,135,979
2023-01-21,1041,106,935
2023-01-22,7712,318,7394
2023-01-23,5193,323,4870
2023-01-24,2919,215,2704
2023-01-25,2462,168,2294
2023-01-26,2077,177,1900
2023-01-27,1900,197,1703
2023-01-28,1459,190,1269
2023-01-29,1866,193,1673
2023-01-30,1205,209,996
2023-01-31,1098,177,921
2023-02-01,1112,193,919
2023-02-02,1079,176,903
2023-02-03,1060,175,885
2023-02-04,1094,135,959
2023-02-05,1105,150,955
2023-02-06,1288,291,997
2023-02-07,1307,254,1053
2023-02-08,1216,231,985
2023-02-09,1134,198,936
2023-02-10,1152,201,951
2023-02-11,1157,165,992
2023-02-12,1304,169,1135
2023-02-13,1258,254,1004
2023-02-14,1156,225,931
2023-02-15,1176,243,933
2023-02-16,1102,219,883
2023-02-17,1112,205,907
2023-02-18,1520,186,1334
2023-02-19,1192,158,1034
2023-02-20,1159,233,926
2023-02-21,1111,204,907
2023-02-22,1083,200,883
2023-02-23,4492,1798,2694
2023-02-24,4044,955,3089
2023-02-25,1814,260,1554
2023-02-26,1603,211,1392
2023-02-27,1186,251,935
2023-02-28,1166,271,895
2023-03-01,1086,200,886
2023-03-02,1647,462,1185
2023-03-03,1169,228,941
2023-03-04,1156,186,970
2023-03-05,1099,161,938
2023-03-06,1031,186,845
2023-03-07,973,159,814
2023-03-08,958,154,804
2023-03-09,920,186,734
2023-03-10,952,180,772
2023-03-11,1022,139,883
2023-03-12,1118,165,953
2023-03-13,1053,182,871
2023-03-14,1034,172,862
2023-03-15,999,151,848
2023-03-16,1025,176,849
2023-03-17,1027,177,850
2023-03-18,1113,116,997
2023-03-19,1015,146,869
2023-03-20,983,165,818
2023-03-21,886,127,759
2023-03-22,879,166,713
2023-03-23,918,168,750
2023-03-24,960,155,805
2023-03-25,1169,142,1027
2023-03-26,1005,125,880
2023-03-27,972,183,789
2023-03-28,957,155,802
2023-03-29,923,148,775
2023-03-30,962,180,782
2023-03-31,1005,162,843
2023-04-01,1098,133,965
2023-04-02,1090,151,939
2023-04-03,1112,225,887
2023-04-04,1105,191,914
2023-04-05,1016,142,874
2023-04-06,1011,172,839
2023-04-07,932,163,769
2023-04-08,1229,262,967
2023-04-09,1915,478,1437
2023-04-10,1040,170,870
2023-04-11,962,157,805
2023-04-12,983,150,833
2023-04-13,955,173,782
2023-04-14,1011,158,853
2023-04-15,2079,152,1927
2023-04-16,1605,140,1465
2023-04-17,1122,170,952
2023-04-18,1088,170,918
2023-04-19,1074,187,887
2023-04-20,1025,159,866
2023-04-21,1064,158,906
2023-04-22,1305,172,1133
