Time,all,pc,wise
2022-10-01,1102,118,984
2022-10-02,1182,157,1025
2022-10-03,1250,157,1093
2022-10-04,1222,155,1067
2022-10-05,1275,155,1120
2022-10-06,2285,239,2046
2022-10-07,2501,298,2203
2022-10-08,4515,532,3983
2022-10-09,3967,509,3458
2022-10-10,2598,433,2165
2022-10-11,2003,333,1670
2022-10-12,1607,316,1291
2022-10-13,2084,282,1802
2022-10-14,1414,296,1118
2022-10-15,1368,195,1173
2022-10-16,1855,218,1637
2022-10-17,1270,271,999
2022-10-18,1501,285,1216
2022-10-19,1230,243,987
2022-10-20,2290,287,2003
2022-10-21,2442,273,2169
2022-10-22,2095,236,1859
2022-10-23,2631,212,2419
2022-10-24,1617,304,1313
2022-10-25,1990,305,1685
2022-10-26,1516,276,1240
2022-10-27,2591,291,2300
2022-10-28,2157,264,1893
2022-10-29,2189,215,1974
2022-10-30,2842,93,2749
2022-10-31,1910,324,1586
2022-11-01,1699,265,1434
2022-11-02,1962,302,1660
2022-11-03,2611,257,2354
2022-11-04,1329,247,1082
2022-11-05,1488,176,1312
2022-11-06,1785,198,1587
2022-11-07,1135,197,938
2022-11-08,1143,204,939
2022-11-09,1100,201,899
2022-11-10,1335,198,1137
2022-11-11,1132,205,927
2022-11-12,1525,177,1348
2022-11-13,1140,180,960
2022-11-14,1088,173,915
2022-11-15,1064,187,877
2022-11-16,1115,223,892
2022-11-17,1404,216,1188
2022-11-18,1116,195,921
2022-11-19,1414,172,1242
2022-11-20,1297,177,1120
2022-11-21,1153,194,959
2022-11-22,1113,204,909
2022-11-23,1115,213,902
2022-11-24,1958,177,1781
2022-11-25,1082,186,896
2022-11-26,1282,165,1117
2022-11-27,1129,168,961
2022-11-28,1111,200,911
2022-11-29,1311,209,1102
2022-11-30,1132,182,950
2022-12-01,1041,173,868
2022-12-02,1046,191,855
2022-12-03,1050,151,899
2022-12-04,1142,190,952
2022-12-05,1111,197,914
2022-12-06,1059,179,880
2022-12-07,1096,184,912
2022-12-08,1104,183,921
2022-12-09,1068,159,909
2022-12-10,1019,150,869
2022-12-11,1116,165,951
2022-12-12,1035,168,867
2022-12-13,935,158,777
2022-12-14,1002,159,843
2022-12-15,953,142,811
2022-12-16,980,133,847
2022-12-17,886,114,772
2022-12-18,989,144,845
2022-12-19,981,137,844
2022-12-20,1029,151,878
2022-12-21,996,150,846
2022-12-22,964,152,812
2022-12-23,1043,182,861
2022-12-24,926,114,812
2022-12-25,829,140,689
2022-12-26,1018,144,874
2022-12-27,1103,183,920
2022-12-28,1066,155,911
2022-12-29,1146,168,978
2022-12-30,1083,186,897
2022-12-31,1005,125,880
2023-01-01,897,93,804
2023-01-02,1007,155,852
2023-01-03,1004,158,846
2023-01-04,985,139,846
2023-01-05,1335,159,1176
2023-01-06,1025,169,856
2023-01-07,1049,146,903
2023-01-08,1036,123,913
2023-01-09,1036,165,871
2023-01-10,985,148,837
2023-01-11,1026,152,874
2023-01-12,994,172,822
2023-01-13,1001,155,846
2023-01-14,1025,127,898
2023-01-15,991,120,871
2023-01-16,817,123,694
2023-01-17,771,151,620
2023-01-18,984,121,863
2023-01-19,1077,187,890
2023-01-20,810,106,704
2023-01-21,952,95,857
2023-01-22,841,83,758
2023-01-23,866,108,758
2023-01-24,947,97,850
2023-01-25,998,133,865
2023-01-26,1103,120,983
2023-01-27,877,104,773
2023-01-28,1014,112,902
2023-01-29,915,142,773
2023-01-30,806,140,666
2023-01-31,872,142,730
2023-02-01,995,161,834
2023-02-02,1079,177,902
2023-02-03,1064,182,882
2023-02-04,1034,125,909
2023-02-05,1031,140,891
2023-02-06,1075,211,864
2023-02-07,992,177,815
2023-02-08,1009,165,844
2023-02-09,1125,179,946
2023-02-10,889,170,719
2023-02-11,976,137,839
2023-02-12,1042,116,926
2023-02-13,897,168,729
2023-02-14,886,166,720
2023-02-15,1062,209,853
2023-02-16,1021,162,859
2023-02-17,1005,161,844
2023-02-18,1015,125,890
2023-02-19,1051,142,909
2023-02-20,1016,168,848
2023-02-21,1032,176,856
2023-02-22,1022,161,861
2023-02-23,993,179,814
2023-02-24,952,179,773
2023-02-25,917,120,797
2023-02-26,973,121,852
2023-02-27,958,193,765
2023-02-28,1494,566,928
2023-03-01,1940,984,956
2023-03-02,1092,204,888
2023-03-03,1051,152,899
2023-03-04,996,142,854
2023-03-05,1043,144,899
2023-03-06,1029,172,857
2023-03-07,1043,183,860
2023-03-08,1105,194,911
2023-03-09,1047,183,864
2023-03-10,1067,200,867
2023-03-11,1027,123,904
2023-03-12,1059,144,915
2023-03-13,1044,186,858
2023-03-14,1093,176,917
2023-03-15,1041,169,872
2023-03-16,1034,159,875
2023-03-17,1121,190,931
2023-03-18,1252,172,1080
2023-03-19,1430,204,1226
2023-03-20,1153,215,938
2023-03-21,1347,397,950
2023-03-22,1617,417,1200
2023-03-23,1219,242,977
2023-03-24,1258,301,957
2023-03-25,1817,291,1526
2023-03-26,1700,276,1424
2023-03-27,1227,247,980
2023-03-28,1155,218,937
2023-03-29,1112,198,914
2023-03-30,1285,231,1054
2023-03-31,1303,256,1047
2023-04-01,1492,197,1295
2023-04-02,1599,228,1371
2023-04-03,1842,518,1324
2023-04-04,1717,381,1336
2023-04-05,1821,285,1536
2023-04-06,1628,434,1194
2023-04-07,1211,250,961
2023-04-08,1191,175,1016
2023-04-09,1466,187,1279
2023-04-10,1214,223,991
2023-04-11,1172,195,977
2023-04-12,1191,212,979
2023-04-13,1428,254,1174
2023-04-14,1331,236,1095
2023-04-15,1463,177,1286
2023-04-16,1300,154,1146
2023-04-17,1227,211,1016
2023-04-18,1190,212,978
2023-04-19,1187,202,985
2023-04-20,1252,207,1045
2023-04-21,1217,225,992
2023-04-22,1766,195,1571
