Time,all,pc,wise
2022-10-01,2948,250,2698
2022-10-02,2090,191,1899
2022-10-03,1753,186,1567
2022-10-04,1506,182,1324
2022-10-05,1369,179,1190
2022-10-06,1470,166,1304
2022-10-07,1826,264,1562
2022-10-08,1624,225,1399
2022-10-09,1850,340,1510
2022-10-10,1295,259,1036
2022-10-11,1313,267,1046
2022-10-12,2181,436,1745
2022-10-13,1333,288,1045
2022-10-14,1313,279,1034
2022-10-15,1238,209,1029
2022-10-16,1546,218,1328
2022-10-17,4054,372,3682
2022-10-18,1694,341,1353
2022-10-19,1420,327,1093
2022-10-20,1395,245,1150
2022-10-21,1369,315,1054
2022-10-22,11132,409,10723
2022-10-23,2557,282,2275
2022-10-24,1835,298,1537
2022-10-25,1380,290,1090
2022-10-26,1411,309,1102
2022-10-27,1344,248,1096
2022-10-28,1754,247,1507
2022-10-29,1638,207,1431
2022-10-30,1389,110,1279
2022-10-31,2112,253,1859
2022-11-01,1261,205,1056
2022-11-02,1172,219,953
2022-11-03,1178,190,988
2022-11-04,1167,219,948
2022-11-05,1328,179,1149
2022-11-06,1509,179,1330
2022-11-07,1169,239,930
2022-11-08,1174,248,926
2022-11-09,1159,239,920
2022-11-10,1145,211,934
2022-11-11,1132,188,944
2022-11-12,1495,186,1309
2022-11-13,1145,186,959
2022-11-14,1171,233,938
2022-11-15,1135,211,924
2022-11-16,1159,237,922
2022-11-17,1122,219,903
2022-11-18,1116,201,915
2022-11-19,1130,179,951
2022-11-20,1140,183,957
2022-11-21,1182,229,953
2022-11-22,1135,184,951
2022-11-23,1277,219,1058
2022-11-24,1228,175,1053
2022-11-25,1141,175,966
2022-11-26,1148,165,983
2022-11-27,1172,202,970
2022-11-28,1124,204,920
2022-11-29,1142,219,923
2022-11-30,1172,208,964
2022-12-01,1095,172,923
2022-12-02,1080,179,901
2022-12-03,1115,182,933
2022-12-04,1127,197,930
2022-12-05,1088,193,895
2022-12-06,1158,242,916
2022-12-07,1086,179,907
2022-12-08,1100,176,924
2022-12-09,1176,200,976
2022-12-10,1263,175,1088
2022-12-11,1220,197,1023
2022-12-12,1143,212,931
2022-12-13,1180,220,960
2022-12-14,1114,188,926
2022-12-15,1051,159,892
2022-12-16,1074,186,888
2022-12-17,1036,150,886
2022-12-18,1016,154,862
2022-12-19,1047,183,864
2022-12-20,1155,188,967
2022-12-21,1144,193,951
2022-12-22,1065,162,903
2022-12-23,1093,211,882
2022-12-24,1057,186,871
2022-12-25,1013,142,871
2022-12-26,1055,183,872
2022-12-27,1074,186,888
2022-12-28,1029,166,863
2022-12-29,1041,175,866
2022-12-30,1107,197,910
2022-12-31,1001,137,864
2023-01-01,1088,112,976
2023-01-02,1098,172,926
2023-01-03,1557,268,1289
2023-01-04,1347,291,1056
2023-01-05,1151,225,926
2023-01-06,1099,197,902
2023-01-07,1034,135,899
2023-01-08,1068,161,907
2023-01-09,1068,154,914
2023-01-10,1022,144,878
2023-01-11,1016,142,874
2023-01-12,1028,163,865
2023-01-13,1015,162,853
2023-01-14,1066,187,879
2023-01-15,1032,175,857
2023-01-16,934,144,790
2023-01-17,902,172,730
2023-01-18,1005,158,847
2023-01-19,951,150,801
2023-01-20,1321,175,1146
2023-01-21,1085,112,973
2023-01-22,1139,163,976
2023-01-23,1098,157,941
2023-01-24,1035,114,921
2023-01-25,1023,116,907
2023-01-26,1223,245,978
2023-01-27,2870,234,2636
2023-01-28,1434,152,1282
2023-01-29,1137,176,961
2023-01-30,1122,204,918
2023-01-31,1361,186,1175
2023-02-01,1104,165,939
2023-02-02,1072,154,918
2023-02-03,1059,163,896
2023-02-04,1034,123,911
2023-02-05,1075,148,927
2023-02-06,1069,172,897
2023-02-07,1065,175,890
2023-02-08,1078,183,895
2023-02-09,1134,209,925
2023-02-10,1089,186,903
2023-02-11,1129,170,959
2023-02-12,1092,159,933
2023-02-13,1032,173,859
2023-02-14,1031,154,877
2023-02-15,1034,159,875
2023-02-16,1015,162,853
2023-02-17,1004,146,858
2023-02-18,1125,144,981
2023-02-19,1156,154,1002
2023-02-20,1183,207,976
2023-02-21,1060,150,910
2023-02-22,1086,182,904
2023-02-23,1041,170,871
2023-02-24,1046,170,876
2023-02-25,1062,161,901
2023-02-26,1062,152,910
2023-02-27,1015,158,857
2023-02-28,1091,190,901
2023-03-01,1071,194,877
2023-03-02,1023,161,862
2023-03-03,1052,158,894
2023-03-04,1035,162,873
2023-03-05,1087,158,929
2023-03-06,1058,180,878
2023-03-07,1156,273,883
2023-03-08,1084,177,907
2023-03-09,1029,177,852
2023-03-10,1058,161,897
2023-03-11,1042,118,924
2023-03-12,1077,159,918
2023-03-13,1032,152,880
2023-03-14,1036,173,863
2023-03-15,1018,151,867
2023-03-16,1026,152,874
2023-03-17,1039,144,895
2023-03-18,1079,142,937
2023-03-19,1092,150,942
2023-03-20,1044,158,886
2023-03-21,1052,184,868
2023-03-22,1065,184,881
2023-03-23,1056,172,884
2023-03-24,1058,194,864
2023-03-25,1043,158,885
2023-03-26,1048,148,900
2023-03-27,1034,183,851
2023-03-28,1066,207,859
2023-03-29,1122,213,909
2023-03-30,1170,198,972
2023-03-31,1162,205,957
2023-04-01,1193,182,1011
2023-04-02,1497,226,1271
2023-04-03,1684,406,1278
2023-04-04,1444,346,1098
2023-04-05,1339,245,1094
2023-04-06,1238,257,981
2023-04-07,1145,223,922
2023-04-08,1134,177,957
2023-04-09,1096,163,933
2023-04-10,1065,180,885
2023-04-11,1138,193,945
2023-04-12,1126,197,929
2023-04-13,1106,184,922
2023-04-14,1086,186,900
2023-04-15,1047,131,916
2023-04-16,1072,146,926
2023-04-17,1078,197,881
2023-04-18,1128,202,926
2023-04-19,1077,152,925
2023-04-20,1270,188,1082
2023-04-21,2252,276,1976
2023-04-22,2221,279,1942
