Time,all,pc,wise
2022-10-01,836,165,671
2022-10-02,861,159,702
2022-10-03,911,150,761
2022-10-04,885,158,727
2022-10-05,844,182,662
2022-10-06,778,127,651
2022-10-07,781,188,593
2022-10-08,1115,270,845
2022-10-09,1995,627,1368
2022-10-10,2133,664,1469
2022-10-11,1727,586,1141
2022-10-12,1241,330,911
2022-10-13,1808,608,1200
2022-10-14,1363,389,974
2022-10-15,1286,335,951
2022-10-16,4391,895,3496
2022-10-17,1870,620,1250
2022-10-18,1282,343,939
2022-10-19,1187,285,902
2022-10-20,1173,304,869
2022-10-21,1270,344,926
2022-10-22,1262,293,969
2022-10-23,1144,229,915
2022-10-24,1532,453,1079
2022-10-25,1145,270,875
2022-10-26,1136,239,897
2022-10-27,1121,270,851
2022-10-28,1089,234,855
2022-10-29,1062,209,853
2022-10-30,1445,207,1238
2022-10-31,1298,375,923
2022-11-01,1144,287,857
2022-11-02,1147,301,846
2022-11-03,993,251,742
2022-11-04,978,233,745
2022-11-05,956,201,755
2022-11-06,1556,423,1133
2022-11-07,1225,335,890
2022-11-08,1061,218,843
2022-11-09,1064,245,819
2022-11-10,944,204,740
2022-11-11,951,242,709
2022-11-12,883,200,683
2022-11-13,806,195,611
2022-11-14,750,183,567
2022-11-15,680,187,493
2022-11-16,792,190,602
2022-11-17,765,180,585
2022-11-18,929,219,710
2022-11-19,866,182,684
2022-11-20,726,177,549
2022-11-21,849,247,602
2022-11-22,806,259,547
2022-11-23,866,250,616
2022-11-24,741,237,504
2022-11-25,730,251,479
2022-11-26,703,190,513
2022-11-27,679,172,507
2022-11-28,729,236,493
2022-11-29,761,236,525
2022-11-30,705,233,472
2022-12-01,685,259,426
2022-12-02,804,282,522
2022-12-03,741,213,528
2022-12-04,656,201,455
2022-12-05,699,231,468
2022-12-06,751,222,529
2022-12-07,578,190,388
2022-12-08,637,193,444
2022-12-09,1061,338,723
2022-12-10,833,216,617
2022-12-11,666,170,496
2022-12-12,606,170,436
2022-12-13,585,194,391
2022-12-14,751,208,543
2022-12-15,683,193,490
2022-12-16,719,218,501
2022-12-17,531,133,398
2022-12-18,524,129,395
2022-12-19,535,148,387
2022-12-20,460,127,333
2022-12-21,492,144,348
2022-12-22,511,148,363
2022-12-23,527,140,387
2022-12-24,463,125,338
2022-12-25,513,176,337
2022-12-26,468,133,335
2022-12-27,479,163,316
2022-12-28,456,140,316
2022-12-29,523,140,383
2022-12-30,528,137,391
2022-12-31,437,121,316
2023-01-01,416,106,310
2023-01-02,486,131,355
2023-01-03,517,152,365
2023-01-04,551,168,383
2023-01-05,503,131,372
2023-01-06,456,125,331
2023-01-07,510,140,370
2023-01-08,652,169,483
2023-01-09,742,211,531
2023-01-10,597,161,436
2023-01-11,633,165,468
2023-01-12,609,161,448
2023-01-13,613,176,437
2023-01-14,674,173,501
2023-01-15,719,155,564
2023-01-16,829,216,613
2023-01-17,731,212,519
2023-01-18,1093,240,853
2023-01-19,779,169,610
2023-01-20,524,133,391
2023-01-21,459,99,360
2023-01-22,473,112,361
2023-01-23,411,99,312
2023-01-24,405,102,303
2023-01-25,413,93,320
2023-01-26,429,106,323
2023-01-27,528,127,401
2023-01-28,444,129,315
2023-01-29,463,140,323
2023-01-30,462,152,310
2023-01-31,473,154,319
2023-02-01,467,158,309
2023-02-02,583,175,408
2023-02-03,540,187,353
2023-02-04,502,155,347
2023-02-05,641,180,461
2023-02-06,582,184,398
2023-02-07,505,135,370
2023-02-08,556,165,391
2023-02-09,648,176,472
2023-02-10,898,213,685
2023-02-11,824,201,623
2023-02-12,712,172,540
2023-02-13,620,177,443
2023-02-14,936,231,705
2023-02-15,597,198,399
2023-02-16,647,161,486
2023-02-17,656,202,454
2023-02-18,570,157,413
2023-02-19,988,250,738
2023-02-20,793,264,529
2023-02-21,664,204,460
2023-02-22,896,315,581
2023-02-23,721,197,524
2023-02-24,680,182,498
2023-02-25,882,243,639
2023-02-26,651,168,483
2023-02-27,566,187,379
2023-02-28,618,188,430
2023-03-01,484,151,333
2023-03-02,499,151,348
2023-03-03,548,197,351
2023-03-04,606,163,443
2023-03-05,608,150,458
2023-03-06,602,191,411
2023-03-07,792,233,559
2023-03-08,659,184,475
2023-03-09,594,186,408
2023-03-10,626,166,460
2023-03-11,794,212,582
2023-03-12,677,172,505
2023-03-13,711,207,504
2023-03-14,619,172,447
2023-03-15,887,264,623
2023-03-16,763,242,521
2023-03-17,599,170,429
2023-03-18,965,278,687
2023-03-19,864,220,644
2023-03-20,687,211,476
2023-03-21,990,305,685
2023-03-22,839,233,606
2023-03-23,1167,327,840
2023-03-24,743,250,493
2023-03-25,800,182,618
2023-03-26,761,162,599
2023-03-27,659,211,448
2023-03-28,717,212,505
2023-03-29,707,195,512
2023-03-30,606,165,441
2023-03-31,839,240,599
2023-04-01,680,175,505
2023-04-02,1072,290,782
2023-04-03,861,264,597
2023-04-04,672,187,485
2023-04-05,698,201,497
2023-04-06,646,207,439
2023-04-07,556,163,393
2023-04-08,683,251,432
2023-04-09,892,211,681
2023-04-10,726,211,515
2023-04-11,917,222,695
2023-04-12,786,204,582
2023-04-13,623,163,460
2023-04-14,760,229,531
2023-04-15,907,194,713
2023-04-16,747,161,586
2023-04-17,604,142,462
2023-04-18,544,154,390
2023-04-19,516,146,370
2023-04-20,471,137,334
2023-04-21,540,170,370
2023-04-22,494,125,369
