Time,all,pc,wise
2022-10-01,630,144,486
2022-10-02,653,129,524
2022-10-03,626,118,508
2022-10-04,698,154,544
2022-10-05,717,135,582
2022-10-06,719,166,553
2022-10-07,662,129,533
2022-10-08,1023,248,775
2022-10-09,3361,910,2451
2022-10-10,1367,399,968
2022-10-11,1090,225,865
2022-10-12,1029,229,800
2022-10-13,1066,222,844
2022-10-14,1736,555,1181
2022-10-15,1018,172,846
2022-10-16,1061,191,870
2022-10-17,1470,423,1047
2022-10-18,1147,256,891
2022-10-19,1076,234,842
2022-10-20,907,183,724
2022-10-21,1125,247,878
2022-10-22,1252,284,968
2022-10-23,1239,248,991
2022-10-24,4713,943,3770
2022-10-25,1210,248,962
2022-10-26,1102,231,871
2022-10-27,990,186,804
2022-10-28,887,183,704
2022-10-29,792,133,659
2022-10-30,1050,133,917
2022-10-31,1216,290,926
2022-11-01,928,204,724
2022-11-02,798,177,621
2022-11-03,732,180,552
2022-11-04,757,148,609
2022-11-05,1059,188,871
2022-11-06,2740,544,2196
2022-11-07,1362,388,974
2022-11-08,1134,250,884
2022-11-09,946,195,751
2022-11-10,820,169,651
2022-11-11,777,152,625
2022-11-12,684,127,557
2022-11-13,645,120,525
2022-11-14,802,154,648
2022-11-15,714,158,556
2022-11-16,610,158,452
2022-11-17,624,142,482
2022-11-18,574,144,430
2022-11-19,572,106,466
2022-11-20,532,120,412
2022-11-21,541,129,412
2022-11-22,710,159,551
2022-11-23,6250,361,5889
2022-11-24,1137,247,890
2022-11-25,945,226,719
2022-11-26,728,144,584
2022-11-27,628,125,503
2022-11-28,646,135,511
2022-11-29,576,137,439
2022-11-30,587,150,437
2022-12-01,592,131,461
2022-12-02,563,123,440
2022-12-03,731,121,610
2022-12-04,632,121,511
2022-12-05,601,121,480
2022-12-06,601,137,464
2022-12-07,593,152,441
2022-12-08,526,140,386
2022-12-09,505,121,384
2022-12-10,523,110,413
2022-12-11,443,101,342
2022-12-12,503,133,370
2022-12-13,421,116,305
2022-12-14,485,127,358
2022-12-15,465,144,321
2022-12-16,440,135,305
2022-12-17,491,114,377
2022-12-18,509,104,405
2022-12-19,461,123,338
2022-12-20,484,133,351
2022-12-21,454,152,302
2022-12-22,724,195,529
2022-12-23,559,183,376
2022-12-24,801,201,600
2022-12-25,2109,716,1393
2022-12-26,1733,689,1044
2022-12-27,1849,651,1198
2022-12-28,1632,510,1122
2022-12-29,1213,336,877
2022-12-30,956,247,709
2022-12-31,703,168,535
2023-01-01,599,151,448
2023-01-02,589,150,439
2023-01-03,634,169,465
2023-01-04,697,168,529
2023-01-05,636,168,468
2023-01-06,570,175,395
2023-01-07,551,137,414
2023-01-08,591,131,460
2023-01-09,614,159,455
2023-01-10,623,163,460
2023-01-11,679,162,517
2023-01-12,559,152,407
2023-01-13,715,148,567
2023-01-14,607,129,478
2023-01-15,640,137,503
2023-01-16,968,195,773
2023-01-17,730,144,586
2023-01-18,724,129,595
2023-01-19,636,118,518
2023-01-20,988,166,822
2023-01-21,614,118,496
2023-01-22,494,78,416
2023-01-23,561,118,443
2023-01-24,608,104,504
2023-01-25,540,99,441
2023-01-26,634,108,526
2023-01-27,578,89,489
2023-01-28,613,142,471
2023-01-29,540,133,407
2023-01-30,748,190,558
2023-01-31,669,180,489
2023-02-01,972,231,741
2023-02-02,652,172,480
2023-02-03,646,155,491
2023-02-04,588,95,493
2023-02-05,894,190,704
2023-02-06,761,186,575
2023-02-07,624,166,458
2023-02-08,524,155,369
2023-02-09,872,198,674
2023-02-10,677,176,501
2023-02-11,574,131,443
2023-02-12,717,150,567
2023-02-13,664,158,506
2023-02-14,698,165,533
2023-02-15,942,209,733
2023-02-16,903,200,703
2023-02-17,682,151,531
2023-02-18,637,127,510
2023-02-19,763,159,604
2023-02-20,570,157,413
2023-02-21,524,162,362
2023-02-22,646,195,451
2023-02-23,507,140,367
2023-02-24,537,161,376
2023-02-25,1045,200,845
2023-02-26,841,154,687
2023-02-27,747,169,578
2023-02-28,598,159,439
2023-03-01,572,146,426
2023-03-02,548,155,393
2023-03-03,554,170,384
2023-03-04,948,165,783
2023-03-05,806,140,666
2023-03-06,789,173,616
2023-03-07,1109,265,844
2023-03-08,1000,191,809
2023-03-09,1039,223,816
2023-03-10,1090,293,797
2023-03-11,930,169,761
2023-03-12,912,169,743
2023-03-13,767,186,581
2023-03-14,751,184,567
2023-03-15,690,191,499
2023-03-16,725,166,559
2023-03-17,1066,215,851
2023-03-18,1016,173,843
2023-03-19,1006,191,815
2023-03-20,735,161,574
2023-03-21,724,195,529
2023-03-22,655,162,493
2023-03-23,990,225,765
2023-03-24,1140,295,845
2023-03-25,1023,166,857
2023-03-26,1024,175,849
2023-03-27,737,180,557
2023-03-28,753,172,581
2023-03-29,1028,219,809
2023-03-30,791,173,618
2023-03-31,619,173,446
2023-04-01,827,139,688
2023-04-02,783,148,635
2023-04-03,758,188,570
2023-04-04,819,201,618
2023-04-05,788,131,657
2023-04-06,1231,350,881
2023-04-07,1006,218,788
2023-04-08,902,158,744
2023-04-09,1095,237,858
2023-04-10,735,176,559
2023-04-11,1180,293,887
2023-04-12,912,193,719
2023-04-13,741,170,571
2023-04-14,683,180,503
2023-04-15,1698,391,1307
2023-04-16,1083,169,914
2023-04-17,846,187,659
2023-04-18,778,180,598
2023-04-19,677,201,476
2023-04-20,615,155,460
2023-04-21,570,159,411
2023-04-22,531,108,423
