Time,all,pc,wise
2022-10-01,1357,159,1198
2022-10-02,1451,166,1285
2022-10-03,1516,205,1311
2022-10-04,1389,154,1235
2022-10-05,1401,137,1264
2022-10-06,1417,154,1263
2022-10-07,1530,205,1325
2022-10-08,1283,194,1089
2022-10-09,1292,223,1069
2022-10-10,1318,265,1053
2022-10-11,1402,267,1135
2022-10-12,1222,233,989
2022-10-13,1329,264,1065
2022-10-14,1239,168,1071
2022-10-15,1643,211,1432
2022-10-16,18499,1461,17038
2022-10-17,5080,965,4115
2022-10-18,2381,521,1860
2022-10-19,2258,361,1897
2022-10-20,1908,367,1541
2022-10-21,1799,335,1464
2022-10-22,2137,276,1861
2022-10-23,2175,296,1879
2022-10-24,1643,273,1370
2022-10-25,1584,310,1274
2022-10-26,1589,245,1344
2022-10-27,1515,268,1247
2022-10-28,2013,288,1725
2022-10-29,3886,316,3570
2022-10-30,2512,127,2385
2022-10-31,1925,284,1641
2022-11-01,1808,240,1568
2022-11-02,1551,253,1298
2022-11-03,1492,251,1241
2022-11-04,1376,226,1150
2022-11-05,2653,250,2403
2022-11-06,2128,245,1883
2022-11-07,1736,284,1452
2022-11-08,1716,257,1459
2022-11-09,3096,901,2195
2022-11-10,2053,399,1654
2022-11-11,2813,634,2179
2022-11-12,2166,307,1859
2022-11-13,2167,270,1897
2022-11-14,1427,243,1184
2022-11-15,1346,270,1076
2022-11-16,1215,218,997
2022-11-17,1221,212,1009
2022-11-18,1345,208,1137
2022-11-19,2889,239,2650
2022-11-20,3490,251,3239
2022-11-21,2111,278,1833
2022-11-22,1948,218,1730
2022-11-23,1828,231,1597
2022-11-24,1871,273,1598
2022-11-25,2230,309,1921
2022-11-26,1631,175,1456
2022-11-27,1820,257,1563
2022-11-28,1975,305,1670
2022-11-29,1380,222,1158
2022-11-30,1353,236,1117
2022-12-01,1185,190,995
2022-12-02,1336,197,1139
2022-12-03,1340,173,1167
2022-12-04,1342,179,1163
2022-12-05,1194,195,999
2022-12-06,1365,225,1140
2022-12-07,1197,209,988
2022-12-08,1194,200,994
2022-12-09,1169,186,983
2022-12-10,1305,154,1151
2022-12-11,1595,173,1422
2022-12-12,1194,183,1011
2022-12-13,1182,186,996
2022-12-14,1107,162,945
2022-12-15,1137,187,950
2022-12-16,1154,179,975
2022-12-17,2328,165,2163
2022-12-18,1672,184,1488
2022-12-19,1147,172,975
2022-12-20,1321,344,977
2022-12-21,1194,209,985
2022-12-22,1181,211,970
2022-12-23,1172,182,990
2022-12-24,1096,135,961
2022-12-25,1240,220,1020
2022-12-26,1297,215,1082
2022-12-27,1370,265,1105
2022-12-28,1184,184,1000
2022-12-29,1306,202,1104
2022-12-30,1218,223,995
2022-12-31,6992,434,6558
2023-01-01,3297,226,3071
2023-01-02,2269,248,2021
2023-01-03,2007,218,1789
2023-01-04,1517,250,1267
2023-01-05,1249,204,1045
2023-01-06,1339,200,1139
2023-01-07,1296,183,1113
2023-01-08,1214,159,1055
2023-01-09,1331,237,1094
2023-01-10,1581,262,1319
2023-01-11,2279,298,1981
2023-01-12,1953,290,1663
2023-01-13,1542,242,1300
2023-01-14,1648,169,1479
2023-01-15,1281,131,1150
2023-01-16,1179,170,1009
2023-01-17,1147,186,961
2023-01-18,1097,148,949
2023-01-19,1282,165,1117
2023-01-20,3020,346,2674
2023-01-21,6827,456,6371
2023-01-22,5219,250,4969
2023-01-23,2911,166,2745
2023-01-24,2040,146,1894
2023-01-25,1822,169,1653
2023-01-26,1319,162,1157
2023-01-27,1489,137,1352
2023-01-28,1279,182,1097
2023-01-29,1614,186,1428
2023-01-30,1108,168,940
2023-01-31,1119,177,942
2023-02-01,1047,150,897
2023-02-02,1109,197,912
2023-02-03,1132,197,935
2023-02-04,1673,183,1490
2023-02-05,1694,187,1507
2023-02-06,3912,707,3205
2023-02-07,2561,422,2139
2023-02-08,1786,253,1533
2023-02-09,1462,225,1237
2023-02-10,1412,233,1179
2023-02-11,1855,188,1667
2023-02-12,1953,219,1734
2023-02-13,2385,330,2055
2023-02-14,1490,267,1223
2023-02-15,1231,207,1024
2023-02-16,1221,243,978
2023-02-17,1157,204,953
2023-02-18,1118,127,991
2023-02-19,1148,170,978
2023-02-20,1093,195,898
2023-02-21,1110,209,901
2023-02-22,1133,209,924
2023-02-23,1154,239,915
2023-02-24,1179,186,993
2023-02-25,1096,166,930
2023-02-26,1084,173,911
2023-02-27,1110,179,931
2023-02-28,1043,184,859
2023-03-01,1069,175,894
2023-03-02,1056,188,868
2023-03-03,1033,173,860
2023-03-04,1059,152,907
2023-03-05,1096,173,923
2023-03-06,1071,179,892
2023-03-07,1060,184,876
2023-03-08,1028,179,849
2023-03-09,1036,159,877
2023-03-10,1133,205,928
2023-03-11,1537,177,1360
2023-03-12,2704,347,2357
2023-03-13,1910,343,1567
2023-03-14,1408,267,1141
2023-03-15,1203,211,992
2023-03-16,1161,201,960
2023-03-17,1073,155,918
2023-03-18,1056,140,916
2023-03-19,1076,161,915
2023-03-20,1035,161,874
2023-03-21,1053,194,859
2023-03-22,1051,188,863
2023-03-23,1288,193,1095
2023-03-24,1141,202,939
2023-03-25,5441,923,4518
2023-03-26,2910,834,2076
2023-03-27,2178,858,1320
2023-03-28,1458,442,1016
2023-03-29,1358,391,967
2023-03-30,1764,329,1435
2023-03-31,2493,304,2189
2023-04-01,2445,212,2233
2023-04-02,2607,254,2353
2023-04-03,1966,475,1491
2023-04-04,1418,268,1150
2023-04-05,1510,150,1360
2023-04-06,1210,247,963
2023-04-07,1135,209,926
2023-04-08,1075,146,929
2023-04-09,1119,175,944
2023-04-10,1110,202,908
2023-04-11,1112,204,908
2023-04-12,1110,207,903
2023-04-13,1096,190,906
2023-04-14,1268,183,1085
2023-04-15,1862,180,1682
2023-04-16,1454,165,1289
2023-04-17,2262,341,1921
2023-04-18,1385,187,1198
2023-04-19,1210,237,973
2023-04-20,1177,233,944
2023-04-21,2333,264,2069
2023-04-22,4952,333,4619
