Time,all,pc,wise
2022-10-01,978,129,849
2022-10-02,980,121,859
2022-10-03,1079,151,928
2022-10-04,1002,131,871
2022-10-05,984,121,863
2022-10-06,1060,154,906
2022-10-07,1149,163,986
2022-10-08,2563,335,2228
2022-10-09,5369,989,4380
2022-10-10,3089,716,2373
2022-10-11,1399,223,1176
2022-10-12,1255,262,993
2022-10-13,1155,191,964
2022-10-14,1142,193,949
2022-10-15,1097,151,946
2022-10-16,1093,150,943
2022-10-17,1072,198,874
2022-10-18,1093,188,905
2022-10-19,1082,183,899
2022-10-20,1162,218,944
2022-10-21,1782,247,1535
2022-10-22,2299,307,1992
2022-10-23,1474,204,1270
2022-10-24,1156,218,938
2022-10-25,1593,268,1325
2022-10-26,1162,245,917
2022-10-27,2043,240,1803
2022-10-28,1689,278,1411
2022-10-29,1597,200,1397
2022-10-30,1943,112,1831
2022-10-31,2103,304,1799
2022-11-01,1254,202,1052
2022-11-02,1110,190,920
2022-11-03,1083,193,890
2022-11-04,1043,183,860
2022-11-05,1039,166,873
2022-11-06,1058,161,897
2022-11-07,1034,177,857
2022-11-08,895,168,727
2022-11-09,870,169,701
2022-11-10,829,155,674
2022-11-11,1044,166,878
2022-11-12,1015,152,863
2022-11-13,930,133,797
2022-11-14,1008,154,854
2022-11-15,989,150,839
2022-11-16,1037,184,853
2022-11-17,1010,163,847
2022-11-18,1028,165,863
2022-11-19,1011,148,863
2022-11-20,1002,133,869
2022-11-21,1022,177,845
2022-11-22,1067,205,862
2022-11-23,1001,157,844
2022-11-24,993,154,839
2022-11-25,1004,151,853
2022-11-26,975,127,848
2022-11-27,888,118,770
2022-11-28,781,146,635
2022-11-29,1007,140,867
2022-11-30,907,144,763
2022-12-01,675,116,559
2022-12-02,780,148,632
2022-12-03,792,114,678
2022-12-04,931,95,836
2022-12-05,839,142,697
2022-12-06,802,146,656
2022-12-07,647,118,529
2022-12-08,607,120,487
2022-12-09,635,125,510
2022-12-10,569,97,472
2022-12-11,598,99,499
2022-12-12,810,140,670
2022-12-13,693,142,551
2022-12-14,712,152,560
2022-12-15,556,129,427
2022-12-16,617,127,490
2022-12-17,650,114,536
2022-12-18,637,93,544
2022-12-19,633,120,513
2022-12-20,623,123,500
2022-12-21,656,123,533
2022-12-22,629,97,532
2022-12-23,598,123,475
2022-12-24,535,99,436
2022-12-25,567,108,459
2022-12-26,646,114,532
2022-12-27,625,140,485
2022-12-28,893,120,773
2022-12-29,1649,371,1278
2022-12-30,1282,323,959
2022-12-31,973,131,842
2023-01-01,751,123,628
2023-01-02,782,104,678
2023-01-03,730,158,572
2023-01-04,852,179,673
2023-01-05,703,125,578
2023-01-06,629,133,496
2023-01-07,774,104,670
2023-01-08,675,89,586
2023-01-09,679,140,539
2023-01-10,740,158,582
2023-01-11,768,131,637
2023-01-12,634,133,501
2023-01-13,777,166,611
2023-01-14,583,112,471
2023-01-15,607,106,501
2023-01-16,623,112,511
2023-01-17,605,144,461
2023-01-18,609,95,514
2023-01-19,591,108,483
2023-01-20,701,99,602
2023-01-21,590,89,501
2023-01-22,634,91,543
2023-01-23,708,95,613
2023-01-24,693,91,602
2023-01-25,629,87,542
2023-01-26,566,91,475
2023-01-27,502,76,426
2023-01-28,617,127,490
2023-01-29,764,148,616
2023-01-30,540,114,426
2023-01-31,589,127,462
2023-02-01,581,123,458
2023-02-02,604,135,469
2023-02-03,636,139,497
2023-02-04,639,104,535
2023-02-05,585,89,496
2023-02-06,494,99,395
2023-02-07,521,131,390
2023-02-08,529,125,404
2023-02-09,509,101,408
2023-02-10,513,116,397
2023-02-11,515,93,422
2023-02-12,531,101,430
2023-02-13,505,114,391
2023-02-14,500,127,373
2023-02-15,523,135,388
2023-02-16,520,112,408
2023-02-17,521,110,411
2023-02-18,776,112,664
2023-02-19,728,110,618
2023-02-20,775,158,617
2023-02-21,702,127,575
2023-02-22,1009,157,852
2023-02-23,1528,172,1356
2023-02-24,1030,163,867
2023-02-25,798,102,696
2023-02-26,682,91,591
2023-02-27,709,118,591
2023-02-28,650,137,513
2023-03-01,653,106,547
2023-03-02,783,146,637
2023-03-03,655,133,522
2023-03-04,658,118,540
2023-03-05,577,91,486
2023-03-06,553,123,430
2023-03-07,550,116,434
2023-03-08,563,137,426
2023-03-09,563,110,453
2023-03-10,533,118,415
2023-03-11,976,129,847
2023-03-12,900,104,796
2023-03-13,1213,239,974
2023-03-14,975,172,803
2023-03-15,1011,161,850
2023-03-16,1050,180,870
2023-03-17,1146,159,987
2023-03-18,1086,151,935
2023-03-19,1024,144,880
2023-03-20,878,161,717
2023-03-21,864,163,701
2023-03-22,949,127,822
2023-03-23,907,169,738
2023-03-24,798,146,652
2023-03-25,711,127,584
2023-03-26,689,118,571
2023-03-27,636,129,507
2023-03-28,657,121,536
2023-03-29,663,139,524
2023-03-30,735,129,606
2023-03-31,882,155,727
2023-04-01,1089,209,880
2023-04-02,1112,179,933
2023-04-03,2397,817,1580
2023-04-04,1758,515,1243
2023-04-05,1226,259,967
2023-04-06,1391,454,937
2023-04-07,1109,231,878
2023-04-08,1045,176,869
2023-04-09,1118,146,972
2023-04-10,1069,172,897
2023-04-11,1119,184,935
2023-04-12,1183,236,947
2023-04-13,1835,231,1604
2023-04-14,1420,264,1156
2023-04-15,1062,150,912
2023-04-16,969,114,855
2023-04-17,893,158,735
2023-04-18,1019,170,849
2023-04-19,1111,190,921
2023-04-20,1092,155,937
2023-04-21,1377,240,1137
2023-04-22,1200,157,1043
